<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAPP.US,5,20250224,153000,13.53,13.5873,13.28,13.28,34296,0
DAPP.US,5,20250224,153500,13.35,13.4,13.28,13.28,700,0
DAPP.US,5,20250224,154000,13.28,13.37,13.24,13.24,1823,0
DAPP.US,5,20250224,154500,13.2435,13.32,13.2267,13.2267,4089,0
DAPP.US,5,20250224,155000,13.205,13.2127,13.01,13.02,3294,0
DAPP.US,5,20250224,155500,13,13,12.89,12.91,2952,0
DAPP.US,5,20250224,160000,12.9,12.9,12.67,12.67,6237,0
DAPP.US,5,20250224,160500,12.68,12.78,12.6392,12.7403,3148,0
DAPP.US,5,20250224,161000,12.8,12.845,12.76,12.845,2239,0
DAPP.US,5,20250224,161500,12.84,12.85,12.76,12.76,6743,0
DAPP.US,5,20250224,162000,12.77,12.7868,12.77,12.7868,650,0
DAPP.US,5,20250224,162500,12.78,12.78,12.71,12.71,1567,0
DAPP.US,5,20250224,163000,12.73,12.73,12.7198,12.7198,538,0
DAPP.US,5,20250224,163500,12.73,12.73,12.68,12.68,200,0
DAPP.US,5,20250224,164000,12.7517,12.7517,12.6733,12.68,1550,0
DAPP.US,5,20250224,164500,12.69,12.69,12.5733,12.6101,3223,0
DAPP.US,5,20250224,165000,12.63,12.63,12.5701,12.583,5594,0
DAPP.US,5,20250224,165500,12.5626,12.5626,12.53,12.56,2809,0
DAPP.US,5,20250224,170000,12.5566,12.62,12.55,12.6,1105,0
DAPP.US,5,20250224,170500,12.7091,12.7091,12.68,12.68,1443,0
DAPP.US,5,20250224,171000,12.685,12.73,12.685,12.71,1418,0
DAPP.US,5,20250224,171500,12.79,12.79,12.76,12.76,2529,0
DAPP.US,5,20250224,172000,12.7799,12.81,12.7503,12.8032,3494,0
DAPP.US,5,20250224,172500,12.84,12.9,12.83,12.83,1701,0
DAPP.US,5,20250224,173000,12.8309,12.87,12.8309,12.87,4336,0
DAPP.US,5,20250224,173500,12.86,12.8678,12.82,12.82,3150,0
DAPP.US,5,20250224,174000,12.84,12.9,12.84,12.9,800,0
DAPP.US,5,20250224,174500,12.91,12.91,12.8689,12.8689,200,0
