<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEX.US,5,20250224,153000,107.2,107.2,107.2,107.2,185,0
FEX.US,5,20250224,154500,106.86,106.87,106.7677,106.7677,877,0
FEX.US,5,20250224,161000,106.6872,106.6872,106.6872,106.6872,590,0
FEX.US,5,20250224,161500,106.7409,106.7409,106.7409,106.7409,852,0
FEX.US,5,20250224,163500,106.665,106.665,106.665,106.665,320,0
FEX.US,5,20250224,164500,106.6832,106.6832,106.6832,106.6832,261,0
FEX.US,5,20250224,165500,106.4401,106.4401,106.4401,106.4401,165,0
FEX.US,5,20250224,170500,106.69,106.69,106.69,106.69,281,0
FEX.US,5,20250224,172500,107.07,107.07,107.07,107.07,100,0
FEX.US,5,20250224,174500,107.09,107.09,107.09,107.09,200,0
FEX.US,5,20250224,175500,106.99,106.99,106.99,106.99,191,0
FEX.US,5,20250224,180000,106.99,106.99,106.99,106.99,100,0
FEX.US,5,20250224,181000,107.08,107.08,107.08,107.08,201,0
FEX.US,5,20250224,181500,107.141,107.141,107.141,107.141,100,0
FEX.US,5,20250224,183000,107.1868,107.1868,107.121,107.121,367,0
FEX.US,5,20250224,190500,107.19,107.19,107.141,107.141,219,0
FEX.US,5,20250224,191000,107.16,107.16,107.16,107.16,100,0
FEX.US,5,20250224,195000,107.1535,107.1535,107.15,107.15,381,0
FEX.US,5,20250224,195500,107.18,107.18,107.18,107.18,100,0
FEX.US,5,20250224,201000,107.15,107.15,107.15,107.15,100,0
FEX.US,5,20250224,205500,106.98,106.98,106.98,106.98,100,0
FEX.US,5,20250224,211000,107.01,107.01,107.01,107.01,100,0
FEX.US,5,20250224,211500,107.02,107.02,107.02,107.02,586,0
FEX.US,5,20250224,212000,107.12,107.12,107.0518,107.0518,291,0
FEX.US,5,20250224,212500,106.98,106.9898,106.95,106.9898,644,0
FEX.US,5,20250224,213000,107.07,107.07,107.07,107.07,374,0
FEX.US,5,20250224,213500,106.971,106.971,106.971,106.971,100,0
FEX.US,5,20250224,214000,106.951,106.951,106.951,106.951,100,0
FEX.US,5,20250224,214500,107.05,107.05,107.05,107.05,100,0
FEX.US,5,20250224,215500,106.75,106.75,106.75,106.75,100,0
FEX.US,5,20250225,153000,106.66,106.66,106.66,106.66,264,0
FEX.US,5,20250225,154000,106.8219,106.8219,106.8219,106.8219,300,0
FEX.US,5,20250225,161000,106.19,106.19,106.19,106.19,226,0
FEX.US,5,20250225,162000,105.92,105.92,105.92,105.92,900,0
FEX.US,5,20250225,170000,106.03219,106.03219,106.03219,106.03219,128,0
FEX.US,5,20250225,171500,106.01,106.01,106.01,106.01,100,0
FEX.US,5,20250225,174000,105.72,105.755,105.72,105.755,589,0
FEX.US,5,20250225,174500,105.8,105.82,105.8,105.811,2495,0
FEX.US,5,20250225,175500,105.98,106.15,105.98,106.15,617,0
FEX.US,5,20250225,180500,105.88,105.88,105.88,105.88,100,0
FEX.US,5,20250225,181500,105.96,106.01,105.96,106.01,270,0
FEX.US,5,20250225,182500,106,106,106,106,100,0
FEX.US,5,20250225,183500,106.18,106.18,106.18,106.18,100,0
FEX.US,5,20250225,185000,106.26,106.26,106.26,106.26,100,0
FEX.US,5,20250225,190500,106.63,106.63,106.63,106.63,100,0
FEX.US,5,20250225,191500,106.4699,106.4699,106.4699,106.4699,140,0
FEX.US,5,20250225,192000,106.46,106.46,106.46,106.46,100,0
FEX.US,5,20250225,192500,106.29,106.29,106.26,106.26,475,0
FEX.US,5,20250225,195000,106.501,106.501,106.501,106.501,100,0
FEX.US,5,20250225,195500,106.43,106.431,106.43,106.431,560,0
FEX.US,5,20250225,200000,106.43,106.43,106.43,106.43,100,0
FEX.US,5,20250225,201000,106.36,106.36,106.36,106.36,100,0
FEX.US,5,20250225,202000,106.23,106.23,106.211,106.211,300,0
FEX.US,5,20250225,203000,106.26,106.26,106.26,106.26,351,0
FEX.US,5,20250225,205500,106.615,106.615,106.597,106.597,365,0
FEX.US,5,20250225,211000,106.61,106.61,106.61,106.61,100,0
FEX.US,5,20250225,211500,106.59,106.59,106.59,106.59,100,0
FEX.US,5,20250225,213000,106.73,106.73,106.73,106.73,100,0
FEX.US,5,20250225,215000,106.5,106.5,106.5,106.5,100,0
FEX.US,5,20250226,153000,106.97,106.97,106.97,106.97,100,0
FEX.US,5,20250226,155500,107.09,107.09,107.09,107.09,100,0
FEX.US,5,20250226,162000,107.2094,107.2094,107.2094,107.2094,100,0
FEX.US,5,20250226,163000,107.145,107.145,107.145,107.145,300,0
FEX.US,5,20250226,164000,107.13,107.1997,107.13,107.1997,425,0
FEX.US,5,20250226,164500,107.2199,107.2199,107.2199,107.2199,124,0
FEX.US,5,20250226,165500,107.21,107.21,107.21,107.21,594,0
FEX.US,5,20250226,171500,107.28,107.2959,107.28,107.2959,215,0
FEX.US,5,20250226,172000,107.29,107.29,107.27,107.27,300,0
FEX.US,5,20250226,172500,107.25,107.2775,107.24,107.2775,335,0
FEX.US,5,20250226,173000,107.1,107.1,107.05,107.05,200,0
FEX.US,5,20250226,173500,107.1794,107.1794,107.1794,107.1794,116,0
FEX.US,5,20250226,174000,107.16,107.16,107.0201,107.071,500,0
FEX.US,5,20250226,175000,107.07,107.07,107.07,107.07,100,0
FEX.US,5,20250226,175500,107.11,107.11,106.951,106.951,300,0
FEX.US,5,20250226,180000,106.95,106.95,106.95,106.95,100,0
FEX.US,5,20250226,180500,107.06,107.06,107.011,107.011,200,0
FEX.US,5,20250226,181000,107.04,107.06,107.04,107.06,200,0
FEX.US,5,20250226,181500,107.151,107.151,106.951,106.951,300,0
FEX.US,5,20250226,182000,107.02,107.02,107.02,107.02,100,0
FEX.US,5,20250226,182500,107.001,107.0135,106.99,106.99,500,0
FEX.US,5,20250226,183000,107,107,106.91,106.91,936,0
FEX.US,5,20250226,183500,106.89,106.89,106.851,106.851,400,0
FEX.US,5,20250226,184000,106.79,106.79,106.785,106.785,353,0
FEX.US,5,20250226,184500,106.82,106.82,106.771,106.771,200,0
FEX.US,5,20250226,185000,106.751,106.751,106.67,106.67,200,0
FEX.US,5,20250226,185500,106.5,106.5,106.5,106.5,100,0
FEX.US,5,20250226,190000,106.52,106.521,106.52,106.521,1084,0
FEX.US,5,20250226,190500,106.531,106.531,106.5,106.5,200,0
FEX.US,5,20250226,191000,106.591,106.591,106.591,106.591,100,0
FEX.US,5,20250226,191500,106.51,106.51,106.51,106.51,100,0
FEX.US,5,20250226,192000,106.59,106.59,106.59,106.59,100,0
FEX.US,5,20250226,192500,106.57,106.57,106.48,106.48,200,0
FEX.US,5,20250226,193000,106.4,106.411,106.4,106.411,200,0
FEX.US,5,20250226,193500,106.411,106.411,106.411,106.411,100,0
FEX.US,5,20250226,194000,106.351,106.351,106.351,106.351,200,0
FEX.US,5,20250226,194500,106.3,106.32,106.3,106.32,200,0
FEX.US,5,20250226,195000,106.191,106.191,106.191,106.191,100,0
FEX.US,5,20250226,200000,106.2,106.2,106.2,106.2,100,0
FEX.US,5,20250226,200500,106.14,106.17,106.091,106.101,754,0
FEX.US,5,20250226,201000,106.12,106.12,106.08,106.091,383,0
FEX.US,5,20250226,201500,106.13,106.13,106.13,106.13,100,0
FEX.US,5,20250226,202000,106.261,106.33,106.261,106.321,300,0
FEX.US,5,20250226,203000,106.321,106.341,106.321,106.341,200,0
FEX.US,5,20250226,203500,106.381,106.381,106.381,106.381,200,0
FEX.US,5,20250226,204000,106.411,106.481,106.411,106.481,200,0
FEX.US,5,20250226,204500,106.43,106.46,106.43,106.46,300,0
FEX.US,5,20250226,205000,106.39,106.39,106.39,106.39,100,0
FEX.US,5,20250226,205500,106.19,106.19,106.19,106.19,100,0
FEX.US,5,20250226,210000,106.241,106.241,106.241,106.241,100,0
FEX.US,5,20250226,210500,106.25,106.25,106.25,106.25,200,0
FEX.US,5,20250226,211000,106.32,106.32,106.32,106.32,100,0
FEX.US,5,20250226,211500,106.281,106.281,106.271,106.271,400,0
FEX.US,5,20250226,212000,106.31,106.3907,106.31,106.3907,725,0
FEX.US,5,20250226,212500,106.351,106.351,106.31,106.31,300,0
FEX.US,5,20250226,213000,106.33,106.351,106.321,106.351,300,0
FEX.US,5,20250226,213500,106.37,106.38,106.34,106.38,400,0
FEX.US,5,20250226,214000,106.378,106.4,106.36,106.4,821,0
FEX.US,5,20250226,214500,106.56,106.56,106.52,106.52,300,0
FEX.US,5,20250226,215000,106.39,106.43,106.39,106.39,600,0
FEX.US,5,20250226,215500,106.42,106.42,106.29,106.32,1830,0
FEX.US,5,20250227,153000,106.57,106.57,106.57,106.57,189,0
FEX.US,5,20250227,153500,106.6875,106.6875,106.6875,106.6875,225,0
FEX.US,5,20250227,155500,106.295,106.295,106.295,106.295,740,0
FEX.US,5,20250227,164500,106.697,106.7,106.697,106.7,346,0
FEX.US,5,20250227,170500,106.6044,106.6044,106.6044,106.6044,501,0
FEX.US,5,20250227,172000,106.88,106.88,106.88,106.88,104,0
FEX.US,5,20250227,173500,106.745,106.745,106.7099,106.7099,274,0
FEX.US,5,20250227,174500,106.593,106.593,106.593,106.593,150,0
