<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSC.US,5,20250224,153000,51.54,51.54,51.54,51.54,243,0
PSC.US,5,20250224,153500,51.33,51.33,51.33,51.33,100,0
PSC.US,5,20250224,154500,51.38,51.6,51.38,51.6,200,0
PSC.US,5,20250224,155500,51.12,51.12,51.12,51.12,100,0
PSC.US,5,20250224,160500,50.95,50.95,50.95,50.95,351,0
PSC.US,5,20250224,162000,51.19,51.19,51.19,51.19,300,0
PSC.US,5,20250224,163000,51.095,51.095,51.095,51.095,469,0
PSC.US,5,20250224,164000,51.2799,51.2799,51.26,51.26,363,0
PSC.US,5,20250224,164500,51.18,51.18,51.18,51.18,100,0
PSC.US,5,20250224,165000,51.2408,51.2408,51.2408,51.2408,639,0
PSC.US,5,20250224,170500,51.24,51.24,51.24,51.24,100,0
PSC.US,5,20250224,171000,51.27,51.27,51.23,51.23,800,0
PSC.US,5,20250224,171500,51.4,51.4,51.4,51.4,100,0
PSC.US,5,20250224,173500,51.53,51.57,51.53,51.57,900,0
PSC.US,5,20250224,174000,51.46,51.55,51.41,51.55,700,0
PSC.US,5,20250224,175500,51.54,51.54,51.48,51.48,800,0
PSC.US,5,20250224,181000,51.415,51.49,51.415,51.49,400,0
PSC.US,5,20250224,182500,51.5423,51.5718,51.5423,51.5718,452,0
PSC.US,5,20250224,183000,51.54,51.54,51.54,51.54,100,0
PSC.US,5,20250224,184500,51.6585,51.6585,51.6585,51.6585,271,0
PSC.US,5,20250224,191000,51.525,51.57,51.525,51.57,1733,0
PSC.US,5,20250224,192000,51.605,51.605,51.605,51.605,1072,0
PSC.US,5,20250224,193500,51.655,51.655,51.655,51.655,800,0
PSC.US,5,20250224,194500,51.62,51.66,51.62,51.66,900,0
PSC.US,5,20250224,200000,51.66,51.67,51.66,51.67,2518,0
PSC.US,5,20250224,202000,51.502019,51.52,51.502019,51.52,499,0
PSC.US,5,20250224,203000,51.56,51.58,51.56,51.58,208,0
PSC.US,5,20250224,204500,51.4706,51.4706,51.4706,51.4706,165,0
PSC.US,5,20250224,210500,51.48,51.48,51.48,51.48,276,0
PSC.US,5,20250224,211000,51.51,51.51,51.5,51.5,400,0
PSC.US,5,20250224,211500,51.55,51.55,51.515,51.54,1100,0
PSC.US,5,20250224,212000,51.59,51.59,51.5143,51.5143,1576,0
PSC.US,5,20250224,212500,51.53,51.54,51.49,51.5,1100,0
PSC.US,5,20250224,213000,51.49,51.59,51.49,51.59,445,0
PSC.US,5,20250224,213500,51.54,51.55,51.54,51.54,927,0
PSC.US,5,20250224,214000,51.6,51.6,51.6,51.6,100,0
PSC.US,5,20250224,214500,51.53,51.64,51.5012,51.53,621,0
PSC.US,5,20250224,215000,51.43,51.43,51.35,51.37,300,0
PSC.US,5,20250224,215500,51.37,51.37,51.29,51.29,249,0
PSC.US,5,20250225,153000,51.3,51.3,51.3,51.3,335,0
PSC.US,5,20250225,153500,51.33,51.42,51.33,51.42,649,0
PSC.US,5,20250225,154000,51.32,51.32,51.3,51.3,200,0
PSC.US,5,20250225,154500,51.2443,51.31,51.2443,51.31,355,0
