<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQLV.US,5,20250225,175500,40.8,40.8,40.8,40.8,100,0
SQLV.US,5,20250225,204500,41.15,41.15,41.11,41.11,467,0
SQLV.US,5,20250226,154000,41.0407,41.055,41.04,41.055,700,0
SQLV.US,5,20250226,180500,40.9859,40.9859,40.9859,40.9859,302,0
SQLV.US,5,20250226,181500,41.01,41.01,41.01,41.01,302,0
SQLV.US,5,20250226,192000,40.8,40.8,40.8,40.8,100,0
SQLV.US,5,20250228,160500,40.2,40.2,40.2,40.2,176,0
SQLV.US,5,20250228,194000,40.03895,40.03895,40.03895,40.03895,152,0
SQLV.US,5,20250228,195500,40.02,40.02,40.02,40.02,100,0
SQLV.US,5,20250228,210000,40.1,40.1001,40.1,40.1001,400,0
SQLV.US,5,20250303,181500,40.31,40.31,40.31,40.31,100,0
SQLV.US,5,20250303,192500,39.9401,39.9401,39.94,39.94,250,0
SQLV.US,5,20250303,194000,39.83,39.83,39.83,39.83,100,0
SQLV.US,5,20250303,214500,39.34,39.34,39.34,39.34,100,0
SQLV.US,5,20250304,153000,39.01,39.01,39.01,39.01,100,0
SQLV.US,5,20250304,182000,38.8496,38.85,38.81,38.825,649,0
SQLV.US,5,20250304,182500,38.84,38.84,38.84,38.84,100,0
SQLV.US,5,20250304,202500,39.33,39.33,39.33,39.33,515,0
SQLV.US,5,20250304,203500,39.25,39.25,39.25,39.25,100,0
SQLV.US,5,20250305,165500,38.94,38.94,38.94,38.94,300,0
SQLV.US,5,20250306,162000,38.98,38.9801,38.98,38.9801,330,0
SQLV.US,5,20250306,172000,39.09,39.09,39.09,39.09,100,0
SQLV.US,5,20250306,180000,38.9699,38.9699,38.9699,38.9699,180,0
SQLV.US,5,20250307,153000,38.99,38.99,38.99,38.99,400,0
SQLV.US,5,20250307,205500,39.35,39.35,39.34,39.34,241,0
SQLV.US,5,20250307,215500,39.35,39.48,39.2,39.2,6710,0
SQLV.US,5,20250310,143000,38.81,38.81,38.81,38.81,305,0
SQLV.US,5,20250310,171000,38.92,38.9384,38.92,38.9384,4012,0
SQLV.US,5,20250310,182500,38.83,38.83,38.83,38.83,100,0
SQLV.US,5,20250310,195000,38.43,38.43,38.43,38.43,105,0
SQLV.US,5,20250311,162000,38.38,38.393,38.38,38.393,220,0
SQLV.US,5,20250311,204000,38.49,38.49,38.49,38.49,1656,0
SQLV.US,5,20250311,205000,38.45,38.45,38.45,38.45,200,0
SQLV.US,5,20250312,175500,37.97,37.97,37.97,37.97,130,0
SQLV.US,5,20250312,191500,38.14,38.14,38.139,38.14,3240,0
SQLV.US,5,20250312,193500,38.18,38.18,38.18,38.18,600,0
SQLV.US,5,20250312,195500,38.18,38.18,38.18,38.18,100,0
SQLV.US,5,20250312,204500,38.03,38.03,38.03,38.03,130,0
SQLV.US,5,20250312,205500,38.05,38.05,38.05,38.05,200,0
SQLV.US,5,20250313,151000,37.99,37.99,37.99,37.99,100,0
SQLV.US,5,20250313,203000,37.4,37.4,37.388,37.399,1294,0
SQLV.US,5,20250314,154000,37.7696,37.7696,37.7696,37.7696,125,0
SQLV.US,5,20250314,173000,37.926,37.926,37.91,37.9101,432,0
