<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEBI.US,5,20250701,215500,83.26,83.26,83.26,83.26,1279,0
AEBI.US,5,20250702,153000,32.94,32.9999,27.01,27.01,4103,0
AEBI.US,5,20250702,154000,23.74,25,21,21,7134,0
AEBI.US,5,20250702,154500,20.91,20.91,20.91,20.91,820,0
AEBI.US,5,20250702,155000,20,20.915,18.46,18.61,9533,0
AEBI.US,5,20250702,155500,19.035,19.28,17,17,11878,0
AEBI.US,5,20250702,160000,16.74,16.92,16.22,16.31,4450,0
AEBI.US,5,20250702,160500,16.379,17,16.27,16.5,15415,0
AEBI.US,5,20250702,161000,16.6561,16.74,15.77,16.25,9521,0
AEBI.US,5,20250702,161500,16.3528,17.4101,16.35,17.4101,12713,0
AEBI.US,5,20250702,162000,17.41,17.41,16.4,16.4194,9900,0
AEBI.US,5,20250702,162500,16.53,16.745,16.41,16.48,3655,0
AEBI.US,5,20250702,163000,16.5,16.76,16.48,16.75,6959,0
AEBI.US,5,20250702,163500,16.74,16.759,16.56,16.71,4571,0
AEBI.US,5,20250702,164000,16.71,17.2,16.71,17.2,12077,0
AEBI.US,5,20250702,164500,17.1,17.5,16.93,16.93,24047,0
AEBI.US,5,20250702,165000,17.0084,17.45,16.93,17.45,19345,0
AEBI.US,5,20250702,165500,17.45,17.7799,17.275,17.7799,17697,0
AEBI.US,5,20250702,170000,17.595,17.6293,17.35,17.36,9967,0
AEBI.US,5,20250702,170500,17.59,17.6,17.4,17.47,3739,0
AEBI.US,5,20250702,171000,17.43,17.4597,17.4,17.4,4324,0
AEBI.US,5,20250702,171500,17.4,17.4183,17.1505,17.26,11282,0
AEBI.US,5,20250702,172000,17.23,17.4276,16.8,16.8001,10207,0
AEBI.US,5,20250702,172500,16.8,17.0466,16.7,16.97,2921,0
AEBI.US,5,20250702,173000,16.9,16.9,16.6,16.61,16574,0
AEBI.US,5,20250702,173500,16.6,16.9168,16.11,16.11,15954,0
AEBI.US,5,20250702,174000,16.1,16.15,14.8,14.8,18825,0
AEBI.US,5,20250702,174500,14.98,14.98,14.0501,14.4,46446,0
AEBI.US,5,20250702,175000,14.42,14.49,14.2,14.24,8255,0
AEBI.US,5,20250702,175500,14.29,14.4999,14.13,14.15,6396,0
AEBI.US,5,20250702,180000,14.3,14.43,14.15,14.305,7678,0
AEBI.US,5,20250702,180500,14.3702,14.3702,13.925,13.925,4739,0
AEBI.US,5,20250702,181000,13.8,13.81,13.1,13.34,15494,0
AEBI.US,5,20250702,181500,13.35,13.35,13.13,13.14,16461,0
AEBI.US,5,20250702,182000,13.2281,13.2281,13,13.215,17891,0
