<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPRN.US,5,20250224,182000,31.97,31.97,31.97,31.97,200,0
BPRN.US,5,20250224,183500,31.99,31.99,31.99,31.99,200,0
BPRN.US,5,20250224,192000,32.045,32.045,32.045,32.045,100,0
BPRN.US,5,20250224,215500,31.63,31.63,31.58,31.58,200,0
BPRN.US,5,20250225,153000,31.51,31.51,31.51,31.51,132,0
BPRN.US,5,20250225,162500,31.745,31.745,31.745,31.745,126,0
BPRN.US,5,20250225,164500,31.93,31.93,31.93,31.93,100,0
BPRN.US,5,20250225,165500,31.86,31.86,31.82,31.82,200,0
BPRN.US,5,20250225,172500,31.8,31.87,31.8,31.87,1133,0
BPRN.US,5,20250225,175500,32.22,32.22,32.22,32.22,100,0
BPRN.US,5,20250225,181000,32.27,32.27,32.04,32.04,300,0
BPRN.US,5,20250225,181500,32.27,32.29,32.27,32.27,400,0
BPRN.US,5,20250225,185500,32.35,32.35,32.35,32.35,100,0
BPRN.US,5,20250225,194500,32.2,32.2,32.2,32.2,200,0
BPRN.US,5,20250225,195000,32.2,32.2,32.2,32.2,100,0
BPRN.US,5,20250225,211000,32.2,32.2,32.2,32.2,109,0
BPRN.US,5,20250225,212500,32.235,32.235,32.235,32.235,200,0
BPRN.US,5,20250225,215500,32.1,32.1,32.1,32.1,100,0
BPRN.US,5,20250226,153000,32.19,32.19,32.19,32.19,113,0
BPRN.US,5,20250226,162500,31.5,31.5,31.5,31.5,100,0
BPRN.US,5,20250226,172000,31.68,31.68,31.68,31.68,100,0
BPRN.US,5,20250226,174000,31.86,31.86,31.86,31.86,100,0
BPRN.US,5,20250226,175000,31.79,31.79,31.79,31.79,200,0
BPRN.US,5,20250226,181500,31.805,31.805,31.805,31.805,100,0
BPRN.US,5,20250226,182500,31.66,31.66,31.66,31.66,300,0
BPRN.US,5,20250226,183000,31.5001,31.5001,31.5001,31.5001,222,0
BPRN.US,5,20250226,201500,31.5068,31.5068,31.5068,31.5068,1500,0
BPRN.US,5,20250226,203000,31.61,31.61,31.61,31.61,100,0
BPRN.US,5,20250226,215500,32.02,32.17,32.02,32.17,2867,0
BPRN.US,5,20250227,153000,32.15,32.15,32.15,32.15,313,0
BPRN.US,5,20250227,204000,31.62,31.62,31.62,31.62,171,0
BPRN.US,5,20250227,210500,31.65,31.65,31.65,31.65,100,0
BPRN.US,5,20250227,215000,31.82,31.82,31.82,31.82,100,0
BPRN.US,5,20250228,160000,32.7099,32.7099,32.7099,32.7099,249,0
BPRN.US,5,20250228,175500,31.77,31.77,31.76,31.76,200,0
BPRN.US,5,20250228,195500,31.5,31.5,31.5,31.5,216,0
BPRN.US,5,20250228,214500,32.035,32.035,32.035,32.035,100,0
BPRN.US,5,20250228,215000,32.035,32.035,32.035,32.035,200,0
BPRN.US,5,20250228,215500,32.69,32.84,32.27,32.27,1127,0
BPRN.US,5,20250303,181000,32.62,32.63,32.62,32.63,346,0
BPRN.US,5,20250303,182500,32.755,32.755,32.755,32.755,200,0
BPRN.US,5,20250303,201500,32.6581,32.6581,32.6581,32.6581,150,0
BPRN.US,5,20250303,214500,31.82,31.82,31.82,31.82,100,0
BPRN.US,5,20250304,154000,32.1308,32.1308,31.4,31.4,617,0
BPRN.US,5,20250304,155500,31.4,31.4,31.4,31.4,500,0
BPRN.US,5,20250304,162500,31.28,31.28,31.27,31.27,200,0
BPRN.US,5,20250304,165500,31.0135,31.0135,31.0135,31.0135,500,0
BPRN.US,5,20250304,182000,30.9,30.95,30.87,30.87,400,0
BPRN.US,5,20250304,184500,30.995,31.16,30.995,31.16,200,0
BPRN.US,5,20250304,213000,30.94,30.94,30.94,30.94,108,0
BPRN.US,5,20250304,215500,31.01,31.01,31.01,31.01,1736,0
BPRN.US,5,20250305,153000,31.83,31.83,31.83,31.83,580,0
BPRN.US,5,20250305,163000,31.24,31.24,31.24,31.24,100,0
BPRN.US,5,20250305,164000,31.24,31.24,31.24,31.24,100,0
