<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRKL.US,5,20250224,153000,11.74,11.74,11.64,11.67,6042,0
BRKL.US,5,20250224,153500,11.66,11.67,11.66,11.66,651,0
BRKL.US,5,20250224,154000,11.72,11.72,11.69,11.69,1350,0
BRKL.US,5,20250224,154500,11.7,11.7,11.65,11.66,2084,0
BRKL.US,5,20250224,155000,11.6509,11.71,11.65,11.71,3484,0
BRKL.US,5,20250224,155500,11.705,11.705,11.67,11.67,4096,0
BRKL.US,5,20250224,160000,11.66,11.705,11.65,11.65,10454,0
BRKL.US,5,20250224,160500,11.63,11.68,11.62,11.68,2995,0
BRKL.US,5,20250224,161000,11.67,11.68,11.66,11.68,1400,0
BRKL.US,5,20250224,161500,11.68,11.7,11.65,11.65,3627,0
BRKL.US,5,20250224,162000,11.675,11.69,11.675,11.69,800,0
BRKL.US,5,20250224,162500,11.68,11.68,11.65,11.66,9966,0
BRKL.US,5,20250224,163000,11.66,11.665,11.65,11.66,944,0
BRKL.US,5,20250224,163500,11.66,11.68,11.66,11.67,700,0
BRKL.US,5,20250224,164000,11.69,11.69,11.68,11.68,200,0
BRKL.US,5,20250224,164500,11.69,11.73,11.69,11.725,10554,0
BRKL.US,5,20250224,165000,11.735,11.735,11.7,11.7,2300,0
BRKL.US,5,20250224,165500,11.695,11.695,11.66,11.6657,900,0
BRKL.US,5,20250224,170000,11.67,11.69,11.67,11.68,2993,0
BRKL.US,5,20250224,170500,11.685,11.685,11.675,11.675,400,0
BRKL.US,5,20250224,171000,11.67,11.67,11.66,11.66,700,0
BRKL.US,5,20250224,171500,11.665,11.68,11.64,11.64,2937,0
BRKL.US,5,20250224,172000,11.64,11.66,11.64,11.66,800,0
BRKL.US,5,20250224,172500,11.665,11.68,11.66,11.67,1605,0
BRKL.US,5,20250224,173000,11.67,11.7,11.67,11.7,1927,0
BRKL.US,5,20250224,173500,11.69,11.69,11.685,11.685,600,0
BRKL.US,5,20250224,174000,11.69,11.7,11.69,11.69,1925,0
BRKL.US,5,20250224,174500,11.69,11.715,11.69,11.71,1299,0
BRKL.US,5,20250224,175000,11.715,11.715,11.69,11.69,1000,0
BRKL.US,5,20250224,175500,11.69,11.69,11.66,11.66,1095,0
BRKL.US,5,20250224,180000,11.66,11.695,11.66,11.695,1542,0
BRKL.US,5,20250224,180500,11.69,11.69,11.68,11.68,1700,0
BRKL.US,5,20250224,181000,11.68,11.69,11.68,11.6801,3278,0
BRKL.US,5,20250224,181500,11.685,11.695,11.68,11.695,1600,0
BRKL.US,5,20250224,182000,11.695,11.7,11.695,11.695,600,0
BRKL.US,5,20250224,182500,11.69,11.695,11.69,11.69,3059,0
BRKL.US,5,20250224,183000,11.685,11.695,11.68,11.68,2200,0
BRKL.US,5,20250224,183500,11.69,11.7,11.69,11.7,700,0
BRKL.US,5,20250224,184000,11.695,11.715,11.695,11.715,1195,0
BRKL.US,5,20250224,184500,11.71,11.71,11.7,11.7061,1346,0
BRKL.US,5,20250224,185000,11.705,11.705,11.69,11.69,1289,0
BRKL.US,5,20250224,185500,11.7,11.7,11.6901,11.695,1087,0
BRKL.US,5,20250224,190000,11.69,11.7,11.68,11.68,3718,0
BRKL.US,5,20250224,190500,11.68,11.695,11.67,11.695,1079,0
BRKL.US,5,20250224,191000,11.695,11.6998,11.695,11.695,311,0
BRKL.US,5,20250224,191500,11.7,11.72,11.7,11.72,2138,0
BRKL.US,5,20250224,192000,11.705,11.705,11.705,11.705,300,0
BRKL.US,5,20250224,192500,11.705,11.705,11.7,11.7033,964,0
BRKL.US,5,20250224,193000,11.705,11.725,11.705,11.725,2271,0
BRKL.US,5,20250224,193500,11.725,11.74,11.725,11.74,1400,0
BRKL.US,5,20250224,194000,11.735,11.735,11.73,11.73,901,0
BRKL.US,5,20250224,194500,11.725,11.725,11.72,11.72,2583,0
BRKL.US,5,20250224,195000,11.71,11.71,11.704,11.704,748,0
BRKL.US,5,20250224,195500,11.705,11.715,11.7,11.71,4079,0
BRKL.US,5,20250224,200000,11.71,11.72,11.71,11.72,700,0
BRKL.US,5,20250224,200500,11.725,11.725,11.725,11.725,600,0
BRKL.US,5,20250224,201000,11.725,11.725,11.725,11.725,563,0
BRKL.US,5,20250224,201500,11.725,11.73,11.72,11.725,1705,0
BRKL.US,5,20250224,202000,11.725,11.735,11.725,11.735,600,0
BRKL.US,5,20250224,202500,11.735,11.735,11.735,11.735,100,0
BRKL.US,5,20250224,203000,11.735,11.735,11.73,11.73,329,0
BRKL.US,5,20250224,203500,11.74,11.75,11.74,11.745,1532,0
BRKL.US,5,20250224,204000,11.745,11.745,11.74,11.74,1319,0
BRKL.US,5,20250224,204500,11.735,11.735,11.735,11.735,400,0
BRKL.US,5,20250224,205000,11.735,11.735,11.735,11.735,100,0
BRKL.US,5,20250224,205500,11.73,11.73,11.71,11.715,5276,0
BRKL.US,5,20250224,210000,11.715,11.73,11.715,11.73,2224,0
BRKL.US,5,20250224,210500,11.73,11.7363,11.7251,11.7363,1285,0
BRKL.US,5,20250224,211000,11.735,11.74,11.72,11.72,7037,0
BRKL.US,5,20250224,211500,11.715,11.72,11.69,11.69,7085,0
BRKL.US,5,20250224,212000,11.69,11.695,11.66,11.675,4285,0
BRKL.US,5,20250224,212500,11.675,11.68,11.67,11.675,1776,0
