<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BVFL.US,5,20250224,153000,15.11,15.11,15.11,15.11,133,0
BVFL.US,5,20250224,154500,15.14,15.14,15.14,15.14,100,0
BVFL.US,5,20250224,162000,15.1,15.1,15.1,15.1,100,0
BVFL.US,5,20250224,165500,15.08,15.08,15.08,15.08,164,0
BVFL.US,5,20250224,170500,15.12,15.12,15.12,15.12,500,0
BVFL.US,5,20250224,173000,15.08,15.08,15.08,15.08,843,0
BVFL.US,5,20250224,173500,15.06,15.09,15.01,15.09,1612,0
BVFL.US,5,20250224,174000,15.09,15.09,15.09,15.09,193,0
BVFL.US,5,20250224,183000,15.035,15.035,15.035,15.035,100,0
BVFL.US,5,20250224,184000,15.04,15.1,15.04,15.1,433,0
BVFL.US,5,20250224,193000,15.08,15.08,15.08,15.08,151,0
BVFL.US,5,20250224,193500,15.06,15.09,15.05,15.075,850,0
BVFL.US,5,20250224,194000,15.05,15.11,15.05,15.11,400,0
BVFL.US,5,20250224,200000,15.08,15.08,15.08,15.08,100,0
BVFL.US,5,20250224,204500,15.05,15.05,15.05,15.05,100,0
BVFL.US,5,20250224,205000,15.0501,15.1,15.0501,15.1,400,0
BVFL.US,5,20250224,211000,15.05,15.1,15.05,15.1,375,0
BVFL.US,5,20250224,213000,15.05,15.09,15.05,15.09,200,0
BVFL.US,5,20250224,214000,15.06,15.06,15.06,15.06,100,0
BVFL.US,5,20250224,215000,15.08,15.1,15.08,15.1,900,0
BVFL.US,5,20250224,215500,15.09,15.09,15.05,15.05,1761,0
BVFL.US,5,20250225,153000,15.19,15.19,15.19,15.19,100,0
BVFL.US,5,20250225,155000,15.19,15.19,15.19,15.19,100,0
BVFL.US,5,20250225,165500,15.16,15.16,15.16,15.16,100,0
BVFL.US,5,20250225,170500,15.09,15.1,15.09,15.1,300,0
BVFL.US,5,20250225,172500,15.15,15.15,15.15,15.15,170,0
BVFL.US,5,20250225,173000,15.13,15.13,15.1,15.1,1834,0
BVFL.US,5,20250225,182500,15,15,15,15,100,0
BVFL.US,5,20250225,183000,15.05,15.117,15.05,15.117,552,0
BVFL.US,5,20250225,185500,15.08,15.08,15.08,15.08,100,0
BVFL.US,5,20250225,194000,15.04,15.04,15.04,15.04,181,0
BVFL.US,5,20250225,195000,15.05,15.05,15.05,15.05,100,0
BVFL.US,5,20250225,205500,15.0275,15.0275,15.0275,15.0275,100,0
BVFL.US,5,20250225,210500,15.04,15.05,15.04,15.05,1000,0
BVFL.US,5,20250225,212500,15.025,15.025,15.025,15.025,100,0
BVFL.US,5,20250225,213500,15.04,15.07,15.04,15.07,540,0
BVFL.US,5,20250225,215500,15.05,15.07,15.04,15.04,462,0
BVFL.US,5,20250226,153000,15,15,15,15,504,0
BVFL.US,5,20250226,153500,15.13,15.13,15.13,15.13,100,0
BVFL.US,5,20250226,161000,15.14,15.14,15.115,15.115,821,0
BVFL.US,5,20250226,161500,15.14,15.14,15.14,15.14,100,0
BVFL.US,5,20250226,162500,15.1,15.13,15.1,15.13,200,0
BVFL.US,5,20250226,165000,15.09,15.09,15.09,15.09,100,0
BVFL.US,5,20250226,173000,15.13,15.13,15.13,15.13,100,0
BVFL.US,5,20250226,173500,15.115,15.115,15.115,15.115,100,0
BVFL.US,5,20250226,174500,15.1225,15.1225,15.1225,15.1225,100,0
BVFL.US,5,20250226,175000,15.115,15.115,15.115,15.115,100,0
BVFL.US,5,20250226,175500,15.1225,15.1225,15.1225,15.1225,100,0
BVFL.US,5,20250226,180000,15.095,15.095,15.095,15.095,700,0
BVFL.US,5,20250226,181000,15.06,15.06,15.06,15.06,331,0
BVFL.US,5,20250226,181500,15.09,15.09,15,15,400,0
BVFL.US,5,20250226,182000,15.05,15.05,15.05,15.05,114,0
BVFL.US,5,20250226,182500,15.09,15.1,15.05,15.1,988,0
BVFL.US,5,20250226,183000,15.14,15.14,15.14,15.14,100,0
BVFL.US,5,20250226,184000,15.14,15.15,15.12,15.14,812,0
BVFL.US,5,20250226,184500,15.18,15.18,15.09,15.09,300,0
BVFL.US,5,20250226,185000,15.32,15.32,15.32,15.32,100,0
BVFL.US,5,20250226,185500,15.34,15.36,15.32,15.36,500,0
BVFL.US,5,20250226,190000,15.42,15.58,15.42,15.47,500,0
BVFL.US,5,20250226,190500,15.625,15.625,15.625,15.625,100,0
BVFL.US,5,20250226,191000,15.6,15.675,15.6,15.675,400,0
BVFL.US,5,20250226,191500,15.675,15.675,15.675,15.675,100,0
BVFL.US,5,20250226,192000,15.75,15.75,15.65,15.7,2101,0
BVFL.US,5,20250226,192500,15.625,15.675,15.6,15.675,600,0
BVFL.US,5,20250226,193000,15.55,15.675,15.55,15.55,700,0
BVFL.US,5,20250226,193500,15.55,15.56,15.55,15.56,500,0
BVFL.US,5,20250226,194000,15.55,15.67,15.46,15.47,500,0
BVFL.US,5,20250226,195000,15.63,15.63,15.63,15.63,100,0
BVFL.US,5,20250226,195500,15.63,15.63,15.63,15.63,100,0
BVFL.US,5,20250226,200000,15.63,15.63,15.63,15.63,100,0
BVFL.US,5,20250226,200500,15.69,15.69,15.69,15.69,100,0
BVFL.US,5,20250226,201500,15.68,15.72,15.49,15.505,2538,0
BVFL.US,5,20250226,202000,15.505,15.55,15.49,15.54,802,0
BVFL.US,5,20250226,202500,15.52,15.52,15.49,15.5,600,0
BVFL.US,5,20250226,203000,15.505,15.505,15.46,15.46,240,0
BVFL.US,5,20250226,203500,15.505,15.505,15.505,15.505,100,0
