<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGCT.US,5,20250624,153500,10,10,10,10,100,0
CGCT.US,5,20250624,154000,10,10,10,10,1500,0
CGCT.US,5,20250624,155500,10,10,10,10,6715,0
CGCT.US,5,20250624,160000,10,10,10,10,372,0
CGCT.US,5,20250624,160500,10,10,10,10,12800,0
CGCT.US,5,20250624,161000,10,10,10,10,27196,0
CGCT.US,5,20250624,162500,10,10,10,10,10178,0
CGCT.US,5,20250624,164000,10,10,10,10,17500,0
CGCT.US,5,20250624,164500,10,10,10,10,32500,0
CGCT.US,5,20250624,170500,10,10,10,10,250000,0
CGCT.US,5,20250624,203000,10.005,10.005,10,10.005,8696,0
CGCT.US,5,20250624,213000,10.01,10.01,10.01,10.01,300,0
CGCT.US,5,20250624,215500,10.01,10.01,10.01,10.01,363,0
CGCT.US,5,20250625,153000,10.01,10.01,10.01,10.01,500,0
CGCT.US,5,20250625,160000,10.03,10.03,10.03,10.03,166,0
CGCT.US,5,20250625,180500,10,10.01,10,10.01,33107,0
CGCT.US,5,20250625,181000,10.01,10.01,10.01,10.01,600,0
CGCT.US,5,20250625,192000,10.005,10.005,10.005,10.005,135000,0
CGCT.US,5,20250625,193000,10.005,10.005,10.005,10.005,100000,0
CGCT.US,5,20250625,202500,10.005,10.005,10.005,10.005,25000,0
CGCT.US,5,20250625,214500,10.01,10.01,10.01,10.01,3000,0
CGCT.US,5,20250626,155500,10.02,10.02,10.02,10.02,7200,0
CGCT.US,5,20250626,160000,10.02,10.02,10.02,10.02,30660,0
CGCT.US,5,20250626,160500,10.02,10.02,10.02,10.02,16800,0
CGCT.US,5,20250626,161000,10.02,10.02,10.02,10.02,8900,0
CGCT.US,5,20250626,161500,10.02,10.02,10.02,10.02,75800,0
CGCT.US,5,20250626,162000,10.02,10.02,10.02,10.02,23500,0
CGCT.US,5,20250626,162500,10.02,10.02,10.02,10.02,3790,0
CGCT.US,5,20250626,193000,10.011,10.011,10.011,10.011,500,0
CGCT.US,5,20250626,211500,10.015,10.015,10.01,10.01,18100,0
CGCT.US,5,20250626,213500,10.005,10.005,10,10,6732,0
