<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMTL.US,5,20250224,153000,2.09,2.0971,2.055,2.075,3712,0
CMTL.US,5,20250224,153500,2.05,2.05,2.04,2.04,6358,0
CMTL.US,5,20250224,154000,2.0527,2.0527,2.0527,2.0527,1000,0
CMTL.US,5,20250224,154500,2.0748,2.0748,2.04,2.04,19953,0
CMTL.US,5,20250224,155000,2.035,2.04,2.025,2.03,2550,0
CMTL.US,5,20250224,155500,2.04,2.04,2.04,2.04,2600,0
CMTL.US,5,20250224,160000,2.0307,2.035,2.0009,2.005,13035,0
CMTL.US,5,20250224,160500,2,2.02,1.99,2.02,21095,0
CMTL.US,5,20250224,161500,2.02,2.02,1.99,1.99,12642,0
CMTL.US,5,20250224,162000,1.99,1.99,1.98,1.98,3146,0
CMTL.US,5,20250224,162500,1.99,1.9986,1.975,1.975,2823,0
CMTL.US,5,20250224,163000,1.98,1.98,1.9521,1.9521,5858,0
CMTL.US,5,20250224,163500,1.9539,1.9539,1.9539,1.9539,1000,0
CMTL.US,5,20250224,164000,1.955,1.96,1.93,1.93,6711,0
CMTL.US,5,20250224,164500,1.93,1.95,1.93,1.94,7668,0
CMTL.US,5,20250224,165000,1.93,1.93,1.93,1.93,990,0
CMTL.US,5,20250224,165500,1.94,1.94,1.93,1.93,778,0
CMTL.US,5,20250224,170000,1.925,1.925,1.92,1.92,376,0
CMTL.US,5,20250224,170500,1.9206,1.925,1.9206,1.925,1438,0
CMTL.US,5,20250224,171000,1.925,1.925,1.92,1.925,1763,0
CMTL.US,5,20250224,171500,1.925,1.925,1.9229,1.9229,2200,0
CMTL.US,5,20250224,172000,1.92,1.92,1.91,1.91,200,0
CMTL.US,5,20250224,172500,1.91,1.935,1.91,1.927,4736,0
CMTL.US,5,20250224,173000,1.926,1.9543,1.926,1.9543,8872,0
CMTL.US,5,20250224,173500,1.95,1.96,1.9493,1.95,6160,0
CMTL.US,5,20250224,174000,1.945,1.97,1.945,1.97,2688,0
CMTL.US,5,20250224,174500,1.955,1.955,1.9514,1.9549,1520,0
CMTL.US,5,20250224,175000,1.955,1.96,1.955,1.955,5470,0
CMTL.US,5,20250224,175500,1.955,1.9594,1.955,1.9594,600,0
CMTL.US,5,20250224,180000,1.95,1.955,1.95,1.955,2315,0
CMTL.US,5,20250224,180500,1.95,1.955,1.95,1.955,365,0
CMTL.US,5,20250224,181000,1.955,1.955,1.955,1.955,400,0
CMTL.US,5,20250224,181500,1.945,1.945,1.9443,1.945,300,0
CMTL.US,5,20250224,182000,1.9499,1.95,1.94,1.94,458,0
CMTL.US,5,20250224,182500,1.94,1.95,1.94,1.95,2266,0
CMTL.US,5,20250224,183000,1.93,1.9399,1.93,1.935,771,0
CMTL.US,5,20250224,183500,1.93,1.94,1.93,1.94,1752,0
CMTL.US,5,20250224,184000,1.9423,1.95,1.9423,1.95,200,0
CMTL.US,5,20250224,184500,1.95,1.95,1.95,1.95,350,0
CMTL.US,5,20250224,185000,1.95,1.95,1.945,1.945,746,0
CMTL.US,5,20250224,185500,1.94,1.94,1.94,1.94,100,0
CMTL.US,5,20250224,190000,1.935,1.935,1.935,1.935,100,0
CMTL.US,5,20250224,190500,1.93,1.93,1.93,1.93,265,0
CMTL.US,5,20250224,191000,1.93,1.93,1.93,1.93,173,0
CMTL.US,5,20250224,191500,1.935,1.935,1.93,1.935,378,0
CMTL.US,5,20250224,192000,1.93,1.935,1.93,1.935,4831,0
CMTL.US,5,20250224,192500,1.935,1.94,1.9349,1.94,3035,0
CMTL.US,5,20250224,193000,1.95,1.955,1.95,1.955,1095,0
CMTL.US,5,20250224,194000,1.955,1.9594,1.955,1.9594,393,0
CMTL.US,5,20250224,194500,1.95,1.955,1.95,1.955,395,0
CMTL.US,5,20250224,195000,1.9501,1.9523,1.9501,1.9523,323,0
CMTL.US,5,20250224,195500,1.9507,1.955,1.95,1.955,2313,0
CMTL.US,5,20250224,200000,1.955,1.97,1.955,1.97,2071,0
CMTL.US,5,20250224,200500,1.9682,1.9682,1.96,1.96,538,0
CMTL.US,5,20250224,201000,1.9553,1.9553,1.9553,1.9553,1000,0
