<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRMT.US,5,20250224,153000,46.3,46.89,44.61,44.8,2861,0
CRMT.US,5,20250224,153500,44.695,44.695,44.695,44.695,400,0
CRMT.US,5,20250224,155000,44.95,44.96,44.93,44.93,300,0
CRMT.US,5,20250224,155500,44.7475,44.7475,43.99,43.99,700,0
CRMT.US,5,20250224,160000,43.85,43.85,43.635,43.635,300,0
CRMT.US,5,20250224,160500,43.95,43.95,43.48,43.775,400,0
CRMT.US,5,20250224,161000,43.63,43.63,43.63,43.63,100,0
CRMT.US,5,20250224,161500,43.64,43.64,43.64,43.64,200,0
CRMT.US,5,20250224,162000,43.71,43.71,43.71,43.71,100,0
CRMT.US,5,20250224,162500,43.71,43.72,43.69,43.72,300,0
CRMT.US,5,20250224,163000,43.66,43.86,43.66,43.815,914,0
CRMT.US,5,20250224,164500,43.85,43.85,43.77,43.7995,630,0
CRMT.US,5,20250224,165000,43.89,43.9,43.89,43.9,200,0
CRMT.US,5,20250224,165500,43.88,43.92,43.685,43.92,1289,0
CRMT.US,5,20250224,170500,44.03,44.03,43.93,43.93,200,0
CRMT.US,5,20250224,171000,43.88,44,43.88,43.903,2194,0
CRMT.US,5,20250224,171500,44.03,44.05,44.03,44.05,470,0
CRMT.US,5,20250224,173000,44.01,44.01,44.01,44.01,100,0
CRMT.US,5,20250224,173500,43.955,43.955,43.955,43.955,311,0
CRMT.US,5,20250224,174000,43.955,44.1,43.955,44.035,400,0
CRMT.US,5,20250224,175000,43.95,43.95,43.95,43.95,100,0
CRMT.US,5,20250224,180000,43.86,43.86,43.86,43.86,100,0
CRMT.US,5,20250224,181000,43.99,43.99,43.99,43.99,200,0
CRMT.US,5,20250224,181500,44.02,44.09,44.02,44.09,300,0
CRMT.US,5,20250224,185500,44.14,44.25,44.14,44.25,412,0
CRMT.US,5,20250224,190500,44.355,44.355,44.355,44.355,100,0
CRMT.US,5,20250224,192000,44.42,44.42,44.25,44.3,5500,0
CRMT.US,5,20250224,194000,44.605,44.605,44.605,44.605,100,0
CRMT.US,5,20250224,194500,44.495,44.56,44.3,44.5,3245,0
CRMT.US,5,20250224,195500,44.405,44.49,44.405,44.49,200,0
CRMT.US,5,20250224,200000,44.71,44.71,44.71,44.71,200,0
CRMT.US,5,20250224,200500,44.93,44.93,44.91,44.91,200,0
CRMT.US,5,20250224,201000,44.825,44.825,44.825,44.825,100,0
CRMT.US,5,20250224,201500,44.93,44.97,44.81,44.81,2500,0
CRMT.US,5,20250224,203000,44.95,44.99,44.79,44.79,600,0
CRMT.US,5,20250224,203500,44.84,44.84,44.61,44.61,302,0
CRMT.US,5,20250224,204000,44.54,44.54,44.54,44.54,100,0
CRMT.US,5,20250224,204500,44.39,44.39,44.39,44.39,100,0
CRMT.US,5,20250224,205000,44.385,44.385,44.385,44.385,100,0
CRMT.US,5,20250224,205500,44.365,44.365,44.365,44.365,100,0
CRMT.US,5,20250224,210000,44.48,44.48,44.41,44.41,200,0
CRMT.US,5,20250224,210500,44.32,44.32,44.3053,44.3053,204,0
CRMT.US,5,20250224,211500,44.05,44.05,44.05,44.05,100,0
CRMT.US,5,20250224,212000,44.245,44.245,44.22,44.22,200,0
CRMT.US,5,20250224,212500,44.185,44.31,44.06,44.31,815,0
CRMT.US,5,20250224,213000,44.31,44.33,44.31,44.33,600,0
CRMT.US,5,20250224,213500,44.24,44.34,44.24,44.32,1000,0
CRMT.US,5,20250224,214000,44.38,44.41,44.38,44.41,500,0
CRMT.US,5,20250224,214500,44.395,44.395,44.38,44.38,274,0
CRMT.US,5,20250224,215000,44.37,44.45,44.335,44.37,2469,0
CRMT.US,5,20250224,215500,44.38,44.5,44.37,44.5,1186,0
CRMT.US,5,20250225,153000,44.28,44.92,44.28,44.92,1491,0
CRMT.US,5,20250225,153500,45.01,45.01,45.01,45.01,141,0
CRMT.US,5,20250225,154500,44.91,44.91,44.91,44.91,100,0
CRMT.US,5,20250225,155000,44.89,44.89,44.89,44.89,400,0
CRMT.US,5,20250225,160500,44.19,44.19,44.19,44.19,100,0
CRMT.US,5,20250225,163500,44.09,44.09,44.09,44.09,100,0
CRMT.US,5,20250225,165500,44.52,44.52,44.36,44.36,400,0
CRMT.US,5,20250225,172000,43.965,43.97,43.9,43.97,376,0
CRMT.US,5,20250225,172500,43.935,43.935,43.935,43.935,100,0
CRMT.US,5,20250225,173500,43.95,43.95,43.95,43.95,200,0
CRMT.US,5,20250225,174000,44,44,44,44,100,0
CRMT.US,5,20250225,180000,44.16,44.16,44.08,44.14,500,0
CRMT.US,5,20250225,181000,44.04,44.04,44.04,44.04,100,0
CRMT.US,5,20250225,181500,44.02,44.02,44.02,44.02,100,0
CRMT.US,5,20250225,182500,44,44.03,43.745,43.745,1800,0
CRMT.US,5,20250225,183000,43.715,43.715,43.715,43.715,232,0
CRMT.US,5,20250225,183500,43.785,43.785,43.785,43.785,235,0
CRMT.US,5,20250225,184500,43.795,43.94,43.795,43.92,400,0
CRMT.US,5,20250225,190000,44,44,44,44,100,0
CRMT.US,5,20250225,190500,44,44,44,44,400,0
CRMT.US,5,20250225,191000,43.96,43.96,43.96,43.96,200,0
CRMT.US,5,20250225,192000,43.7,43.7,43.7,43.7,100,0
CRMT.US,5,20250225,192500,43.78,43.9,43.63,43.78,1354,0
CRMT.US,5,20250225,193000,43.815,43.815,43.815,43.815,189,0
CRMT.US,5,20250225,193500,44,44,44,44,100,0
CRMT.US,5,20250225,194000,44,44.07,43.995,43.995,1000,0
CRMT.US,5,20250225,194500,44.005,44.09,44.005,44.09,500,0
CRMT.US,5,20250225,195500,44.055,44.055,44.055,44.055,100,0
CRMT.US,5,20250225,200500,44,44,43.83,43.96,4675,0
CRMT.US,5,20250225,201000,44,44,43.83,43.85,679,0
CRMT.US,5,20250225,201500,43.87,43.87,43.82,43.82,1020,0
CRMT.US,5,20250225,202500,43.85,43.86,43.72,43.83,1300,0
CRMT.US,5,20250225,203000,43.83,44,43.83,44,400,0
CRMT.US,5,20250225,203500,44,44.09,43.96,44.05,2200,0
CRMT.US,5,20250225,204000,44.115,44.115,44.095,44.1,1100,0
CRMT.US,5,20250225,204500,44.01,44.01,44,44,200,0
CRMT.US,5,20250225,205000,44.06,44.06,44.045,44.045,200,0
CRMT.US,5,20250225,205500,43.89,43.89,43.89,43.89,100,0
CRMT.US,5,20250225,210000,43.86,43.86,43.86,43.86,100,0
CRMT.US,5,20250225,211500,43.76,43.85,43.76,43.85,200,0
CRMT.US,5,20250225,212000,43.89,43.89,43.89,43.89,200,0
CRMT.US,5,20250225,212500,43.85,43.86,43.68,43.83,900,0
CRMT.US,5,20250225,213000,43.83,43.83,43.83,43.83,389,0
CRMT.US,5,20250225,213500,43.875,43.88,43.78,43.82,1864,0
CRMT.US,5,20250225,214000,43.7,43.89,43.68,43.89,1583,0
CRMT.US,5,20250225,214500,43.81,43.91,43.805,43.88,439,0
CRMT.US,5,20250225,215000,43.94,43.94,43.81,43.92,4112,0
