<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOMH.US,5,20250224,153000,9.12,9.33,8.52,8.66,53221,0
DOMH.US,5,20250224,153500,8.52,8.52,8.2313,8.2322,4670,0
DOMH.US,5,20250224,154000,8.2001,8.58,8.2001,8.55,11793,0
DOMH.US,5,20250224,154500,8.5038,8.58,8.38,8.38,7537,0
DOMH.US,5,20250224,155000,8.3601,8.43,7.5,7.62,31361,0
DOMH.US,5,20250224,155500,7.61,7.8,7.23,7.5,32245,0
DOMH.US,5,20250224,160000,7.3777,7.5675,7.25,7.3,19436,0
DOMH.US,5,20250224,160500,7.2568,7.3,7.11,7.2586,12685,0
DOMH.US,5,20250224,161000,7.355,7.95,7.355,7.92,9298,0
DOMH.US,5,20250224,161500,7.86,7.87,7.52,7.8,6953,0
DOMH.US,5,20250224,162000,7.834,7.88,7.64,7.86,2621,0
DOMH.US,5,20250224,162500,7.81,7.8766,7.64,7.72,12841,0
DOMH.US,5,20250224,163000,7.725,7.79,7.64,7.6846,6299,0
DOMH.US,5,20250224,163500,7.7919,7.82,7.69,7.775,6090,0
DOMH.US,5,20250224,164000,7.77,7.775,7.59,7.59,5797,0
DOMH.US,5,20250224,164500,7.59,7.59,7.36,7.5003,10712,0
DOMH.US,5,20250224,165000,7.487,7.49,7.43,7.48,1901,0
DOMH.US,5,20250224,165500,7.525,7.68,7.5,7.52,6569,0
DOMH.US,5,20250224,170000,7.7,7.75,7.7,7.75,3160,0
DOMH.US,5,20250224,171000,7.7122,7.7122,7.55,7.6,10447,0
DOMH.US,5,20250224,171500,7.6471,7.91,7.64,7.83,12550,0
DOMH.US,5,20250224,172000,7.83,7.99,7.83,7.9799,9700,0
DOMH.US,5,20250224,172500,7.8855,8.11,7.8855,8.11,7880,0
DOMH.US,5,20250224,173000,8.0493,8.1457,7.97,8.125,655,0
DOMH.US,5,20250224,173500,8.17,8.5,8.098,8.098,16601,0
DOMH.US,5,20250224,174000,8.175,8.2,8.15,8.15,4374,0
DOMH.US,5,20250224,174500,8.18,8.3277,8.18,8.3,4402,0
DOMH.US,5,20250224,175000,8.21,8.2744,8.1134,8.1899,3548,0
DOMH.US,5,20250224,175500,8.2062,8.48,8.2062,8.23,10861,0
DOMH.US,5,20250224,180000,8.4,8.4,8.3,8.32,3887,0
DOMH.US,5,20250224,180500,8.35,8.415,8.2495,8.2495,3163,0
DOMH.US,5,20250224,181000,8.3,8.3,8.235,8.25,1838,0
DOMH.US,5,20250224,181500,8.25,8.25,8.1,8.1206,3145,0
DOMH.US,5,20250224,182000,8.1829,8.1829,8.01,8.01,10063,0
DOMH.US,5,20250224,182500,8.085,8.085,8.085,8.085,100,0
DOMH.US,5,20250224,183500,8.085,8.085,8.085,8.085,100,0
DOMH.US,5,20250224,184500,8.09,8.13,8.07,8.13,979,0
DOMH.US,5,20250224,185500,8.09,8.2,8.09,8.2,4276,0
