<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELWS.US,5,20250224,153500,2.93,2.93,2.93,2.93,336,0
ELWS.US,5,20250224,154000,2.88,2.88,2.88,2.88,186,0
ELWS.US,5,20250224,155500,2.61,2.61,2.61,2.61,1023,0
ELWS.US,5,20250224,161500,2.63,2.63,2.62,2.62,2000,0
ELWS.US,5,20250224,174000,2.75,2.75,2.75,2.75,102,0
ELWS.US,5,20250224,182000,2.63,2.63,2.6,2.6,522,0
ELWS.US,5,20250224,184000,2.67,2.68,2.67,2.68,300,0
ELWS.US,5,20250224,192500,2.59,2.59,2.59,2.59,500,0
ELWS.US,5,20250224,194000,2.59,2.59,2.59,2.59,157,0
ELWS.US,5,20250225,153000,2.59,2.59,2.59,2.59,114,0
ELWS.US,5,20250225,161000,2.55,2.55,2.55,2.55,470,0
ELWS.US,5,20250225,162000,2.55,2.5938,2.55,2.5938,1525,0
ELWS.US,5,20250225,162500,2.5013,2.5013,2.5,2.5,4665,0
ELWS.US,5,20250225,163500,2.488,2.49,2.488,2.49,2110,0
ELWS.US,5,20250225,173500,2.5386,2.5386,2.5386,2.5386,172,0
ELWS.US,5,20250225,183500,2.44,2.5,2.44,2.48,1634,0
ELWS.US,5,20250225,184000,2.4001,2.5386,2.4001,2.5386,1100,0
ELWS.US,5,20250225,202000,2.42,2.4422,2.4,2.4,1500,0
ELWS.US,5,20250225,210000,2.36,2.36,2.36,2.36,300,0
ELWS.US,5,20250226,174000,2.37,2.37,2.37,2.37,924,0
ELWS.US,5,20250226,175000,2.36,2.36,2.36,2.36,313,0
ELWS.US,5,20250226,182500,2.35,2.35,2.35,2.35,978,0
ELWS.US,5,20250226,184000,2.35,2.35,2.35,2.35,300,0
ELWS.US,5,20250226,185000,2.35,2.35,2.35,2.35,738,0
ELWS.US,5,20250226,190000,2.3684,2.3684,2.3,2.3,682,0
ELWS.US,5,20250226,200000,2.3495,2.3495,2.3495,2.3495,100,0
ELWS.US,5,20250226,201000,2.3,2.3,2.3,2.3,1000,0
ELWS.US,5,20250226,203500,2.3,2.3,2.3,2.3,519,0
ELWS.US,5,20250226,204500,2.32,2.32,2.32,2.32,320,0
ELWS.US,5,20250226,211000,2.31,2.31,2.31,2.31,100,0
ELWS.US,5,20250226,212500,2.305,2.305,2.305,2.305,260,0
ELWS.US,5,20250226,214500,2.2,2.2,2.2,2.2,1797,0
ELWS.US,5,20250227,153000,2.21,2.21,2.21,2.21,114,0
ELWS.US,5,20250227,160000,2.31,2.31,2.31,2.31,150,0
ELWS.US,5,20250227,161000,2.22,2.22,2.22,2.22,315,0
ELWS.US,5,20250227,161500,2.22,2.22,2.2,2.2,2470,0
ELWS.US,5,20250227,173500,2.1606,2.1606,2.1606,2.1606,200,0
ELWS.US,5,20250227,190000,2.19,2.19,2.19,2.19,785,0
ELWS.US,5,20250227,191000,2.2491,2.2491,2.2491,2.2491,200,0
ELWS.US,5,20250227,192000,2.205,2.205,2.205,2.205,200,0
ELWS.US,5,20250227,201500,2.24,2.24,2.24,2.24,100,0
ELWS.US,5,20250227,212000,2.1654,2.1654,2.1654,2.1654,114,0
ELWS.US,5,20250227,214000,2.176,2.176,2.176,2.176,285,0
ELWS.US,5,20250228,153000,2.44,2.44,2.19,2.19,613,0
ELWS.US,5,20250228,154000,2.23,2.23,2.23,2.23,375,0
ELWS.US,5,20250228,162500,2.365,2.365,2.365,2.365,140,0
ELWS.US,5,20250228,164000,2.37,2.37,2.37,2.37,200,0
ELWS.US,5,20250228,164500,2.37,2.37,2.37,2.37,540,0
ELWS.US,5,20250228,173500,2.2015,2.2015,2.18,2.18,2554,0
ELWS.US,5,20250228,174000,2.15,2.15,2.1,2.1,1220,0
ELWS.US,5,20250228,175000,2.15,2.15,2.15,2.15,100,0
ELWS.US,5,20250228,190500,2.12,2.12,2.12,2.12,100,0
ELWS.US,5,20250228,193500,2.155,2.155,2.155,2.155,119,0
ELWS.US,5,20250228,211500,2.135,2.135,2.135,2.135,100,0
ELWS.US,5,20250228,214500,2.1238,2.1238,2.1238,2.1238,276,0
ELWS.US,5,20250303,153000,2.26,2.3899,2.26,2.3899,1284,0
