<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERAS.US,5,20250224,153000,1.4,1.44,1.4,1.43,51052,0
ERAS.US,5,20250224,153500,1.42,1.42,1.4001,1.406,1815,0
ERAS.US,5,20250224,154000,1.405,1.4099,1.4,1.4099,1300,0
ERAS.US,5,20250224,154500,1.41,1.41,1.4,1.4,2000,0
ERAS.US,5,20250224,155000,1.385,1.385,1.385,1.385,1600,0
ERAS.US,5,20250224,155500,1.395,1.395,1.37,1.375,72751,0
ERAS.US,5,20250224,160000,1.375,1.38,1.37,1.37,11223,0
ERAS.US,5,20250224,160500,1.375,1.395,1.375,1.395,2209,0
ERAS.US,5,20250224,161000,1.39,1.395,1.385,1.395,9456,0
ERAS.US,5,20250224,161500,1.39,1.395,1.39,1.395,2900,0
ERAS.US,5,20250224,162000,1.4,1.4,1.4,1.4,500,0
ERAS.US,5,20250224,162500,1.395,1.4,1.375,1.375,4618,0
ERAS.US,5,20250224,163000,1.375,1.38,1.375,1.38,300,0
ERAS.US,5,20250224,163500,1.375,1.38,1.375,1.38,200,0
ERAS.US,5,20250224,164000,1.375,1.38,1.37,1.375,4492,0
ERAS.US,5,20250224,164500,1.371,1.38,1.37,1.37,4683,0
ERAS.US,5,20250224,165000,1.37,1.37,1.365,1.365,815,0
ERAS.US,5,20250224,165500,1.36,1.37,1.36,1.3699,2973,0
ERAS.US,5,20250224,170000,1.37,1.37,1.36,1.365,1474,0
ERAS.US,5,20250224,170500,1.37,1.37,1.36,1.365,6222,0
ERAS.US,5,20250224,171000,1.36,1.365,1.36,1.36,7031,0
ERAS.US,5,20250224,171500,1.36,1.375,1.36,1.37,10612,0
ERAS.US,5,20250224,172000,1.37,1.385,1.37,1.38,16129,0
ERAS.US,5,20250224,172500,1.3875,1.3875,1.38,1.385,6636,0
ERAS.US,5,20250224,173000,1.385,1.395,1.385,1.395,4736,0
ERAS.US,5,20250224,173500,1.395,1.395,1.395,1.395,1748,0
ERAS.US,5,20250224,174000,1.395,1.405,1.395,1.405,6795,0
ERAS.US,5,20250224,174500,1.4,1.42,1.4,1.42,15698,0
ERAS.US,5,20250224,175000,1.42,1.435,1.42,1.43,20393,0
ERAS.US,5,20250224,175500,1.435,1.435,1.425,1.425,13773,0
ERAS.US,5,20250224,180000,1.425,1.44,1.425,1.44,7000,0
ERAS.US,5,20250224,180500,1.435,1.45,1.435,1.45,21706,0
ERAS.US,5,20250224,181000,1.445,1.455,1.435,1.45,20602,0
ERAS.US,5,20250224,181500,1.45,1.455,1.45,1.455,7394,0
ERAS.US,5,20250224,182000,1.455,1.46,1.45,1.455,11232,0
ERAS.US,5,20250224,182500,1.455,1.46,1.455,1.455,8882,0
ERAS.US,5,20250224,183000,1.455,1.46,1.44,1.445,19027,0
ERAS.US,5,20250224,183500,1.45,1.475,1.45,1.475,11608,0
ERAS.US,5,20250224,184000,1.475,1.475,1.465,1.475,14050,0
ERAS.US,5,20250224,184500,1.475,1.475,1.46,1.46,8969,0
ERAS.US,5,20250224,185000,1.465,1.465,1.45,1.45,18376,0
ERAS.US,5,20250224,185500,1.45,1.455,1.45,1.455,6050,0
ERAS.US,5,20250224,190000,1.455,1.465,1.455,1.465,17031,0
ERAS.US,5,20250224,190500,1.465,1.4653,1.455,1.455,12127,0
ERAS.US,5,20250224,191000,1.455,1.46,1.4548,1.46,9508,0
ERAS.US,5,20250224,191500,1.46,1.48,1.46,1.465,14780,0
ERAS.US,5,20250224,192000,1.465,1.465,1.465,1.465,6200,0
ERAS.US,5,20250224,192500,1.46,1.47,1.46,1.465,9145,0
ERAS.US,5,20250224,193000,1.465,1.47,1.465,1.465,10115,0
ERAS.US,5,20250224,193500,1.465,1.47,1.46,1.47,11868,0
ERAS.US,5,20250224,194000,1.465,1.465,1.46,1.465,4506,0
ERAS.US,5,20250224,194500,1.46,1.465,1.45,1.45,19596,0
ERAS.US,5,20250224,195000,1.45,1.46,1.45,1.455,11421,0
ERAS.US,5,20250224,195500,1.455,1.455,1.45,1.455,7337,0
ERAS.US,5,20250224,200000,1.455,1.46,1.455,1.46,13266,0
ERAS.US,5,20250224,200500,1.455,1.465,1.455,1.465,11047,0
ERAS.US,5,20250224,201000,1.465,1.465,1.46,1.465,9284,0
ERAS.US,5,20250224,201500,1.465,1.465,1.45,1.455,15172,0
ERAS.US,5,20250224,202000,1.455,1.465,1.45,1.465,19713,0
ERAS.US,5,20250224,202500,1.465,1.4689,1.455,1.455,8285,0
ERAS.US,5,20250224,203000,1.455,1.465,1.455,1.465,12938,0
ERAS.US,5,20250224,203500,1.465,1.47,1.46,1.465,16151,0
ERAS.US,5,20250224,204000,1.465,1.465,1.46,1.465,9129,0
ERAS.US,5,20250224,204500,1.46,1.47,1.45,1.455,19452,0
ERAS.US,5,20250224,205000,1.455,1.46,1.445,1.445,19034,0
ERAS.US,5,20250224,205500,1.445,1.45,1.44,1.445,11153,0
ERAS.US,5,20250224,210000,1.445,1.45,1.44,1.445,20508,0
ERAS.US,5,20250224,210500,1.45,1.455,1.445,1.445,20374,0
ERAS.US,5,20250224,211000,1.445,1.445,1.44,1.445,15900,0
ERAS.US,5,20250224,211500,1.445,1.445,1.43,1.435,18249,0
ERAS.US,5,20250224,212000,1.435,1.435,1.43,1.435,13886,0
ERAS.US,5,20250224,212500,1.435,1.435,1.43,1.435,13700,0
