<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGR.US,5,20250224,153000,332.4,332.4,332.36,332.4,1172,0
ESGR.US,5,20250224,153500,332.37,332.5,332.37,332.5,3164,0
ESGR.US,5,20250224,154000,332.75,332.96,332.75,332.96,3312,0
ESGR.US,5,20250224,154500,332.79,332.79,332.775,332.775,200,0
ESGR.US,5,20250224,155000,332.81,332.81,332.805,332.805,200,0
ESGR.US,5,20250224,155500,332.805,332.805,332.805,332.805,100,0
ESGR.US,5,20250224,160000,332.81,332.82,332.64,332.64,2068,0
ESGR.US,5,20250224,162000,332.8,332.8,332.65,332.72,1401,0
ESGR.US,5,20250224,162500,332.485,332.49,332.485,332.49,200,0
ESGR.US,5,20250224,163000,332.36,332.55,332.36,332.55,200,0
ESGR.US,5,20250224,164000,332.58,332.58,332.55,332.55,300,0
ESGR.US,5,20250224,164500,332.56,332.56,332.55,332.55,672,0
ESGR.US,5,20250224,165000,332.46,332.515,332.46,332.5,600,0
ESGR.US,5,20250224,165500,332.56,332.56,332.5,332.5,300,0
ESGR.US,5,20250224,170000,332.5,332.58,332.5,332.5,1517,0
ESGR.US,5,20250224,170500,332.5,332.53,332.5,332.5,600,0
ESGR.US,5,20250224,171000,332.54,332.55,332.49,332.49,901,0
ESGR.US,5,20250224,171500,332.555,332.555,332.555,332.555,100,0
ESGR.US,5,20250224,172000,332.55,332.65,332.55,332.65,11520,0
ESGR.US,5,20250224,173000,332.79,332.8,332.66,332.69,1101,0
ESGR.US,5,20250224,173500,332.65,332.73,332.65,332.7,1245,0
ESGR.US,5,20250224,174000,332.73,332.9,332.73,332.9,700,0
ESGR.US,5,20250224,175000,332.83,332.83,332.83,332.83,400,0
ESGR.US,5,20250224,180000,332.83,332.83,332.825,332.825,200,0
ESGR.US,5,20250224,181000,332.845,332.845,332.845,332.845,300,0
ESGR.US,5,20250224,181500,332.95,332.95,332.845,332.85,300,0
ESGR.US,5,20250224,182000,332.86,332.86,332.76,332.79,700,0
ESGR.US,5,20250224,182500,332.795,332.795,332.795,332.795,200,0
ESGR.US,5,20250224,183000,332.67,332.805,332.67,332.805,400,0
ESGR.US,5,20250224,184000,332.82,332.82,332.75,332.75,895,0
ESGR.US,5,20250224,184500,332.74,332.8,332.735,332.8,704,0
ESGR.US,5,20250224,185000,332.86,332.86,332.69,332.69,369,0
ESGR.US,5,20250224,185500,332.83,332.83,332.83,332.83,100,0
ESGR.US,5,20250224,190000,332.735,332.735,332.735,332.735,100,0
ESGR.US,5,20250224,190500,332.86,332.86,332.745,332.79,1100,0
ESGR.US,5,20250224,191500,332.785,332.785,332.785,332.785,500,0
ESGR.US,5,20250224,192500,332.69,332.69,332.68,332.68,500,0
ESGR.US,5,20250224,193000,332.67,332.67,332.67,332.67,100,0
ESGR.US,5,20250224,193500,332.675,332.675,332.675,332.675,100,0
ESGR.US,5,20250224,194000,332.57,332.74,332.57,332.74,316,0
ESGR.US,5,20250224,194500,332.675,332.675,332.675,332.675,100,0
ESGR.US,5,20250224,195000,332.74,332.819,332.675,332.74,501,0
ESGR.US,5,20250224,195500,332.75,332.75,332.745,332.745,200,0
ESGR.US,5,20250224,200000,332.75,332.77,332.71,332.755,1009,0
ESGR.US,5,20250224,200500,332.755,332.755,332.755,332.755,300,0
ESGR.US,5,20250224,201500,332.755,332.755,332.755,332.755,400,0
ESGR.US,5,20250224,202500,332.75,332.755,332.75,332.755,200,0
ESGR.US,5,20250224,203500,332.7625,332.7625,332.755,332.76,400,0
ESGR.US,5,20250224,204000,332.7294,332.7294,332.7294,332.7294,130,0
ESGR.US,5,20250224,204500,332.765,332.765,332.765,332.765,200,0
ESGR.US,5,20250224,205000,332.775,332.8,332.77,332.77,500,0
ESGR.US,5,20250224,205500,332.77,332.77,332.7,332.75,710,0
ESGR.US,5,20250224,210500,332.86,332.86,332.75,332.76,1100,0
ESGR.US,5,20250224,211500,332.775,332.86,332.77,332.86,1585,0
ESGR.US,5,20250224,212000,332.78,332.78,332.571,332.7,1201,0
ESGR.US,5,20250224,212500,332.59,332.96,332.55,332.87,19788,0
ESGR.US,5,20250224,213000,332.8,332.8,332.76,332.8,1720,0
ESGR.US,5,20250224,213500,332.849,332.849,332.8,332.8,200,0
ESGR.US,5,20250224,214000,332.86,333.32,332.8,333.29,37110,0
ESGR.US,5,20250224,214500,333.25,333.84,333.25,333.41,15513,0
ESGR.US,5,20250224,215000,333.41,333.41,332.95,333.03,2771,0
ESGR.US,5,20250224,215500,333.01,333.1,332.63,332.85,7314,0
ESGR.US,5,20250225,153000,332.98,333,332.98,333,8960,0
ESGR.US,5,20250225,153500,333,333.01,332.97,332.99,3823,0
ESGR.US,5,20250225,154000,332.96,332.96,332.96,332.96,100,0
ESGR.US,5,20250225,154500,333,333,333,333,1000,0
ESGR.US,5,20250225,155000,333,333,333,333,400,0
ESGR.US,5,20250225,155500,333,333,332.95,332.96,1655,0
ESGR.US,5,20250225,160000,333,333.3,333,333.3,4240,0
ESGR.US,5,20250225,160500,333.315,333.315,332.795,332.795,2401,0
ESGR.US,5,20250225,161000,332.8,332.8,332.8,332.8,550,0
ESGR.US,5,20250225,163000,333.07,333.07,333.07,333.07,100,0
ESGR.US,5,20250225,163500,332.93,332.93,332.93,332.93,572,0
ESGR.US,5,20250225,164000,332.98,332.98,332.98,332.98,115,0
ESGR.US,5,20250225,165500,332.76,332.939,332.76,332.939,200,0
ESGR.US,5,20250225,170000,332.99,332.99,332.99,332.99,100,0
ESGR.US,5,20250225,171000,333.02,333.26,333.01,333.03,501,0
ESGR.US,5,20250225,171500,333.15,333.22,332.99,332.99,485,0
ESGR.US,5,20250225,172000,332.9125,333.14,332.9125,332.96,2619,0
ESGR.US,5,20250225,174000,332.97,333.01,332.97,333.01,900,0
