<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEN.US,5,20250224,153000,27.33,27.335,27.105,27.105,30122,0
GEN.US,5,20250224,153500,27.1,27.1,26.95,26.97,5663,0
GEN.US,5,20250224,154000,26.98285,27,26.913,26.965,5336,0
GEN.US,5,20250224,154500,26.98,26.98,26.92,26.96,6731,0
GEN.US,5,20250224,155000,26.955,26.99,26.92,26.985,6801,0
GEN.US,5,20250224,155500,26.99,27.06,26.99,27.04,14123,0
GEN.US,5,20250224,160000,27.04,27.045,26.93,26.93,9417,0
GEN.US,5,20250224,160500,26.93,26.97,26.88,26.96,53581,0
GEN.US,5,20250224,161000,26.935,27.035,26.9209,27.035,23281,0
GEN.US,5,20250224,161500,27.035,27.065,26.985,27.005,93500,0
GEN.US,5,20250224,162000,27.01,27.12,27.01,27.095,14127,0
GEN.US,5,20250224,162500,27.11,27.11,27,27.01,17670,0
GEN.US,5,20250224,163000,27.01,27.04,26.99,27,7005,0
GEN.US,5,20250224,163500,27.005,27.04,26.99,27.03,13110,0
GEN.US,5,20250224,164000,27.025,27.075,27.025,27.025,27163,0
GEN.US,5,20250224,164500,27.04,27.16,27.02,27.155,14752,0
GEN.US,5,20250224,165000,27.16,27.175,27.115,27.15,9558,0
GEN.US,5,20250224,165500,27.145,27.22,27.145,27.205,10655,0
GEN.US,5,20250224,170000,27.2,27.23,27.185,27.225,6998,0
GEN.US,5,20250224,170500,27.23,27.315,27.225,27.305,6960,0
GEN.US,5,20250224,171000,27.305,27.32,27.285,27.32,6622,0
GEN.US,5,20250224,171500,27.315,27.325,27.3,27.3,8760,0
GEN.US,5,20250224,172000,27.295,27.305,27.275,27.285,18149,0
GEN.US,5,20250224,172500,27.285,27.3,27.27,27.275,16671,0
GEN.US,5,20250224,173000,27.29,27.33,27.285,27.33,26254,0
GEN.US,5,20250224,173500,27.335,27.335,27.295,27.295,9853,0
GEN.US,5,20250224,174000,27.3,27.36,27.27,27.27,26604,0
GEN.US,5,20250224,174500,27.265,27.28,27.24,27.24,8064,0
GEN.US,5,20250224,175000,27.23,27.31,27.225,27.31,20787,0
GEN.US,5,20250224,175500,27.305,27.38,27.29,27.37,16845,0
GEN.US,5,20250224,180000,27.38,27.41,27.345,27.4,17631,0
GEN.US,5,20250224,180500,27.39,27.42,27.375,27.38,16539,0
GEN.US,5,20250224,181000,27.375,27.385,27.345,27.375,38890,0
GEN.US,5,20250224,181500,27.38,27.385,27.36,27.375,20659,0
GEN.US,5,20250224,182000,27.375,27.385,27.34,27.37,28564,0
GEN.US,5,20250224,182500,27.38,27.385,27.36,27.38,15695,0
GEN.US,5,20250224,183000,27.372,27.38,27.365,27.37,10013,0
GEN.US,5,20250224,183500,27.365,27.41,27.365,27.405,9864,0
GEN.US,5,20250224,184000,27.405,27.42,27.395,27.42,5777,0
GEN.US,5,20250224,184500,27.42,27.43,27.41,27.41,11218,0
GEN.US,5,20250224,185000,27.4151,27.43,27.4025,27.425,13895,0
GEN.US,5,20250224,185500,27.425,27.47,27.415,27.44,17511,0
GEN.US,5,20250224,190000,27.435,27.49,27.435,27.485,10613,0
GEN.US,5,20250224,190500,27.485,27.525,27.48,27.5,17537,0
GEN.US,5,20250224,191000,27.49,27.505,27.46,27.495,29450,0
GEN.US,5,20250224,191500,27.5,27.54,27.495,27.495,52049,0
GEN.US,5,20250224,192000,27.495,27.5,27.44,27.49,9942,0
GEN.US,5,20250224,192500,27.49,27.515,27.485,27.505,21353,0
GEN.US,5,20250224,193000,27.505,27.52,27.485,27.51,21542,0
GEN.US,5,20250224,193500,27.51,27.52,27.45,27.45,20095,0
GEN.US,5,20250224,194000,27.445,27.445,27.405,27.415,8131,0
GEN.US,5,20250224,194500,27.42,27.44,27.41,27.41,7637,0
GEN.US,5,20250224,195000,27.41,27.41,27.395,27.41,5916,0
GEN.US,5,20250224,195500,27.41,27.41,27.37,27.41,17048,0
GEN.US,5,20250224,200000,27.405,27.43,27.405,27.425,12827,0
GEN.US,5,20250224,200500,27.425,27.43,27.41,27.43,6206,0
GEN.US,5,20250224,201000,27.43,27.435,27.4101,27.425,4801,0
GEN.US,5,20250224,201500,27.425,27.43,27.36,27.36,10930,0
GEN.US,5,20250224,202000,27.365,27.4,27.365,27.4,7676,0
GEN.US,5,20250224,202500,27.4,27.4,27.36,27.365,9143,0
GEN.US,5,20250224,203000,27.365,27.4,27.365,27.4,7679,0
GEN.US,5,20250224,203500,27.4,27.41,27.375,27.375,11721,0
GEN.US,5,20250224,204000,27.375,27.38,27.365,27.365,3605,0
GEN.US,5,20250224,204500,27.37,27.4,27.365,27.4,10849,0
GEN.US,5,20250224,205000,27.395,27.41,27.3803,27.39,11870,0
GEN.US,5,20250224,205500,27.395,27.395,27.363,27.375,18602,0
GEN.US,5,20250224,210000,27.375,27.395,27.35,27.37,15152,0
GEN.US,5,20250224,210500,27.365,27.44,27.365,27.44,15414,0
