<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGAL.US,5,20250224,153000,59.21,59.81,58.795,59.6,20349,0
GGAL.US,5,20250224,153500,59.7399,59.8,59.715,59.8,5982,0
GGAL.US,5,20250224,154000,59.9,60.16,59.9,60.13,8340,0
GGAL.US,5,20250224,154500,60.26,60.2799,59.57,59.71,11315,0
GGAL.US,5,20250224,155000,59.71,59.715,58.73,58.78,4525,0
GGAL.US,5,20250224,155500,58.785,58.7925,58.4,58.4,4501,0
GGAL.US,5,20250224,160000,58.57,58.78,57.8836,57.8836,11018,0
GGAL.US,5,20250224,160500,58.04,58.12,57.52,58.085,5231,0
GGAL.US,5,20250224,161000,58.11,58.66,58.11,58.655,11220,0
GGAL.US,5,20250224,161500,58.5675,58.76,58.31,58.34,3209,0
GGAL.US,5,20250224,162000,58.37,58.47,58.14,58.45,3200,0
GGAL.US,5,20250224,162500,58.51,58.51,58.03,58.06,3133,0
GGAL.US,5,20250224,163000,58,58.19,58,58.12,3666,0
GGAL.US,5,20250224,163500,58.14,58.315,57.98,57.98,7866,0
GGAL.US,5,20250224,164000,58.03,58.035,57.84,57.905,3250,0
GGAL.US,5,20250224,164500,57.98,57.98,57.585,57.62,12346,0
GGAL.US,5,20250224,165000,57.69,57.71,57.0606,57.24,25684,0
GGAL.US,5,20250224,165500,57.2785,57.64,57.25,57.435,6573,0
GGAL.US,5,20250224,170000,57.44,57.74,57.44,57.73,3235,0
GGAL.US,5,20250224,170500,57.69,57.69,57.55,57.62,5058,0
GGAL.US,5,20250224,171000,57.54,57.545,57.43,57.43,3079,0
GGAL.US,5,20250224,171500,57.435,57.86,57.42,57.75,10069,0
GGAL.US,5,20250224,172000,57.81,58.04,57.74,58.035,3290,0
GGAL.US,5,20250224,172500,58.12,58.21,58.01,58.21,3594,0
GGAL.US,5,20250224,173000,58.16,58.16,58.05,58.13,5940,0
GGAL.US,5,20250224,173500,58.11,58.11,57.76,57.8,6438,0
GGAL.US,5,20250224,174000,57.83,58.0825,57.75,58,5741,0
GGAL.US,5,20250224,174500,57.8901,58.05,57.8901,58.05,1400,0
GGAL.US,5,20250224,175000,58.045,58.095,57.92,57.96,2907,0
GGAL.US,5,20250224,175500,57.9201,57.95,57.77,57.8,5627,0
GGAL.US,5,20250224,180000,57.81,58,57.72,57.98,3462,0
GGAL.US,5,20250224,180500,58,58.07,57.835,57.835,7186,0
GGAL.US,5,20250224,181000,57.7501,57.85,57.67,57.67,3800,0
GGAL.US,5,20250224,181500,57.7,57.955,57.7,57.955,4422,0
GGAL.US,5,20250224,182000,58.03,58.2,57.9401,58.2,4113,0
GGAL.US,5,20250224,182500,58.24,58.45,58.17,58.43,17770,0
GGAL.US,5,20250224,183000,58.472,58.53,58.31,58.4,7283,0
GGAL.US,5,20250224,183500,58.405,58.405,58.2301,58.2301,2135,0
GGAL.US,5,20250224,184000,58.23,58.67,58.23,58.545,4946,0
GGAL.US,5,20250224,184500,58.6,58.608,58.5,58.595,2131,0
GGAL.US,5,20250224,185000,58.5401,58.595,58.48,58.48,1913,0
GGAL.US,5,20250224,185500,58.48,58.62,58.43,58.43,3640,0
GGAL.US,5,20250224,190000,58.42,58.45,58.32,58.3927,3563,0
GGAL.US,5,20250224,190500,58.435,58.485,58.31,58.4,2978,0
GGAL.US,5,20250224,191000,58.42,58.44,58.38,58.42,1215,0
GGAL.US,5,20250224,191500,58.4001,58.52,58.4001,58.5,1607,0
GGAL.US,5,20250224,192000,58.46,58.48,58.2101,58.28,3799,0
GGAL.US,5,20250224,192500,58.26,58.59,58.26,58.56,3206,0
GGAL.US,5,20250224,193000,58.57,58.68,58.56,58.56,1492,0
GGAL.US,5,20250224,193500,58.56,58.655,58.56,58.655,3240,0
GGAL.US,5,20250224,194000,58.7,58.79,58.63,58.63,4922,0
GGAL.US,5,20250224,194500,58.6101,58.71,58.5901,58.5901,1372,0
GGAL.US,5,20250224,195000,58.5901,58.66,58.5201,58.66,2120,0
GGAL.US,5,20250224,195500,58.66,58.72,58.5,58.5,2844,0
GGAL.US,5,20250224,200000,58.51,58.675,58.5,58.66,4059,0
GGAL.US,5,20250224,200500,58.72,58.725,58.5701,58.5701,3043,0
GGAL.US,5,20250224,201000,58.58,58.625,58.4601,58.52,4334,0
GGAL.US,5,20250224,201500,58.4601,58.4834,58.31,58.31,2407,0
GGAL.US,5,20250224,202000,58.31,58.35,58.2,58.26,4035,0
GGAL.US,5,20250224,202500,58.21,58.21,58.17,58.19,475,0
GGAL.US,5,20250224,203000,58.17,58.32,58.17,58.315,1829,0
GGAL.US,5,20250224,203500,58.305,58.36,58.22,58.22,1774,0
GGAL.US,5,20250224,204000,58.19,58.3199,58.16,58.3199,3276,0
GGAL.US,5,20250224,204500,58.17,58.245,58.17,58.17,1238,0
GGAL.US,5,20250224,205000,58.18,58.3,58.16,58.21,3308,0
GGAL.US,5,20250224,205500,58.19,58.2467,58.13,58.13,7416,0
GGAL.US,5,20250224,210000,58.1533,58.185,58.04,58.105,6903,0
GGAL.US,5,20250224,210500,58.105,58.105,58.06,58.09,600,0
GGAL.US,5,20250224,211000,58.04,58.15,58,58.09,3933,0
GGAL.US,5,20250224,211500,58.06,58.275,58.06,58.175,7486,0
GGAL.US,5,20250224,212000,58.21,58.275,58.175,58.2,3360,0
GGAL.US,5,20250224,212500,58.2,58.27,58.18,58.18,2007,0
GGAL.US,5,20250224,213000,58.195,58.315,58.18,58.263,3899,0
GGAL.US,5,20250224,213500,58.25,58.27,58.17,58.205,3621,0
GGAL.US,5,20250224,214000,58.14,58.16,58.02,58.075,5172,0
GGAL.US,5,20250224,214500,58.1,58.345,58.075,58.315,9906,0
GGAL.US,5,20250224,215000,58.34,58.385,58.14,58.14,11084,0
GGAL.US,5,20250224,215500,58.1,58.2,57.89,58.14,92427,0
GGAL.US,5,20250225,153000,58.57,59.2,58.24,58.455,8422,0
GGAL.US,5,20250225,153500,58.4275,58.44,58.22,58.32,3900,0
GGAL.US,5,20250225,154000,58.235,58.39,57.87,57.97,3488,0
GGAL.US,5,20250225,154500,57.93,57.943,57.61,57.61,2876,0
GGAL.US,5,20250225,155000,57.655,57.75,57.425,57.425,3749,0
GGAL.US,5,20250225,155500,57.405,57.79,57.405,57.705,1608,0
GGAL.US,5,20250225,160000,57.61,57.61,56.9001,56.97,11545,0
GGAL.US,5,20250225,160500,57.05,57.14,56.8,57.14,13723,0
GGAL.US,5,20250225,161000,57.175,57.18,56.91,56.91,5460,0
GGAL.US,5,20250225,161500,57.23,57.26,56.7001,56.835,4991,0
GGAL.US,5,20250225,162000,56.625,56.65,56.11,56.16,11565,0
GGAL.US,5,20250225,162500,56.07,56.44,56.07,56.24,9174,0
GGAL.US,5,20250225,163000,56.43,56.43,55.93,56.09,21982,0
GGAL.US,5,20250225,163500,56.13,56.71,56.13,56.62,21372,0
GGAL.US,5,20250225,164000,56.49,56.63,56.3301,56.41,4444,0
GGAL.US,5,20250225,164500,56.4,56.74,56.365,56.68,1825,0
GGAL.US,5,20250225,165000,56.64,56.987,56.56,56.94,2804,0
GGAL.US,5,20250225,165500,56.98,57,56.54,56.58,19355,0
GGAL.US,5,20250225,170000,56.58,56.66,56.5,56.555,2513,0
GGAL.US,5,20250225,170500,56.55,56.91,56.55,56.905,3784,0
GGAL.US,5,20250225,171000,56.97,57.07,56.78,56.8,5453,0
GGAL.US,5,20250225,171500,56.7314,56.8,56.6,56.6,2994,0
GGAL.US,5,20250225,172000,56.55,56.65,56.55,56.605,703,0
GGAL.US,5,20250225,172500,56.61,56.685,56.5,56.5,1006,0
GGAL.US,5,20250225,173000,56.47,56.61,56.135,56.39,10132,0
GGAL.US,5,20250225,173500,56.42,56.67,56.42,56.595,400,0
GGAL.US,5,20250225,174000,56.64,56.64,56.46,56.6167,4041,0
GGAL.US,5,20250225,174500,56.62,56.65,56.355,56.455,13982,0
GGAL.US,5,20250225,175000,56.49,56.63,56.4827,56.59,2532,0
GGAL.US,5,20250225,175500,56.5,56.52,56.11,56.195,42588,0
GGAL.US,5,20250225,180000,56.13,56.47,56.1,56.47,9325,0
GGAL.US,5,20250225,180500,56.47,56.62,56.47,56.62,6301,0
GGAL.US,5,20250225,181000,56.65,56.65,56.38,56.4,2473,0
GGAL.US,5,20250225,181500,56.5,56.55,56.47,56.495,600,0
GGAL.US,5,20250225,182000,56.55,56.55,56.3,56.3,1219,0
GGAL.US,5,20250225,182500,56.355,56.468,56.31,56.46,2365,0
GGAL.US,5,20250225,183000,56.45,56.7,56.45,56.6981,13228,0
GGAL.US,5,20250225,183500,56.625,56.92,56.6225,56.92,4667,0
GGAL.US,5,20250225,184000,56.91,56.97,56.7868,56.89,4281,0
GGAL.US,5,20250225,184500,56.89,56.95,56.77,56.86,2849,0
GGAL.US,5,20250225,185000,56.86,56.95,56.86,56.95,3848,0
GGAL.US,5,20250225,185500,56.84,57.22,56.84,57.14,3821,0
GGAL.US,5,20250225,190000,57.084,57.66,57.084,57.57,6482,0
GGAL.US,5,20250225,190500,57.46,57.71,57.46,57.64,2732,0
GGAL.US,5,20250225,191000,57.57,57.65,57.49,57.58,5942,0
GGAL.US,5,20250225,191500,57.54,57.63,57.37,57.37,8056,0
GGAL.US,5,20250225,192000,57.3805,57.49,57.32,57.49,2166,0
GGAL.US,5,20250225,192500,57.54,57.71,57.52,57.52,9198,0
GGAL.US,5,20250225,193000,57.605,57.605,57.16,57.17,8379,0
GGAL.US,5,20250225,193500,57.285,57.63,57.285,57.61,1511,0
GGAL.US,5,20250225,194000,57.62,57.8,57.62,57.78,2224,0
GGAL.US,5,20250225,194500,57.75,57.85,57.67,57.715,2207,0
GGAL.US,5,20250225,195000,57.66,57.66,57.44,57.44,1755,0
GGAL.US,5,20250225,195500,57.465,57.48,57.34,57.45,2528,0
GGAL.US,5,20250225,200000,57.37,57.405,57.35,57.405,800,0
GGAL.US,5,20250225,200500,57.405,57.48,57.38,57.38,950,0
GGAL.US,5,20250225,201000,57.48,57.48,57.24,57.24,2300,0
GGAL.US,5,20250225,201500,57.18,57.225,57.1533,57.18,1604,0
GGAL.US,5,20250225,202000,57.3,57.38,57.2,57.33,2617,0
GGAL.US,5,20250225,202500,57.29,57.335,57.2,57.23,4567,0
GGAL.US,5,20250225,203000,57.225,57.29,57.16,57.29,381,0
GGAL.US,5,20250225,203500,57.28,57.61,57.2316,57.61,3048,0
GGAL.US,5,20250225,204000,57.685,57.69,57.53,57.6,2757,0
GGAL.US,5,20250225,204500,57.54,57.74,57.47,57.705,5214,0
GGAL.US,5,20250225,205000,57.765,57.78,57.55,57.62,3056,0
GGAL.US,5,20250225,205500,57.62,57.69,57.53,57.55,1977,0
GGAL.US,5,20250225,210000,57.65,57.65,57.45,57.6,8580,0
GGAL.US,5,20250225,210500,57.63,57.79,57.61,57.7,2885,0
GGAL.US,5,20250225,211000,57.79,57.79,57.6101,57.73,979,0
GGAL.US,5,20250225,211500,57.725,57.885,57.72,57.885,3250,0
GGAL.US,5,20250225,212000,57.94,58.09,57.94,58.045,9965,0
GGAL.US,5,20250225,212500,58.045,58.1,57.96,57.9925,11813,0
GGAL.US,5,20250225,213000,58,58.12,57.95,58.03,15489,0
GGAL.US,5,20250225,213500,58.025,58.08,57.77,57.91,25274,0
GGAL.US,5,20250225,214000,57.92,58.09,57.9,57.95,7920,0
GGAL.US,5,20250225,214500,58.02,58.11,57.92,58.11,6340,0
GGAL.US,5,20250225,215000,58.055,58.055,57.61,57.73,15788,0
GGAL.US,5,20250225,215500,57.69,57.79,57.65,57.74,20974,0
GGAL.US,5,20250226,153000,57.645,58,57.33,57.7,13803,0
GGAL.US,5,20250226,153500,58.105,58.58,58.08,58.56,8316,0
GGAL.US,5,20250226,154000,58.58,58.58,57.98,58.1,6463,0
GGAL.US,5,20250226,154500,58.23,58.77,58.23,58.725,11338,0
GGAL.US,5,20250226,155000,58.62,58.84,58.61,58.7475,7910,0
GGAL.US,5,20250226,155500,58.68,58.73,58.405,58.59,9239,0
GGAL.US,5,20250226,160000,58.685,58.82,58.685,58.81,2500,0
GGAL.US,5,20250226,160500,58.71,58.71,58.3,58.3,6254,0
GGAL.US,5,20250226,161000,58.33,58.66,58.32,58.5,10464,0
GGAL.US,5,20250226,161500,58.6999,59.555,58.5825,59.52,49100,0
GGAL.US,5,20250226,162000,59.525,59.565,59.3,59.3,13617,0
GGAL.US,5,20250226,162500,59.29,59.51,59.26,59.4125,8661,0
GGAL.US,5,20250226,163000,59.39,59.46,59.37,59.37,5061,0
GGAL.US,5,20250226,163500,59.41,59.95,59.41,59.75,14553,0
GGAL.US,5,20250226,164000,59.95,59.97,59.8,59.875,2600,0
GGAL.US,5,20250226,164500,59.855,59.93,59.64,59.64,4627,0
GGAL.US,5,20250226,165000,59.57,59.605,59.45,59.45,3417,0
GGAL.US,5,20250226,165500,59.53,59.74,59.4201,59.74,3394,0
GGAL.US,5,20250226,170000,59.75,59.78,59.66,59.705,812,0
GGAL.US,5,20250226,170500,59.8122,59.82,59.63,59.63,3828,0
GGAL.US,5,20250226,171000,59.51,59.58,59.32,59.424,16628,0
GGAL.US,5,20250226,171500,59.435,59.69,59.31,59.64,10924,0
GGAL.US,5,20250226,172000,59.63,59.65,59.39,59.39,3602,0
GGAL.US,5,20250226,172500,59.4,59.47,59.36,59.47,3043,0
