<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HFBL.US,5,20250224,153000,13.3,13.3,13.3,13.3,164,0
HFBL.US,5,20250224,165000,13.05,13.05,13.05,13.05,100,0
HFBL.US,5,20250224,182500,13.25,13.25,13.25,13.25,100,0
HFBL.US,5,20250225,183500,12.9622,12.9622,12.9,12.9,2294,0
HFBL.US,5,20250225,184500,12.86,12.86,12.86,12.86,900,0
HFBL.US,5,20250225,185000,12.975,12.975,12.88,12.975,1353,0
HFBL.US,5,20250225,195500,13.075,13.075,13.075,13.075,200,0
HFBL.US,5,20250225,200000,12.95,12.95,12.95,12.95,100,0
HFBL.US,5,20250225,201000,13.05,13.05,13.05,13.05,100,0
HFBL.US,5,20250225,203500,12.99,13.25,12.99,13.25,400,0
HFBL.US,5,20250226,164000,12.78,12.78,12.78,12.78,100,0
HFBL.US,5,20250226,170000,12.76,12.76,12.76,12.76,100,0
HFBL.US,5,20250228,205500,12.35,12.35,12.35,12.35,148,0
HFBL.US,5,20250228,215500,12.92,12.92,12.92,12.92,172,0
HFBL.US,5,20250306,153000,12.9,12.9,12.9,12.9,180,0
HFBL.US,5,20250310,205500,12.39,12.39,12.39,12.39,136,0
HFBL.US,5,20250311,173500,12.76,12.76,12.76,12.76,100,0
HFBL.US,5,20250311,192000,12.4228,12.4228,12.4228,12.4228,100,0
HFBL.US,5,20250311,195500,12.39,12.39,12.39,12.39,100,0
HFBL.US,5,20250312,143500,12.31,12.31,12.31,12.31,100,0
HFBL.US,5,20250319,195000,12.444,12.444,12.444,12.444,100,0
HFBL.US,5,20250320,205500,12.875,12.875,12.875,12.875,300,0
HFBL.US,5,20250321,145500,12.875,12.9,12.85,12.85,600,0
HFBL.US,5,20250321,171000,12.825,12.85,12.825,12.85,1800,0
HFBL.US,5,20250321,172000,12.8,12.8,12.8,12.8,100,0
HFBL.US,5,20250321,183000,12.82,12.82,12.8,12.8199,526,0
HFBL.US,5,20250321,183500,12.82,12.82,12.8,12.8,1000,0
HFBL.US,5,20250321,195000,12.84,12.85,12.84,12.85,2732,0
HFBL.US,5,20250321,201500,12.85,12.85,12.85,12.85,9000,0
HFBL.US,5,20250325,143500,13.02,13.02,13.02,13.02,228,0
HFBL.US,5,20250331,153000,13,13,13,13,200,0
HFBL.US,5,20250401,182000,13.05,13.05,13.05,13.05,3219,0
HFBL.US,5,20250401,190000,13,13,13,13,100,0
HFBL.US,5,20250402,215500,13.05,13.05,13.05,13.05,120,0
HFBL.US,5,20250404,203500,13,13.05,13,13.05,3194,0
HFBL.US,5,20250404,211000,13.05,13.05,13.05,13.05,7500,0
HFBL.US,5,20250404,213000,13.095,13.095,13.095,13.095,200,0
HFBL.US,5,20250407,210000,13.1,13.1,13.1,13.1,110,0
HFBL.US,5,20250407,213000,13.1,13.1,13.1,13.1,904,0
HFBL.US,5,20250407,213500,13.1,13.1,13.1,13.1,2500,0
HFBL.US,5,20250407,215000,13.14,13.14,13.14,13.14,882,0
HFBL.US,5,20250408,164500,13.205,13.205,13.205,13.205,167,0
HFBL.US,5,20250408,211500,13.18,13.18,13.18,13.18,1896,0
HFBL.US,5,20250408,213500,13.18,13.18,13.18,13.18,598,0
HFBL.US,5,20250408,214000,13.19,13.19,13.18,13.18,402,0
HFBL.US,5,20250408,215500,13.23,13.23,13.23,13.23,2802,0
HFBL.US,5,20250409,171500,13.017,13.017,13.017,13.017,212,0
HFBL.US,5,20250409,211000,13.3,13.3,13.3,13.3,2983,0
HFBL.US,5,20250409,211500,13.32,13.32,13.32,13.32,400,0
HFBL.US,5,20250409,213000,13.46,13.46,13.46,13.46,500,0
HFBL.US,5,20250409,213500,13.54,13.54,13.54,13.54,200,0
HFBL.US,5,20250409,215500,13.73,13.73,13.73,13.73,700,0
HFBL.US,5,20250410,163500,13.33,13.33,13.33,13.33,3000,0
HFBL.US,5,20250410,184500,13.3,13.3,13.3,13.3,500,0
HFBL.US,5,20250411,211500,13.3,13.3,13.3,13.3,100,0
HFBL.US,5,20250411,212000,13.3,13.3,13.3,13.3,13000,0
HFBL.US,5,20250411,214000,13.3,13.3,13.3,13.3,100,0
HFBL.US,5,20250414,160500,13.15,13.15,13.15,13.15,200,0
HFBL.US,5,20250414,215000,13.1,13.1,13.1,13.1,100,0
HFBL.US,5,20250415,155000,13.2,13.2,13.2,13.2,128,0
HFBL.US,5,20250415,163500,13.3,13.3,13.3,13.3,2277,0
HFBL.US,5,20250415,215000,13.4,13.4,13.4,13.4,300,0
HFBL.US,5,20250416,200500,13.5,13.5,13.5,13.5,100,0
HFBL.US,5,20250416,201500,13.4,13.4,13.4,13.4,2392,0
HFBL.US,5,20250417,210500,13.48,13.48,13.48,13.48,2900,0
HFBL.US,5,20250417,211000,13.48,13.48,13.48,13.48,8000,0
HFBL.US,5,20250421,164000,13.57,13.57,13.57,13.57,100,0
HFBL.US,5,20250422,201000,13.3516,13.3516,13.3516,13.3516,182,0
HFBL.US,5,20250424,200500,13.54,13.54,13.54,13.54,100,0
HFBL.US,5,20250424,214500,13.53,13.53,13.53,13.53,200,0
HFBL.US,5,20250424,215000,13.52,13.53,13.52,13.53,700,0
HFBL.US,5,20250424,215500,13.54,13.55,13.53,13.55,2358,0
HFBL.US,5,20250425,155500,13.4,13.4,13.4,13.4,559,0
HFBL.US,5,20250425,163500,13.5,13.5,13.5,13.5,100,0
HFBL.US,5,20250425,165000,13.5,13.5,13.5,13.5,507,0
HFBL.US,5,20250425,185500,13.5,13.5,13.5,13.5,619,0
HFBL.US,5,20250425,215500,13.5,13.5,13.5,13.5,972,0
HFBL.US,5,20250428,172500,13.21,13.21,13.21,13.21,100,0
HFBL.US,5,20250428,193000,13.21,13.21,13.21,13.21,300,0
HFBL.US,5,20250428,193500,13.21,13.21,13.21,13.21,430,0
HFBL.US,5,20250429,165500,13.42,13.42,13.42,13.42,100,0
HFBL.US,5,20250430,153000,13.16,13.2839,12.8875,12.8875,3549,0
HFBL.US,5,20250430,154000,12.88,12.88,12.88,12.88,200,0
HFBL.US,5,20250430,160000,12.88,12.88,12.88,12.88,171,0
HFBL.US,5,20250430,215500,12.89,12.89,12.89,12.89,538,0
HFBL.US,5,20250502,204500,13,13,13,13,100,0
