<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICUCW.US,5,20250224,155500,0.0312,0.0312,0.0312,0.0312,100,0
ICUCW.US,5,20250224,160000,0.0309,0.0324,0.0309,0.0309,10491,0
ICUCW.US,5,20250224,161000,0.0309,0.0309,0.0309,0.0309,100,0
ICUCW.US,5,20250224,162000,0.0309,0.0309,0.0309,0.0309,619,0
ICUCW.US,5,20250224,162500,0.0309,0.0309,0.0309,0.0309,200,0
ICUCW.US,5,20250224,164500,0.0309,0.0309,0.0309,0.0309,100,0
ICUCW.US,5,20250224,165500,0.0309,0.0309,0.0309,0.0309,100,0
ICUCW.US,5,20250224,171000,0.031,0.0339,0.031,0.0339,13860,0
ICUCW.US,5,20250224,171500,0.0339,0.0339,0.03,0.03,10946,0
ICUCW.US,5,20250224,180000,0.03,0.03,0.03,0.03,100,0
ICUCW.US,5,20250224,184000,0.0301,0.0301,0.0301,0.0301,3000,0
ICUCW.US,5,20250224,184500,0.03,0.03,0.03,0.03,100,0
ICUCW.US,5,20250224,195000,0.0301,0.0301,0.0301,0.0301,4129,0
ICUCW.US,5,20250224,200000,0.0301,0.0301,0.0301,0.0301,169,0
ICUCW.US,5,20250224,201500,0.0301,0.0301,0.0301,0.0301,100,0
ICUCW.US,5,20250224,205000,0.0301,0.0301,0.0301,0.0301,100,0
ICUCW.US,5,20250224,215500,0.0301,0.0302,0.0301,0.0302,600,0
ICUCW.US,5,20250225,153000,0.0301,0.0301,0.0301,0.0301,100,0
ICUCW.US,5,20250225,162500,0.0301,0.0319,0.03,0.03,53021,0
ICUCW.US,5,20250225,164000,0.03,0.0301,0.03,0.0301,8352,0
ICUCW.US,5,20250225,165000,0.029,0.029,0.029,0.029,100,0
ICUCW.US,5,20250225,165500,0.0291,0.0338,0.0291,0.0338,7867,0
ICUCW.US,5,20250225,172500,0.03,0.03,0.03,0.03,100,0
ICUCW.US,5,20250225,212500,0.033,0.033,0.033,0.033,2000,0
ICUCW.US,5,20250225,213000,0.0302,0.0302,0.0302,0.0302,250,0
ICUCW.US,5,20250225,214500,0.0333,0.0333,0.0333,0.0333,111,0
ICUCW.US,5,20250226,162000,0.0302,0.0302,0.0302,0.0302,100,0
ICUCW.US,5,20250226,174000,0.0325,0.0325,0.0302,0.0302,1980,0
ICUCW.US,5,20250226,185000,0.0302,0.0302,0.0302,0.0302,100,0
ICUCW.US,5,20250226,192000,0.031765,0.031765,0.0309,0.0309,3600,0
ICUCW.US,5,20250226,192500,0.0302,0.0302,0.0302,0.0302,100,0
ICUCW.US,5,20250226,195000,0.0302,0.0302,0.0302,0.0302,100,0
