<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDXX.US,5,20250224,153000,453.95,464.02,453.95,459.785,15973,0
IDXX.US,5,20250224,153500,459.27,460.54,452.97,452.97,1300,0
IDXX.US,5,20250224,154000,454.325,456.585,454.11,456.585,2650,0
IDXX.US,5,20250224,154500,456,456.015,454.67,454.67,2378,0
IDXX.US,5,20250224,155000,455.35,455.88,455.005,455.05,728,0
IDXX.US,5,20250224,155500,454.995,455,454.8,454.955,900,0
IDXX.US,5,20250224,160000,454.955,454.955,452.19,453.26,7513,0
IDXX.US,5,20250224,160500,454.36,455.595,453.38,455.595,2687,0
IDXX.US,5,20250224,161000,456.03,459.26,455.4,457.625,7995,0
IDXX.US,5,20250224,161500,457.625,457.8,457,457.375,1900,0
IDXX.US,5,20250224,162000,457.375,460.35,457.375,460.22,4595,0
IDXX.US,5,20250224,162500,459.655,462.32,459.655,461.43,13800,0
IDXX.US,5,20250224,163000,460.06,461.01,459.875,461.01,5998,0
IDXX.US,5,20250224,163500,460.82,460.82,459.8,460.47,2511,0
IDXX.US,5,20250224,164000,460.575,461.8,460.575,461.55,2759,0
IDXX.US,5,20250224,164500,461.03,462.16,460.64,462.09,2025,0
IDXX.US,5,20250224,165000,461.62,463.175,461.62,463.175,5936,0
IDXX.US,5,20250224,165500,462.99,463.66,461.78,461.78,7476,0
IDXX.US,5,20250224,170000,461.81,462.08,460.99,461.255,4335,0
IDXX.US,5,20250224,170500,461.255,461.98,461.255,461.42,1142,0
IDXX.US,5,20250224,171000,461.555,462.4,461.32,462.29,1842,0
IDXX.US,5,20250224,171500,462.3,462.99,461.97,462.21,3925,0
IDXX.US,5,20250224,172000,462.36,463,462.36,462.86,868,0
IDXX.US,5,20250224,172500,462.795,463.505,462.795,463.305,2346,0
IDXX.US,5,20250224,173000,463.68,464.71,463.6,464.71,5383,0
IDXX.US,5,20250224,173500,464.705,465.18,463.825,463.825,2406,0
IDXX.US,5,20250224,174000,463.91,464.855,463.87,464.15,4687,0
IDXX.US,5,20250224,174500,464.39,464.87,464.39,464.86,3251,0
IDXX.US,5,20250224,175000,464.755,464.765,464.145,464.32,1218,0
IDXX.US,5,20250224,175500,463.7,463.75,463.31,463.31,1200,0
IDXX.US,5,20250224,180000,463.13,463.48,462.58,462.805,1408,0
IDXX.US,5,20250224,180500,462.45,462.72,462.36,462.695,600,0
IDXX.US,5,20250224,181000,462.74,462.74,462.355,462.59,2072,0
IDXX.US,5,20250224,181500,462.59,463.905,462.26,463.69,4637,0
IDXX.US,5,20250224,182000,464.03,464.04,463.78,463.985,929,0
IDXX.US,5,20250224,182500,464.23,464.23,462.68,463.14,1767,0
IDXX.US,5,20250224,183000,462.865,463.08,462.63,462.95,945,0
IDXX.US,5,20250224,183500,462.89,463.27,462.6636,463.21,1631,0
IDXX.US,5,20250224,184000,463.48,463.49,462.63,462.675,1806,0
IDXX.US,5,20250224,184500,462.32,462.71,462.12,462.45,1413,0
IDXX.US,5,20250224,185000,462.31,462.44,461.35,461.35,1200,0
IDXX.US,5,20250224,185500,460.79,461.08,460.71,461.08,893,0
IDXX.US,5,20250224,190000,460.96,461.149,460.85,461.145,626,0
IDXX.US,5,20250224,190500,461.145,461.145,459.77,459.82,4633,0
IDXX.US,5,20250224,191000,459.48,459.48,458.61,458.61,300,0
IDXX.US,5,20250224,191500,459.18,459.79,458.8475,459.79,3050,0
IDXX.US,5,20250224,192000,459.87,460.23,459.59,459.98,746,0
IDXX.US,5,20250224,192500,460.27,460.895,460.27,460.39,1528,0
IDXX.US,5,20250224,193000,460.595,460.595,460.595,460.595,100,0
IDXX.US,5,20250224,193500,460.37,460.82,460.29,460.82,860,0
IDXX.US,5,20250224,194000,460.64,461.676,460.64,461.676,2085,0
IDXX.US,5,20250224,194500,461.23,461.55,460.8,460.85,2775,0
IDXX.US,5,20250224,195000,461.13,461.13,460.41,460.78,2764,0
IDXX.US,5,20250224,195500,461.13,461.87,460.77,461.72,1700,0
IDXX.US,5,20250224,200000,461.759,462.644,461.46,462.19,6824,0
IDXX.US,5,20250224,200500,462.03,462.1,461.44,462.1,1952,0
IDXX.US,5,20250224,201000,461.6,462.43,461.6,462.28,1700,0
IDXX.US,5,20250224,201500,462.105,462.905,462.105,462.665,1800,0
IDXX.US,5,20250224,202000,462.575,463.09,462.12,463.09,4832,0
IDXX.US,5,20250224,202500,462.955,463.04,462.95,463.04,917,0
IDXX.US,5,20250224,203000,462.96,463.815,462.96,463.57,909,0
IDXX.US,5,20250224,203500,463.685,463.937,462.61,462.61,3987,0
IDXX.US,5,20250224,204000,462.69,462.69,462.69,462.69,200,0
IDXX.US,5,20250224,204500,463.04,463.756,462.83,463.3,2086,0
