<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INBKZ.US,5,20250224,211500,25.035,25.035,25.035,25.035,125,0
INBKZ.US,5,20250225,205000,25.01,25.01,24.94,24.94,550,0
INBKZ.US,5,20250225,205500,24.94,24.94,24.94,24.94,100,0
INBKZ.US,5,20250225,213000,24.97,24.97,24.9699,24.9699,1000,0
INBKZ.US,5,20250225,214000,25,25,25,25,100,0
INBKZ.US,5,20250226,160500,25,25,25,25,1599,0
INBKZ.US,5,20250226,184500,25.0416,25.0416,25,25,300,0
INBKZ.US,5,20250226,215000,25,25,24.9872,24.9872,1300,0
INBKZ.US,5,20250227,190000,25,25.01,24.76,24.87,3501,0
INBKZ.US,5,20250227,191500,24.7671,24.81,24.7671,24.77,3200,0
INBKZ.US,5,20250227,192000,24.78,24.78,24.76,24.76,1100,0
INBKZ.US,5,20250227,201500,24.78,24.78,24.52,24.52,3267,0
INBKZ.US,5,20250227,211500,24.75,24.75,24.75,24.75,399,0
INBKZ.US,5,20250228,173000,24.8534,24.8534,24.8534,24.8534,100,0
INBKZ.US,5,20250228,182500,24.8999,24.8999,24.8999,24.8999,100,0
INBKZ.US,5,20250228,191000,24.8828,24.8828,24.8828,24.8828,100,0
INBKZ.US,5,20250303,153000,24.88,24.88,24.88,24.88,266,0
INBKZ.US,5,20250303,153500,24.88,24.88,24.88,24.88,100,0
INBKZ.US,5,20250303,170000,24.8784,24.8784,24.8784,24.8784,200,0
INBKZ.US,5,20250303,175000,24.85,24.85,24.85,24.85,300,0
INBKZ.US,5,20250303,195000,24.85,24.85,24.85,24.85,300,0
INBKZ.US,5,20250303,195500,24.76,24.76,24.76,24.76,200,0
INBKZ.US,5,20250303,203000,24.87,24.87,24.87,24.87,100,0
INBKZ.US,5,20250303,215500,24.8,24.8,24.8,24.8,100,0
INBKZ.US,5,20250304,185500,24.85,24.85,24.85,24.85,300,0
INBKZ.US,5,20250304,193000,24.83,24.83,24.8,24.8,539,0
INBKZ.US,5,20250304,201000,24.8,24.8,24.8,24.8,100,0
INBKZ.US,5,20250306,210000,24.86,24.89,24.86,24.89,700,0
INBKZ.US,5,20250306,214500,24.86,24.86,24.8317,24.8317,500,0
INBKZ.US,5,20250307,161500,24.83,24.84,24.83,24.83,949,0
INBKZ.US,5,20250307,163500,24.82,24.82,24.82,24.82,200,0
INBKZ.US,5,20250307,182500,24.76,24.7842,24.76,24.7842,1000,0
INBKZ.US,5,20250307,184000,24.8015,24.8015,24.76,24.76,1000,0
INBKZ.US,5,20250307,200500,24.76,24.76,24.76,24.76,100,0
INBKZ.US,5,20250307,211000,24.765,24.765,24.765,24.765,880,0
INBKZ.US,5,20250307,213500,24.8,24.8,24.8,24.8,400,0
INBKZ.US,5,20250307,215000,24.8,24.8,24.8,24.8,100,0
INBKZ.US,5,20250310,143000,24.8,24.8,24.8,24.8,300,0
INBKZ.US,5,20250310,145000,24.7999,24.7999,24.7999,24.7999,500,0
INBKZ.US,5,20250310,151500,24.8,24.8,24.8,24.8,100,0
INBKZ.US,5,20250310,162500,24.7715,24.7715,24.7715,24.7715,100,0
INBKZ.US,5,20250310,173500,24.7939,24.7939,24.7939,24.7939,400,0
INBKZ.US,5,20250310,182000,24.8,24.8,24.7862,24.7862,400,0
INBKZ.US,5,20250310,185000,24.77,24.77,24.77,24.77,200,0
INBKZ.US,5,20250310,190500,24.77,24.77,24.77,24.77,200,0
INBKZ.US,5,20250310,191000,24.8,24.8,24.8,24.8,100,0
INBKZ.US,5,20250310,192000,24.77,24.77,24.77,24.77,100,0
INBKZ.US,5,20250310,194000,24.73,24.73,24.72,24.72,432,0
INBKZ.US,5,20250310,195000,24.72,24.72,24.72,24.72,100,0
INBKZ.US,5,20250311,150500,24.72,24.72,24.72,24.72,200,0
INBKZ.US,5,20250311,173500,24.6728,24.6728,24.6728,24.6728,100,0
INBKZ.US,5,20250311,175500,24.7191,24.875,24.63,24.8501,11169,0
INBKZ.US,5,20250311,194000,24.79,24.79,24.79,24.79,100,0
INBKZ.US,5,20250312,183000,24.69,24.7,24.69,24.7,1100,0
INBKZ.US,5,20250313,143000,24.75,24.75,24.75,24.75,400,0
INBKZ.US,5,20250313,145000,24.65,24.65,24.65,24.65,1171,0
INBKZ.US,5,20250313,151000,24.6201,24.6201,24.6201,24.6201,100,0
INBKZ.US,5,20250313,204000,24.6965,24.739,24.6965,24.739,1834,0
INBKZ.US,5,20250314,201000,24.7399,24.74,24.7399,24.74,600,0
INBKZ.US,5,20250314,204000,24.75,24.75,24.75,24.75,100,0
INBKZ.US,5,20250317,145000,24.75,24.75,24.75,24.75,201,0
INBKZ.US,5,20250317,145500,24.85,24.85,24.85,24.85,100,0
INBKZ.US,5,20250317,152000,24.85,24.85,24.85,24.85,100,0
INBKZ.US,5,20250317,153500,24.85,24.85,24.85,24.85,400,0
INBKZ.US,5,20250317,154000,24.85,24.85,24.85,24.85,300,0
INBKZ.US,5,20250317,165500,24.93,24.93,24.93,24.93,100,0
INBKZ.US,5,20250317,205000,24.87,24.87,24.87,24.87,100,0
INBKZ.US,5,20250318,143000,24.9,24.9,24.82,24.82,1800,0
INBKZ.US,5,20250318,152000,24.84,24.84,24.84,24.84,300,0
INBKZ.US,5,20250318,164000,24.84,24.84,24.84,24.84,100,0
INBKZ.US,5,20250318,165500,24.83,24.83,24.82,24.82,3472,0
INBKZ.US,5,20250318,182000,24.77,24.78,24.7,24.7,600,0
INBKZ.US,5,20250318,182500,24.72,24.72,24.7,24.7,300,0
INBKZ.US,5,20250319,145500,24.79,24.79,24.79,24.79,300,0
INBKZ.US,5,20250319,162500,24.765,24.765,24.765,24.765,1000,0
INBKZ.US,5,20250319,171500,24.79,24.79,24.79,24.79,100,0
INBKZ.US,5,20250319,191000,24.82,24.82,24.82,24.82,100,0
INBKZ.US,5,20250319,195000,24.82,24.82,24.82,24.82,200,0
INBKZ.US,5,20250319,201000,24.82,24.82,24.82,24.82,2000,0
INBKZ.US,5,20250319,202500,24.77,24.77,24.77,24.77,100,0
INBKZ.US,5,20250320,170500,24.8,24.81,24.8,24.81,300,0
INBKZ.US,5,20250320,205000,24.77,24.78,24.77,24.78,300,0
INBKZ.US,5,20250321,143500,24.83,24.83,24.83,24.83,100,0
INBKZ.US,5,20250324,143000,24.83,24.83,24.83,24.83,388,0
INBKZ.US,5,20250324,143500,24.85,24.85,24.85,24.85,500,0
INBKZ.US,5,20250324,163500,24.85,24.85,24.85,24.85,100,0
INBKZ.US,5,20250324,164500,24.85,24.85,24.85,24.85,580,0
INBKZ.US,5,20250324,165500,24.9,24.9,24.9,24.9,100,0
INBKZ.US,5,20250324,193000,24.95,24.95,24.95,24.95,1070,0
INBKZ.US,5,20250324,193500,24.91,24.91,24.91,24.91,300,0
INBKZ.US,5,20250324,202000,24.9,24.9,24.88,24.88,1383,0
INBKZ.US,5,20250325,155500,24.8999,24.8999,24.8999,24.8999,500,0
INBKZ.US,5,20250325,160000,24.8996,24.8996,24.8996,24.8996,500,0
INBKZ.US,5,20250325,194000,24.8961,24.8961,24.8961,24.8961,399,0
INBKZ.US,5,20250325,202000,24.87,24.9,24.86,24.9,300,0
INBKZ.US,5,20250325,203000,24.7374,24.7374,24.7374,24.7374,1000,0
INBKZ.US,5,20250325,205500,24.85,24.86,24.85,24.86,200,0
INBKZ.US,5,20250326,150000,24.85,24.85,24.85,24.85,500,0
INBKZ.US,5,20250326,155000,24.89,24.89,24.89,24.89,100,0
INBKZ.US,5,20250327,143000,24.9,24.9,24.9,24.9,300,0
INBKZ.US,5,20250327,185000,24.89,24.8914,24.89,24.8914,274,0
INBKZ.US,5,20250327,203500,24.8356,24.8356,24.8356,24.8356,174,0
INBKZ.US,5,20250328,151500,24.84,24.84,24.84,24.84,200,0
INBKZ.US,5,20250328,190000,24.85,24.85,24.85,24.85,100,0
INBKZ.US,5,20250328,201500,24.75,24.75,24.75,24.75,100,0
INBKZ.US,5,20250331,212000,24.84,24.84,24.84,24.84,400,0
INBKZ.US,5,20250331,214000,24.85,24.85,24.85,24.85,100,0
INBKZ.US,5,20250401,162500,24.85,24.85,24.85,24.85,120,0
INBKZ.US,5,20250401,181000,24.87,24.87,24.87,24.87,150,0
INBKZ.US,5,20250402,205500,24.71,24.71,24.71,24.71,151,0
INBKZ.US,5,20250402,212500,24.7719,24.7719,24.7719,24.7719,100,0
INBKZ.US,5,20250403,153000,24.71,24.71,24.71,24.71,349,0
INBKZ.US,5,20250403,164000,24.58,24.58,24.58,24.58,100,0
INBKZ.US,5,20250403,180500,24.7325,24.7325,24.7325,24.7325,600,0
INBKZ.US,5,20250403,210500,24.6896,24.6896,24.6896,24.6896,400,0
INBKZ.US,5,20250404,201000,24.43,24.4993,24.36,24.36,897,0
INBKZ.US,5,20250407,155500,24.0321,24.0321,24.0321,24.0321,800,0
INBKZ.US,5,20250407,204500,24.87,24.87,24.87,24.87,100,0
INBKZ.US,5,20250407,205000,24.28,24.5649,24.26,24.26,300,0
INBKZ.US,5,20250408,184000,24.2201,24.2201,24.2201,24.2201,200,0
INBKZ.US,5,20250408,194500,24.5,24.5,24.5,24.5,100,0
INBKZ.US,5,20250409,165500,24.28,24.28,24.28,24.28,100,0
INBKZ.US,5,20250409,192000,24.28,24.28,24.28,24.28,300,0
INBKZ.US,5,20250409,193000,24.4713,24.4713,24.4713,24.4713,100,0
INBKZ.US,5,20250409,211500,24.4,24.4,24.4,24.4,300,0
