<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JCSE.US,5,20250224,153000,1.56,1.56,1.56,1.56,1894,0
JCSE.US,5,20250224,155500,1.4741,1.49,1.45,1.45,3719,0
JCSE.US,5,20250224,161500,1.4577,1.46,1.4577,1.46,392,0
JCSE.US,5,20250224,174000,1.4587,1.4587,1.4587,1.4587,100,0
JCSE.US,5,20250224,180000,1.4548,1.4548,1.4548,1.4548,700,0
JCSE.US,5,20250224,180500,1.49,1.49,1.49,1.49,130,0
JCSE.US,5,20250224,192500,1.5,1.5,1.5,1.5,1000,0
JCSE.US,5,20250224,195500,1.4551,1.475,1.4551,1.475,2000,0
JCSE.US,5,20250224,202000,1.45,1.45,1.45,1.45,2284,0
JCSE.US,5,20250224,205000,1.45,1.45,1.44,1.44,3325,0
JCSE.US,5,20250224,210000,1.44,1.44,1.44,1.44,145,0
JCSE.US,5,20250224,212500,1.44,1.445,1.44,1.445,654,0
JCSE.US,5,20250224,215000,1.38,1.38,1.38,1.38,100,0
JCSE.US,5,20250224,215500,1.37,1.37,1.3,1.3201,8131,0
JCSE.US,5,20250225,154500,1.3326,1.3326,1.3326,1.3326,300,0
JCSE.US,5,20250225,155500,1.33,1.33,1.33,1.33,2962,0
JCSE.US,5,20250225,163500,1.32,1.32,1.32,1.32,1000,0
JCSE.US,5,20250225,165000,1.3373,1.3373,1.3373,1.3373,412,0
JCSE.US,5,20250225,193500,1.35,1.36,1.35,1.36,543,0
JCSE.US,5,20250225,204500,1.34,1.34,1.33,1.3301,3381,0
JCSE.US,5,20250225,215000,1.33,1.33,1.33,1.33,200,0
JCSE.US,5,20250225,215500,1.33,1.33,1.33,1.33,200,0
JCSE.US,5,20250226,162000,1.34,1.34,1.33,1.33,900,0
JCSE.US,5,20250226,163500,1.33,1.33,1.33,1.33,158,0
JCSE.US,5,20250226,175000,1.32,1.32,1.32,1.32,200,0
JCSE.US,5,20250226,180000,1.32,1.33,1.32,1.33,1393,0
JCSE.US,5,20250226,181500,1.3398,1.3398,1.32,1.33,1967,0
JCSE.US,5,20250226,183000,1.33,1.33,1.33,1.33,100,0
JCSE.US,5,20250226,185000,1.32,1.32,1.32,1.32,114,0
JCSE.US,5,20250226,190000,1.32,1.32,1.32,1.32,300,0
JCSE.US,5,20250226,190500,1.32,1.32,1.32,1.32,1110,0
JCSE.US,5,20250226,191500,1.33,1.33,1.33,1.33,100,0
JCSE.US,5,20250226,201500,1.3301,1.3301,1.3301,1.3301,200,0
JCSE.US,5,20250226,210000,1.33,1.33,1.33,1.33,171,0
JCSE.US,5,20250227,153000,1.33,1.37,1.33,1.37,1189,0
JCSE.US,5,20250227,161000,1.3899,1.3899,1.3899,1.3899,100,0
JCSE.US,5,20250227,164000,1.33,1.33,1.32,1.32,5685,0
JCSE.US,5,20250227,171500,1.32,1.32,1.32,1.32,130,0
JCSE.US,5,20250227,180000,1.335,1.335,1.335,1.335,100,0
JCSE.US,5,20250228,154500,1.3425,1.3425,1.3425,1.3425,278,0
JCSE.US,5,20250228,164500,1.345,1.35,1.345,1.35,1050,0
JCSE.US,5,20250228,172000,1.355,1.355,1.355,1.355,400,0
JCSE.US,5,20250228,173500,1.35,1.36,1.35,1.36,200,0
JCSE.US,5,20250228,174500,1.37,1.37,1.37,1.37,100,0
JCSE.US,5,20250228,175000,1.36,1.36,1.36,1.36,241,0
JCSE.US,5,20250303,174000,1.39,1.39,1.38,1.38,249,0
JCSE.US,5,20250303,174500,1.38,1.4,1.37,1.39,1000,0
JCSE.US,5,20250303,175000,1.39,1.39,1.39,1.39,200,0
JCSE.US,5,20250303,215000,1.37,1.37,1.37,1.37,1567,0
JCSE.US,5,20250304,170500,1.39,1.39,1.39,1.39,2420,0
JCSE.US,5,20250304,191000,1.2945,1.2945,1.2945,1.2945,211,0
JCSE.US,5,20250304,211000,1.3086,1.31,1.3,1.31,600,0
JCSE.US,5,20250304,213000,1.29,1.29,1.29,1.29,178,0
JCSE.US,5,20250304,213500,1.2979,1.2979,1.2979,1.2979,150,0
JCSE.US,5,20250304,214000,1.29,1.29,1.29,1.29,519,0
JCSE.US,5,20250304,215500,1.2996,1.2996,1.2996,1.2996,100,0
JCSE.US,5,20250305,212000,1.26,1.26,1.24,1.24,846,0
JCSE.US,5,20250305,214000,1.25,1.25,1.25,1.25,100,0
JCSE.US,5,20250305,215500,1.24,1.24,1.23,1.23,400,0
JCSE.US,5,20250306,200500,1.38,1.38,1.38,1.38,300,0
JCSE.US,5,20250307,164500,1.31,1.31,1.21,1.221,7210,0
JCSE.US,5,20250307,170500,1.2515,1.2515,1.2515,1.2515,300,0
JCSE.US,5,20250307,174000,1.22,1.22,1.22,1.22,660,0
JCSE.US,5,20250307,181000,1.22,1.22,1.22,1.22,317,0
JCSE.US,5,20250307,183000,1.1801,1.1801,1.1801,1.1801,112,0
JCSE.US,5,20250307,211000,1.2,1.2,1.2,1.2,100,0
JCSE.US,5,20250310,150000,1.287,1.287,1.287,1.287,250,0
JCSE.US,5,20250310,150500,1.2991,1.2991,1.287,1.287,500,0
JCSE.US,5,20250310,160500,1.21,1.21,1.21,1.21,842,0
JCSE.US,5,20250310,162000,1.2079,1.2079,1.2079,1.2079,150,0
JCSE.US,5,20250310,163500,1.2,1.2,1.2,1.2,123,0
JCSE.US,5,20250310,172500,1.1602,1.1602,1.13,1.145,1848,0
JCSE.US,5,20250310,174500,1.135,1.15,1.135,1.15,200,0
JCSE.US,5,20250310,202000,1.1368,1.1368,1.1368,1.1368,104,0
JCSE.US,5,20250310,202500,1.1343,1.1343,1.1343,1.1343,100,0
JCSE.US,5,20250310,204500,1.11,1.1165,1.11,1.1165,4233,0
JCSE.US,5,20250310,205500,1.1,1.1,1.07,1.07,857,0
JCSE.US,5,20250311,143000,0.99,0.99,0.9701,0.9701,200,0
JCSE.US,5,20250311,153000,1.01,1.01,0.9701,0.9701,498,0
JCSE.US,5,20250311,154500,1.01,1.01,1,1,911,0
JCSE.US,5,20250311,160500,1.035,1.035,1.035,1.035,100,0
JCSE.US,5,20250311,163000,1,1,1,1,100,0
JCSE.US,5,20250311,180000,1,1,1,1,428,0
JCSE.US,5,20250311,181500,1.0053,1.0053,1.0053,1.0053,500,0
JCSE.US,5,20250311,193500,1,1,1,1,100,0
JCSE.US,5,20250311,201000,1,1,1,1,1044,0
JCSE.US,5,20250312,153000,1.11,1.11,1.11,1.11,100,0
JCSE.US,5,20250312,165500,1.1247,1.1247,1.1247,1.1247,333,0
JCSE.US,5,20250312,172000,1.12,1.16,1.12,1.16,2255,0
JCSE.US,5,20250312,172500,1.1585,1.1585,1.1585,1.1585,189,0
JCSE.US,5,20250312,175000,1.13,1.13,1.13,1.13,100,0
JCSE.US,5,20250312,180500,1.12,1.12,1.12,1.12,199,0
JCSE.US,5,20250312,183500,1.12,1.12,1.12,1.12,100,0
JCSE.US,5,20250312,204000,1.13,1.13,1.13,1.13,100,0
JCSE.US,5,20250313,205500,1.06,1.06,1.06,1.06,200,0
JCSE.US,5,20250314,143000,1.08,1.08,1.08,1.08,331,0
JCSE.US,5,20250314,143500,1.12,1.12,1.12,1.12,100,0
JCSE.US,5,20250314,184500,1.11,1.11,1.11,1.11,100,0
JCSE.US,5,20250314,200500,1.1462,1.1462,1.1462,1.1462,468,0
JCSE.US,5,20250314,204000,1.1364,1.1364,1.1364,1.1364,2483,0
JCSE.US,5,20250317,151000,1.14,1.14,1.14,1.14,100,0
JCSE.US,5,20250317,170500,1.17,1.17,1.17,1.17,360,0
JCSE.US,5,20250317,185500,1.12,1.12,1.12,1.12,100,0
JCSE.US,5,20250317,191500,1.12,1.12,1.12,1.12,558,0
JCSE.US,5,20250317,195000,1.09,1.09,1.09,1.09,100,0
JCSE.US,5,20250317,201500,1.07,1.07,1.07,1.07,100,0
JCSE.US,5,20250317,203500,1.15,1.15,1.15,1.15,300,0
JCSE.US,5,20250317,204000,1.08,1.08,1.08,1.08,100,0
JCSE.US,5,20250317,204500,1.08,1.08,1.08,1.08,100,0
JCSE.US,5,20250318,165000,1.125,1.125,1.125,1.125,294,0
JCSE.US,5,20250318,205000,1.09,1.09,1.09,1.09,400,0
JCSE.US,5,20250321,144000,1.1176,1.1176,1.1176,1.1176,339,0
JCSE.US,5,20250324,144000,1.135,1.135,1.1101,1.1101,500,0
JCSE.US,5,20250324,200500,1.1,1.1,1.1,1.1,900,0
JCSE.US,5,20250324,205500,1.11,1.11,1.11,1.11,474,0
JCSE.US,5,20250325,201500,1.0634,1.12,1.0634,1.12,1107,0
JCSE.US,5,20250326,143000,1.12,1.12,1.12,1.12,127,0
JCSE.US,5,20250326,170000,1.09,1.09,1.09,1.09,166,0
JCSE.US,5,20250327,191000,1.0645,1.0645,1.0645,1.0645,200,0
JCSE.US,5,20250328,143000,1.06,1.06,1.06,1.06,103,0
JCSE.US,5,20250328,172500,1.08,1.08,1.07,1.07,2992,0
JCSE.US,5,20250403,214500,1.06,1.06,1.06,1.06,600,0
JCSE.US,5,20250404,161500,1.06,1.06,1.02,1.02,498,0
JCSE.US,5,20250404,193500,1.01,1.01,0.955,1,514,0
JCSE.US,5,20250407,153000,1.54,1.54,1.41,1.41,3659,0
JCSE.US,5,20250407,153500,1.44,1.44,1.195,1.195,510,0
JCSE.US,5,20250407,154000,1.2,1.2,1.1301,1.172,3209,0
JCSE.US,5,20250407,154500,1.19,1.19,1.19,1.19,1025,0
JCSE.US,5,20250407,155000,1.1899,1.19,1.1584,1.18,1607,0
JCSE.US,5,20250407,155500,1.1548,1.1889,1.1548,1.1889,800,0
JCSE.US,5,20250407,161500,1.21,1.35,1.2099,1.35,700,0
JCSE.US,5,20250407,162000,1.388,1.388,1.2808,1.2856,332,0
JCSE.US,5,20250407,162500,1.29,1.29,1.29,1.29,100,0
JCSE.US,5,20250407,163000,1.2399,1.2399,1.2399,1.2399,100,0
JCSE.US,5,20250407,163500,1.16,1.16,1.14,1.14,300,0
JCSE.US,5,20250407,164000,1.155,1.155,1.155,1.155,309,0
JCSE.US,5,20250407,164500,1.165,1.165,1.165,1.165,1200,0
JCSE.US,5,20250407,165000,1.1104,1.1104,1.1104,1.1104,166,0
JCSE.US,5,20250407,171000,1.11,1.11,1.11,1.11,1186,0
JCSE.US,5,20250407,171500,1.1147,1.1147,1.1147,1.1147,200,0
JCSE.US,5,20250407,174000,1.1268,1.1268,1.1268,1.1268,212,0
JCSE.US,5,20250407,185500,1.225,1.225,1.225,1.225,100,0
JCSE.US,5,20250407,191500,1.14,1.14,1.08,1.12,849,0
JCSE.US,5,20250407,195500,1.11,1.11,1.11,1.11,100,0
JCSE.US,5,20250407,202000,1.0496,1.0496,1.02,1.0289,4749,0
JCSE.US,5,20250407,202500,1.08,1.1,1.01,1.01,6484,0
JCSE.US,5,20250407,203500,1.005,1.005,1.005,1.005,7500,0
JCSE.US,5,20250407,204000,1.115,1.115,1.0198,1.07,41133,0
JCSE.US,5,20250407,204500,1.07,1.09,1.0199,1.07,16449,0
JCSE.US,5,20250407,205000,1.0705,1.1,1.02,1.0903,28998,0
JCSE.US,5,20250407,205500,1.04,1.1,1.0199,1.05,26700,0
JCSE.US,5,20250407,210000,1.09,1.09,1.03,1.05,2748,0
JCSE.US,5,20250407,210500,1.0154,1.15,1.01,1.06,9555,0
JCSE.US,5,20250407,211000,1.09,1.09,1.01,1.01,3699,0
JCSE.US,5,20250407,211500,1.0198,1.1,1.0198,1.02,16600,0
JCSE.US,5,20250407,212000,1.08,1.11,1,1.0298,12013,0
JCSE.US,5,20250407,212500,1.08,1.125,1.03,1.1,14500,0
JCSE.US,5,20250407,213000,1.08,1.14,1,1,8800,0
JCSE.US,5,20250407,213500,1.01,1.01,1.01,1.01,100,0
JCSE.US,5,20250407,214500,1.02,1.11,1.0099,1.08,10500,0
JCSE.US,5,20250407,215000,1.08,1.08,1,1,11761,0
JCSE.US,5,20250407,215500,1,1,1,1,237,0
JCSE.US,5,20250408,155500,1.04,1.1,1.04,1.1,381,0
JCSE.US,5,20250408,161500,1.06,1.09,1.06,1.09,2750,0
JCSE.US,5,20250408,162000,1.14,1.16,1.03,1.03,6050,0
JCSE.US,5,20250408,165000,1.02,1.02,1.02,1.02,288,0
JCSE.US,5,20250408,165500,1.02,1.02,1.02,1.02,300,0
JCSE.US,5,20250408,170000,1.0008,1.0008,1.0008,1.0008,100,0
JCSE.US,5,20250408,172500,1.0265,1.0265,1.0265,1.0265,108,0
JCSE.US,5,20250408,180500,1.03,1.1005,1.03,1.05,6895,0
JCSE.US,5,20250408,191000,1.0396,1.0396,1.0396,1.0396,500,0
JCSE.US,5,20250408,195500,1.02,1.02,1.02,1.02,190,0
JCSE.US,5,20250408,200000,1.04,1.04,1.04,1.04,150,0
JCSE.US,5,20250408,201500,1.0282,1.0282,1.0282,1.0282,100,0
JCSE.US,5,20250408,210000,1.02,1.02,1.02,1.02,123,0
JCSE.US,5,20250408,214000,1.0312,1.0312,1,1,2215,0
JCSE.US,5,20250408,215000,1.015,1.015,1.015,1.015,233,0
JCSE.US,5,20250408,215500,1,1,1,1,100,0
JCSE.US,5,20250409,153000,0.95,1.0519,0.95,1.0519,1800,0
JCSE.US,5,20250409,153500,1.06,1.1893,1.01,1.1893,5797,0
JCSE.US,5,20250409,154000,1.01,1.07,1.01,1.05,4426,0
JCSE.US,5,20250409,154500,1.1,1.1,0.95,0.9543,3982,0
JCSE.US,5,20250409,160000,0.9519,0.9519,0.9519,0.9519,100,0
JCSE.US,5,20250409,161000,0.952799,0.961049,0.9439,0.9439,400,0
JCSE.US,5,20250409,163500,0.919999,0.9706,0.9152,0.9152,12549,0
JCSE.US,5,20250409,164000,0.98,0.984658,0.977232,0.977232,1455,0
JCSE.US,5,20250409,174500,0.9575,0.9575,0.9575,0.9575,548,0
JCSE.US,5,20250409,175000,0.955,0.955,0.955,0.955,200,0
JCSE.US,5,20250409,181500,0.91,0.91,0.91,0.91,400,0
JCSE.US,5,20250409,193500,0.9599,0.9599,0.9599,0.9599,1251,0
JCSE.US,5,20250409,194000,0.96,0.9601,0.96,0.9601,5200,0
JCSE.US,5,20250409,202500,0.9938,1.02,0.981099,0.981099,542,0
JCSE.US,5,20250410,190000,0.9811,0.9811,0.9811,0.9811,116,0
JCSE.US,5,20250410,191000,1.0155,1.0155,1.0155,1.0155,333,0
JCSE.US,5,20250410,213500,0.9535,0.963,0.94,0.94,14305,0
JCSE.US,5,20250410,215500,0.927,0.927,0.9255,0.927,1379,0
JCSE.US,5,20250411,154500,0.91275,0.91275,0.91275,0.91275,400,0
JCSE.US,5,20250411,155000,0.9,0.9,0.9,0.9,700,0
JCSE.US,5,20250411,165000,0.9,0.9,0.9,0.9,320,0
JCSE.US,5,20250411,184000,0.91275,0.91275,0.91275,0.91275,1280,0
JCSE.US,5,20250411,202000,0.9,0.9,0.9,0.9,100,0
JCSE.US,5,20250411,211500,0.9127,0.9127,0.9127,0.9127,440,0
JCSE.US,5,20250411,215500,0.9127,0.9127,0.9127,0.9127,411,0
JCSE.US,5,20250414,195500,0.94875,0.94875,0.94875,0.94875,351,0
JCSE.US,5,20250414,214500,0.901,0.901,0.901,0.901,138,0
JCSE.US,5,20250415,153500,0.98,0.98,0.98,0.98,191,0
JCSE.US,5,20250415,162000,0.9097,0.9195,0.9,0.9195,4406,0
JCSE.US,5,20250415,180000,0.93,0.93,0.93,0.93,399,0
JCSE.US,5,20250416,154500,0.965,0.965,0.9335,0.9335,653,0
JCSE.US,5,20250416,155500,0.94,0.94,0.94,0.94,800,0
JCSE.US,5,20250416,165000,0.96,0.96,0.96,0.96,100,0
JCSE.US,5,20250416,213500,0.94,0.94,0.94,0.94,400,0
JCSE.US,5,20250416,215500,0.94,0.94,0.94,0.94,398,0
JCSE.US,5,20250417,163000,0.99,0.99,0.99,0.99,375,0
JCSE.US,5,20250417,171000,0.9264,0.9264,0.9264,0.9264,113,0
JCSE.US,5,20250417,201000,0.98,0.98,0.91,0.9611,12892,0
JCSE.US,5,20250421,153000,0.9991,0.9991,0.9991,0.9991,1205,0
JCSE.US,5,20250421,153500,0.9991,1.0047,0.9991,0.9991,336,0
JCSE.US,5,20250421,154500,0.9991,0.9991,0.9991,0.9991,220,0
JCSE.US,5,20250421,160000,1.004,1.004,1.004,1.004,200,0
JCSE.US,5,20250421,161000,0.9991,0.9991,0.9991,0.9991,100,0
JCSE.US,5,20250421,162000,1.0754,1.0754,1.0754,1.0754,4900,0
JCSE.US,5,20250421,170000,0.9991,0.9991,0.96955,0.9696,4302,0
JCSE.US,5,20250421,175000,0.9152,0.9152,0.9152,0.9152,100,0
JCSE.US,5,20250421,181000,0.9152,0.9246,0.9152,0.9152,800,0
JCSE.US,5,20250421,183000,0.9152,0.9152,0.9152,0.9152,200,0
JCSE.US,5,20250421,195500,0.9055,0.9055,0.9055,0.9055,100,0
JCSE.US,5,20250421,212500,0.949,0.949,0.949,0.949,455,0
JCSE.US,5,20250421,214500,0.9,0.9,0.9,0.9,200,0
JCSE.US,5,20250421,215500,0.9175,0.9175,0.9175,0.9175,200,0
JCSE.US,5,20250422,154000,1.0999,1.0999,0.9224,0.9224,7200,0
JCSE.US,5,20250422,154500,0.9763,1.03,0.9763,0.9811,2500,0
JCSE.US,5,20250422,162000,0.981,0.981,0.981,0.981,800,0
JCSE.US,5,20250423,153000,0.981,0.981,0.981,0.981,250,0
JCSE.US,5,20250423,161500,0.95,0.95,0.95,0.95,382,0
JCSE.US,5,20250423,162500,0.99,0.99,0.99,0.99,500,0
JCSE.US,5,20250423,165000,0.9202,0.9202,0.9202,0.9202,500,0
JCSE.US,5,20250423,171500,0.9202,0.9202,0.9202,0.9202,392,0
JCSE.US,5,20250423,174000,0.948,0.948,0.948,0.948,774,0
JCSE.US,5,20250423,203000,0.925,0.925,0.925,0.925,400,0
JCSE.US,5,20250423,204000,0.936,0.936,0.936,0.936,141,0
JCSE.US,5,20250423,210000,0.925,0.925,0.925,0.925,100,0
JCSE.US,5,20250423,214000,0.94,0.94,0.8964,0.8964,5365,0
JCSE.US,5,20250423,214500,0.8911,0.8999,0.8911,0.8999,2120,0
JCSE.US,5,20250424,153000,0.9,0.9,0.9,0.9,1445,0
JCSE.US,5,20250424,154000,0.9,0.900001,0.9,0.900001,784,0
JCSE.US,5,20250425,155500,0.9,0.9,0.9,0.9,543,0
JCSE.US,5,20250425,174500,0.93,0.98,0.93,0.97,5800,0
JCSE.US,5,20250425,175000,1.02,1.08,0.992,1,10839,0
JCSE.US,5,20250425,175500,1.02,1.02,0.9699,0.9699,856,0
JCSE.US,5,20250425,180000,0.9699,0.9699,0.9,0.9,1643,0
JCSE.US,5,20250428,153000,0.95,0.95,0.95,0.95,523,0
JCSE.US,5,20250428,161000,0.98,0.98,0.98,0.98,3000,0
JCSE.US,5,20250428,163000,0.95,0.95,0.95,0.95,1000,0
