<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCDS.US,5,20250226,165500,56.17,56.17,56.17,56.17,250,0
MCDS.US,5,20250226,170000,56.2,56.2,56.2,56.2,310,0
MCDS.US,5,20250227,172500,56.01,56.01,56.01,56.01,308,0
MCDS.US,5,20250228,190000,55.3203,55.3203,55.3203,55.3203,166,0
MCDS.US,5,20250303,192000,55.84,55.84,55.84,55.84,2041,0
MCDS.US,5,20250303,212000,55.06,55.06,55.06,55.06,700,0
MCDS.US,5,20250304,172000,53.68,53.68,53.68,53.68,2800,0
MCDS.US,5,20250304,205500,54.71,54.71,54.71,54.71,700,0
MCDS.US,5,20250305,195000,54.31,54.31,54.31,54.31,920,0
MCDS.US,5,20250305,205000,54.66,54.66,54.66,54.66,915,0
MCDS.US,5,20250305,210500,54.71,54.71,54.71,54.71,915,0
MCDS.US,5,20250307,162000,53.27,53.27,53.27,53.27,100,0
MCDS.US,5,20250307,214500,53.75,53.75,53.74,53.74,1403,0
MCDS.US,5,20250310,151000,52.93,52.93,52.93,52.93,100,0
MCDS.US,5,20250310,154000,52.82,52.82,52.82,52.82,501,0
MCDS.US,5,20250311,182000,51.8511,51.8511,51.8511,51.8511,1000,0
MCDS.US,5,20250311,183000,51.76,51.76,51.76,51.76,100,0
MCDS.US,5,20250312,165000,52.07,52.07,52.07,52.07,1000,0
MCDS.US,5,20250312,193000,52.34,52.34,52.34,52.34,215,0
MCDS.US,5,20250312,194500,52.43,52.43,52.43,52.43,700,0
MCDS.US,5,20250312,200000,52.33,52.33,52.33,52.33,255,0
MCDS.US,5,20250314,161500,52.36,52.36,52.36,52.36,332,0
MCDS.US,5,20250314,172000,52.31,52.31,52.31,52.31,627,0
MCDS.US,5,20250314,175500,52.34,52.34,52.34,52.34,587,0
MCDS.US,5,20250318,192500,52.93,52.93,52.93,52.93,700,0
MCDS.US,5,20250319,164000,53.24,53.24,53.24,53.24,172,0
MCDS.US,5,20250321,145000,52.67,52.67,52.67,52.67,1800,0
MCDS.US,5,20250324,155000,54.06,54.06,54.03,54.03,1200,0
MCDS.US,5,20250324,161500,54.12,54.12,54.12,54.12,600,0
MCDS.US,5,20250324,171500,54.19,54.19,54.18,54.18,600,0
MCDS.US,5,20250324,183000,54.05,54.05,54.05,54.05,300,0
MCDS.US,5,20250324,195500,54.1,54.1,54.1,54.1,1200,0
MCDS.US,5,20250325,154000,54.11,54.11,54.11,54.11,100,0
MCDS.US,5,20250326,164000,53.9,53.9,53.9,53.9,700,0
MCDS.US,5,20250326,172500,53.79,53.79,53.79,53.79,116,0
MCDS.US,5,20250404,160500,48.1,48.1,48.1,48.1,4900,0
MCDS.US,5,20250404,162000,47.92,47.92,47.92,47.92,700,0
MCDS.US,5,20250404,163000,47.79,47.79,47.79,47.79,2800,0
MCDS.US,5,20250404,163500,47.63,47.63,47.63,47.63,2100,0
MCDS.US,5,20250404,164000,47.7,47.7,47.7,47.7,100,0
MCDS.US,5,20250404,165000,47.35,47.35,47.35,47.35,3500,0
MCDS.US,5,20250404,165500,47.7,47.7,47.7,47.7,2100,0
MCDS.US,5,20250404,181500,48.24,48.24,48.24,48.24,2100,0
MCDS.US,5,20250404,183000,47.89,47.89,47.89,47.89,700,0
MCDS.US,5,20250404,183500,47.82,47.82,47.82,47.82,2800,0
MCDS.US,5,20250404,185000,47.77,47.77,47.77,47.77,1400,0
MCDS.US,5,20250404,191000,47.77,47.77,47.63,47.63,1400,0
MCDS.US,5,20250404,191500,47.5,47.5,47.5,47.5,2800,0
MCDS.US,5,20250404,193000,47.71,47.71,47.71,47.71,3500,0
MCDS.US,5,20250404,203000,47.62,47.62,47.62,47.62,1400,0
MCDS.US,5,20250404,204000,47.49,47.49,47.34,47.34,6300,0
MCDS.US,5,20250404,205500,47.54,47.54,47.54,47.54,2100,0
MCDS.US,5,20250407,205500,46.99,46.99,46.9899,46.9899,884,0
MCDS.US,5,20250408,171000,48.09,48.09,48.09,48.09,5177,0
MCDS.US,5,20250408,205000,46.91,46.91,46.91,46.91,1068,0
MCDS.US,5,20250408,215500,46.26,46.26,46.26,46.26,700,0
MCDS.US,5,20250409,185500,46.27,46.27,46.27,46.27,453,0
MCDS.US,5,20250409,195500,49.33,49.53,49.33,49.53,9800,0
MCDS.US,5,20250409,200500,49.45,49.45,49.45,49.45,700,0
MCDS.US,5,20250409,201000,49.69,49.69,49.69,49.69,4200,0
MCDS.US,5,20250409,202000,50.09,50.09,50.09,50.09,4200,0
MCDS.US,5,20250409,211000,49.97,49.97,49.97,49.97,1400,0
MCDS.US,5,20250410,165000,48.83,48.83,48.83,48.83,2800,0
MCDS.US,5,20250410,165500,48.78,48.78,48.78,48.78,1000,0
MCDS.US,5,20250415,194000,49.91,49.91,49.91,49.91,123,0
MCDS.US,5,20250416,191500,49.64,49.64,49.64,49.64,222,0
MCDS.US,5,20250422,214000,49.67,49.7,49.67,49.7,464,0
MCDS.US,5,20250423,205000,50.47,50.47,50.47,50.47,100,0
MCDS.US,5,20250430,182500,51.3,51.3,51.3,51.3,100,0
MCDS.US,5,20250501,171500,52.51,52.51,52.51,52.51,100,0
MCDS.US,5,20250508,194000,53.74,53.74,53.74,53.74,100,0
MCDS.US,5,20250509,204500,53.27,53.27,53.27,53.27,100,0
MCDS.US,5,20250610,215000,55.32,55.3254,55.32,55.3254,200,0
