<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCSE.US,5,20250224,215500,14.32,14.32,14.32,14.32,100,0
MCSE.US,5,20250225,153000,14.39,14.39,14.39,14.39,305,0
MCSE.US,5,20250225,175500,14.32,14.32,14.32,14.32,100,0
MCSE.US,5,20250225,185500,14.34,14.3423,14.33,14.3423,8747,0
MCSE.US,5,20250225,191000,14.36,14.36,14.36,14.36,100,0
MCSE.US,5,20250225,192000,14.35,14.35,14.35,14.35,100,0
MCSE.US,5,20250225,193500,14.35,14.35,14.35,14.35,100,0
MCSE.US,5,20250225,195000,14.365,14.365,14.36,14.36,200,0
MCSE.US,5,20250225,201500,14.32,14.32,14.32,14.32,100,0
MCSE.US,5,20250225,202500,14.32,14.32,14.32,14.32,100,0
MCSE.US,5,20250225,204000,14.36,14.36,14.36,14.36,100,0
MCSE.US,5,20250225,204500,14.36,14.36,14.36,14.36,100,0
MCSE.US,5,20250225,205000,14.365,14.365,14.365,14.365,107,0
MCSE.US,5,20250225,205500,14.365,14.365,14.365,14.365,100,0
MCSE.US,5,20250227,180000,14.089,14.089,14.089,14.089,1672,0
MCSE.US,5,20250228,215000,13.98,13.98,13.98,13.98,100,0
MCSE.US,5,20250303,214500,13.99,13.99,13.99,13.99,179,0
MCSE.US,5,20250303,215000,14,14,14,14,134,0
MCSE.US,5,20250304,180000,13.84,13.84,13.84,13.84,100,0
MCSE.US,5,20250305,200500,14.37,14.37,14.37,14.37,100,0
MCSE.US,5,20250306,202000,14.23,14.23,14.2299,14.2299,560,0
MCSE.US,5,20250306,211500,14.27,14.27,14.27,14.27,100,0
MCSE.US,5,20250307,190500,14.29,14.29,14.29,14.29,100,0
MCSE.US,5,20250307,214000,14.4031,14.4031,14.4031,14.4031,110,0
MCSE.US,5,20250310,184500,14,14,13.99,13.99,5594,0
MCSE.US,5,20250310,200500,13.94,13.94,13.895,13.895,2130,0
MCSE.US,5,20250310,202000,13.92,13.93,13.92,13.93,500,0
MCSE.US,5,20250310,202500,13.97,13.97,13.97,13.97,100,0
MCSE.US,5,20250310,205500,13.985,13.985,13.985,13.985,100,0
MCSE.US,5,20250311,161500,13.86,13.86,13.86,13.86,100,0
MCSE.US,5,20250314,162500,13.9869,13.9869,13.9869,13.9869,155,0
MCSE.US,5,20250314,204500,13.98,13.98,13.98,13.98,100,0
MCSE.US,5,20250319,174500,14.0701,14.0701,14.0701,14.0701,542,0
MCSE.US,5,20250319,200000,14.07,14.07,14.07,14.07,200,0
MCSE.US,5,20250320,152500,14.05,14.05,14.05,14.05,100,0
MCSE.US,5,20250320,203500,14,14,14,14,145,0
