<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MITK.US,5,20250224,153000,9.78,9.795,9.58,9.6764,47130,0
MITK.US,5,20250224,153500,9.695,9.695,9.57,9.58,6191,0
MITK.US,5,20250224,154000,9.535,9.5835,9.52,9.57,6495,0
MITK.US,5,20250224,154500,9.61,9.61,9.52,9.52,3740,0
MITK.US,5,20250224,155000,9.53,9.57,9.53,9.56,4685,0
MITK.US,5,20250224,155500,9.575178,9.575178,9.55,9.55,400,0
MITK.US,5,20250224,160000,9.56,9.66,9.56,9.65,2948,0
MITK.US,5,20250224,160500,9.64,9.71,9.62,9.71,2125,0
MITK.US,5,20250224,161000,9.725,9.725,9.71,9.71,800,0
MITK.US,5,20250224,161500,9.705,9.705,9.63,9.63,31768,0
MITK.US,5,20250224,162000,9.63,9.63,9.58,9.59,5615,0
MITK.US,5,20250224,162500,9.595,9.645,9.59,9.645,15970,0
MITK.US,5,20250224,163000,9.645,9.7,9.645,9.7,3044,0
MITK.US,5,20250224,163500,9.7,9.75,9.6599,9.66,10701,0
MITK.US,5,20250224,164000,9.67,9.67,9.63,9.63,3046,0
MITK.US,5,20250224,164500,9.64,9.65,9.61,9.65,2877,0
MITK.US,5,20250224,165000,9.63,9.65,9.6,9.65,6251,0
MITK.US,5,20250224,165500,9.66,9.66,9.65,9.65,350,0
MITK.US,5,20250224,170000,9.66,9.71,9.66,9.71,3019,0
MITK.US,5,20250224,170500,9.71,9.75,9.6933,9.75,4860,0
MITK.US,5,20250224,171000,9.74,9.75,9.72,9.73,7070,0
MITK.US,5,20250224,171500,9.72,9.73,9.72,9.73,200,0
MITK.US,5,20250224,172000,9.73,9.77,9.73,9.75,19011,0
MITK.US,5,20250224,172500,9.75,9.75,9.7,9.7,6048,0
MITK.US,5,20250224,173000,9.695,9.71,9.695,9.71,1937,0
MITK.US,5,20250224,173500,9.71,9.75,9.71,9.745,5128,0
MITK.US,5,20250224,174000,9.75,9.765,9.745,9.75,8803,0
MITK.US,5,20250224,174500,9.7567,9.77,9.7567,9.76,1491,0
MITK.US,5,20250224,175000,9.75,9.76,9.7491,9.76,862,0
MITK.US,5,20250224,175500,9.75,9.75,9.73,9.73,1318,0
MITK.US,5,20250224,180000,9.73,9.765,9.73,9.75,21440,0
MITK.US,5,20250224,180500,9.73,9.734,9.73,9.73,4590,0
MITK.US,5,20250224,181000,9.74,9.77,9.73,9.765,7561,0
MITK.US,5,20250224,181500,9.78,9.78,9.78,9.78,1065,0
MITK.US,5,20250224,182000,9.78,9.78,9.77,9.77,1435,0
MITK.US,5,20250224,182500,9.76,9.76,9.73,9.74,2305,0
MITK.US,5,20250224,183000,9.721,9.721,9.68,9.7,28828,0
MITK.US,5,20250224,183500,9.7,9.71,9.7,9.71,2708,0
MITK.US,5,20250224,184000,9.708,9.708,9.695,9.7,1004,0
MITK.US,5,20250224,184500,9.7,9.7094,9.69,9.69,6042,0
MITK.US,5,20250224,185000,9.67,9.67,9.66,9.66,900,0
MITK.US,5,20250224,185500,9.67,9.695,9.67,9.675,6651,0
