<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNTS.US,5,20250224,153000,3.56,3.56,3.49,3.49,9881,0
MNTS.US,5,20250224,153500,3.51,3.51,3.45,3.47,8220,0
MNTS.US,5,20250224,154000,3.46,3.47,3.458,3.47,3590,0
MNTS.US,5,20250224,154500,3.45,3.4518,3.35,3.35,33386,0
MNTS.US,5,20250224,155000,3.34,3.37,3.33,3.36,5002,0
MNTS.US,5,20250224,155500,3.33,3.3399,3.285,3.285,6922,0
MNTS.US,5,20250224,160000,3.285,3.3,3.21,3.22,23492,0
MNTS.US,5,20250224,160500,3.25,3.29,3.24,3.2536,2130,0
MNTS.US,5,20250224,161000,3.2829,3.2989,3.2501,3.2989,4993,0
MNTS.US,5,20250224,161500,3.2607,3.29,3.26,3.2604,6345,0
MNTS.US,5,20250224,162000,3.28,3.35,3.28,3.35,1150,0
MNTS.US,5,20250224,162500,3.315,3.315,3.3,3.3,200,0
MNTS.US,5,20250224,163500,3.3,3.31,3.3,3.31,400,0
MNTS.US,5,20250224,164000,3.324,3.324,3.324,3.324,200,0
MNTS.US,5,20250224,164500,3.31,3.33,3.3099,3.33,1275,0
MNTS.US,5,20250224,165000,3.34,3.34,3.34,3.34,400,0
MNTS.US,5,20250224,165500,3.35,3.35,3.335,3.349,1366,0
MNTS.US,5,20250224,170000,3.3467,3.36,3.3327,3.36,1480,0
MNTS.US,5,20250224,170500,3.4,3.4297,3.32,3.35,6126,0
MNTS.US,5,20250224,171000,3.38,3.39,3.345,3.379,3058,0
MNTS.US,5,20250224,171500,3.37,3.41,3.37,3.41,1242,0
MNTS.US,5,20250224,172000,3.402,3.41,3.402,3.41,500,0
MNTS.US,5,20250224,172500,3.395,3.395,3.3801,3.3801,577,0
MNTS.US,5,20250224,173000,3.41,3.41,3.4001,3.4001,300,0
MNTS.US,5,20250224,173500,3.4252,3.4252,3.39,3.39,900,0
MNTS.US,5,20250224,174000,3.4,3.4396,3.4,3.4396,1075,0
MNTS.US,5,20250224,174500,3.4106,3.4106,3.41,3.41,900,0
MNTS.US,5,20250224,175500,3.4001,3.4001,3.4,3.4,5300,0
MNTS.US,5,20250224,180000,3.3996,3.4099,3.3996,3.4099,500,0
MNTS.US,5,20250224,182000,3.4296,3.4296,3.4296,3.4296,125,0
MNTS.US,5,20250224,183000,3.3805,3.3805,3.3805,3.3805,1071,0
MNTS.US,5,20250224,183500,3.38,3.38,3.38,3.38,200,0
MNTS.US,5,20250224,184000,3.3815,3.3815,3.38,3.38,647,0
MNTS.US,5,20250224,184500,3.39,3.4,3.375,3.4,1086,0
MNTS.US,5,20250224,190000,3.42,3.42,3.42,3.42,140,0
MNTS.US,5,20250224,190500,3.381,3.4,3.381,3.4,517,0
MNTS.US,5,20250224,191000,3.385,3.385,3.385,3.385,100,0
MNTS.US,5,20250224,191500,3.38,3.38,3.3601,3.3601,403,0
MNTS.US,5,20250224,193000,3.3942,3.3942,3.3942,3.3942,160,0
MNTS.US,5,20250224,193500,3.38,3.38,3.38,3.38,100,0
MNTS.US,5,20250224,194000,3.37,3.37,3.37,3.37,107,0
MNTS.US,5,20250224,194500,3.38,3.42,3.38,3.42,1555,0
MNTS.US,5,20250224,195500,3.41,3.41,3.41,3.41,800,0
MNTS.US,5,20250224,200000,3.3911,3.3911,3.3911,3.3911,1617,0
MNTS.US,5,20250224,200500,3.405,3.405,3.405,3.405,100,0
MNTS.US,5,20250224,201500,3.3901,3.3901,3.39,3.39,1384,0
MNTS.US,5,20250224,202000,3.36,3.36,3.31,3.325,6030,0
MNTS.US,5,20250224,204000,3.33,3.33,3.26,3.3001,8345,0
MNTS.US,5,20250224,204500,3.31,3.34,3.31,3.32,1700,0
MNTS.US,5,20250224,205000,3.34,3.34,3.34,3.34,200,0
MNTS.US,5,20250224,205500,3.3606,3.3606,3.345,3.345,2250,0
MNTS.US,5,20250224,210000,3.3629,3.3629,3.3629,3.3629,999,0
MNTS.US,5,20250224,210500,3.34,3.34,3.3208,3.3208,1317,0
MNTS.US,5,20250224,211000,3.34,3.34,3.32,3.32,4300,0
MNTS.US,5,20250224,212000,3.3212,3.3425,3.3212,3.3425,1020,0
MNTS.US,5,20250224,212500,3.3499,3.36,3.31,3.35,5555,0
MNTS.US,5,20250224,213000,3.36,3.36,3.344614,3.344614,2800,0
MNTS.US,5,20250224,213500,3.37,3.37,3.37,3.37,800,0
MNTS.US,5,20250224,214500,3.35,3.38,3.32,3.38,5371,0
MNTS.US,5,20250224,215000,3.385,3.385,3.385,3.385,400,0
MNTS.US,5,20250224,215500,3.38,3.39,3.351,3.38,12741,0
MNTS.US,5,20250225,153000,3.315,3.315,3.315,3.315,100,0
MNTS.US,5,20250225,153500,3.32,3.32,3.26,3.27,1125,0
MNTS.US,5,20250225,154000,3.3395,3.3395,3.3395,3.3395,2745,0
MNTS.US,5,20250225,154500,3.3388,3.3388,3.2503,3.2503,3778,0
MNTS.US,5,20250225,155000,3.3,3.3,3.28,3.28,670,0
MNTS.US,5,20250225,155500,3.275,3.28,3.22,3.28,1820,0
MNTS.US,5,20250225,160000,3.23,3.242,3.2,3.21,5492,0
MNTS.US,5,20250225,160500,3.2005,3.2275,3.2005,3.2275,700,0
MNTS.US,5,20250225,161000,3.2099,3.2115,3.19,3.195,4674,0
MNTS.US,5,20250225,161500,3.2098,3.2098,3.15,3.15,5699,0
MNTS.US,5,20250225,162000,3.0853,3.0853,3.0853,3.0853,142,0
MNTS.US,5,20250225,162500,3.0901,3.15,3.02,3.06,21687,0
MNTS.US,5,20250225,163000,3.0767,3.1189,3.06,3.09,4658,0
MNTS.US,5,20250225,163500,3.085,3.11,3.085,3.11,1086,0
MNTS.US,5,20250225,164000,3.0939,3.12,3.0939,3.11,1223,0
MNTS.US,5,20250225,164500,3.1116,3.1369,3.1101,3.1156,1118,0
MNTS.US,5,20250225,165000,3.1759,3.1759,3.1501,3.1501,440,0
MNTS.US,5,20250225,170000,3.15,3.15,3.135,3.135,1326,0
MNTS.US,5,20250225,170500,3.1201,3.135,3.1201,3.135,750,0
MNTS.US,5,20250225,171000,3.1489,3.15,3.14,3.14,1270,0
MNTS.US,5,20250225,171500,3.136,3.136,3.13,3.13,830,0
MNTS.US,5,20250225,172000,3.12,3.12,3.12,3.12,820,0
MNTS.US,5,20250225,172500,3.1211,3.1211,3.11,3.11,2538,0
MNTS.US,5,20250225,173000,3.11,3.11,3.06,3.06,1650,0
MNTS.US,5,20250225,173500,3.085,3.1,3.07,3.1,1188,0
MNTS.US,5,20250225,174000,3.1189,3.1189,3.0803,3.0803,4240,0
MNTS.US,5,20250225,174500,3.08,3.1,3.08,3.1,1292,0
MNTS.US,5,20250225,175500,3.115,3.13,3.115,3.13,695,0
MNTS.US,5,20250225,180000,3.1451,3.1451,3.1033,3.1033,805,0
MNTS.US,5,20250225,180500,3.1,3.1,3.08,3.08,937,0
MNTS.US,5,20250225,181000,3.1,3.1,3.1,3.1,230,0
MNTS.US,5,20250225,181500,3.1159,3.12,3.08,3.08,1200,0
MNTS.US,5,20250225,182000,3.06,3.06,3.06,3.06,1307,0
MNTS.US,5,20250225,182500,3.065,3.07,3.065,3.07,580,0
MNTS.US,5,20250225,183000,3.065,3.065,3.0511,3.065,3340,0
MNTS.US,5,20250225,183500,3.09,3.09,3.09,3.09,100,0
MNTS.US,5,20250225,184000,3.07,3.07,3.07,3.07,627,0
MNTS.US,5,20250225,184500,3.09,3.1001,3.09,3.1001,370,0
MNTS.US,5,20250225,190500,3.1286,3.15,3.1286,3.15,9144,0
MNTS.US,5,20250225,191000,3.1646,3.1649,3.1646,3.1649,400,0
MNTS.US,5,20250225,191500,3.15,3.15,3.15,3.15,1500,0
MNTS.US,5,20250225,192500,3.13,3.13,3.13,3.13,2500,0
MNTS.US,5,20250225,193000,3.1,3.1,3.04,3.08,3794,0
MNTS.US,5,20250225,193500,3.08,3.08,3.07,3.075,500,0
