<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRINQ.US,5,20250224,153000,1.9,1.9,1.9,1.9,632,0
MRINQ.US,5,20250224,155500,1.909,1.909,1.909,1.909,500,0
MRINQ.US,5,20250224,160000,1.9011,2.01,1.9011,1.909,3500,0
MRINQ.US,5,20250224,161000,1.91,1.91,1.91,1.91,300,0
MRINQ.US,5,20250224,164000,1.9266,1.9266,1.9266,1.9266,1000,0
MRINQ.US,5,20250224,170000,1.9122,1.9122,1.9122,1.9122,167,0
MRINQ.US,5,20250224,173000,1.91,1.91,1.9001,1.9001,1167,0
MRINQ.US,5,20250224,173500,1.955,1.955,1.955,1.955,128,0
MRINQ.US,5,20250224,175500,1.91,1.91,1.9,1.9,279,0
MRINQ.US,5,20250224,181000,1.91,1.91,1.91,1.91,100,0
MRINQ.US,5,20250224,182500,1.9,1.9,1.9,1.9,200,0
MRINQ.US,5,20250224,184000,1.92,1.92,1.91,1.92,500,0
MRINQ.US,5,20250224,184500,1.92,1.92,1.92,1.92,500,0
MRINQ.US,5,20250224,185000,1.9,1.9109,1.9,1.9109,750,0
MRINQ.US,5,20250224,213500,1.9,1.9,1.9,1.9,207,0
MRINQ.US,5,20250224,215000,1.93,1.93,1.87,1.87,4714,0
MRINQ.US,5,20250224,215500,1.8878,1.89,1.8878,1.89,860,0
MRINQ.US,5,20250225,163500,1.88,1.9157,1.88,1.9157,7053,0
MRINQ.US,5,20250225,164000,1.88,1.8806,1.88,1.8806,909,0
MRINQ.US,5,20250225,170500,1.891,1.891,1.891,1.891,100,0
MRINQ.US,5,20250225,175000,1.9,1.9,1.89,1.89,999,0
MRINQ.US,5,20250225,190000,1.89,1.89,1.89,1.89,768,0
MRINQ.US,5,20250225,191000,1.88,1.88,1.88,1.88,330,0
MRINQ.US,5,20250225,201000,1.86,1.87,1.86,1.87,600,0
MRINQ.US,5,20250225,203500,1.86,1.86,1.86,1.86,100,0
MRINQ.US,5,20250225,215000,1.87,1.87,1.87,1.87,100,0
MRINQ.US,5,20250225,215500,1.97,1.97,1.97,1.97,475,0
MRINQ.US,5,20250226,153000,1.97,1.99,1.97,1.99,500,0
MRINQ.US,5,20250226,154000,1.97,1.97,1.955,1.955,370,0
MRINQ.US,5,20250226,160500,1.9154,1.9154,1.9154,1.9154,168,0
MRINQ.US,5,20250226,165500,1.852,1.852,1.85,1.85,600,0
MRINQ.US,5,20250226,170500,1.91,1.91,1.91,1.91,208,0
MRINQ.US,5,20250226,172500,1.9,1.9,1.9,1.9,200,0
MRINQ.US,5,20250226,173500,1.87,1.87,1.87,1.87,100,0
MRINQ.US,5,20250226,185000,1.87,1.87,1.87,1.87,228,0
MRINQ.US,5,20250226,202500,1.86,1.86,1.86,1.86,100,0
MRINQ.US,5,20250226,203500,1.86,1.905,1.86,1.905,888,0
MRINQ.US,5,20250226,204000,1.87,1.87,1.86,1.86,206,0
MRINQ.US,5,20250226,205500,1.8989,1.8989,1.8989,1.8989,130,0
MRINQ.US,5,20250226,210500,1.884,1.8995,1.884,1.8995,919,0
MRINQ.US,5,20250226,212000,1.85,1.85,1.8472,1.8472,914,0
MRINQ.US,5,20250226,213500,1.83,1.83,1.83,1.83,200,0
MRINQ.US,5,20250226,214500,1.85,1.85,1.85,1.85,500,0
MRINQ.US,5,20250226,215500,1.8408,1.849,1.83,1.83,2819,0
MRINQ.US,5,20250227,153000,1.83,1.83,1.83,1.83,613,0
MRINQ.US,5,20250227,154000,1.8301,1.8301,1.8301,1.8301,990,0
MRINQ.US,5,20250227,154500,1.83,1.8301,1.83,1.8301,719,0
MRINQ.US,5,20250227,155500,1.825,1.825,1.825,1.825,200,0
MRINQ.US,5,20250227,163500,1.8,1.8,1.8,1.8,1095,0
MRINQ.US,5,20250227,165000,1.8,1.8,1.8,1.8,200,0
MRINQ.US,5,20250227,170000,1.83,1.83,1.8,1.8,903,0
MRINQ.US,5,20250227,173500,1.8,1.8,1.8,1.8,100,0
MRINQ.US,5,20250227,175000,1.8,1.8,1.8,1.8,571,0
MRINQ.US,5,20250227,180000,1.83,1.83,1.83,1.83,177,0
MRINQ.US,5,20250227,182000,1.8,1.8,1.78,1.78,756,0
MRINQ.US,5,20250227,184000,1.75,1.75,1.75,1.75,471,0
MRINQ.US,5,20250227,184500,1.7506,1.7506,1.7506,1.7506,240,0
MRINQ.US,5,20250227,193000,1.8,1.8,1.785,1.785,6750,0
MRINQ.US,5,20250227,194500,1.78,1.78,1.78,1.78,100,0
MRINQ.US,5,20250227,201500,1.77,1.78,1.77,1.78,300,0
MRINQ.US,5,20250227,202500,1.78,1.7897,1.75,1.765,8698,0
MRINQ.US,5,20250227,205000,1.75,1.75,1.75,1.75,300,0
MRINQ.US,5,20250227,211000,1.7782,1.7782,1.7782,1.7782,400,0
MRINQ.US,5,20250227,212000,1.7851,1.7851,1.7851,1.7851,1000,0
MRINQ.US,5,20250227,213000,1.75,1.75,1.75,1.75,1152,0
MRINQ.US,5,20250227,213500,1.76,1.76,1.75,1.75,283,0
MRINQ.US,5,20250227,214000,1.76,1.76,1.76,1.76,624,0
MRINQ.US,5,20250227,215000,1.7507,1.7507,1.72,1.72,2289,0
MRINQ.US,5,20250227,215500,1.72,1.726,1.7,1.7,1011,0
MRINQ.US,5,20250228,153000,1.7,1.72,1.7,1.72,366,0
MRINQ.US,5,20250228,154000,1.755,1.755,1.755,1.755,100,0
MRINQ.US,5,20250228,155000,1.72,1.72,1.72,1.72,664,0
MRINQ.US,5,20250228,161000,1.7779,1.7779,1.7779,1.7779,1000,0
MRINQ.US,5,20250228,163500,1.7,1.7,1.7,1.7,444,0
MRINQ.US,5,20250228,180000,1.701,1.701,1.701,1.701,231,0
MRINQ.US,5,20250228,184500,1.71,1.71,1.71,1.71,100,0
MRINQ.US,5,20250228,191000,1.7,1.7,1.7,1.7,173,0
MRINQ.US,5,20250228,191500,1.7,1.7,1.7,1.7,748,0
MRINQ.US,5,20250228,194000,1.7,1.7,1.7,1.7,100,0
MRINQ.US,5,20250228,200500,1.7,1.7,1.7,1.7,100,0
MRINQ.US,5,20250228,201000,1.7,1.7,1.7,1.7,100,0
MRINQ.US,5,20250228,204000,1.71,1.71,1.67,1.67,4134,0
MRINQ.US,5,20250228,205000,1.66,1.66,1.66,1.66,200,0
MRINQ.US,5,20250228,210000,1.71,1.71,1.71,1.71,100,0
MRINQ.US,5,20250228,212500,1.67,1.67,1.67,1.67,100,0
MRINQ.US,5,20250303,153000,1.7,1.7,1.7,1.7,319,0
MRINQ.US,5,20250303,154500,1.66,1.67,1.66,1.67,586,0
MRINQ.US,5,20250303,160000,1.66,1.66,1.64,1.64,1723,0
MRINQ.US,5,20250303,161500,1.64,1.64,1.64,1.64,100,0
MRINQ.US,5,20250303,162500,1.645,1.645,1.645,1.645,202,0
MRINQ.US,5,20250303,164500,1.65,1.65,1.65,1.65,100,0
MRINQ.US,5,20250303,165000,1.65,1.65,1.65,1.65,500,0
MRINQ.US,5,20250303,173500,1.63,1.63,1.6171,1.62,686,0
MRINQ.US,5,20250303,182500,1.64,1.64,1.64,1.64,100,0
MRINQ.US,5,20250303,184500,1.62,1.62,1.62,1.62,100,0
MRINQ.US,5,20250303,191000,1.635,1.635,1.635,1.635,100,0
MRINQ.US,5,20250303,191500,1.6392,1.6392,1.6392,1.6392,100,0
MRINQ.US,5,20250303,192000,1.635,1.6393,1.635,1.6393,1000,0
MRINQ.US,5,20250303,193500,1.635,1.635,1.635,1.635,150,0
MRINQ.US,5,20250303,195000,1.63,1.63,1.63,1.63,100,0
MRINQ.US,5,20250303,202500,1.6306,1.6306,1.6306,1.6306,921,0
MRINQ.US,5,20250303,203000,1.64,1.64,1.64,1.64,150,0
MRINQ.US,5,20250303,205500,1.63,1.6392,1.63,1.6392,1400,0
MRINQ.US,5,20250303,210000,1.62,1.62,1.61,1.61,1100,0
MRINQ.US,5,20250303,211000,1.6194,1.6194,1.61,1.61,846,0
MRINQ.US,5,20250303,213000,1.61,1.61,1.61,1.61,501,0
MRINQ.US,5,20250303,214500,1.61,1.61,1.61,1.61,125,0
MRINQ.US,5,20250303,215000,1.6,1.6199,1.6,1.6199,300,0
MRINQ.US,5,20250304,153000,1.6,1.6,1.6,1.6,874,0
MRINQ.US,5,20250304,154500,1.59,1.59,1.59,1.59,100,0
MRINQ.US,5,20250304,155500,1.58,1.58,1.43,1.43,8106,0
MRINQ.US,5,20250304,160000,1.45,1.45,1.42,1.42,1253,0
MRINQ.US,5,20250304,160500,1.3949,1.425,1.3949,1.425,600,0
MRINQ.US,5,20250304,161000,1.4101,1.4101,1.4101,1.4101,2880,0
MRINQ.US,5,20250304,162000,1.43,1.43,1.43,1.43,100,0
MRINQ.US,5,20250304,162500,1.44,1.44,1.44,1.44,822,0
MRINQ.US,5,20250304,163500,1.4661,1.4661,1.4661,1.4661,200,0
MRINQ.US,5,20250304,164000,1.4645,1.4645,1.45,1.45,400,0
MRINQ.US,5,20250304,164500,1.4387,1.4387,1.4387,1.4387,166,0
MRINQ.US,5,20250304,165000,1.45,1.45,1.44,1.44,200,0
MRINQ.US,5,20250304,172000,1.455,1.455,1.455,1.455,2000,0
MRINQ.US,5,20250304,174000,1.44,1.4408,1.44,1.4408,605,0
MRINQ.US,5,20250304,175000,1.4502,1.4502,1.4502,1.4502,166,0
MRINQ.US,5,20250304,175500,1.4645,1.4645,1.4645,1.4645,100,0
MRINQ.US,5,20250304,181000,1.45,1.4672,1.44,1.44,600,0
MRINQ.US,5,20250304,182500,1.468,1.468,1.4672,1.4672,200,0
MRINQ.US,5,20250304,184500,1.4679,1.4679,1.4679,1.4679,100,0
MRINQ.US,5,20250304,192000,1.46,1.46,1.45,1.45,2666,0
MRINQ.US,5,20250304,195500,1.44,1.44,1.44,1.44,100,0
MRINQ.US,5,20250304,200000,1.4833,1.4833,1.4833,1.4833,172,0
MRINQ.US,5,20250304,201000,1.49,1.49,1.45,1.45,265,0
MRINQ.US,5,20250304,202500,1.47,1.47,1.47,1.47,500,0
MRINQ.US,5,20250304,203000,1.45,1.5,1.4439,1.4439,800,0
MRINQ.US,5,20250304,204000,1.4853,1.49,1.4853,1.49,766,0
MRINQ.US,5,20250304,205000,1.463,1.463,1.46,1.46,200,0
MRINQ.US,5,20250304,205500,1.4892,1.4892,1.4892,1.4892,500,0
MRINQ.US,5,20250304,213500,1.49,1.5,1.49,1.5,300,0
MRINQ.US,5,20250304,215000,1.48,1.48,1.475,1.475,800,0
MRINQ.US,5,20250305,153000,1.47,1.49,1.47,1.49,1723,0
MRINQ.US,5,20250305,153500,1.49,1.49,1.49,1.49,100,0
MRINQ.US,5,20250305,154500,1.48,1.48,1.47,1.47,935,0
MRINQ.US,5,20250305,160500,1.465,1.47,1.465,1.47,1167,0
MRINQ.US,5,20250305,162000,1.49,1.4979,1.485,1.4958,715,0
MRINQ.US,5,20250305,164000,1.4979,1.5,1.47,1.49,1600,0
MRINQ.US,5,20250305,172500,1.48,1.48,1.48,1.48,100,0
MRINQ.US,5,20250305,174500,1.49,1.49,1.49,1.49,300,0
MRINQ.US,5,20250305,181500,1.49,1.5,1.49,1.5,1499,0
MRINQ.US,5,20250305,182000,1.5,1.538,1.48,1.4903,2573,0
MRINQ.US,5,20250305,183000,1.513,1.513,1.513,1.513,150,0
MRINQ.US,5,20250305,185500,1.547,1.5654,1.547,1.5654,200,0
MRINQ.US,5,20250305,191500,1.5219,1.5219,1.5219,1.5219,100,0
MRINQ.US,5,20250305,210000,1.565,1.565,1.565,1.565,625,0
MRINQ.US,5,20250305,210500,1.565,1.565,1.565,1.565,1000,0
MRINQ.US,5,20250305,211000,1.5356,1.5356,1.5356,1.5356,500,0
MRINQ.US,5,20250305,215500,1.55,1.55,1.55,1.55,100,0
MRINQ.US,5,20250306,153000,1.57,1.57,1.57,1.57,1887,0
MRINQ.US,5,20250306,154500,1.558,1.59,1.54,1.54,3570,0
MRINQ.US,5,20250306,155000,1.5624,1.5899,1.53,1.53,10409,0
MRINQ.US,5,20250306,164000,1.56,1.56,1.56,1.56,100,0
MRINQ.US,5,20250306,170500,1.57,1.57,1.57,1.57,295,0
MRINQ.US,5,20250306,172500,1.5637,1.5637,1.5637,1.5637,500,0
MRINQ.US,5,20250306,180000,1.58,1.58,1.58,1.58,1000,0
MRINQ.US,5,20250306,184500,1.5676,1.5676,1.5676,1.5676,250,0
MRINQ.US,5,20250306,190000,1.5616,1.57,1.56,1.57,8400,0
MRINQ.US,5,20250306,190500,1.54,1.55,1.53,1.55,1200,0
MRINQ.US,5,20250306,194500,1.5375,1.5375,1.5375,1.5375,100,0
MRINQ.US,5,20250306,195500,1.5,1.57,1.5,1.57,563,0
MRINQ.US,5,20250306,202500,1.58,1.58,1.58,1.58,100,0
MRINQ.US,5,20250306,204500,1.56,1.56,1.55,1.55,200,0
MRINQ.US,5,20250306,214500,1.575,1.575,1.575,1.575,600,0
MRINQ.US,5,20250306,215500,1.59,1.595,1.575,1.58,1083,0
MRINQ.US,5,20250307,153000,1.56,1.56,1.56,1.56,315,0
MRINQ.US,5,20250307,161500,1.5101,1.5101,1.5101,1.5101,454,0
MRINQ.US,5,20250307,164000,1.55,1.55,1.55,1.55,100,0
MRINQ.US,5,20250307,165000,1.55,1.55,1.55,1.55,105,0
MRINQ.US,5,20250307,172500,1.5357,1.5357,1.51,1.5101,10570,0
MRINQ.US,5,20250307,174500,1.5053,1.52,1.5053,1.52,1200,0
MRINQ.US,5,20250307,175500,1.53,1.53,1.53,1.53,100,0
MRINQ.US,5,20250307,182000,1.505,1.505,1.505,1.505,100,0
MRINQ.US,5,20250307,182500,1.55,1.55,1.51,1.53,300,0
MRINQ.US,5,20250307,183500,1.54,1.54,1.54,1.54,100,0
MRINQ.US,5,20250307,184500,1.51,1.515,1.51,1.515,200,0
MRINQ.US,5,20250307,191000,1.54,1.54,1.54,1.54,100,0
MRINQ.US,5,20250307,194500,1.535,1.535,1.535,1.535,300,0
MRINQ.US,5,20250307,202000,1.53,1.53,1.53,1.53,200,0
MRINQ.US,5,20250307,202500,1.535,1.535,1.53,1.53,300,0
MRINQ.US,5,20250307,210500,1.55,1.55,1.55,1.55,100,0
MRINQ.US,5,20250307,214000,1.515,1.515,1.515,1.515,100,0
MRINQ.US,5,20250307,215000,1.56,1.56,1.56,1.56,100,0
MRINQ.US,5,20250310,143000,1.53,1.53,1.53,1.53,1581,0
MRINQ.US,5,20250310,152500,1.4702,1.472,1.47,1.47,900,0
MRINQ.US,5,20250310,153000,1.462,1.462,1.46,1.46,1200,0
MRINQ.US,5,20250310,154000,1.46,1.46,1.4501,1.4501,1000,0
MRINQ.US,5,20250310,154500,1.49,1.494,1.49,1.494,4000,0
MRINQ.US,5,20250310,155000,1.494,1.494,1.494,1.494,1000,0
MRINQ.US,5,20250310,163000,1.4518,1.4518,1.4508,1.4508,1112,0
MRINQ.US,5,20250310,173500,1.47,1.47,1.47,1.47,100,0
MRINQ.US,5,20250310,175500,1.46,1.46,1.46,1.46,100,0
MRINQ.US,5,20250310,184500,1.45,1.45,1.45,1.45,203,0
MRINQ.US,5,20250310,185500,1.4746,1.4746,1.4746,1.4746,138,0
MRINQ.US,5,20250310,191000,1.46,1.46,1.46,1.46,100,0
MRINQ.US,5,20250310,192000,1.42,1.46,1.42,1.46,300,0
MRINQ.US,5,20250310,200000,1.424,1.43,1.424,1.43,500,0
MRINQ.US,5,20250310,200500,1.45,1.45,1.45,1.45,200,0
MRINQ.US,5,20250310,202000,1.48,1.48,1.48,1.48,200,0
MRINQ.US,5,20250310,205500,1.44,1.44,1.44,1.44,100,0
MRINQ.US,5,20250311,143000,1.45,1.45,1.435,1.435,475,0
MRINQ.US,5,20250311,144500,1.435,1.435,1.435,1.435,100,0
MRINQ.US,5,20250311,145500,1.45,1.45,1.45,1.45,3000,0
MRINQ.US,5,20250311,150500,1.4304,1.435,1.42,1.42,495,0
MRINQ.US,5,20250311,151500,1.45,1.45,1.45,1.45,100,0
MRINQ.US,5,20250311,152500,1.42,1.42,1.42,1.42,100,0
MRINQ.US,5,20250311,163000,1.43,1.43,1.43,1.43,100,0
MRINQ.US,5,20250311,170000,1.4001,1.4001,1.4001,1.4001,104,0
MRINQ.US,5,20250311,172000,1.42,1.42,1.42,1.42,100,0
MRINQ.US,5,20250311,174000,1.42,1.42,1.42,1.42,100,0
MRINQ.US,5,20250311,174500,1.39,1.39,1.39,1.39,100,0
MRINQ.US,5,20250311,175500,1.4299,1.4299,1.4299,1.4299,200,0
MRINQ.US,5,20250311,185000,1.4,1.4,1.4,1.4,100,0
MRINQ.US,5,20250311,191000,1.4172,1.4172,1.4172,1.4172,1000,0
MRINQ.US,5,20250311,195500,1.429,1.44,1.42,1.44,1645,0
MRINQ.US,5,20250311,201500,1.43,1.43,1.43,1.43,100,0
MRINQ.US,5,20250311,204000,1.42,1.42,1.42,1.42,200,0
MRINQ.US,5,20250311,205000,1.41,1.41,1.41,1.41,206,0
MRINQ.US,5,20250311,205500,1.4,1.4,1.4,1.4,100,0
MRINQ.US,5,20250312,144000,1.41,1.41,1.41,1.41,100,0
MRINQ.US,5,20250312,161500,1.4,1.4,1.38,1.38,2217,0
MRINQ.US,5,20250312,162500,1.38,1.38,1.38,1.38,200,0
MRINQ.US,5,20250312,163500,1.38,1.38,1.38,1.38,500,0
MRINQ.US,5,20250312,171000,1.4,1.4,1.4,1.4,200,0
MRINQ.US,5,20250312,171500,1.39,1.39,1.39,1.39,300,0
MRINQ.US,5,20250312,172000,1.39,1.39,1.39,1.39,663,0
MRINQ.US,5,20250312,173500,1.4,1.4,1.4,1.4,100,0
MRINQ.US,5,20250312,182500,1.4,1.4,1.4,1.4,100,0
MRINQ.US,5,20250312,190500,1.39,1.39,1.39,1.39,463,0
MRINQ.US,5,20250312,192000,1.395,1.395,1.395,1.395,100,0
MRINQ.US,5,20250312,193000,1.39,1.39,1.39,1.39,100,0
MRINQ.US,5,20250312,194500,1.4,1.4,1.4,1.4,200,0
MRINQ.US,5,20250312,195500,1.385,1.385,1.385,1.385,100,0
MRINQ.US,5,20250312,201000,1.37,1.37,1.37,1.37,166,0
MRINQ.US,5,20250312,205500,1.39,1.39,1.39,1.39,686,0
MRINQ.US,5,20250313,143000,1.37,1.37,1.37,1.37,363,0
MRINQ.US,5,20250313,150000,1.38,1.38,1.3713,1.38,2100,0
MRINQ.US,5,20250313,153000,1.375,1.38,1.375,1.38,2195,0
MRINQ.US,5,20250313,154500,1.38,1.38,1.3701,1.3701,593,0
MRINQ.US,5,20250313,160000,1.38,1.38,1.38,1.38,100,0
MRINQ.US,5,20250313,161000,1.38,1.38,1.38,1.38,650,0
MRINQ.US,5,20250313,161500,1.38,1.38,1.38,1.38,100,0
MRINQ.US,5,20250313,163000,1.38,1.38,1.38,1.38,100,0
MRINQ.US,5,20250313,170000,1.38,1.38,1.38,1.38,512,0
MRINQ.US,5,20250313,170500,1.38,1.38,1.38,1.38,100,0
MRINQ.US,5,20250313,180000,1.38,1.38,1.38,1.38,200,0
MRINQ.US,5,20250313,181500,1.38,1.385,1.3721,1.3721,700,0
MRINQ.US,5,20250313,182500,1.37,1.37,1.37,1.37,216,0
MRINQ.US,5,20250313,184000,1.38,1.38,1.38,1.38,166,0
MRINQ.US,5,20250313,190000,1.38,1.38,1.38,1.38,100,0
MRINQ.US,5,20250313,191500,1.37,1.37,1.37,1.37,100,0
MRINQ.US,5,20250313,203000,1.3719,1.3719,1.3719,1.3719,168,0
MRINQ.US,5,20250313,204500,1.37,1.37,1.37,1.37,115,0
MRINQ.US,5,20250313,205500,1.39,1.39,1.39,1.39,699,0
MRINQ.US,5,20250314,143000,1.38,1.38,1.38,1.38,1092,0
MRINQ.US,5,20250314,154500,1.375,1.375,1.37,1.375,1800,0
MRINQ.US,5,20250314,155000,1.38,1.38,1.38,1.38,725,0
MRINQ.US,5,20250314,155500,1.3701,1.3732,1.35,1.35,2200,0
MRINQ.US,5,20250314,164000,1.38,1.38,1.38,1.38,504,0
MRINQ.US,5,20250314,164500,1.3555,1.3555,1.3555,1.3555,200,0
MRINQ.US,5,20250314,170000,1.3536,1.3536,1.3536,1.3536,100,0
MRINQ.US,5,20250314,173500,1.373,1.3772,1.37,1.3772,400,0
MRINQ.US,5,20250314,180500,1.376,1.38,1.37,1.38,1700,0
MRINQ.US,5,20250314,181000,1.3789,1.3789,1.3789,1.3789,135,0
MRINQ.US,5,20250314,183000,1.3734,1.3734,1.3734,1.3734,157,0
MRINQ.US,5,20250314,184500,1.36,1.36,1.36,1.36,100,0
MRINQ.US,5,20250314,195000,1.36,1.36,1.36,1.36,100,0
MRINQ.US,5,20250314,195500,1.37,1.39,1.37,1.38,4678,0
MRINQ.US,5,20250314,200000,1.38,1.38,1.38,1.38,100,0
MRINQ.US,5,20250314,202500,1.4,1.4,1.38,1.38,3965,0
MRINQ.US,5,20250314,204500,1.39,1.4,1.39,1.4,200,0
MRINQ.US,5,20250314,205500,1.3944,1.3944,1.38,1.38,455,0
MRINQ.US,5,20250317,143000,1.43,1.5,1.41,1.41,4934,0
MRINQ.US,5,20250317,144500,1.46,1.46,1.46,1.46,135,0
MRINQ.US,5,20250317,145000,1.421,1.421,1.421,1.421,500,0
MRINQ.US,5,20250317,152500,1.43,1.4569,1.43,1.4569,667,0
MRINQ.US,5,20250317,162000,1.44,1.44,1.44,1.44,857,0
MRINQ.US,5,20250317,165000,1.4404,1.4404,1.4404,1.4404,280,0
MRINQ.US,5,20250317,170500,1.4405,1.4405,1.4405,1.4405,167,0
MRINQ.US,5,20250317,190500,1.43,1.43,1.43,1.43,100,0
MRINQ.US,5,20250317,204500,1.45,1.45,1.445,1.445,345,0
MRINQ.US,5,20250318,144000,1.475,1.475,1.475,1.475,100,0
MRINQ.US,5,20250318,144500,1.475,1.48,1.475,1.48,500,0
MRINQ.US,5,20250318,161500,1.465,1.465,1.465,1.465,125,0
MRINQ.US,5,20250318,163000,1.47,1.48,1.47,1.47,850,0
MRINQ.US,5,20250318,164000,1.48,1.48,1.48,1.48,650,0
MRINQ.US,5,20250318,165000,1.48,1.48,1.48,1.48,1000,0
