<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRSN.US,5,20250224,153000,0.5568,0.5568,0.5439,0.5555,175136,0
MRSN.US,5,20250224,153500,0.5501,0.5543,0.544,0.546499,88744,0
MRSN.US,5,20250224,154000,0.5474,0.5478,0.5349,0.5349,122036,0
MRSN.US,5,20250224,154500,0.535,0.542999,0.535,0.5351,205580,0
MRSN.US,5,20250224,155000,0.5351,0.5383,0.53,0.531,23279,0
MRSN.US,5,20250224,155500,0.532215,0.536,0.5133,0.5191,221021,0
MRSN.US,5,20250224,160000,0.5191,0.5191,0.51,0.51,49319,0
MRSN.US,5,20250224,160500,0.51,0.5177,0.51,0.5172,16746,0
MRSN.US,5,20250224,161000,0.5172,0.524,0.51,0.512,58752,0
MRSN.US,5,20250224,161500,0.5151,0.5225,0.5147,0.5173,39350,0
MRSN.US,5,20250224,162000,0.5161,0.5186,0.5142,0.5158,36937,0
MRSN.US,5,20250224,162500,0.5142,0.5154,0.5115,0.5115,16888,0
MRSN.US,5,20250224,163000,0.5115,0.5133,0.5104,0.5133,32619,0
MRSN.US,5,20250224,163500,0.5138,0.5175,0.5138,0.5175,7262,0
MRSN.US,5,20250224,164000,0.5175,0.5198,0.5174,0.51895,9573,0
MRSN.US,5,20250224,164500,0.5186,0.5203,0.5166,0.5175,55358,0
MRSN.US,5,20250224,165000,0.5179,0.5186,0.5174,0.5177,21652,0
MRSN.US,5,20250224,165500,0.5166,0.5167,0.5156,0.5156,6842,0
MRSN.US,5,20250224,170000,0.5167,0.518,0.5167,0.5179,27681,0
MRSN.US,5,20250224,170500,0.518,0.5187,0.5163,0.5181,49037,0
MRSN.US,5,20250224,171000,0.518,0.5221,0.51795,0.5207,69792,0
MRSN.US,5,20250224,171500,0.5207,0.5209,0.5197,0.5202,35228,0
MRSN.US,5,20250224,172000,0.5202,0.525,0.5201,0.5239,38863,0
MRSN.US,5,20250224,172500,0.5239,0.5261,0.5237,0.5255,86977,0
MRSN.US,5,20250224,173000,0.5254,0.5255,0.5253,0.5253,44321,0
MRSN.US,5,20250224,173500,0.52535,0.5254,0.5241,0.5241,13371,0
MRSN.US,5,20250224,174000,0.524,0.5279,0.523,0.5279,38642,0
MRSN.US,5,20250224,174500,0.5278,0.5328,0.5278,0.5308,33053,0
MRSN.US,5,20250224,175000,0.531,0.5368,0.531,0.5368,35687,0
MRSN.US,5,20250224,175500,0.5368,0.5369,0.5289,0.5305,63466,0
MRSN.US,5,20250224,180000,0.5321,0.5377,0.5321,0.536,15992,0
MRSN.US,5,20250224,180500,0.536,0.54,0.536,0.54,11584,0
MRSN.US,5,20250224,181000,0.54,0.5447,0.5399,0.5442,49950,0
MRSN.US,5,20250224,181500,0.5449,0.5449,0.5417,0.5449,131134,0
MRSN.US,5,20250224,182000,0.5426,0.5499,0.5426,0.5499,23782,0
MRSN.US,5,20250224,182500,0.5499,0.5566,0.5499,0.552,51099,0
MRSN.US,5,20250224,183000,0.5527,0.5556,0.5491,0.5556,28203,0
MRSN.US,5,20250224,183500,0.552,0.5568,0.552,0.55585,80189,0
MRSN.US,5,20250224,184000,0.5568,0.5626,0.5562,0.562,645606,0
MRSN.US,5,20250224,184500,0.5616,0.562,0.55,0.55485,121747,0
MRSN.US,5,20250224,185000,0.5567,0.5567,0.5506,0.5506,33443,0
MRSN.US,5,20250224,185500,0.5507,0.5553,0.5507,0.555,11366,0
MRSN.US,5,20250224,190000,0.55435,0.5589,0.55435,0.55835,33287,0
MRSN.US,5,20250224,190500,0.56,0.5656,0.5559,0.5606,126391,0
MRSN.US,5,20250224,191000,0.5619,0.5646,0.5536,0.5542,101890,0
MRSN.US,5,20250224,191500,0.55386,0.5598,0.5536,0.555,75401,0
MRSN.US,5,20250224,192000,0.5545,0.5593,0.5545,0.5575,16859,0
MRSN.US,5,20250224,192500,0.5596,0.56,0.5547,0.56,10953,0
MRSN.US,5,20250224,193000,0.5599,0.56,0.555,0.5572,46902,0
MRSN.US,5,20250224,193500,0.5572,0.56,0.5567,0.559899,9630,0
MRSN.US,5,20250224,194000,0.56,0.56,0.55975,0.5599,39252,0
MRSN.US,5,20250224,194500,0.5599,0.56,0.5546,0.5575,20348,0
MRSN.US,5,20250224,195000,0.5575,0.56,0.5575,0.5599,6136,0
MRSN.US,5,20250224,195500,0.559999,0.56,0.555,0.5562,64860,0
MRSN.US,5,20250224,200000,0.5573,0.5582,0.556749,0.5582,6695,0
MRSN.US,5,20250224,200500,0.5583,0.5587,0.5573,0.558,9110,0
MRSN.US,5,20250224,201000,0.5586,0.5587,0.5564,0.557399,149942,0
MRSN.US,5,20250224,201500,0.5569,0.5574,0.5563,0.5569,14825,0
MRSN.US,5,20250224,202000,0.5569,0.56,0.5569,0.56,39309,0
MRSN.US,5,20250224,202500,0.56,0.5608,0.5599,0.5607,93922,0
MRSN.US,5,20250224,203000,0.5608,0.5608,0.5607,0.5607,37234,0
MRSN.US,5,20250224,203500,0.560799,0.560799,0.553,0.553,114709,0
MRSN.US,5,20250224,204000,0.553,0.55895,0.553,0.5565,8050,0
MRSN.US,5,20250224,204500,0.556,0.5588,0.5527,0.5588,10931,0
MRSN.US,5,20250224,205000,0.5571,0.5585,0.5559,0.5559,25280,0
MRSN.US,5,20250224,205500,0.556,0.5574,0.5505,0.5542,80419,0
MRSN.US,5,20250224,210000,0.5537,0.5599,0.5537,0.5595,30844,0
MRSN.US,5,20250224,210500,0.5596,0.5596,0.5575,0.5575,36949,0
MRSN.US,5,20250224,211000,0.5572,0.5582,0.5563,0.5567,36709,0
MRSN.US,5,20250224,211500,0.5565,0.5597,0.5561,0.55895,52065,0
MRSN.US,5,20250224,212000,0.5589,0.559,0.5565,0.5567,37067,0
MRSN.US,5,20250224,212500,0.55665,0.55665,0.5555,0.5555,17407,0
MRSN.US,5,20250224,213000,0.5555,0.5563,0.5551,0.5563,50252,0
MRSN.US,5,20250224,213500,0.5563,0.5571,0.5553,0.5553,51353,0
MRSN.US,5,20250224,214000,0.555295,0.5553,0.5501,0.55165,95041,0
MRSN.US,5,20250224,214500,0.5516,0.5536,0.55151,0.5531,89866,0
MRSN.US,5,20250224,215000,0.5533,0.5553,0.5528,0.5553,55639,0
MRSN.US,5,20250224,215500,0.5555,0.5589,0.5522,0.5522,176394,0
MRSN.US,5,20250225,153000,0.5564,0.556599,0.5435,0.552,66827,0
MRSN.US,5,20250225,153500,0.552,0.552,0.5329,0.5332,28139,0
MRSN.US,5,20250225,154000,0.533,0.5454,0.533,0.5374,39791,0
MRSN.US,5,20250225,154500,0.5383,0.5401,0.5331,0.5351,72341,0
MRSN.US,5,20250225,155000,0.538,0.5439,0.538,0.543801,5153,0
MRSN.US,5,20250225,155500,0.5424,0.5449,0.5413,0.5437,19456,0
MRSN.US,5,20250225,160000,0.5439,0.5439,0.5387,0.5388,16266,0
MRSN.US,5,20250225,160500,0.5389,0.5389,0.534,0.5357,73563,0
MRSN.US,5,20250225,161000,0.5369,0.5369,0.5356,0.5362,5851,0
MRSN.US,5,20250225,161500,0.5374,0.5374,0.5343,0.5343,6187,0
