<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTR.US,5,20250224,153000,304,304.04,296.7401,297.11,515333,0
MSTR.US,5,20250224,153500,297.4,300.6299,295.73,296.69,100772,0
MSTR.US,5,20250224,154000,296.88,298.93,296.13,296.55,173936,0
MSTR.US,5,20250224,154500,296.555,298.99,294.28,294.905,286642,0
MSTR.US,5,20250224,155000,295.03,295.0863,290.5,290.6,184785,0
MSTR.US,5,20250224,155500,290.315,291.17,286,288.26,305803,0
MSTR.US,5,20250224,160000,288.37328,288.86,280.8,281.33,428755,0
MSTR.US,5,20250224,160500,281.76,285.67,276.395,283.29,390384,0
MSTR.US,5,20250224,161000,283.27,286.6002,282.4601,286.27,226799,0
MSTR.US,5,20250224,161500,286.2281,287.48,284.13,284.38,252674,0
MSTR.US,5,20250224,162000,284.54,285.4,282.88,284.83,113831,0
MSTR.US,5,20250224,162500,285.0862,285.09,283.19,283.19,120514,0
MSTR.US,5,20250224,163000,283.4,286.5503,283.17,285.28,140401,0
MSTR.US,5,20250224,163500,285.3386,286.2,283.6,284.3,88246,0
MSTR.US,5,20250224,164000,284.27,286.45,283.3301,284.09,93414,0
MSTR.US,5,20250224,164500,284.216,285.01,280.8752,282.0291,176438,0
MSTR.US,5,20250224,165000,282.2299,282.8177,280.9201,281.29,90512,0
MSTR.US,5,20250224,165500,281.28,282.7,280.01,282.5,106791,0
MSTR.US,5,20250224,170000,282.26,283.6,281.24,283.3477,121833,0
MSTR.US,5,20250224,170500,283.54,286.08,283.33,285.92,123638,0
MSTR.US,5,20250224,171000,285.82,287.985,285.58,286.2048,143702,0
MSTR.US,5,20250224,171500,286.27,287.94,286.17,287.12,121194,0
MSTR.US,5,20250224,172000,287.34,289.53,286.91,289.53,96419,0
MSTR.US,5,20250224,172500,289.565,290.99,289.0648,290.32,157622,0
MSTR.US,5,20250224,173000,290.655,292.8,290.18,292.8,135684,0
MSTR.US,5,20250224,173500,292.49,293.43,290.5,290.9,143878,0
MSTR.US,5,20250224,174000,290.785,293.87,290.38,293.72,131903,0
MSTR.US,5,20250224,174500,293.81,294.6699,292.43,292.53,135964,0
MSTR.US,5,20250224,175000,292.53,293.35,291.235,292.92,109691,0
MSTR.US,5,20250224,175500,293.0929,293.1,291.47,291.92,59213,0
MSTR.US,5,20250224,180000,291.7757,293.67,291.6,293.5,85739,0
MSTR.US,5,20250224,180500,293.4,293.85,291.87,292.85,42113,0
MSTR.US,5,20250224,181000,293,294,292.33,292.92,52227,0
MSTR.US,5,20250224,181500,293,294.97,292.83,294.9485,78317,0
MSTR.US,5,20250224,182000,294.5933,296.02,294.09,294.6233,114057,0
MSTR.US,5,20250224,182500,294.66,295.42,294.2,295.03,74312,0
MSTR.US,5,20250224,183000,295.22,296.32,294.49,295.6,64398,0
MSTR.US,5,20250224,183500,295.45,297.49,295.23,297.01,137867,0
MSTR.US,5,20250224,184000,297.1,297.88,296.7,297.72,72423,0
MSTR.US,5,20250224,184500,297.76,298.38,296.18,296.76,105431,0
MSTR.US,5,20250224,185000,296.5,296.7,294.6,294.845,64735,0
MSTR.US,5,20250224,185500,294.8005,295.3268,293.31,294.03,107059,0
MSTR.US,5,20250224,190000,294.03,295.09,293.6937,294.11,47614,0
MSTR.US,5,20250224,190500,294.49,295.026,293.55,294.9471,28918,0
MSTR.US,5,20250224,191000,294.9567,295.55,294.64,295.24,34765,0
MSTR.US,5,20250224,191500,294.98,296.33,294.97,296.1,57525,0
MSTR.US,5,20250224,192000,296.2899,296.3199,295,296.15,35934,0
MSTR.US,5,20250224,192500,296.17,296.4,295.38,295.64,36019,0
MSTR.US,5,20250224,193000,295.5,296.4,295.31,296.26,44733,0
MSTR.US,5,20250224,193500,296.24,296.24,295.23,295.44,30213,0
MSTR.US,5,20250224,194000,295.76,296.5181,295.5359,295.85,25812,0
MSTR.US,5,20250224,194500,295.63,296.24,294.8401,295.4,37263,0
MSTR.US,5,20250224,195000,295.2,295.49,294.05,294.714,40615,0
MSTR.US,5,20250224,195500,294.5,294.76,293.117,293.4586,53208,0
MSTR.US,5,20250224,200000,293.29,295.12,293.28,294.98,30065,0
MSTR.US,5,20250224,200500,294.82,295.1399,292.36,292.81,38102,0
MSTR.US,5,20250224,201000,292.685,292.685,291.27,292.4782,62773,0
MSTR.US,5,20250224,201500,292.325,292.5,290.74,291.5802,33610,0
MSTR.US,5,20250224,202000,291.2401,292.2799,290.76,291.75,47334,0
MSTR.US,5,20250224,202500,291.55,292.27,291.29,291.75,41231,0
MSTR.US,5,20250224,203000,291.74,292.5,291.47,291.68,36477,0
MSTR.US,5,20250224,203500,291.55,292.0331,290.88,291.61,47289,0
MSTR.US,5,20250224,204000,291.5601,291.75,290.05,290.05,60024,0
MSTR.US,5,20250224,204500,290.09,290.91,289.66,290.45,137784,0
MSTR.US,5,20250224,205000,290.445,290.8699,289.3701,289.7,126153,0
MSTR.US,5,20250224,205500,289.7,290.39,289.0323,289.19,57178,0
MSTR.US,5,20250224,210000,289.3,289.73,288.36,289.12,58536,0
MSTR.US,5,20250224,210500,289.19,289.22,287.56,288.66,109366,0
MSTR.US,5,20250224,211000,288.81,288.81,287.29,287.825,85041,0
MSTR.US,5,20250224,211500,287.95,289.58,287.32,288.02,77946,0
MSTR.US,5,20250224,212000,287.8,288.415,286.9,287.33,83716,0
MSTR.US,5,20250224,212500,287.41,287.62,285.54,285.84,90195,0
MSTR.US,5,20250224,213000,285.83,289,285.52,288.74,94578,0
MSTR.US,5,20250224,213500,288.695,289.31,287.72,288.68,75247,0
MSTR.US,5,20250224,214000,288.68,288.727,286.24,286.77,80805,0
MSTR.US,5,20250224,214500,286.77,287.55,286.67,287.05,87276,0
MSTR.US,5,20250224,215000,287.07,287.09,284.37,284.515,208271,0
MSTR.US,5,20250224,215500,284.38,285.19,282.2,282.475,1829318,0
MSTR.US,5,20250225,153000,268.1,270.29,264.81,268.8,729668,0
MSTR.US,5,20250225,153500,268.7859,270,265.29,266.59,256394,0
MSTR.US,5,20250225,154000,266.47,266.5672,261,261.145,388813,0
MSTR.US,5,20250225,154500,261.28,264.4999,261.28,262.82,285355,0
MSTR.US,5,20250225,155000,262.655,263.54,256.895,258.76,240386,0
MSTR.US,5,20250225,155500,258.76,260,258.16,259.1613,236853,0
MSTR.US,5,20250225,160000,259.4,259.4,252.45,252.67,509262,0
MSTR.US,5,20250225,160500,252.67,254.845,252.11,253.75,272189,0
MSTR.US,5,20250225,161000,253.615,255.99,252.89,253.045,249217,0
MSTR.US,5,20250225,161500,253.17,255.6675,250.6601,251.23,281299,0
MSTR.US,5,20250225,162000,250.8777,251.72,248.67,249.755,295549,0
MSTR.US,5,20250225,162500,249.9099,252.455,248.88,250.65,189344,0
MSTR.US,5,20250225,163000,250.8037,252.21,247.9,248.33,236851,0
MSTR.US,5,20250225,163500,248.395,252.4,247.6732,252.346,202356,0
MSTR.US,5,20250225,164000,252.21,254.0863,251.6,252.545,193220,0
MSTR.US,5,20250225,164500,252.26,255.59,252.26,254.6601,193590,0
MSTR.US,5,20250225,165000,255.3,259.75,254.3127,258.2701,231604,0
MSTR.US,5,20250225,165500,258.29,259.0167,255.045,255.15,259154,0
MSTR.US,5,20250225,170000,255.28,255.28,251.11,251.49,165835,0
MSTR.US,5,20250225,170500,251.51,253.5,250.16,252.385,157868,0
MSTR.US,5,20250225,171000,252.6844,254.3771,251.81,253.5,124830,0
MSTR.US,5,20250225,171500,253.515,254.37,251.1654,251.7,118144,0
MSTR.US,5,20250225,172000,251.81,252.86,249.67,250.69,130272,0
MSTR.US,5,20250225,172500,250.915,251.23,248.9,249.57,243679,0
MSTR.US,5,20250225,173000,249.57,250.84,248.15,248.97,165438,0
MSTR.US,5,20250225,173500,248.8,251.38,247.09,251,240069,0
MSTR.US,5,20250225,174000,251.0802,253.08,250.84,251.065,176204,0
MSTR.US,5,20250225,174500,251.13,252.3068,250.71,250.97,170959,0
MSTR.US,5,20250225,175000,250.97,252.37,250.03,251.42,213662,0
MSTR.US,5,20250225,175500,251.73,254.61,251.39,253.625,175601,0
MSTR.US,5,20250225,180000,253.625,253.78,251.81,252,131393,0
MSTR.US,5,20250225,180500,251.89,252.68,250.18,250.38,150607,0
MSTR.US,5,20250225,181000,250.38,252.49,250.38,251.515,154565,0
MSTR.US,5,20250225,181500,251.35,252.8,250.6235,251.8067,95333,0
MSTR.US,5,20250225,182000,251.83,251.83,249.3,251.565,146780,0
MSTR.US,5,20250225,182500,251.41,252.7,250.83,251.9382,162023,0
MSTR.US,5,20250225,183000,251.81,253.37,251.19,252.61,151689,0
MSTR.US,5,20250225,183500,252.75,253.5699,252.26,252.96,106992,0
MSTR.US,5,20250225,184000,252.925,253.85,252.23,252.46,160908,0
MSTR.US,5,20250225,184500,252.61,252.84,249.56,250.8101,141275,0
MSTR.US,5,20250225,185000,250.77,251.1,248.91,249.6,97460,0
MSTR.US,5,20250225,185500,249.4,251.095,248.83,250.03,139149,0
MSTR.US,5,20250225,190000,250.27,252.2,249.95,252.1,79698,0
MSTR.US,5,20250225,190500,252.01,255.19,251.8301,253.38,177506,0
MSTR.US,5,20250225,191000,253.33,254.36,251.79,251.835,74786,0
MSTR.US,5,20250225,191500,251.7,251.939,250,250.2701,97165,0
MSTR.US,5,20250225,192000,250.53,252,250.445,251.385,59174,0
MSTR.US,5,20250225,192500,251.21,251.33,249.01,249.32,112791,0
MSTR.US,5,20250225,193000,249.38,250.11,248.82,249.62,125175,0
MSTR.US,5,20250225,193500,249.46,250.6,248.69,250.21,126647,0
MSTR.US,5,20250225,194000,250.155,250.7,249.1,250.43,134792,0
MSTR.US,5,20250225,194500,250.5564,251.08,249.17,249.45,100765,0
MSTR.US,5,20250225,195000,249.68,250.1,247.89,249.4855,97143,0
MSTR.US,5,20250225,195500,249.27,249.27,247.69,247.95,93757,0
MSTR.US,5,20250225,200000,247.85,249.8199,247.1101,249.8199,164514,0
MSTR.US,5,20250225,200500,249.705,250.9,249.3026,249.77,120212,0
MSTR.US,5,20250225,201000,249.68,249.84,245.88,246,141212,0
MSTR.US,5,20250225,201500,245.9,247.01,244.93,245.55,231547,0
MSTR.US,5,20250225,202000,245.405,245.55,243.7501,244.25,175615,0
MSTR.US,5,20250225,202500,244.23,245.9914,243.7,245.145,214517,0
MSTR.US,5,20250225,203000,245.01,246.375,245.01,246.015,115562,0
MSTR.US,5,20250225,203500,245.89,248.36,245,248.15,141668,0
MSTR.US,5,20250225,204000,248.34,250.47,248.15,249.985,139912,0
MSTR.US,5,20250225,204500,249.96,252.4,249.07,252.2,186933,0
MSTR.US,5,20250225,205000,252.15,252.36,250.0023,250.85,203516,0
MSTR.US,5,20250225,205500,250.71,253.2,250.55,252.08,170498,0
MSTR.US,5,20250225,210000,252.065,253.73,251.63,253.31,152848,0
