<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAII.US,5,20250224,153000,4,4.01,4,4.01,525,0
NAII.US,5,20250224,215500,4,4,4,4,695,0
NAII.US,5,20250225,215500,4.16,4.16,4.16,4.16,234,0
NAII.US,5,20250226,182000,4.06,4.06,4.06,4.06,167,0
NAII.US,5,20250226,210500,4.06,4.06,4.06,4.06,100,0
NAII.US,5,20250226,215000,4.06,4.06,4.06,4.06,100,0
NAII.US,5,20250226,215500,4.16,4.16,4.16,4.16,218,0
NAII.US,5,20250227,153000,4.16,4.16,4.16,4.16,126,0
NAII.US,5,20250303,153000,3.96,3.96,3.96,3.96,235,0
NAII.US,5,20250303,154500,4.04,4.04,4.04,4.04,100,0
NAII.US,5,20250303,155000,4,4,4,4,300,0
NAII.US,5,20250303,173500,4.03,4.03,4.03,4.03,200,0
NAII.US,5,20250303,180000,3.95,3.95,3.95,3.95,100,0
NAII.US,5,20250303,185500,4,4,4,4,135,0
NAII.US,5,20250303,215500,3.95,3.95,3.95,3.95,259,0
NAII.US,5,20250304,153000,3.9,3.9,3.9,3.9,303,0
NAII.US,5,20250304,162500,3.9327,4.03,3.9327,4.03,3650,0
NAII.US,5,20250304,165000,3.94,3.94,3.85,3.9119,8530,0
NAII.US,5,20250304,170000,3.72,3.72,3.72,3.72,1400,0
NAII.US,5,20250304,171500,3.81,3.88,3.73,3.73,3400,0
NAII.US,5,20250304,173000,3.7301,3.7301,3.7301,3.7301,1500,0
NAII.US,5,20250304,181000,3.81,3.81,3.81,3.81,400,0
NAII.US,5,20250304,184500,3.73,3.73,3.73,3.73,800,0
NAII.US,5,20250304,195000,3.745,3.75,3.745,3.75,2500,0
NAII.US,5,20250304,214500,3.7,3.7,3.7,3.7,174,0
NAII.US,5,20250304,215500,3.65,3.65,3.65,3.65,780,0
NAII.US,5,20250305,153000,3.67,3.67,3.67,3.67,104,0
NAII.US,5,20250305,154000,4.01,4.01,4.01,4.01,200,0
NAII.US,5,20250305,163000,3.795,3.795,3.795,3.795,100,0
NAII.US,5,20250305,164000,3.765,3.765,3.75,3.75,382,0
NAII.US,5,20250305,165000,3.73,3.73,3.73,3.73,100,0
NAII.US,5,20250305,170000,3.725,3.725,3.725,3.725,100,0
NAII.US,5,20250305,170500,3.72,3.72,3.72,3.72,100,0
NAII.US,5,20250305,175000,3.7,3.7,3.69,3.69,1093,0
NAII.US,5,20250305,175500,3.7,3.7,3.7,3.7,135,0
NAII.US,5,20250305,185000,3.7,3.7,3.69,3.69,305,0
NAII.US,5,20250305,195000,3.69,3.705,3.69,3.705,318,0
NAII.US,5,20250305,205000,3.69,3.69,3.69,3.69,131,0
NAII.US,5,20250305,212000,3.7169,3.94,3.705,3.9,2692,0
NAII.US,5,20250305,212500,3.9506,3.975,3.95,3.95,800,0
NAII.US,5,20250305,213500,3.87,3.99,3.8061,3.8061,500,0
