<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVNIW.US,5,20250224,155000,0.1077,0.1077,0.1077,0.1077,501,0
NVNIW.US,5,20250224,160000,0.119999,0.119999,0.11,0.11,1600,0
NVNIW.US,5,20250224,161000,0.100001,0.1241,0.100001,0.1241,3611,0
NVNIW.US,5,20250224,161500,0.1241,0.1241,0.1241,0.1241,1401,0
NVNIW.US,5,20250224,162500,0.125,0.1261,0.125,0.125,1400,0
NVNIW.US,5,20250224,163500,0.13,0.13,0.13,0.13,402,0
NVNIW.US,5,20250224,181000,0.11,0.11,0.11,0.11,100,0
NVNIW.US,5,20250225,154000,0.12,0.12,0.12,0.12,2308,0
NVNIW.US,5,20250225,163000,0.12,0.12,0.12,0.12,1607,0
NVNIW.US,5,20250225,215500,0.1002,0.1002,0.1002,0.1002,100,0
NVNIW.US,5,20250226,191500,0.124,0.124,0.124,0.124,1087,0
NVNIW.US,5,20250226,193500,0.124,0.124,0.102,0.102,4600,0
NVNIW.US,5,20250226,200000,0.105,0.105,0.105,0.105,100,0
NVNIW.US,5,20250226,214500,0.105,0.105,0.105,0.105,100,0
NVNIW.US,5,20250227,214500,0.1,0.1,0.1,0.1,1000,0
NVNIW.US,5,20250228,153000,0.0475,0.0475,0.0451,0.0475,4908,0
NVNIW.US,5,20250228,154500,0.0452,0.0475,0.0452,0.0475,2500,0
NVNIW.US,5,20250228,155500,0.05,0.05,0.047549,0.048408,6900,0
NVNIW.US,5,20250228,160000,0.05,0.05,0.05,0.05,5000,0
NVNIW.US,5,20250228,160500,0.049901,0.05,0.049901,0.049955,1900,0
NVNIW.US,5,20250228,161000,0.05,0.05,0.049901,0.05,1900,0
NVNIW.US,5,20250228,161500,0.05,0.0631,0.05,0.0568,20078,0
NVNIW.US,5,20250228,162000,0.065,0.065,0.065,0.065,1000,0
NVNIW.US,5,20250228,163000,0.06,0.06,0.06,0.06,700,0
NVNIW.US,5,20250228,170000,0.0601,0.0601,0.0601,0.0601,13527,0
NVNIW.US,5,20250228,191000,0.065,0.065,0.065,0.065,1000,0
NVNIW.US,5,20250228,204000,0.0675,0.0675,0.0675,0.0675,200,0
NVNIW.US,5,20250228,205500,0.068,0.068,0.068,0.068,1250,0
NVNIW.US,5,20250228,214000,0.068,0.068,0.0675,0.0675,3000,0
NVNIW.US,5,20250303,153000,0.0675,0.067501,0.0675,0.0675,10177,0
NVNIW.US,5,20250303,153500,0.0675,0.0675,0.0675,0.0675,500,0
NVNIW.US,5,20250303,155500,0.0675,0.0676,0.0675,0.0676,1000,0
NVNIW.US,5,20250303,161500,0.0676,0.0676,0.0676,0.0676,400,0
NVNIW.US,5,20250303,163000,0.0676,0.0676,0.0676,0.0676,64615,0
NVNIW.US,5,20250303,164500,0.0675,0.0676,0.0675,0.0676,1000,0
NVNIW.US,5,20250303,173500,0.0673,0.07,0.0673,0.07,15127,0
NVNIW.US,5,20250303,174000,0.0701,0.075,0.0701,0.075,1800,0
NVNIW.US,5,20250303,180000,0.075001,0.075001,0.075,0.075,10000,0
NVNIW.US,5,20250303,180500,0.075,0.075,0.075,0.075,28846,0
NVNIW.US,5,20250303,181000,0.075,0.075,0.075,0.075,1600,0
NVNIW.US,5,20250303,183000,0.08,0.08,0.08,0.08,2500,0
NVNIW.US,5,20250303,183500,0.081,0.085,0.081,0.085,12400,0
NVNIW.US,5,20250303,190000,0.0875,0.0875,0.085,0.085,9000,0
NVNIW.US,5,20250303,193000,0.085,0.085,0.06185,0.0637,9000,0
NVNIW.US,5,20250303,205500,0.07,0.0705,0.07,0.07,14482,0
NVNIW.US,5,20250303,210000,0.08,0.08,0.08,0.08,3862,0
NVNIW.US,5,20250303,211000,0.0798,0.0798,0.0798,0.0798,600,0
NVNIW.US,5,20250303,212500,0.0848,0.085,0.0848,0.085,11100,0
