<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBIL.US,5,20250224,153000,50.15,50.15,50.15,50.15,1571,0
OBIL.US,5,20250224,163000,50.145,50.145,50.145,50.145,266,0
OBIL.US,5,20250224,164500,50.1498,50.1498,50.1498,50.1498,668,0
OBIL.US,5,20250224,165000,50.145,50.145,50.145,50.145,120,0
OBIL.US,5,20250224,165500,50.15,50.15,50.15,50.15,450,0
OBIL.US,5,20250224,170500,50.1487,50.1487,50.145,50.145,520,0
OBIL.US,5,20250224,171000,50.1453,50.1453,50.1453,50.1453,137,0
OBIL.US,5,20250224,171500,50.145,50.1498,50.145,50.1498,1600,0
OBIL.US,5,20250224,173500,50.14,50.14,50.14,50.14,100,0
OBIL.US,5,20250224,174000,50.15,50.15,50.15,50.15,388,0
OBIL.US,5,20250224,174500,50.145,50.15,50.145,50.15,1499,0
OBIL.US,5,20250224,180500,50.14,50.14,50.14,50.14,100,0
OBIL.US,5,20250224,181500,50.15,50.15,50.1457,50.1457,1057,0
OBIL.US,5,20250224,185500,50.145,50.145,50.145,50.145,200,0
OBIL.US,5,20250224,190000,50.15,50.15,50.15,50.15,100,0
OBIL.US,5,20250224,190500,50.15,50.15,50.145,50.145,2100,0
OBIL.US,5,20250224,195500,50.14,50.14,50.14,50.14,100,0
OBIL.US,5,20250224,204000,50.145,50.145,50.145,50.145,1620,0
OBIL.US,5,20250224,204500,50.1455,50.1455,50.1455,50.1455,196,0
OBIL.US,5,20250224,211500,50.145,50.145,50.145,50.145,100,0
OBIL.US,5,20250225,153000,50.18,50.18,50.18,50.18,983,0
OBIL.US,5,20250225,154500,50.17,50.1701,50.17,50.1701,262,0
OBIL.US,5,20250225,164000,50.19,50.19,50.1895,50.1895,245,0
OBIL.US,5,20250225,164500,50.1849,50.1849,50.18,50.18,245,0
OBIL.US,5,20250225,165000,50.1861,50.1861,50.1861,50.1861,300,0
OBIL.US,5,20250225,171000,50.18,50.18,50.18,50.18,500,0
OBIL.US,5,20250225,171500,50.17,50.175,50.17,50.175,1330,0
OBIL.US,5,20250225,173000,50.175,50.18,50.175,50.18,300,0
OBIL.US,5,20250225,175500,50.1801,50.185,50.1801,50.185,500,0
OBIL.US,5,20250225,180000,50.1801,50.1801,50.1801,50.1801,230,0
OBIL.US,5,20250225,181000,50.1899,50.1899,50.1899,50.1899,500,0
OBIL.US,5,20250225,181500,50.18,50.18,50.18,50.18,209,0
OBIL.US,5,20250225,191000,50.17,50.175,50.17,50.1732,848,0
OBIL.US,5,20250225,192000,50.1705,50.1705,50.1705,50.1705,1000,0
OBIL.US,5,20250225,192500,50.17,50.175,50.17,50.175,5200,0
OBIL.US,5,20250225,193500,50.1799,50.1799,50.1799,50.1799,100,0
OBIL.US,5,20250225,194000,50.175,50.175,50.175,50.175,105,0
OBIL.US,5,20250225,194500,50.1701,50.1701,50.1701,50.1701,537,0
OBIL.US,5,20250225,200000,50.18,50.18,50.18,50.18,450,0
OBIL.US,5,20250225,203000,50.175,50.175,50.175,50.175,100,0
OBIL.US,5,20250225,205000,50.18,50.18,50.18,50.18,300,0
OBIL.US,5,20250225,205500,50.175,50.175,50.175,50.175,200,0
OBIL.US,5,20250225,210000,50.1754,50.1754,50.1754,50.1754,300,0
OBIL.US,5,20250225,210500,50.175,50.175,50.175,50.175,1600,0
OBIL.US,5,20250225,213000,50.1733,50.1733,50.1733,50.1733,808,0
OBIL.US,5,20250225,215500,50.1718,50.1718,50.1718,50.1718,960,0
OBIL.US,5,20250226,154500,50.165,50.165,50.165,50.165,119,0
