<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBT.US,5,20250224,153000,25.63,25.82,25.63,25.82,411,0
OBT.US,5,20250224,170500,25.72,25.72,25.72,25.72,100,0
OBT.US,5,20250224,180000,25.71,25.71,25.71,25.71,100,0
OBT.US,5,20250224,181000,25.71,25.71,25.71,25.71,100,0
OBT.US,5,20250224,193500,25.71,25.71,25.71,25.71,100,0
OBT.US,5,20250224,214500,25.71,25.71,25.52,25.52,200,0
OBT.US,5,20250224,215000,25.685,25.685,25.685,25.685,200,0
OBT.US,5,20250224,215500,25.651,25.73,25.48,25.48,4312,0
OBT.US,5,20250225,172000,25.84,25.84,25.84,25.84,100,0
OBT.US,5,20250225,174500,25.63,25.63,25.63,25.63,195,0
OBT.US,5,20250225,175500,25.83,25.83,25.83,25.83,100,0
OBT.US,5,20250225,183000,25.7,25.7,25.7,25.7,100,0
OBT.US,5,20250225,190500,26,26.04,25.855,25.855,2742,0
OBT.US,5,20250225,191000,25.935,25.935,25.935,25.935,100,0
OBT.US,5,20250225,194500,25.72,25.72,25.49,25.675,500,0
OBT.US,5,20250225,202000,25.765,25.765,25.765,25.765,100,0
OBT.US,5,20250225,203000,25.715,25.73,25.695,25.73,300,0
OBT.US,5,20250225,203500,25.695,25.695,25.695,25.695,100,0
OBT.US,5,20250225,204500,25.89,25.89,25.89,25.89,305,0
OBT.US,5,20250225,205000,25.86,25.86,25.86,25.86,100,0
OBT.US,5,20250225,211000,25.87,26.03,25.87,26.03,543,0
OBT.US,5,20250225,212000,26.15,26.15,26.03,26.03,207,0
OBT.US,5,20250225,213500,26.05,26.05,26.05,26.05,100,0
OBT.US,5,20250225,214000,25.91,25.91,25.81,25.81,200,0
OBT.US,5,20250225,215000,25.76,25.76,25.76,25.76,100,0
OBT.US,5,20250225,215500,25.64,25.64,25.55,25.62,800,0
OBT.US,5,20250226,153000,25.5,25.5,25.5,25.5,101,0
OBT.US,5,20250226,174500,25.5,25.63,25.5,25.63,573,0
OBT.US,5,20250226,193500,25.41,25.41,25.41,25.41,100,0
OBT.US,5,20250226,195500,25.4,25.4,25.4,25.4,100,0
OBT.US,5,20250226,200500,25.511,25.511,25.4,25.4,200,0
OBT.US,5,20250226,202000,25.715,25.715,25.715,25.715,100,0
OBT.US,5,20250226,202500,25.69,25.69,25.69,25.69,100,0
OBT.US,5,20250226,203000,25.74,25.835,25.74,25.835,200,0
OBT.US,5,20250226,205000,25.855,25.855,25.855,25.855,100,0
OBT.US,5,20250226,205500,25.73,25.73,25.625,25.625,300,0
OBT.US,5,20250226,210500,25.65,25.74,25.65,25.74,450,0
OBT.US,5,20250226,212500,26.02,26.02,26.02,26.02,100,0
OBT.US,5,20250226,213500,26.15,26.15,26.15,26.15,100,0
OBT.US,5,20250226,215000,26.26,26.26,26.26,26.26,100,0
OBT.US,5,20250226,215500,26.165,26.32,26.15,26.31,5184,0
OBT.US,5,20250227,153000,26.05,26.05,26.05,26.05,119,0
OBT.US,5,20250227,162000,25.7837,25.7837,25.7837,25.7837,200,0
OBT.US,5,20250227,162500,25.815,25.815,25.815,25.815,200,0
