<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PENG.US,5,20250224,153000,21.33,21.33,21.13,21.13,1530,0
PENG.US,5,20250224,153500,21.09,21.11,21.09,21.11,400,0
PENG.US,5,20250224,154000,21.04,21.3,21.03,21.3,1000,0
PENG.US,5,20250224,154500,21.3,21.32,21.15,21.24,6564,0
PENG.US,5,20250224,155000,21.17,21.2,21.145,21.2,3500,0
PENG.US,5,20250224,155500,21.115,21.12,21.025,21.025,1101,0
PENG.US,5,20250224,160000,20.96,21.025,20.8479,20.86,3082,0
PENG.US,5,20250224,160500,20.9,21,20.86,20.99,5210,0
PENG.US,5,20250224,161000,21.07,21.1344,21.07,21.1344,2583,0
PENG.US,5,20250224,161500,21.165,21.18,21.12,21.14,4954,0
PENG.US,5,20250224,162000,21.1749,21.2,21.1749,21.2,453,0
PENG.US,5,20250224,162500,21.21,21.21,21.1,21.115,18156,0
PENG.US,5,20250224,163000,21.1,21.12,21.08,21.1,3902,0
PENG.US,5,20250224,163500,21.09,21.09,21,21.03,2998,0
PENG.US,5,20250224,164000,21.07,21.1,20.9801,21.015,6155,0
PENG.US,5,20250224,164500,21.035,21.035,21,21.025,4525,0
PENG.US,5,20250224,165000,21.02,21.025,21,21.025,2401,0
PENG.US,5,20250224,165500,21.01,21.01,20.935,20.935,2987,0
PENG.US,5,20250224,170000,21.02,21.09,21,21.0146,2035,0
PENG.US,5,20250224,170500,21.02,21.1,21.02,21.1,950,0
PENG.US,5,20250224,171000,21.11,21.12,21.09,21.12,889,0
PENG.US,5,20250224,171500,21.13,21.16,21.12,21.135,1803,0
PENG.US,5,20250224,172000,21.12,21.12,21.09,21.09,800,0
PENG.US,5,20250224,172500,21.09,21.14,21.09,21.135,1198,0
PENG.US,5,20250224,173000,21.1133,21.135,21.11,21.11,1074,0
PENG.US,5,20250224,173500,21.1,21.1,21,21,2394,0
PENG.US,5,20250224,174000,21.01,21.09,21.01,21.03,1827,0
PENG.US,5,20250224,174500,21.08,21.09,21.075,21.09,2600,0
PENG.US,5,20250224,175000,21.03,21.05,21.03,21.05,700,0
PENG.US,5,20250224,175500,21.06,21.06,21.03,21.03,618,0
PENG.US,5,20250224,180000,21.04,21.105,21.04,21.08,5125,0
PENG.US,5,20250224,180500,21.08,21.2,21.08,21.2,6600,0
PENG.US,5,20250224,181000,21.18,21.2,21.155,21.155,1901,0
PENG.US,5,20250224,181500,21.18,21.2,21.18,21.2,205,0
PENG.US,5,20250224,182000,21.2,21.2,21.15,21.18,1664,0
PENG.US,5,20250224,182500,21.15,21.22,21.15,21.22,1500,0
PENG.US,5,20250224,183000,21.1922,21.1968,21.1879,21.195,813,0
PENG.US,5,20250224,183500,21.195,21.2195,21.195,21.195,1300,0
PENG.US,5,20250224,184000,21.18,21.21,21.18,21.21,1158,0
PENG.US,5,20250224,184500,21.215,21.215,21.1979,21.1979,275,0
PENG.US,5,20250224,185000,21.218,21.24,21.19,21.21,3140,0
PENG.US,5,20250224,185500,21.26,21.26,21.24,21.24,795,0
PENG.US,5,20250224,190000,21.25,21.25,21.25,21.25,200,0
PENG.US,5,20250224,190500,21.255,21.26,21.2371,21.25,1115,0
PENG.US,5,20250224,191000,21.25,21.25,21.195,21.195,4714,0
PENG.US,5,20250224,191500,21.195,21.22,21.18,21.195,3834,0
PENG.US,5,20250224,192000,21.195,21.195,21.195,21.195,2500,0
PENG.US,5,20250224,192500,21.195,21.22,21.195,21.22,936,0
PENG.US,5,20250224,193000,21.22,21.23,21.22,21.23,1061,0
PENG.US,5,20250224,193500,21.25,21.27,21.24,21.265,2685,0
PENG.US,5,20250224,194000,21.26,21.26,21.23,21.235,1963,0
PENG.US,5,20250224,194500,21.25,21.26,21.235,21.235,633,0
PENG.US,5,20250224,195000,21.235,21.235,21.235,21.235,100,0
PENG.US,5,20250224,195500,21.21,21.23,21.185,21.185,1787,0
PENG.US,5,20250224,200000,21.185,21.22,21.17,21.22,1631,0
PENG.US,5,20250224,200500,21.17,21.2,21.17,21.19,1317,0
