<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAAQW.US,5,20250603,153000,0.37,0.37,0.37,0.37,600,0
RAAQW.US,5,20250603,153500,0.38,0.38,0.38,0.38,5000,0
RAAQW.US,5,20250603,154500,0.4,0.4,0.4,0.4,100,0
RAAQW.US,5,20250603,195000,0.445,0.5,0.39,0.4,12100,0
RAAQW.US,5,20250603,201000,0.38,0.38,0.38,0.38,1600,0
RAAQW.US,5,20250603,203000,0.38,0.38,0.38,0.38,10000,0
RAAQW.US,5,20250604,163500,0.38,0.38,0.38,0.38,25000,0
RAAQW.US,5,20250604,180500,0.379999,0.379999,0.379999,0.379999,100,0
RAAQW.US,5,20250604,181500,0.38,0.38,0.38,0.38,25000,0
RAAQW.US,5,20250604,182000,0.37,0.385,0.37,0.37,25700,0
RAAQW.US,5,20250604,183000,0.37,0.38,0.37,0.38,30400,0
RAAQW.US,5,20250604,183500,0.38,0.38,0.38,0.38,24300,0
RAAQW.US,5,20250604,184000,0.38,0.38,0.36,0.36,277312,0
RAAQW.US,5,20250604,184500,0.4,0.4,0.4,0.4,1000,0
RAAQW.US,5,20250604,185000,0.38,0.38,0.38,0.38,2500,0
RAAQW.US,5,20250604,211500,0.37,0.37,0.37,0.37,20000,0
RAAQW.US,5,20250604,215500,0.36,0.36,0.36,0.36,600,0
RAAQW.US,5,20250605,205000,0.36,0.36,0.36,0.36,25000,0
RAAQW.US,5,20250609,153000,0.38,0.38,0.38,0.38,100,0
RAAQW.US,5,20250609,154000,0.38,0.38,0.38,0.38,100,0
RAAQW.US,5,20250609,155500,0.38,0.38,0.38,0.38,200,0
RAAQW.US,5,20250609,162000,0.38,0.38,0.38,0.38,300,0
RAAQW.US,5,20250609,165500,0.38,0.38,0.38,0.38,300,0
RAAQW.US,5,20250609,172500,0.38,0.4,0.38,0.4,2500,0
RAAQW.US,5,20250609,173000,0.39,0.39,0.39,0.39,300,0
RAAQW.US,5,20250609,180500,0.39,0.39,0.39,0.39,1600,0
RAAQW.US,5,20250609,193500,0.39,0.39,0.39,0.39,100,0
RAAQW.US,5,20250609,195000,0.3703,0.3703,0.3703,0.3703,9000,0
RAAQW.US,5,20250609,205500,0.39,0.39,0.39,0.39,100,0
RAAQW.US,5,20250609,210500,0.39,0.39,0.39,0.39,38000,0
RAAQW.US,5,20250610,153000,0.4,0.4,0.4,0.4,600,0
