<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAIN.US,5,20250224,153000,2.865,2.865,2.865,2.865,100,0
RAIN.US,5,20250224,153500,2.65,2.65,2.65,2.65,200,0
RAIN.US,5,20250224,154000,2.7113,2.7113,2.7113,2.7113,170,0
RAIN.US,5,20250224,163000,2.55,2.55,2.55,2.55,600,0
RAIN.US,5,20250224,165000,2.53,2.53,2.53,2.53,392,0
RAIN.US,5,20250224,193500,2.465,2.47,2.465,2.47,200,0
RAIN.US,5,20250224,205000,2.4599,2.4599,2.4599,2.4599,100,0
RAIN.US,5,20250224,210500,2.4594,2.4594,2.4594,2.4594,100,0
RAIN.US,5,20250225,153000,2.38,2.38,2.38,2.38,229,0
RAIN.US,5,20250225,163000,2.3946,2.3946,2.3946,2.3946,417,0
RAIN.US,5,20250225,170000,2.36,2.36,2.36,2.36,200,0
RAIN.US,5,20250225,173000,2.378,2.378,2.378,2.378,500,0
RAIN.US,5,20250225,181500,2.35,2.35,2.34,2.34,837,0
RAIN.US,5,20250225,183000,2.34,2.34,2.34,2.34,100,0
RAIN.US,5,20250225,191500,2.33,2.33,2.33,2.33,1500,0
RAIN.US,5,20250225,215500,2.34,2.34,2.34,2.34,200,0
RAIN.US,5,20250226,175000,2.245,2.245,2.245,2.245,2000,0
RAIN.US,5,20250226,181000,2.3199,2.3199,2.3199,2.3199,500,0
RAIN.US,5,20250226,200500,2.21,2.21,2.1906,2.1906,200,0
RAIN.US,5,20250226,213000,2.25,2.25,2.25,2.25,260,0
RAIN.US,5,20250226,215000,2.249,2.25,2.249,2.25,407,0
RAIN.US,5,20250226,215500,2.31,2.31,2.31,2.31,307,0
RAIN.US,5,20250227,153000,2.27,2.27,2.27,2.27,430,0
RAIN.US,5,20250227,161500,2.31,2.31,2.31,2.31,386,0
RAIN.US,5,20250227,172500,2.2,2.2,2.2,2.2,150,0
RAIN.US,5,20250227,173000,2.2997,2.2997,2.2997,2.2997,100,0
RAIN.US,5,20250227,175000,2.2202,2.2202,2.2202,2.2202,100,0
RAIN.US,5,20250227,180000,2.37,2.37,2.37,2.37,100,0
RAIN.US,5,20250227,183000,2.38,2.55,2.36,2.55,3645,0
RAIN.US,5,20250227,183500,2.54,2.54,2.41,2.5,4900,0
RAIN.US,5,20250227,184000,2.51,2.51,2.51,2.51,3490,0
RAIN.US,5,20250227,190500,2.43,2.55,2.43,2.55,350,0
RAIN.US,5,20250227,191500,2.5499,2.5499,2.35,2.4791,400,0
RAIN.US,5,20250227,192500,2.5411,2.5411,2.5411,2.5411,200,0
RAIN.US,5,20250227,194000,2.41,2.54,2.41,2.4207,300,0
RAIN.US,5,20250227,194500,2.4101,2.54,2.4101,2.54,200,0
RAIN.US,5,20250227,201500,2.5412,2.5412,2.5412,2.5412,400,0
RAIN.US,5,20250227,202500,2.41,2.41,2.41,2.41,100,0
RAIN.US,5,20250227,204000,2.4,2.5485,2.4,2.5485,300,0
RAIN.US,5,20250228,163000,2.4382,2.4382,2.4382,2.4382,181,0
RAIN.US,5,20250228,181000,2.2567,2.44,2.2433,2.44,300,0
RAIN.US,5,20250228,181500,2.264,2.264,2.264,2.264,100,0
RAIN.US,5,20250228,182500,2.36,2.36,2.36,2.36,300,0
RAIN.US,5,20250228,183000,2.36,2.44,2.35,2.44,800,0
RAIN.US,5,20250228,192000,2.5041,2.5041,2.47,2.47,477,0
RAIN.US,5,20250228,193500,2.64,2.64,2.3601,2.3601,3100,0
RAIN.US,5,20250228,194500,2.355,2.38,2.3501,2.3501,400,0
RAIN.US,5,20250228,195500,2.34,2.34,2.34,2.34,100,0
RAIN.US,5,20250228,200500,2.3597,2.3597,2.3597,2.3597,100,0
RAIN.US,5,20250228,201500,2.2685,2.2685,2.2685,2.2685,100,0
RAIN.US,5,20250228,202000,2.355,2.355,2.355,2.355,300,0
RAIN.US,5,20250228,204500,2.365,2.365,2.365,2.365,100,0
RAIN.US,5,20250228,210000,2.2501,2.267,2.2501,2.267,400,0
RAIN.US,5,20250228,210500,2.2501,2.2977,2.21,2.2201,5729,0
RAIN.US,5,20250228,211000,2.22,2.31,2.1802,2.21,2990,0
RAIN.US,5,20250228,211500,2.16,2.16,2.16,2.16,1403,0
RAIN.US,5,20250228,212000,2.215,2.215,2.16,2.2,300,0
RAIN.US,5,20250303,161500,2.2816,2.2816,2.2816,2.2816,100,0
RAIN.US,5,20250303,170000,2.18,2.18,2.18,2.18,100,0
RAIN.US,5,20250303,192000,2.44,2.44,2.44,2.44,100,0
RAIN.US,5,20250303,192500,2.44,2.44,2.44,2.44,100,0
RAIN.US,5,20250303,204500,2.18,2.18,2.18,2.18,100,0
RAIN.US,5,20250304,153000,2.16,2.16,2.16,2.16,100,0
RAIN.US,5,20250304,153500,2.05,2.05,2.05,2.05,124,0
RAIN.US,5,20250304,154000,2.0835,2.0835,2.0207,2.0207,200,0
RAIN.US,5,20250304,154500,2.0427,2.2,2.0207,2.2,1100,0
RAIN.US,5,20250304,155000,2.14,2.14,2.125,2.125,500,0
RAIN.US,5,20250304,161000,2.19,2.19,2.19,2.19,199,0
RAIN.US,5,20250304,165500,2.02,2.02,1.96,1.96,1000,0
RAIN.US,5,20250304,172500,1.915,1.98,1.915,1.98,200,0
RAIN.US,5,20250304,175500,1.8528,1.95,1.8528,1.95,500,0
RAIN.US,5,20250304,182500,1.93,2.14,1.88,2.14,8346,0
RAIN.US,5,20250304,183000,2.06,2.06,2.04,2.04,200,0
RAIN.US,5,20250304,185500,2.08,2.08,2.08,2.08,100,0
RAIN.US,5,20250304,190000,2.08,2.08,2.08,2.08,448,0
RAIN.US,5,20250304,201000,2.04,2.04,2.04,2.04,100,0
RAIN.US,5,20250304,201500,2.031,2.031,1.9901,2.0085,1850,0
RAIN.US,5,20250304,215000,2.145,2.145,2.145,2.145,185,0
RAIN.US,5,20250305,155500,2.1,2.1,2.1,2.1,1000,0
RAIN.US,5,20250305,160000,2.15,2.15,2.08,2.12,1900,0
RAIN.US,5,20250305,161000,2.15,2.22,2.11,2.11,820,0
RAIN.US,5,20250305,161500,2.1235,2.1235,2.1235,2.1235,150,0
RAIN.US,5,20250305,162000,2.0847,2.0847,2.0847,2.0847,150,0
RAIN.US,5,20250305,185500,2.1001,2.1001,2.1001,2.1001,200,0
RAIN.US,5,20250305,190500,2.0737,2.0737,2.0737,2.0737,450,0
RAIN.US,5,20250305,201500,2.0623,2.0629,2.03,2.03,700,0
RAIN.US,5,20250305,211000,2.0641,2.0641,2.0641,2.0641,200,0
