<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAND.US,5,20250224,153000,27.8,27.8,27.5001,27.5001,770,0
RAND.US,5,20250224,153500,27.75,27.75,27.75,27.75,200,0
RAND.US,5,20250224,154000,28,28,28,28,2051,0
RAND.US,5,20250224,154500,28.1,28.1,28.1,28.1,270,0
RAND.US,5,20250224,160000,28.9661,28.9661,28.9661,28.9661,700,0
RAND.US,5,20250224,160500,28.8262,28.8262,28.8262,28.8262,172,0
RAND.US,5,20250224,162500,27.55,28.05,27.55,28.05,350,0
RAND.US,5,20250224,170000,28.3,28.3,28.3,28.3,100,0
RAND.US,5,20250224,170500,28.3,28.3,27.6217,27.6217,200,0
RAND.US,5,20250224,171000,28,28,28,28,535,0
RAND.US,5,20250224,173000,28.2487,28.2487,28.2487,28.2487,300,0
RAND.US,5,20250224,182000,28.25,28.25,28.25,28.25,1361,0
RAND.US,5,20250224,182500,28.8604,28.8604,28.8604,28.8604,500,0
RAND.US,5,20250224,183000,28.49,28.49,28.49,28.49,100,0
RAND.US,5,20250224,183500,28.72,28.72,28.72,28.72,1025,0
RAND.US,5,20250224,190500,28.4799,28.8,28.4799,28.8,516,0
RAND.US,5,20250224,195000,28.505,28.505,28.505,28.505,137,0
RAND.US,5,20250224,201000,28.0199,28.6465,28.0199,28.6465,803,0
RAND.US,5,20250224,202000,28.99,28.99,28.99,28.99,1500,0
RAND.US,5,20250224,204500,28.5,28.5,28.5,28.5,1478,0
RAND.US,5,20250224,210000,28.75,28.75,28.5,28.5,400,0
RAND.US,5,20250224,214000,28.7499,28.7499,28.7499,28.7499,175,0
RAND.US,5,20250224,215000,28.45,28.45,28.45,28.45,271,0
RAND.US,5,20250224,215500,28.08,28.08,28.08,28.08,100,0
RAND.US,5,20250225,153000,28,28,27.75,27.75,887,0
RAND.US,5,20250225,154500,27.8928,27.8928,27.5,27.5,200,0
RAND.US,5,20250225,155000,27.99,27.99,27.5,27.5,272,0
RAND.US,5,20250225,155500,27.99,27.99,27.99,27.99,168,0
RAND.US,5,20250225,160000,26.66,27.325,26.66,27.325,420,0
RAND.US,5,20250225,160500,26.65,26.65,26.55,26.55,800,0
RAND.US,5,20250225,161000,26.66,26.66,26.66,26.66,259,0
RAND.US,5,20250225,163000,27.06,27.33,27.06,27.33,300,0
RAND.US,5,20250225,163500,27.99,27.99,27.93,27.93,292,0
RAND.US,5,20250225,164000,26.7,26.7,26.7,26.7,1351,0
RAND.US,5,20250225,165500,28,28,28,28,200,0
RAND.US,5,20250225,170000,26.73,26.73,26.65,26.65,200,0
RAND.US,5,20250225,172500,26.29,26.29,26.28,26.28,400,0
RAND.US,5,20250225,173500,26.6145,26.6145,26.6145,26.6145,200,0
RAND.US,5,20250225,174500,26.6924,26.6924,26.6924,26.6924,263,0
RAND.US,5,20250225,175000,26.64,26.64,26.28,26.28,300,0
RAND.US,5,20250225,175500,26.0645,26.0645,26.0645,26.0645,291,0
RAND.US,5,20250225,180000,26.334,27.4363,26.334,27.4363,412,0
RAND.US,5,20250225,180500,26.17,26.17,26.17,26.17,100,0
RAND.US,5,20250225,181000,26,26,25.21,25.21,400,0
RAND.US,5,20250225,181500,25.0001,25.0001,25.0001,25.0001,300,0
RAND.US,5,20250225,182500,25.6815,25.6815,25.5,25.57,900,0
RAND.US,5,20250225,183500,25.665,25.665,25.665,25.665,481,0
RAND.US,5,20250225,184000,25.665,25.8947,25.5268,25.5268,500,0
RAND.US,5,20250225,191500,25.87,25.93,25.87,25.93,1235,0
RAND.US,5,20250225,192000,25.5,25.93,25.5,25.93,836,0
RAND.US,5,20250225,192500,25.93,25.93,25.93,25.93,458,0
RAND.US,5,20250225,193000,25.93,25.93,25.5252,25.5252,700,0
RAND.US,5,20250225,194000,25.736,25.736,25.736,25.736,100,0
RAND.US,5,20250225,195000,25.6917,25.6917,25.6917,25.6917,200,0
RAND.US,5,20250225,195500,26.06,28,26.06,28,500,0
RAND.US,5,20250225,200000,25.93,25.93,25,25.14,2295,0
RAND.US,5,20250225,200500,26.38,26.38,26.38,26.38,100,0
RAND.US,5,20250225,201500,25.42,25.42,25,25,848,0
RAND.US,5,20250225,202000,25.01,25.2,25.01,25.2,300,0
RAND.US,5,20250225,202500,25.2613,25.2613,25.2613,25.2613,300,0
RAND.US,5,20250225,203000,26,26,26,26,300,0
RAND.US,5,20250225,203500,25.99,26.21,25.5,25.95,1450,0
