<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDCM.US,5,20250224,153000,12.8,12.8,12.755,12.755,3295,0
RDCM.US,5,20250224,153500,12.755,12.88,12.755,12.86,636,0
RDCM.US,5,20250224,154000,12.79,12.79,12.725,12.73,624,0
RDCM.US,5,20250224,154500,12.73,12.735,12.69,12.69,700,0
RDCM.US,5,20250224,155000,12.79,12.8,12.745,12.745,2139,0
RDCM.US,5,20250224,155500,12.795,12.795,12.7154,12.7154,460,0
RDCM.US,5,20250224,160000,12.64,12.64,12.55,12.55,512,0
RDCM.US,5,20250224,161000,12.54,12.54,12.5,12.5,3457,0
RDCM.US,5,20250224,161500,12.495,12.56,12.495,12.53,2230,0
RDCM.US,5,20250224,162000,12.53,12.55,12.51,12.51,1538,0
RDCM.US,5,20250224,163000,12.43,12.47,12.39,12.47,1900,0
RDCM.US,5,20250224,163500,12.5296,12.5296,12.5296,12.5296,500,0
RDCM.US,5,20250224,164000,12.4699,12.4699,12.4699,12.4699,405,0
RDCM.US,5,20250224,164500,12.47,12.47,12.42,12.42,1564,0
RDCM.US,5,20250224,165500,12.4,12.4,12.32,12.32,200,0
RDCM.US,5,20250224,170000,12.31,12.4981,12.31,12.34,1500,0
RDCM.US,5,20250224,170500,12.405,12.54,12.405,12.5,1850,0
RDCM.US,5,20250224,172000,12.4502,12.54,12.4502,12.54,300,0
RDCM.US,5,20250224,172500,12.5748,12.62,12.568,12.568,2600,0
RDCM.US,5,20250224,174000,12.78,12.78,12.66,12.77,2000,0
RDCM.US,5,20250224,174500,12.7041,12.7041,12.7041,12.7041,1000,0
RDCM.US,5,20250224,180000,12.65,12.65,12.645,12.645,2041,0
RDCM.US,5,20250224,181000,12.69,12.69,12.65,12.66,1693,0
RDCM.US,5,20250224,181500,12.66,12.76,12.66,12.705,1912,0
RDCM.US,5,20250224,182000,12.7589,12.765,12.7,12.75,1790,0
RDCM.US,5,20250224,184500,12.72,12.72,12.65,12.65,1000,0
RDCM.US,5,20250224,185500,12.77,12.77,12.6,12.6,1805,0
RDCM.US,5,20250224,191500,12.63,12.63,12.551,12.6,629,0
RDCM.US,5,20250224,192500,12.617,12.617,12.617,12.617,500,0
RDCM.US,5,20250224,193000,12.5623,12.6,12.5623,12.6,204,0
RDCM.US,5,20250224,193500,12.605,12.61,12.55,12.56,3105,0
RDCM.US,5,20250224,194000,12.58,12.59,12.55,12.56,2926,0
RDCM.US,5,20250224,194500,12.56,12.6,12.5567,12.6,1106,0
RDCM.US,5,20250224,195000,12.6491,12.6491,12.6491,12.6491,250,0
RDCM.US,5,20250224,203000,12.55,12.55,12.55,12.55,237,0
RDCM.US,5,20250224,203500,12.53,12.54,12.53,12.54,213,0
RDCM.US,5,20250224,204000,12.5,12.54,12.5,12.54,2049,0
RDCM.US,5,20250224,205500,12.53,12.53,12.53,12.53,100,0
RDCM.US,5,20250224,210500,12.505,12.505,12.505,12.505,122,0
RDCM.US,5,20250224,211000,12.53,12.54,12.48,12.48,1128,0
RDCM.US,5,20250224,211500,12.505,12.5135,12.505,12.5135,200,0
RDCM.US,5,20250224,212000,12.4804,12.5,12.4804,12.5,4000,0
RDCM.US,5,20250224,212500,12.47,12.48,12.435,12.47,1300,0
RDCM.US,5,20250224,213500,12.48,12.48,12.48,12.48,500,0
RDCM.US,5,20250224,214000,12.48,12.48,12.48,12.48,347,0
RDCM.US,5,20250224,215000,12.475,12.49,12.47,12.47,500,0
RDCM.US,5,20250224,215500,12.49,12.49,12.39,12.47,3269,0
RDCM.US,5,20250225,153000,12.48,12.48,12.48,12.48,853,0
RDCM.US,5,20250225,153500,12.48,12.48,12.48,12.48,100,0
RDCM.US,5,20250225,154500,12.34,12.34,12.34,12.34,100,0
RDCM.US,5,20250225,160000,12.3313,12.3313,12.32,12.32,350,0
RDCM.US,5,20250225,160500,12.34,12.34,12.26,12.26,2141,0
RDCM.US,5,20250225,161000,12.21,12.21,12.21,12.21,500,0
RDCM.US,5,20250225,161500,12.24,12.24,12.24,12.24,168,0
RDCM.US,5,20250225,162000,12.15,12.165,12.06,12.165,2503,0
RDCM.US,5,20250225,162500,12.1,12.16,12.1,12.16,300,0
RDCM.US,5,20250225,163000,12.0838,12.0838,12.0838,12.0838,300,0
RDCM.US,5,20250225,163500,12.24,12.25,12.24,12.25,200,0
RDCM.US,5,20250225,164500,12.27,12.27,12.27,12.27,100,0
RDCM.US,5,20250225,165500,12.1601,12.1601,12.1601,12.1601,100,0
RDCM.US,5,20250225,170000,12.16,12.16,12.16,12.16,100,0
RDCM.US,5,20250225,171000,12.24,12.24,12.16,12.16,405,0
RDCM.US,5,20250225,172500,12.11,12.12,12.1,12.1,450,0
RDCM.US,5,20250225,173000,12.08,12.115,12.05,12.115,1724,0
RDCM.US,5,20250225,173500,12.11,12.11,12.06,12.06,235,0
RDCM.US,5,20250225,174000,12.128,12.17,12.128,12.14,464,0
RDCM.US,5,20250225,175000,12.175,12.22,12.14,12.21,1428,0
RDCM.US,5,20250225,180000,12.18,12.18,12.18,12.18,200,0
RDCM.US,5,20250225,181000,12.225,12.225,12.225,12.225,100,0
RDCM.US,5,20250225,181500,12.0633,12.0633,12.0633,12.0633,500,0
RDCM.US,5,20250225,182000,12.07,12.07,12.07,12.07,100,0
RDCM.US,5,20250225,182500,12.23,12.23,12.23,12.23,200,0
RDCM.US,5,20250225,183000,12.15,12.15,12.15,12.15,200,0
RDCM.US,5,20250225,190000,12.161,12.195,12.161,12.1806,300,0
RDCM.US,5,20250225,191500,12.22,12.23,12.22,12.23,400,0
RDCM.US,5,20250225,192000,12.16,12.16,12.16,12.16,100,0
RDCM.US,5,20250225,193500,12.14,12.14,12.14,12.14,100,0
RDCM.US,5,20250225,194000,12.185,12.185,12.15,12.15,1500,0
RDCM.US,5,20250225,194500,12.21,12.25,12.21,12.25,1400,0
RDCM.US,5,20250225,195000,12.265,12.265,12.21,12.21,2100,0
RDCM.US,5,20250225,195500,12.265,12.3024,12.265,12.3024,600,0
RDCM.US,5,20250225,200500,12.235,12.235,12.235,12.235,100,0
RDCM.US,5,20250225,202000,12.14,12.205,12.14,12.205,300,0
RDCM.US,5,20250225,202500,12.195,12.2,12.14,12.14,1824,0
RDCM.US,5,20250225,203500,12.14,12.14,12.14,12.14,100,0
RDCM.US,5,20250225,204000,12.2,12.25,12.19,12.21,2197,0
RDCM.US,5,20250225,204500,12.19,12.19,12.1395,12.1395,400,0
RDCM.US,5,20250225,210000,12.14,12.1992,12.1201,12.1992,946,0
RDCM.US,5,20250225,210500,12.14,12.17,12.14,12.17,400,0
RDCM.US,5,20250225,211500,12.16,12.175,12.16,12.175,1500,0
RDCM.US,5,20250225,212000,12.175,12.2,12.17,12.2,1000,0
RDCM.US,5,20250225,213000,12.31,12.31,12.31,12.31,200,0
RDCM.US,5,20250225,214500,12.16,12.27,12.16,12.215,900,0
RDCM.US,5,20250225,215000,12.215,12.215,12.14,12.14,300,0
RDCM.US,5,20250225,215500,12.16,12.26,12.1,12.26,2401,0
RDCM.US,5,20250226,153000,12.17,12.26,12.17,12.26,2561,0
RDCM.US,5,20250226,154000,12.07,12.07,12.07,12.07,500,0
RDCM.US,5,20250226,154500,12.35,12.46,12.35,12.45,6440,0
RDCM.US,5,20250226,161000,12.45,12.45,12.45,12.45,300,0
RDCM.US,5,20250226,161500,12.43,12.43,12.43,12.43,600,0
RDCM.US,5,20250226,162000,12.42,12.44,12.42,12.44,200,0
RDCM.US,5,20250226,163000,12.5,12.5,12.5,12.5,300,0
RDCM.US,5,20250226,163500,12.517834,12.56,12.517834,12.56,500,0
RDCM.US,5,20250226,164000,12.49,12.55,12.49,12.54,500,0
RDCM.US,5,20250226,170500,12.55,12.56,12.55,12.55,2573,0
RDCM.US,5,20250226,172000,12.4996,12.4996,12.4996,12.4996,600,0
RDCM.US,5,20250226,173000,12.515,12.515,12.515,12.515,500,0
RDCM.US,5,20250226,175500,12.48,12.48,12.48,12.48,132,0
RDCM.US,5,20250226,180000,12.43,12.48,12.425,12.48,2680,0
RDCM.US,5,20250226,180500,12.51,12.51,12.423,12.423,342,0
RDCM.US,5,20250226,181500,12.45,12.45,12.45,12.45,900,0
RDCM.US,5,20250226,182000,12.49,12.49,12.49,12.49,100,0
RDCM.US,5,20250226,183000,12.485,12.485,12.485,12.485,100,0
RDCM.US,5,20250226,184000,12.48,12.48,12.48,12.48,200,0
RDCM.US,5,20250226,184500,12.48,12.48,12.45,12.45,1130,0
RDCM.US,5,20250226,190500,12.44,12.44,12.44,12.44,100,0
RDCM.US,5,20250226,192500,12.4,12.4,12.35,12.35,1633,0
RDCM.US,5,20250226,194000,12.31,12.36,12.27,12.28,2433,0
RDCM.US,5,20250226,194500,12.31,12.36,12.1256,12.25,10568,0
RDCM.US,5,20250226,195000,12.2248,12.2248,12.122,12.122,2500,0
RDCM.US,5,20250226,200500,12.32,12.32,12.32,12.32,1315,0
RDCM.US,5,20250226,203000,12.2401,12.2401,12.2401,12.2401,115,0
RDCM.US,5,20250226,203500,12.23,12.23,12.1733,12.1733,5080,0
RDCM.US,5,20250226,204000,12.265,12.3,12.24,12.28,1930,0
RDCM.US,5,20250226,205500,12.29,12.29,12.29,12.29,100,0
RDCM.US,5,20250226,210000,12.27,12.27,12.27,12.27,100,0
RDCM.US,5,20250226,211000,12.24,12.24,12.24,12.24,400,0
RDCM.US,5,20250226,211500,12.21,12.26,12.2,12.26,408,0
RDCM.US,5,20250226,212000,12.27,12.27,12.27,12.27,200,0
RDCM.US,5,20250226,213000,12.31,12.38,12.31,12.38,200,0
RDCM.US,5,20250226,213500,12.345,12.345,12.285,12.285,2338,0
RDCM.US,5,20250226,214500,12.33,12.33,12.33,12.33,100,0
RDCM.US,5,20250226,215000,12.3,12.3,12.3,12.3,422,0
RDCM.US,5,20250226,215500,12.31,12.36,12.26,12.34,1889,0
RDCM.US,5,20250227,153000,12.41,12.41,12.41,12.41,175,0
RDCM.US,5,20250227,154000,12.42,12.42,12.42,12.42,250,0
RDCM.US,5,20250227,160000,12.2,12.2,12.2,12.2,300,0
RDCM.US,5,20250227,161500,12.18,12.19,12.15,12.15,1125,0
RDCM.US,5,20250227,162000,12.255,12.255,12.255,12.255,100,0
RDCM.US,5,20250227,164500,12.1258,12.1258,12.1258,12.1258,135,0
RDCM.US,5,20250227,165000,12.1212,12.255,12.1212,12.255,300,0
RDCM.US,5,20250227,170500,12.095,12.095,12.095,12.095,1000,0
RDCM.US,5,20250227,174000,12.33,12.33,12.33,12.33,100,0
RDCM.US,5,20250227,174500,12.18,12.18,12.18,12.18,250,0
RDCM.US,5,20250227,175500,12.1,12.11,12.1,12.11,210,0
RDCM.US,5,20250227,183000,12.115,12.115,12.115,12.115,100,0
RDCM.US,5,20250227,184500,12.07,12.07,12.06,12.06,350,0
RDCM.US,5,20250227,185500,12.075,12.075,12.075,12.075,100,0
RDCM.US,5,20250227,190500,12.08,12.08,11.8901,12.02,7275,0
RDCM.US,5,20250227,191000,12.1032,12.2,12.1032,12.12,747,0
RDCM.US,5,20250227,191500,12.07,12.07,12.07,12.07,100,0
RDCM.US,5,20250227,192000,12.1691,12.1691,12.1691,12.1691,1500,0
RDCM.US,5,20250227,200000,12.03,12.03,12.005,12.005,200,0
RDCM.US,5,20250227,202500,12,12.05,12,12.015,735,0
RDCM.US,5,20250227,203000,11.93,11.93,11.93,11.93,100,0
RDCM.US,5,20250227,203500,11.94,11.94,11.93,11.93,200,0
RDCM.US,5,20250227,204000,11.92,12.03,11.915,12.03,749,0
RDCM.US,5,20250227,204500,11.93,11.93,11.93,11.93,100,0
RDCM.US,5,20250227,211500,11.9,11.9,11.86,11.86,600,0
RDCM.US,5,20250227,212500,11.89,11.89,11.89,11.89,200,0
RDCM.US,5,20250227,213000,11.84,11.85,11.84,11.84,300,0
RDCM.US,5,20250227,213500,11.84,11.84,11.84,11.84,100,0
RDCM.US,5,20250227,214000,11.82,11.845,11.81,11.82,1127,0
RDCM.US,5,20250227,214500,11.825,11.95,11.825,11.935,1500,0
RDCM.US,5,20250227,215000,11.92,11.92,11.91,11.91,200,0
RDCM.US,5,20250227,215500,11.945,11.945,11.89,11.92,1894,0
RDCM.US,5,20250228,153000,11.89,11.89,11.89,11.89,1993,0
RDCM.US,5,20250228,153500,11.92,11.92,11.92,11.92,100,0
RDCM.US,5,20250228,154000,11.89,11.89,11.79,11.8,2991,0
RDCM.US,5,20250228,154500,11.76,11.7601,11.66,11.68,6004,0
RDCM.US,5,20250228,155500,11.73,11.945,11.72,11.945,2571,0
RDCM.US,5,20250228,160000,12.1277,12.1277,11.835,11.835,3199,0
RDCM.US,5,20250228,160500,11.87,11.88,11.815,11.88,600,0
RDCM.US,5,20250228,162500,11.802,11.802,11.802,11.802,100,0
RDCM.US,5,20250228,163500,12.09,12.135,12.09,12.135,800,0
RDCM.US,5,20250228,164000,12.19,12.19,12.145,12.145,400,0
RDCM.US,5,20250228,165500,12.2,12.2,12.2,12.2,200,0
RDCM.US,5,20250228,170000,12.04,12.04,12.04,12.04,495,0
RDCM.US,5,20250228,171000,12.18,12.18,12.18,12.18,200,0
RDCM.US,5,20250228,171500,12.14,12.14,12.14,12.14,100,0
RDCM.US,5,20250228,172500,11.9412,11.955,11.9412,11.955,2100,0
RDCM.US,5,20250228,173000,11.955,12.05,11.955,12.05,400,0
RDCM.US,5,20250228,173500,12.11,12.115,12.11,12.115,211,0
RDCM.US,5,20250228,174000,12.115,12.115,12.115,12.115,200,0
RDCM.US,5,20250228,175500,12.16,12.16,12.16,12.16,200,0
RDCM.US,5,20250228,181000,12.13,12.13,12.13,12.13,100,0
RDCM.US,5,20250228,181500,12.095,12.095,12.095,12.095,200,0
RDCM.US,5,20250228,182000,12.1135,12.19,12.095,12.095,1130,0
RDCM.US,5,20250228,182500,12.02,12.19,12,12.19,5684,0
RDCM.US,5,20250228,183000,12,12.095,12,12,300,0
RDCM.US,5,20250228,183500,12.01,12.01,12.01,12.01,100,0
RDCM.US,5,20250228,184000,12.01,12.01,11.9,11.9,6683,0
RDCM.US,5,20250228,184500,11.97,11.98,11.91,11.975,400,0
RDCM.US,5,20250228,185500,11.88,11.905,11.8,11.82,1450,0
RDCM.US,5,20250228,190000,11.8001,11.8001,11.8001,11.8001,250,0
RDCM.US,5,20250228,190500,11.85,11.85,11.8,11.8,1040,0
RDCM.US,5,20250228,191000,11.78,11.835,11.78,11.835,2014,0
RDCM.US,5,20250228,191500,11.875,11.875,11.875,11.875,100,0
RDCM.US,5,20250228,192000,11.8,11.8,11.8,11.8,100,0
RDCM.US,5,20250228,192500,11.82,11.82,11.81,11.82,300,0
RDCM.US,5,20250228,193000,11.8,11.885,11.8,11.82,408,0
RDCM.US,5,20250228,193500,11.91,11.91,11.91,11.91,200,0
RDCM.US,5,20250228,194000,11.975,11.975,11.75,11.774988,10865,0
RDCM.US,5,20250228,194500,11.92,11.92,11.82,11.9,609,0
RDCM.US,5,20250228,195000,11.94,11.94,11.86,11.86,200,0
RDCM.US,5,20250228,200000,11.79,11.815,11.78,11.805,2700,0
RDCM.US,5,20250228,200500,11.86,11.86,11.86,11.86,100,0
RDCM.US,5,20250228,201500,11.93,11.93,11.93,11.93,100,0
RDCM.US,5,20250228,203000,11.915,11.915,11.915,11.915,100,0
RDCM.US,5,20250228,203500,11.92,11.92,11.92,11.92,100,0
RDCM.US,5,20250228,204000,11.92,11.96,11.87,11.87,1625,0
RDCM.US,5,20250228,204500,11.92,11.96,11.87,11.88,2100,0
RDCM.US,5,20250228,205000,11.96,12.0399,11.88,11.975,4200,0
RDCM.US,5,20250228,205500,11.91,11.91,11.91,11.91,200,0
RDCM.US,5,20250228,210000,11.91,11.975,11.91,11.975,500,0
RDCM.US,5,20250228,210500,12.04,12.105,12.02,12.02,500,0
RDCM.US,5,20250228,211500,12.065,12.065,12.065,12.065,200,0
RDCM.US,5,20250228,212000,12.02,12.065,12.02,12.065,200,0
RDCM.US,5,20250228,212500,12.01,12.065,12.01,12.01,500,0
RDCM.US,5,20250228,213000,12.065,12.065,12.065,12.065,100,0
RDCM.US,5,20250228,213500,12.05,12.0999,11.98,12.03,900,0
RDCM.US,5,20250228,214000,12.09,12.1,11.87,12.08,3310,0
RDCM.US,5,20250228,214500,12.025,12.055,12.025,12.055,200,0
RDCM.US,5,20250228,215000,12.04,12.08,12.015,12.08,3281,0
RDCM.US,5,20250228,215500,12.095,12.23,12.095,12.23,5494,0
RDCM.US,5,20250303,153000,12.02,12.3999,12.02,12.2999,2986,0
RDCM.US,5,20250303,153500,12.17,12.17,12.17,12.17,100,0
