<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIBBR.US,5,20250307,160500,0.15,0.15,0.15,0.15,18000,0
RIBBR.US,5,20250307,161000,0.16,0.16,0.15,0.15,220000,0
RIBBR.US,5,20250307,163500,0.19,0.19,0.19,0.19,28900,0
RIBBR.US,5,20250307,164500,0.19,0.19,0.19,0.19,1900,0
RIBBR.US,5,20250307,165500,0.19,0.19,0.18,0.18,24332,0
RIBBR.US,5,20250307,170500,0.19,0.19,0.186751,0.186751,1842,0
RIBBR.US,5,20250307,174000,0.18,0.18,0.18,0.18,9976,0
RIBBR.US,5,20250307,195500,0.18,0.18,0.18,0.18,49150,0
RIBBR.US,5,20250307,205500,0.17,0.17,0.17,0.17,19500,0
RIBBR.US,5,20250310,154500,0.16,0.16,0.16,0.16,10000,0
RIBBR.US,5,20250310,195500,0.155,0.155,0.155,0.155,25000,0
RIBBR.US,5,20250310,202500,0.155,0.155,0.155,0.155,100,0
RIBBR.US,5,20250312,143000,0.1476,0.15,0.1443,0.15,1200,0
RIBBR.US,5,20250313,153000,0.15,0.15,0.15,0.15,1200,0
RIBBR.US,5,20250318,143000,0.155,0.155,0.155,0.155,200,0
RIBBR.US,5,20250318,152500,0.155,0.155,0.155,0.155,1500,0
RIBBR.US,5,20250318,190000,0.1551,0.1551,0.155,0.155,1000,0
RIBBR.US,5,20250319,174000,0.155,0.155,0.155,0.155,166145,0
RIBBR.US,5,20250319,180500,0.17,0.17,0.17,0.17,80000,0
RIBBR.US,5,20250319,181500,0.155,0.155,0.155,0.155,3000,0
RIBBR.US,5,20250319,191000,0.16,0.16,0.16,0.16,1400,0
RIBBR.US,5,20250320,145500,0.17,0.1701,0.168,0.1701,104873,0
RIBBR.US,5,20250320,151500,0.17,0.17,0.17,0.17,100,0
RIBBR.US,5,20250320,181500,0.17,0.17,0.17,0.17,26900,0
RIBBR.US,5,20250320,194000,0.17,0.17,0.17,0.17,10000,0
RIBBR.US,5,20250321,155500,0.17,0.17,0.168,0.17,3600,0
RIBBR.US,5,20250321,183500,0.17,0.17,0.17,0.17,4300,0
RIBBR.US,5,20250324,185500,0.18,0.18,0.18,0.18,1000,0
RIBBR.US,5,20250324,203500,0.18,0.18,0.18,0.18,5400,0
RIBBR.US,5,20250328,151000,0.1627,0.197001,0.1601,0.197001,8500,0
RIBBR.US,5,20250328,184500,0.2192,0.2192,0.2192,0.2192,100,0
RIBBR.US,5,20250331,154000,0.5192,0.5192,0.4742,0.4742,200,0
RIBBR.US,5,20250331,162500,0.42,0.42,0.42,0.42,901,0
RIBBR.US,5,20250331,170500,0.22,0.22,0.22,0.22,986,0
RIBBR.US,5,20250331,173500,0.2135,0.2135,0.2135,0.2135,500,0
RIBBR.US,5,20250331,215000,0.25,0.25,0.25,0.25,100,0
RIBBR.US,5,20250403,192500,0.185,0.3984,0.1601,0.2775,3279,0
RIBBR.US,5,20250404,181000,0.29,0.29,0.205,0.22,400,0
RIBBR.US,5,20250404,211000,0.22,0.22,0.22,0.22,100,0
RIBBR.US,5,20250407,185000,0.275,0.275,0.1719,0.192,8000,0
RIBBR.US,5,20250407,185500,0.2375,0.2474,0.1889,0.1889,4000,0
RIBBR.US,5,20250407,192000,0.205,0.205,0.205,0.205,100,0
RIBBR.US,5,20250407,195000,0.2276,0.29,0.17,0.1865,9950,0
RIBBR.US,5,20250407,195500,0.2365,0.28,0.17,0.185,8949,0
RIBBR.US,5,20250407,200000,0.1751,0.2075,0.155,0.155,3600,0
RIBBR.US,5,20250407,203000,0.1775,0.1775,0.1555,0.1555,3000,0
RIBBR.US,5,20250407,203500,0.1555,0.1555,0.1555,0.1555,1700,0
RIBBR.US,5,20250408,153000,0.23,0.23,0.23,0.23,500,0
RIBBR.US,5,20250411,215000,0.2,0.2,0.2,0.2,100,0
RIBBR.US,5,20250416,182500,0.1788,0.1788,0.1788,0.1788,400,0
RIBBR.US,5,20250417,214500,0.1701,0.1701,0.1701,0.1701,166,0
RIBBR.US,5,20250422,204000,0.202002,0.202002,0.202002,0.202002,2865,0
RIBBR.US,5,20250423,153000,0.1792,0.1792,0.1791,0.1791,200,0
RIBBR.US,5,20250430,201000,0.1601,0.1601,0.1601,0.1601,2836,0
RIBBR.US,5,20250516,215500,0.2,0.2,0.2,0.2,915,0
RIBBR.US,5,20250520,195000,0.1701,0.186,0.1701,0.1701,400,0
RIBBR.US,5,20250523,161500,0.2,0.22,0.2,0.2,1611,0
RIBBR.US,5,20250527,161500,0.234,0.234,0.234,0.234,100,0
RIBBR.US,5,20250602,181000,0.18,0.18,0.1799,0.1799,1000,0
RIBBR.US,5,20250624,162500,0.21,0.21,0.21,0.21,100,0
RIBBR.US,5,20250630,155500,0.22,0.22,0.22,0.22,2000,0
RIBBR.US,5,20250630,212000,0.20705,0.20705,0.20705,0.20705,100,0
RIBBR.US,5,20250701,153000,0.22,0.24,0.22,0.24,3500,0
RIBBR.US,5,20250701,153500,0.24,0.24,0.24,0.24,10000,0
RIBBR.US,5,20250701,154000,0.25,0.25,0.25,0.25,100,0
RIBBR.US,5,20250701,155000,0.25,0.25,0.24,0.25,1348,0
RIBBR.US,5,20250701,160000,0.24,0.24,0.24,0.24,1000,0
RIBBR.US,5,20250701,161500,0.25,0.25,0.25,0.25,100,0
RIBBR.US,5,20250701,165000,0.24,0.24,0.24,0.24,300,0
RIBBR.US,5,20250701,175000,0.24,0.24,0.24,0.24,200,0
RIBBR.US,5,20250701,185000,0.24,0.24,0.24,0.24,200,0
RIBBR.US,5,20250701,190000,0.25,0.25,0.25,0.25,100,0
RIBBR.US,5,20250701,195000,0.24,0.24,0.24,0.24,200,0
RIBBR.US,5,20250701,205000,0.24,0.24,0.24,0.24,200,0
RIBBR.US,5,20250701,215500,0.24,0.24,0.24,0.24,36820,0
RIBBR.US,5,20250703,181000,0.24,0.24,0.24,0.24,100,0
RIBBR.US,5,20250709,163500,0.23,0.24,0.23,0.24,8600,0
RIBBR.US,5,20250709,164000,0.2409,0.2409,0.2409,0.2409,2522,0
