<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SETM.US,5,20250224,153000,15.17,15.17,15.17,15.17,515,0
SETM.US,5,20250224,154000,15.09,15.09,15.09,15.09,200,0
SETM.US,5,20250224,161500,15.02,15.05,15.02,15.05,300,0
SETM.US,5,20250224,163000,14.99,14.99,14.99,14.99,100,0
SETM.US,5,20250224,163500,14.955,14.955,14.955,14.955,100,0
SETM.US,5,20250224,164500,14.99,14.99,14.99,14.99,300,0
SETM.US,5,20250224,171500,15.01,15.01,15.01,15.01,100,0
SETM.US,5,20250224,172000,14.9607,14.9607,14.9607,14.9607,100,0
SETM.US,5,20250224,181000,15.0801,15.0801,15.0801,15.0801,155,0
SETM.US,5,20250224,181500,15.0907,15.0907,15.0907,15.0907,6245,0
SETM.US,5,20250224,182000,15.1543,15.1543,15.1543,15.1543,100,0
SETM.US,5,20250224,182500,15.1,15.1,15.1,15.1,100,0
SETM.US,5,20250224,184000,15.135,15.135,15.135,15.135,660,0
SETM.US,5,20250224,185000,15.12,15.12,15.12,15.12,100,0
SETM.US,5,20250224,185500,15.13,15.13,15.13,15.13,1000,0
SETM.US,5,20250224,190500,15.09,15.09,15.09,15.09,422,0
SETM.US,5,20250224,205000,15.14,15.14,15.13,15.13,600,0
SETM.US,5,20250224,212500,15.14,15.14,15.09,15.09,537,0
SETM.US,5,20250224,213000,15.11,15.1384,15.11,15.13,4687,0
SETM.US,5,20250224,214000,15.1299,15.1299,15.1299,15.1299,100,0
SETM.US,5,20250225,153500,14.98,14.98,14.98,14.98,100,0
SETM.US,5,20250225,155500,14.99,14.99,14.99,14.99,913,0
SETM.US,5,20250225,164000,14.75,14.75,14.75,14.75,1200,0
SETM.US,5,20250225,165000,14.75,14.75,14.75,14.75,100,0
SETM.US,5,20250225,170000,14.75,14.75,14.75,14.75,100,0
SETM.US,5,20250225,171000,14.775,14.775,14.775,14.775,100,0
SETM.US,5,20250225,171500,14.77,14.77,14.77,14.77,100,0
SETM.US,5,20250225,172500,14.75,14.75,14.75,14.75,1000,0
SETM.US,5,20250225,174500,14.7,14.75,14.7,14.75,872,0
SETM.US,5,20250225,181000,14.7112,14.7112,14.7112,14.7112,400,0
SETM.US,5,20250225,194500,14.815,14.815,14.7801,14.7801,1000,0
SETM.US,5,20250225,195000,14.815,14.815,14.815,14.815,100,0
SETM.US,5,20250225,200500,14.8189,14.8189,14.8189,14.8189,150,0
SETM.US,5,20250225,211500,14.8376,14.8376,14.8376,14.8376,200,0
SETM.US,5,20250225,212500,14.9,14.9,14.9,14.9,4169,0
SETM.US,5,20250225,213500,14.8767,14.8767,14.8767,14.8767,240,0
SETM.US,5,20250225,215000,14.89,14.89,14.88,14.88,300,0
SETM.US,5,20250225,215500,14.88,14.88,14.8695,14.8695,1800,0
SETM.US,5,20250226,154500,15.05,15.05,15.05,15.05,4000,0
SETM.US,5,20250226,155500,15.09,15.09,15.09,15.09,100,0
SETM.US,5,20250226,161500,15.16,15.16,15.1107,15.1114,1214,0
SETM.US,5,20250226,162000,15.17,15.17,15.1699,15.1699,400,0
SETM.US,5,20250226,162500,15.14,15.14,15.14,15.14,525,0
SETM.US,5,20250226,163000,15.1172,15.1172,15.1172,15.1172,100,0
SETM.US,5,20250226,164500,15.135,15.135,15.1105,15.1105,906,0
SETM.US,5,20250226,165000,15.172,15.172,15.172,15.172,500,0
