<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SISI.US,5,20250224,153000,1.22,1.2206,1.22,1.2206,3578,0
SISI.US,5,20250224,154500,1.22,1.22,1.18,1.18,798,0
SISI.US,5,20250224,160000,1.19,1.19,1.19,1.19,296,0
SISI.US,5,20250224,161500,1.18,1.18,1.18,1.18,100,0
SISI.US,5,20250224,163000,1.18,1.18,1.18,1.18,1000,0
SISI.US,5,20250224,164000,1.14,1.14,1.12,1.12,2000,0
SISI.US,5,20250224,172500,1.155,1.155,1.14,1.14,1100,0
SISI.US,5,20250224,174000,1.1505,1.16,1.15,1.15,1000,0
SISI.US,5,20250224,174500,1.1788,1.1788,1.1788,1.1788,100,0
SISI.US,5,20250224,182000,1.17,1.18,1.15,1.17,7816,0
SISI.US,5,20250224,183000,1.165,1.165,1.16,1.16,700,0
SISI.US,5,20250224,183500,1.17,1.17,1.17,1.17,100,0
SISI.US,5,20250224,184500,1.16,1.16,1.16,1.16,3100,0
SISI.US,5,20250224,191500,1.1321,1.1321,1.1321,1.1321,600,0
SISI.US,5,20250224,192500,1.13,1.13,1.12,1.12,2415,0
SISI.US,5,20250224,193000,1.13,1.13,1.13,1.13,700,0
SISI.US,5,20250224,193500,1.1312,1.1312,1.1312,1.1312,686,0
SISI.US,5,20250224,195000,1.14,1.141,1.1,1.102,9444,0
SISI.US,5,20250224,200000,1.11,1.11,1.11,1.11,500,0
SISI.US,5,20250224,203000,1.12,1.12,1.12,1.12,571,0
SISI.US,5,20250224,203500,1.1285,1.13,1.12,1.13,5891,0
SISI.US,5,20250224,205000,1.1304,1.1304,1.1304,1.1304,300,0
SISI.US,5,20250224,205500,1.135,1.135,1.135,1.135,1000,0
SISI.US,5,20250224,211500,1.13,1.13,1.11,1.11,4996,0
SISI.US,5,20250224,213000,1.12,1.12,1.1015,1.1015,7703,0
SISI.US,5,20250224,213500,1.1,1.1,1.09,1.09,12465,0
SISI.US,5,20250224,214000,1.11,1.11,1.1,1.1,5505,0
SISI.US,5,20250224,214500,1.1097,1.1097,1.1097,1.1097,500,0
SISI.US,5,20250224,215500,1.1,1.11,1.1,1.11,614,0
SISI.US,5,20250225,153500,1.12,1.1296,1.12,1.1296,1300,0
SISI.US,5,20250225,154000,1.1297,1.1395,1.1297,1.1305,1756,0
SISI.US,5,20250225,155000,1.13,1.13,1.1136,1.1136,1500,0
SISI.US,5,20250225,155500,1.12,1.12,1.11,1.11,3399,0
SISI.US,5,20250225,160000,1.11,1.11,1.11,1.11,4768,0
SISI.US,5,20250225,160500,1.11,1.11,1.1,1.1,3810,0
SISI.US,5,20250225,162000,1.08,1.08,1.08,1.08,1238,0
SISI.US,5,20250225,164500,1.07,1.0795,1.07,1.0795,10000,0
SISI.US,5,20250225,171000,1.07,1.07,1.07,1.07,1500,0
SISI.US,5,20250225,172500,1.08,1.08,1.08,1.08,7381,0
SISI.US,5,20250225,173000,1.08,1.08,1.07,1.07,1359,0
SISI.US,5,20250225,174500,1.08,1.08,1.08,1.08,300,0
SISI.US,5,20250225,175000,1.07,1.07,1.07,1.07,2500,0
SISI.US,5,20250225,175500,1.09,1.09,1.09,1.09,600,0
SISI.US,5,20250225,180500,1.08,1.08,1.08,1.08,100,0
SISI.US,5,20250225,181000,1.08,1.08,1.08,1.08,200,0
SISI.US,5,20250225,185000,1.08,1.08,1.065,1.0698,24709,0
SISI.US,5,20250225,190000,1.07,1.07,1.065,1.0698,1447,0
SISI.US,5,20250225,190500,1.065,1.065,1.065,1.065,300,0
SISI.US,5,20250225,191000,1.0602,1.0602,1.0602,1.0602,1400,0
SISI.US,5,20250225,191500,1.0697,1.0697,1.0697,1.0697,500,0
SISI.US,5,20250225,195000,1.065,1.065,1.065,1.065,223,0
SISI.US,5,20250225,210500,1.06,1.06,1.06,1.06,3355,0
SISI.US,5,20250225,211500,1.06,1.06,1.03,1.03,7330,0
SISI.US,5,20250225,212000,1.045,1.0488,1.045,1.0488,900,0
SISI.US,5,20250225,212500,1.05,1.05,1.05,1.05,200,0
SISI.US,5,20250225,213000,1.04,1.04,1.04,1.04,748,0
SISI.US,5,20250226,153000,1.05,1.05,1.05,1.05,360,0
SISI.US,5,20250226,160000,1.07,1.07,1.07,1.07,200,0
SISI.US,5,20250226,164000,1.075,1.075,1.075,1.075,129,0
SISI.US,5,20250226,164500,1.07,1.07,1.07,1.07,252,0
SISI.US,5,20250226,165000,1.06,1.064,1.05,1.05,1077,0
SISI.US,5,20250226,165500,1.05,1.05,1.045,1.05,907,0
SISI.US,5,20250226,172000,1.08,1.08,1.08,1.08,111,0
SISI.US,5,20250226,174000,1.07,1.07,1.07,1.07,300,0
SISI.US,5,20250226,181000,1.06,1.06,1.06,1.06,106,0
SISI.US,5,20250226,182000,1.07,1.07,1.07,1.07,2000,0
SISI.US,5,20250226,183500,1.0612,1.0612,1.0612,1.0612,150,0
SISI.US,5,20250226,193000,1.06,1.07,1.06,1.06,631,0
SISI.US,5,20250226,193500,1.06,1.06,1.05,1.06,500,0
SISI.US,5,20250226,200500,1.05,1.05,1.05,1.05,100,0
SISI.US,5,20250226,202500,1.05,1.05,1.05,1.05,729,0
SISI.US,5,20250226,204000,1.05,1.05,1.05,1.05,100,0
SISI.US,5,20250226,205000,1.06,1.0693,1.055,1.055,464,0
SISI.US,5,20250226,214500,1.06,1.06,1.06,1.06,100,0
SISI.US,5,20250226,215500,1.07,1.07,1.05,1.05,623,0
SISI.US,5,20250227,153000,1.07,1.07,1.06,1.06,600,0
SISI.US,5,20250227,153500,1.05,1.05,1.05,1.05,308,0
SISI.US,5,20250227,154000,1.05,1.05,1.04,1.04,3396,0
SISI.US,5,20250227,162500,1.03,1.03,1.03,1.03,2000,0
SISI.US,5,20250227,164500,1.04,1.04,1.04,1.04,300,0
SISI.US,5,20250227,171500,1.06,1.06,1.06,1.06,100,0
SISI.US,5,20250227,175000,1.0694,1.0694,1.0694,1.0694,411,0
SISI.US,5,20250227,180500,1.07,1.07,1.07,1.07,100,0
SISI.US,5,20250227,182500,1.0508,1.0508,1.0508,1.0508,300,0
SISI.US,5,20250227,183500,1.0536,1.0536,1.05,1.05,1600,0
SISI.US,5,20250227,191000,1.055,1.055,1.055,1.055,500,0
SISI.US,5,20250227,191500,1.07,1.07,1.07,1.07,1452,0
SISI.US,5,20250227,195000,1.0749,1.0749,1.0749,1.0749,100,0
SISI.US,5,20250227,202000,1.09,1.09,1.09,1.09,120,0
SISI.US,5,20250227,203500,1.09,1.09,1.05,1.05,1660,0
SISI.US,5,20250227,205500,1.07,1.07,1.07,1.07,100,0
SISI.US,5,20250227,212000,1.085,1.085,1.085,1.085,1795,0
SISI.US,5,20250227,212500,1.06,1.06,1.06,1.06,115,0
SISI.US,5,20250227,213000,1.07,1.07,1.07,1.07,222,0
SISI.US,5,20250227,214000,1.06,1.06,1.06,1.06,200,0
SISI.US,5,20250227,214500,1.07,1.07,1.07,1.07,146,0
SISI.US,5,20250227,215000,1.07,1.07,1.07,1.07,100,0
SISI.US,5,20250227,215500,1.09,1.09,1.06,1.06,1697,0
SISI.US,5,20250228,153000,1.05,1.05,1.05,1.05,119,0
SISI.US,5,20250228,161500,1.051,1.051,1.05,1.05,500,0
SISI.US,5,20250228,162000,1.041,1.041,1.041,1.041,300,0
SISI.US,5,20250228,162500,1.0422,1.0422,1.0422,1.0422,400,0
SISI.US,5,20250228,164000,1.0576,1.0576,1.0576,1.0576,608,0
SISI.US,5,20250228,181500,1.0614,1.0614,1.0614,1.0614,200,0
SISI.US,5,20250228,183500,1.06,1.06,1.06,1.06,600,0
SISI.US,5,20250228,184000,1.06,1.06,1.06,1.06,300,0
SISI.US,5,20250228,190000,1.051,1.051,1.051,1.051,100,0
SISI.US,5,20250228,192000,1.05,1.05,1.02,1.02,2173,0
SISI.US,5,20250228,193500,1.0483,1.0483,1.0483,1.0483,100,0
SISI.US,5,20250228,195500,1.04,1.05,1.04,1.05,359,0
SISI.US,5,20250228,210500,1.047451,1.05,1.047451,1.05,600,0
SISI.US,5,20250228,213000,1.05,1.05,1.05,1.05,100,0
SISI.US,5,20250303,153000,1.07,1.07,1.06,1.07,495,0
SISI.US,5,20250303,153500,1.0699,1.0699,1.05,1.06,600,0
SISI.US,5,20250303,162500,1.04,1.04,1.0304,1.0304,350,0
SISI.US,5,20250303,164000,1.04,1.04,1.04,1.04,100,0
SISI.US,5,20250303,170000,1.01,1.01,1,1,4974,0
SISI.US,5,20250303,172000,1.0216,1.0216,1.01,1.01,9974,0
SISI.US,5,20250303,174000,1.0101,1.0101,1.0101,1.0101,2500,0
SISI.US,5,20250303,174500,1.04,1.04,1.04,1.04,100,0
SISI.US,5,20250303,175500,1.02,1.02,1.02,1.02,1000,0
SISI.US,5,20250303,180500,1.01,1.01,1,1,1800,0
