<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLRC.US,5,20250224,153000,17.64,17.65,17.61,17.6427,6296,0
SLRC.US,5,20250224,153500,17.6,17.6,17.5,17.51,1264,0
SLRC.US,5,20250224,154000,17.51,17.595,17.51,17.595,3015,0
SLRC.US,5,20250224,154500,17.62,17.62,17.5,17.5,1714,0
SLRC.US,5,20250224,155000,17.447,17.45,17.44,17.44,800,0
SLRC.US,5,20250224,155500,17.44,17.45,17.44,17.45,2125,0
SLRC.US,5,20250224,160000,17.48,17.51,17.48,17.51,900,0
SLRC.US,5,20250224,160500,17.447,17.4744,17.4401,17.4744,1014,0
SLRC.US,5,20250224,161000,17.53,17.55,17.53,17.54,1404,0
SLRC.US,5,20250224,161500,17.54,17.54,17.51,17.51,1450,0
SLRC.US,5,20250224,162000,17.54,17.54,17.53,17.53,200,0
SLRC.US,5,20250224,162500,17.54,17.54,17.505,17.505,800,0
SLRC.US,5,20250224,163000,17.4903,17.4903,17.4903,17.4903,140,0
SLRC.US,5,20250224,163500,17.505,17.505,17.505,17.505,200,0
SLRC.US,5,20250224,164000,17.52,17.52,17.49,17.51,2726,0
SLRC.US,5,20250224,164500,17.4903,17.51,17.4903,17.51,724,0
SLRC.US,5,20250224,165000,17.51,17.51,17.482,17.482,800,0
SLRC.US,5,20250224,165500,17.49,17.5,17.49,17.49,400,0
SLRC.US,5,20250224,170500,17.495,17.51,17.495,17.51,736,0
SLRC.US,5,20250224,171000,17.535,17.535,17.52,17.52,713,0
SLRC.US,5,20250224,171500,17.5,17.5,17.49,17.49,1056,0
SLRC.US,5,20250224,172000,17.51,17.52,17.505,17.52,1249,0
SLRC.US,5,20250224,172500,17.5431,17.5431,17.53,17.53,675,0
SLRC.US,5,20250224,173000,17.5702,17.5702,17.55,17.55,505,0
SLRC.US,5,20250224,173500,17.53,17.53,17.49,17.5,3531,0
SLRC.US,5,20250224,174000,17.5297,17.54,17.5297,17.54,870,0
SLRC.US,5,20250224,174500,17.5437,17.56,17.53,17.56,2679,0
SLRC.US,5,20250224,175000,17.56,17.56,17.555,17.555,1300,0
SLRC.US,5,20250224,175500,17.555,17.555,17.555,17.555,750,0
SLRC.US,5,20250224,180000,17.555,17.57,17.53,17.53,2833,0
SLRC.US,5,20250224,180500,17.512777,17.515,17.512777,17.515,250,0
SLRC.US,5,20250224,181500,17.5256,17.5338,17.52,17.5338,2800,0
SLRC.US,5,20250224,182000,17.565,17.565,17.54,17.565,1000,0
SLRC.US,5,20250224,182500,17.59,17.59,17.575,17.575,200,0
SLRC.US,5,20250224,183000,17.575,17.575,17.575,17.575,100,0
SLRC.US,5,20250224,183500,17.575,17.575,17.5696,17.57,700,0
SLRC.US,5,20250224,184000,17.57,17.57,17.56,17.5601,600,0
SLRC.US,5,20250224,185000,17.575,17.5875,17.575,17.5875,1100,0
SLRC.US,5,20250224,185500,17.575,17.575,17.575,17.575,305,0
SLRC.US,5,20250224,190500,17.5741,17.5741,17.5741,17.5741,696,0
SLRC.US,5,20250224,191000,17.56,17.56,17.56,17.56,558,0
SLRC.US,5,20250224,192000,17.58,17.58,17.5504,17.5504,1000,0
SLRC.US,5,20250224,192500,17.575,17.575,17.56,17.56,507,0
SLRC.US,5,20250224,193500,17.57,17.57,17.57,17.57,100,0
SLRC.US,5,20250224,194000,17.57,17.57,17.57,17.57,100,0
SLRC.US,5,20250224,194500,17.5634,17.5634,17.55,17.55,700,0
SLRC.US,5,20250224,195500,17.5568,17.5568,17.5568,17.5568,285,0
SLRC.US,5,20250224,200000,17.55,17.56,17.55,17.5566,1300,0
SLRC.US,5,20250224,200500,17.5433,17.55,17.54,17.54,500,0
SLRC.US,5,20250224,201500,17.54,17.54,17.54,17.54,100,0
SLRC.US,5,20250224,202000,17.53,17.53,17.5,17.5,1587,0
SLRC.US,5,20250224,203000,17.5107,17.5107,17.49,17.5,2896,0
SLRC.US,5,20250224,204000,17.51,17.52,17.51,17.51,892,0
SLRC.US,5,20250224,205000,17.505,17.52,17.505,17.515,300,0
SLRC.US,5,20250224,205500,17.515,17.52,17.5103,17.5103,800,0
SLRC.US,5,20250224,210000,17.51,17.51,17.5,17.5,700,0
SLRC.US,5,20250224,210500,17.49,17.4965,17.49,17.49,500,0
SLRC.US,5,20250224,211000,17.495,17.495,17.49,17.49,400,0
SLRC.US,5,20250224,211500,17.4992,17.4992,17.4992,17.4992,115,0
SLRC.US,5,20250224,212000,17.49,17.49,17.47,17.47,300,0
SLRC.US,5,20250224,213000,17.47,17.485,17.47,17.481,1082,0
SLRC.US,5,20250224,213500,17.4867,17.49,17.4867,17.49,900,0
SLRC.US,5,20250224,214000,17.49,17.4985,17.47,17.4985,5758,0
SLRC.US,5,20250224,214500,17.5,17.52,17.47,17.47,8920,0
SLRC.US,5,20250224,215000,17.485,17.505,17.485,17.5,1186,0
SLRC.US,5,20250224,215500,17.49,17.51,17.48,17.51,5904,0
SLRC.US,5,20250225,153000,17.57,17.57,17.57,17.57,2285,0
SLRC.US,5,20250225,153500,17.585,17.585,17.53,17.53,300,0
SLRC.US,5,20250225,154000,17.58,17.6,17.58,17.58,1850,0
SLRC.US,5,20250225,154500,17.5899,17.595,17.57,17.57,1812,0
SLRC.US,5,20250225,155500,17.51,17.51,17.45,17.48,3082,0
SLRC.US,5,20250225,160000,17.48,17.503,17.48,17.48,1025,0
SLRC.US,5,20250225,160500,17.5037,17.5037,17.47,17.47,504,0
SLRC.US,5,20250225,161000,17.4794,17.53,17.47,17.47,4906,0
SLRC.US,5,20250225,161500,17.52,17.52,17.5,17.5,300,0
SLRC.US,5,20250225,162000,17.48,17.49,17.48,17.49,299,0
SLRC.US,5,20250225,162500,17.52,17.52,17.5,17.5,669,0
SLRC.US,5,20250225,163000,17.53,17.55,17.5,17.55,1194,0
SLRC.US,5,20250225,163500,17.55,17.58,17.54,17.54,564,0
SLRC.US,5,20250225,164000,17.54,17.54,17.53,17.5301,1171,0
SLRC.US,5,20250225,164500,17.5039,17.545,17.5039,17.545,6422,0
SLRC.US,5,20250225,165000,17.56,17.56,17.52,17.52,11099,0
SLRC.US,5,20250225,165500,17.55,17.5782,17.55,17.57,2300,0
SLRC.US,5,20250225,170000,17.56,17.57,17.54,17.55,3740,0
SLRC.US,5,20250225,171000,17.5598,17.5598,17.5598,17.5598,1000,0
SLRC.US,5,20250225,171500,17.57,17.57,17.5502,17.555,2100,0
SLRC.US,5,20250225,172000,17.55,17.5597,17.545,17.545,2961,0
