<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLS.US,5,20250224,153000,1.255,1.26,1.22,1.2297,62068,0
SLS.US,5,20250224,153500,1.23,1.23,1.21,1.225,52955,0
SLS.US,5,20250224,154000,1.225,1.2266,1.2068,1.21,20750,0
SLS.US,5,20250224,154500,1.2099,1.2178,1.2,1.205,62679,0
SLS.US,5,20250224,155000,1.2099,1.2099,1.19,1.195,93664,0
SLS.US,5,20250224,155500,1.205,1.205,1.1812,1.19,32164,0
SLS.US,5,20250224,160000,1.19,1.205,1.165,1.185,46579,0
SLS.US,5,20250224,160500,1.1899,1.195,1.175,1.195,40280,0
SLS.US,5,20250224,161000,1.1868,1.1885,1.18,1.18,1700,0
SLS.US,5,20250224,161500,1.19,1.19,1.18,1.1801,19524,0
SLS.US,5,20250224,162000,1.18,1.19,1.18,1.19,14916,0
SLS.US,5,20250224,162500,1.185,1.19,1.18,1.189,15917,0
SLS.US,5,20250224,163000,1.185,1.19,1.18,1.185,8367,0
SLS.US,5,20250224,163500,1.185,1.19,1.18,1.1871,23469,0
SLS.US,5,20250224,164000,1.18,1.19,1.18,1.185,17669,0
SLS.US,5,20250224,164500,1.1803,1.185,1.175,1.175,23900,0
SLS.US,5,20250224,165000,1.1799,1.195,1.1799,1.1905,29507,0
SLS.US,5,20250224,165500,1.195,1.1996,1.185,1.19,10255,0
SLS.US,5,20250224,170000,1.188,1.188,1.175,1.175,9499,0
SLS.US,5,20250224,170500,1.175,1.18,1.17,1.175,4826,0
SLS.US,5,20250224,171000,1.175,1.185,1.175,1.185,15415,0
SLS.US,5,20250224,171500,1.185,1.185,1.185,1.185,1300,0
SLS.US,5,20250224,172000,1.185,1.1899,1.18,1.1835,2101,0
SLS.US,5,20250224,172500,1.1899,1.1899,1.185,1.185,2229,0
SLS.US,5,20250224,173000,1.185,1.19,1.185,1.185,4975,0
SLS.US,5,20250224,173500,1.185,1.185,1.18,1.185,9265,0
SLS.US,5,20250224,174000,1.186792,1.186792,1.185,1.185,2099,0
SLS.US,5,20250224,174500,1.185,1.185,1.185,1.185,600,0
SLS.US,5,20250224,175000,1.185,1.19,1.18,1.185,2540,0
SLS.US,5,20250224,175500,1.185,1.19,1.185,1.185,2389,0
SLS.US,5,20250224,180000,1.185,1.185,1.18,1.185,1850,0
SLS.US,5,20250224,180500,1.185,1.19,1.18,1.185,18162,0
SLS.US,5,20250224,181000,1.185,1.1899,1.18,1.185,21600,0
SLS.US,5,20250224,181500,1.185,1.185,1.17,1.18,65444,0
SLS.US,5,20250224,182000,1.1767,1.18,1.17,1.17,12720,0
SLS.US,5,20250224,182500,1.178754,1.18,1.1733,1.175,24320,0
SLS.US,5,20250224,183000,1.1797,1.18,1.175,1.175,11168,0
SLS.US,5,20250224,183500,1.18,1.19,1.1714,1.185,6551,0
SLS.US,5,20250224,184000,1.185,1.1851,1.18,1.1851,3030,0
SLS.US,5,20250224,184500,1.18,1.185,1.18,1.185,1220,0
SLS.US,5,20250224,185000,1.1824,1.19,1.18,1.185,22740,0
SLS.US,5,20250224,185500,1.185,1.19,1.18,1.185,22167,0
