<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNPS.US,5,20250224,153000,479.28,481.13,476.9401,477.195,16800,0
SNPS.US,5,20250224,153500,476.81,476.81,474.67,474.67,1339,0
SNPS.US,5,20250224,154000,475.07,475.19,473.84,475.19,2572,0
SNPS.US,5,20250224,154500,475.7,477.17,474.2,474.55,3368,0
SNPS.US,5,20250224,155000,474.75,474.77,472.68,472.68,3861,0
SNPS.US,5,20250224,155500,472.68,473.21,471.48,471.48,2767,0
SNPS.US,5,20250224,160000,471.1,471.4,468,468,11494,0
SNPS.US,5,20250224,160500,468.36,468.36,465,467.26,4124,0
SNPS.US,5,20250224,161000,468.4185,471.88,468.4185,471.88,3999,0
SNPS.US,5,20250224,161500,472.185,472.64,470.1,470.1,8972,0
SNPS.US,5,20250224,162000,471.09,471.88,470.0101,471.88,4380,0
SNPS.US,5,20250224,162500,471.2,471.45,468.78,468.78,1775,0
SNPS.US,5,20250224,163000,469.38,469.8115,468.69,469.5528,2869,0
SNPS.US,5,20250224,163500,469.445,469.55,468.6,468.965,4422,0
SNPS.US,5,20250224,164000,468.85,470.99,468.85,470,2702,0
SNPS.US,5,20250224,164500,470.9523,471.28,468.715,469.18,2418,0
SNPS.US,5,20250224,165000,470.364,470.57,469.485,470.16,1015,0
SNPS.US,5,20250224,165500,469.52,470.65,469.505,470.64,1100,0
SNPS.US,5,20250224,170000,470.585,470.88,470.2,470.675,2590,0
SNPS.US,5,20250224,170500,471.3,471.88,471.3,471.45,1000,0
SNPS.US,5,20250224,171000,471.6,472.27,471.3901,471.61,3827,0
SNPS.US,5,20250224,171500,471.805,472.639,471.805,472.25,1520,0
SNPS.US,5,20250224,172000,472.75,473.27,471.7,472.51,3306,0
SNPS.US,5,20250224,172500,473.2,474.445,473.2,474,1042,0
SNPS.US,5,20250224,173000,474.465,474.66,473.84,474.045,1370,0
SNPS.US,5,20250224,173500,474.045,474.57,472.59,472.7,2800,0
SNPS.US,5,20250224,174000,472.7745,475.54,472.7745,473.62,6230,0
SNPS.US,5,20250224,174500,474.39,475.54,474.39,475.239,1023,0
SNPS.US,5,20250224,175000,474.54,475.77,474.54,475.47,800,0
SNPS.US,5,20250224,175500,474.99,475.195,474.71,474.71,800,0
SNPS.US,5,20250224,180000,474.52,475.825,474.52,475.825,1100,0
SNPS.US,5,20250224,180500,475.475,475.475,474.11,474.395,1500,0
SNPS.US,5,20250224,181000,474.395,474.82,474.353,474.353,1120,0
SNPS.US,5,20250224,181500,475.2,478.06,475.2,478.06,3000,0
SNPS.US,5,20250224,182000,477.56,477.61,476.41,476.555,4406,0
SNPS.US,5,20250224,182500,476.38,476.79,476.24,476.395,2493,0
SNPS.US,5,20250224,183000,476.39,476.53,475.58,475.81,2711,0
SNPS.US,5,20250224,183500,476.04,477.12,476.04,477.12,2025,0
SNPS.US,5,20250224,184000,477.12,477.265,476.745,476.7475,1600,0
SNPS.US,5,20250224,184500,477.26,477.26,476.5,476.5,1625,0
SNPS.US,5,20250224,185000,476.48,476.94,476.32,476.435,3584,0
SNPS.US,5,20250224,185500,476,476.65,475.81,476.105,6354,0
SNPS.US,5,20250224,190000,476.005,476.53,476.005,476.53,2334,0
SNPS.US,5,20250224,190500,476.52,477.045,476.2,476.45,2756,0
SNPS.US,5,20250224,191000,476.45,476.61,476.23,476.61,825,0
SNPS.US,5,20250224,191500,477.01,477.47,476.6412,477.19,1672,0
SNPS.US,5,20250224,192000,476.86,476.96,475.985,475.985,1701,0
SNPS.US,5,20250224,192500,476.42,476.82,476.28,476.38,1373,0
SNPS.US,5,20250224,193000,476.58,477.08,476.355,477.08,7632,0
SNPS.US,5,20250224,193500,476.965,477.68,476.965,477.31,2594,0
SNPS.US,5,20250224,194000,477.315,477.39,475.91,476.08,3325,0
SNPS.US,5,20250224,194500,476.575,476.575,475.45,475.53,3109,0
SNPS.US,5,20250224,195000,475.31,475.52,475.01,475.2025,2755,0
SNPS.US,5,20250224,195500,475.465,475.465,475.26,475.28,839,0
SNPS.US,5,20250224,200000,475.38,475.88,474.87,475.48,1568,0
SNPS.US,5,20250224,200500,475.62,475.62,474.3491,474.725,748,0
SNPS.US,5,20250224,201000,474.66,475.29,474.59,475.29,3634,0
