<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRZN.US,5,20250224,153000,11.09,11.41,11.01,11.01,310,0
SRZN.US,5,20250224,160500,11.49,11.49,11.49,11.49,300,0
SRZN.US,5,20250224,161000,11.59,11.59,11.0059,11.0059,500,0
SRZN.US,5,20250224,174500,11.85,11.85,11.85,11.85,100,0
SRZN.US,5,20250224,193500,11.39,11.39,11.39,11.39,100,0
SRZN.US,5,20250224,214000,11.4,11.4,11.4,11.4,409,0
SRZN.US,5,20250224,215500,11.6488,11.6488,11.6488,11.6488,100,0
SRZN.US,5,20250225,160000,11.35,11.35,11.35,11.35,100,0
SRZN.US,5,20250225,165500,11.3,11.3,11.29,11.29,200,0
SRZN.US,5,20250225,171000,10.9,10.9,10.9,10.9,200,0
SRZN.US,5,20250225,171500,10.8,10.8,10.8,10.8,100,0
SRZN.US,5,20250225,172000,10.8,10.8,10.8,10.8,100,0
SRZN.US,5,20250225,173500,10.73,10.74,10.73,10.74,200,0
SRZN.US,5,20250225,175000,10.99,10.99,10.99,10.99,100,0
SRZN.US,5,20250225,183000,11.37,11.37,10.65,10.65,1695,0
SRZN.US,5,20250225,190000,11.03,11.03,11.02,11.02,200,0
SRZN.US,5,20250225,191500,10.92,11.04,10.92,11,1200,0
SRZN.US,5,20250225,192000,11.25,11.32,11,11.01,1729,0
SRZN.US,5,20250225,192500,11.44,11.44,11.16,11.16,572,0
SRZN.US,5,20250225,204500,11.3,11.3,11.11,11.15,400,0
SRZN.US,5,20250225,210500,11.25,11.25,11.25,11.25,934,0
SRZN.US,5,20250225,212500,11.1,11.65,11.1,11.2,300,0
SRZN.US,5,20250225,215500,11.5915,11.5915,11.1,11.1,338,0
SRZN.US,5,20250226,161500,11.32,11.32,11.32,11.32,300,0
SRZN.US,5,20250226,174500,11.4,11.64,11.4,11.64,466,0
SRZN.US,5,20250226,175000,12.025,12.025,11.56,11.56,381,0
SRZN.US,5,20250226,175500,11.6,11.6,11.6,11.6,100,0
SRZN.US,5,20250226,195500,11.2,11.2,11.2,11.2,100,0
SRZN.US,5,20250226,200000,11.64,11.64,11.64,11.64,106,0
SRZN.US,5,20250226,215500,11.93,11.93,11.93,11.93,349,0
SRZN.US,5,20250227,215500,11.84,11.84,11.84,11.84,127,0
SRZN.US,5,20250228,162500,11.55,11.55,11.55,11.55,100,0
SRZN.US,5,20250228,192000,11.95,11.95,11.8222,11.8222,400,0
SRZN.US,5,20250228,194500,11.3,11.3,11.3,11.3,323,0
SRZN.US,5,20250228,203000,11.43,11.43,11.3,11.31,300,0
SRZN.US,5,20250228,204500,11.29,11.29,11.214243,11.2143,900,0
SRZN.US,5,20250228,215500,11.47,11.47,11.297,11.465,558,0
SRZN.US,5,20250303,193000,11.25,11.25,11.2,11.25,1100,0
SRZN.US,5,20250303,215500,10.7,10.7,10.7,10.7,139,0
SRZN.US,5,20250304,165000,10.9027,10.9027,10.9027,10.9027,150,0
SRZN.US,5,20250304,190000,11.57,11.57,11.57,11.57,100,0
SRZN.US,5,20250304,211000,10.88,11.55,10.86,11.55,1301,0
SRZN.US,5,20250304,211500,11.2,11.2,11.18,11.18,678,0
SRZN.US,5,20250304,212000,11.2,11.2,11.2,11.2,218,0
SRZN.US,5,20250304,213000,11.2,11.2,11.2,11.2,100,0
SRZN.US,5,20250305,160500,10.5801,10.5801,10.5801,10.5801,100,0
SRZN.US,5,20250305,170500,11,11.19,11,11.19,300,0
SRZN.US,5,20250305,173000,10.9,10.9,10.8,10.8,400,0
SRZN.US,5,20250305,180000,11.2,11.25,10.5701,10.97,1093,0
SRZN.US,5,20250305,201000,10.85,11.33,10.725,11.33,694,0
SRZN.US,5,20250305,201500,11.3,11.36,11.11,11.36,401,0
SRZN.US,5,20250305,202000,11.09,11.09,11.09,11.09,100,0
SRZN.US,5,20250305,205000,11.33,11.33,11.06,11.06,201,0
SRZN.US,5,20250305,211500,10.92,10.92,10.92,10.92,100,0
SRZN.US,5,20250305,215500,11.68,11.68,11.68,11.68,100,0
SRZN.US,5,20250306,213500,11.42,11.42,11.42,11.42,100,0
SRZN.US,5,20250306,215500,11.7416,11.7416,11.7416,11.7416,100,0
SRZN.US,5,20250307,200500,11.68,11.68,11.68,11.68,100,0
SRZN.US,5,20250307,215500,11.9308,11.9308,11.9308,11.9308,100,0
SRZN.US,5,20250310,165500,11.11,11.95,11.11,11.95,997,0
SRZN.US,5,20250310,175500,11.2,11.2,11.2,11.2,296,0
SRZN.US,5,20250310,180000,11.79,11.79,11.3,11.3,396,0
SRZN.US,5,20250310,180500,12,12,12,12,100,0
SRZN.US,5,20250310,183500,11.3,11.59,11.3,11.59,700,0
SRZN.US,5,20250310,184000,11.41,11.41,11.41,11.41,300,0
SRZN.US,5,20250310,185000,11.46,11.65,11.46,11.65,592,0
SRZN.US,5,20250310,190500,11.6,11.71,11.51,11.71,412,0
SRZN.US,5,20250311,154000,11.36,11.36,11.36,11.36,600,0
SRZN.US,5,20250311,160500,11.23,11.4554,11.23,11.4554,900,0
SRZN.US,5,20250311,205000,11.35,11.35,11.35,11.35,100,0
SRZN.US,5,20250311,205500,11.8811,11.8811,11.35,11.35,222,0
SRZN.US,5,20250312,150500,11.77,11.77,11.77,11.77,100,0
SRZN.US,5,20250312,154500,11.23,11.605,11.23,11.605,200,0
SRZN.US,5,20250312,185000,11.63,11.63,11.63,11.63,166,0
SRZN.US,5,20250312,205500,11.9,11.96,11.9,11.96,626,0
SRZN.US,5,20250313,170000,11.58,11.58,11.46,11.46,200,0
SRZN.US,5,20250313,170500,12,12,12,12,100,0
SRZN.US,5,20250313,183000,11.6,11.6,11.6,11.6,111,0
SRZN.US,5,20250313,190500,11.8942,11.8942,11.8942,11.8942,125,0
SRZN.US,5,20250314,170500,11.45,11.6,11.45,11.6,700,0
SRZN.US,5,20250314,171500,11.5001,11.63,11.5001,11.63,200,0
SRZN.US,5,20250314,172000,11.6,11.65,11.6,11.65,315,0
SRZN.US,5,20250314,175500,11.89,11.89,11.89,11.89,100,0
SRZN.US,5,20250314,181000,11.52,11.52,11.52,11.52,200,0
SRZN.US,5,20250314,181500,11.4984,11.53,11.46,11.5,410,0
SRZN.US,5,20250314,205500,11.49,11.6665,11.3595,11.59,477,0
SRZN.US,5,20250317,184000,11.3198,11.3198,11.3198,11.3198,100,0
SRZN.US,5,20250317,193000,11.16,11.2126,11.16,11.2126,280,0
SRZN.US,5,20250317,205500,11.5999,11.5999,11.5999,11.5999,100,0
SRZN.US,5,20250318,153500,11.445,11.445,11.445,11.445,182,0
SRZN.US,5,20250318,155500,11.01,11.01,11.01,11.01,100,0
SRZN.US,5,20250318,160000,11.355,11.355,11.355,11.355,100,0
SRZN.US,5,20250318,205500,11.1999,11.1999,10.5,10.5,625,0
SRZN.US,5,20250319,151000,10.7421,11.3,10.7421,11.3,300,0
SRZN.US,5,20250319,191500,11.21,11.21,10.99,10.99,200,0
SRZN.US,5,20250319,194000,11,11,11,11,100,0
SRZN.US,5,20250319,194500,11.2,11.2,11,11,300,0
SRZN.US,5,20250319,195500,11.3,11.3,11.3,11.3,100,0
SRZN.US,5,20250319,200500,11.19,11.4,11.19,11.32,700,0
SRZN.US,5,20250320,150000,11.7195,11.7195,11.7195,11.7195,200,0
SRZN.US,5,20250320,182500,11.38,11.38,11.38,11.38,100,0
SRZN.US,5,20250320,185000,11.695,11.695,11.695,11.695,100,0
SRZN.US,5,20250320,205500,11.787,11.787,11.787,11.787,100,0
SRZN.US,5,20250321,151500,11.3,11.72,11.3,11.72,296,0
SRZN.US,5,20250321,205500,11.72,12.2,11.72,12.2,350,0
SRZN.US,5,20250324,143000,13.25,14,12.6562,12.7118,6690,0
SRZN.US,5,20250324,143500,12.66,12.66,12.45,12.45,1653,0
SRZN.US,5,20250324,144500,12.4,12.4,12.4,12.4,100,0
SRZN.US,5,20250324,150000,11.9,11.9,11.9,11.9,1000,0
SRZN.US,5,20250324,150500,11.72,11.9,11.71,11.8039,1860,0
SRZN.US,5,20250324,151500,11.75,11.9,11.75,11.9,545,0
SRZN.US,5,20250324,155500,11.8,11.8,11.8,11.8,100,0
SRZN.US,5,20250324,161000,11.84,11.84,11.84,11.84,100,0
SRZN.US,5,20250324,162500,11.7725,11.8774,11.77,11.8774,300,0
SRZN.US,5,20250324,173500,11.51,11.51,11.51,11.51,200,0
SRZN.US,5,20250324,181500,11.53,11.53,11.53,11.53,200,0
SRZN.US,5,20250324,185500,11.5,11.5,11.5,11.5,100,0
SRZN.US,5,20250324,190500,11.59,11.59,11.59,11.59,22500,0
SRZN.US,5,20250324,191000,11.619,11.825,11.6,11.825,22900,0
SRZN.US,5,20250324,191500,11.88,11.88,11.88,11.88,100,0
