<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STEC.US,5,20250224,153000,2.47,2.65,2.44,2.65,728617,0
STEC.US,5,20250224,153500,2.62,2.64,2.5,2.5,75517,0
STEC.US,5,20250224,154000,2.4,2.4,2.25,2.25,198572,0
STEC.US,5,20250224,154500,2.13,2.29,2.01,2.01,1309536,0
STEC.US,5,20250224,155000,1.95,2.15,1.86,2.06,708727,0
STEC.US,5,20250224,155500,2.09,2.18,1.9,2.18,818745,0
STEC.US,5,20250224,160000,2.197748,2.197748,2.05,2.05,42742,0
STEC.US,5,20250224,160500,1.9,1.95,1.75,1.75,286731,0
STEC.US,5,20250224,161000,1.7,1.89,1.65,1.89,494744,0
STEC.US,5,20250224,161500,1.89,1.89,1.89,1.89,1022,0
STEC.US,5,20250224,162000,1.9,1.99,1.75,1.75,141402,0
STEC.US,5,20250224,162500,1.63,1.8,1.56,1.665,1016440,0
STEC.US,5,20250224,163000,1.66,1.84,1.62,1.62,1021729,0
STEC.US,5,20250224,163500,1.62,1.82,1.62,1.76,621936,0
STEC.US,5,20250224,164000,1.76,1.93,1.74,1.93,505730,0
STEC.US,5,20250224,164500,1.93,2.17,1.83,2.1119,1578764,0
STEC.US,5,20250224,165000,2.12,2.18,1.93,2.0608,1146926,0
STEC.US,5,20250224,165500,2.0601,2.12,1.88,2.0001,1030245,0
STEC.US,5,20250224,170000,2,2.2,1.99,2.2,757875,0
STEC.US,5,20250224,170500,2.0201,2.26,2.02,2.26,602433,0
STEC.US,5,20250224,171000,2.36,2.61,2.26,2.61,2182786,0
STEC.US,5,20250224,171500,2.65,2.65,2.5,2.5,326824,0
STEC.US,5,20250224,172000,2.5,2.5,2.5,2.5,15457,0
STEC.US,5,20250224,173000,2.33,2.43,2.18,2.18,1544440,0
STEC.US,5,20250224,173500,2.1,2.18,1.93,1.93,711423,0
STEC.US,5,20250224,174000,1.91,2,1.85,1.9602,762098,0
STEC.US,5,20250224,174500,1.96,2.1,1.91,2.02,1164212,0
STEC.US,5,20250224,175000,2.03,2.19,1.94,1.9687,1032431,0
STEC.US,5,20250224,175500,1.9611,2.02,1.9215,1.98,357164,0
STEC.US,5,20250224,180000,1.99,2.11,1.955,2.02,451965,0
STEC.US,5,20250224,180500,2.0298,2.0399,1.93,1.97,400832,0
STEC.US,5,20250224,181000,1.95,1.9701,1.83,1.83,208021,0
STEC.US,5,20250224,181500,1.79,1.91,1.68,1.68,626785,0
STEC.US,5,20250224,182000,1.69,1.77,1.65,1.6629,369763,0
STEC.US,5,20250224,182500,1.67,1.7399,1.63,1.6999,422968,0
STEC.US,5,20250224,183000,1.7091,1.81,1.68,1.7732,469779,0
STEC.US,5,20250224,183500,1.76,1.8,1.73,1.755,166342,0
STEC.US,5,20250224,184000,1.75,1.78,1.7059,1.71,157730,0
STEC.US,5,20250224,184500,1.71,2.04,1.71,2.04,933560,0
STEC.US,5,20250224,185000,1.98,2.09,1.94,2.0899,187845,0
STEC.US,5,20250224,185500,2.09,2.23,2.04,2.18,1632068,0
STEC.US,5,20250224,190000,2.18,2.19,2.05,2.08,716112,0
STEC.US,5,20250224,190500,2.07,2.1696,1.97,2.01,612035,0
STEC.US,5,20250224,191000,2,2.03,1.88,1.88,249741,0
STEC.US,5,20250224,191500,1.85,1.86,1.75,1.79,399634,0
STEC.US,5,20250224,192000,1.8,1.88,1.71,1.8199,466761,0
STEC.US,5,20250224,192500,1.8199,2.02,1.8199,1.955,730621,0
STEC.US,5,20250224,193000,1.9594,2.02,1.82,1.865,465203,0
STEC.US,5,20250224,193500,1.85,1.97,1.82,1.83,255485,0
STEC.US,5,20250224,194000,1.83,1.92,1.82,1.9199,339371,0
