<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDACU.US,5,20250226,171500,10.1,10.125,10.1,10.125,200,0
TDACU.US,5,20250226,211500,10.125,10.125,10.125,10.125,100,0
TDACU.US,5,20250227,153000,10.141,10.15,10.141,10.15,350,0
TDACU.US,5,20250227,184000,10.14,10.14,10.14,10.14,577,0
TDACU.US,5,20250228,161500,10.13,10.13,10.13,10.13,100,0
TDACU.US,5,20250228,163000,10.1399,10.15,10.1399,10.14,800,0
TDACU.US,5,20250228,202500,10.13,10.13,10.1049,10.11,4700,0
TDACU.US,5,20250228,203000,10.1094,10.11,10.1049,10.1095,1800,0
TDACU.US,5,20250228,204000,10.11,10.12,10.11,10.12,10200,0
TDACU.US,5,20250228,204500,10.11,10.1193,10.11,10.11,300,0
TDACU.US,5,20250228,205500,10.11,10.11,10.11,10.11,100,0
TDACU.US,5,20250228,214000,10.11,10.11,10.11,10.11,100,0
TDACU.US,5,20250228,215500,10.12,10.12,10.11,10.11,200,0
TDACU.US,5,20250303,162500,10.12,10.12,10.12,10.12,100,0
TDACU.US,5,20250303,163500,10.15,10.15,10.15,10.15,100,0
TDACU.US,5,20250303,164500,10.13,10.13,10.13,10.13,100,0
TDACU.US,5,20250303,203000,10.15,10.15,10.15,10.15,100,0
TDACU.US,5,20250303,205000,10.15,10.15,10.15,10.15,15000,0
TDACU.US,5,20250303,215000,10.13,10.13,10.13,10.13,791,0
TDACU.US,5,20250304,175500,10.11,10.11,10.11,10.11,200,0
TDACU.US,5,20250304,182000,10.11,10.11,10.11,10.11,100,0
TDACU.US,5,20250304,183500,10.15,10.15,10.11,10.11,200,0
TDACU.US,5,20250305,153500,10.15,10.15,10.15,10.15,100,0
TDACU.US,5,20250305,155000,10.11,10.11,10.11,10.11,98500,0
TDACU.US,5,20250305,175500,10.11,10.11,10.11,10.11,154,0
TDACU.US,5,20250305,180500,10.11,10.11,10.11,10.11,402,0
TDACU.US,5,20250306,154000,10.1323,10.1323,10.1323,10.1323,400,0
TDACU.US,5,20250307,182500,10.14,10.14,10.14,10.14,4800,0
TDACU.US,5,20250310,150500,10.12,10.12,10.12,10.12,175,0
TDACU.US,5,20250310,151000,10.16,10.16,10.16,10.16,100,0
TDACU.US,5,20250310,152000,10.16,10.16,10.16,10.16,100,0
TDACU.US,5,20250311,143000,10.13,10.13,10.13,10.13,1428,0
TDACU.US,5,20250311,145500,10.17,10.17,10.17,10.17,100,0
TDACU.US,5,20250312,143000,10.11,10.11,10.11,10.11,524,0
TDACU.US,5,20250312,143500,10.15,10.15,10.15,10.15,100,0
TDACU.US,5,20250313,153500,10.1498,10.1498,10.1498,10.1498,100,0
