<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDTH.US,5,20250224,153000,0.7,0.7001,0.69,0.69,3966,0
TDTH.US,5,20250224,154000,0.7047,0.7047,0.7047,0.7047,6000,0
TDTH.US,5,20250224,160000,0.6701,0.6701,0.6701,0.6701,500,0
TDTH.US,5,20250224,161500,0.67,0.67,0.67,0.67,1216,0
TDTH.US,5,20250224,162500,0.67,0.67,0.67,0.67,520,0
TDTH.US,5,20250224,164500,0.6701,0.6701,0.6701,0.6701,2600,0
TDTH.US,5,20250224,165000,0.67,0.67,0.67,0.67,669,0
TDTH.US,5,20250224,170000,0.6701,0.6701,0.6701,0.6701,309,0
TDTH.US,5,20250224,170500,0.6803,0.6803,0.668,0.668,1300,0
TDTH.US,5,20250224,171000,0.668001,0.69204,0.668001,0.69204,1415,0
TDTH.US,5,20250224,173000,0.699,0.699,0.699,0.699,142,0
TDTH.US,5,20250224,173500,0.668,0.6707,0.668,0.6707,860,0
TDTH.US,5,20250224,174000,0.6611,0.6611,0.6611,0.6611,100,0
TDTH.US,5,20250224,175000,0.6612,0.6612,0.6612,0.6612,3770,0
TDTH.US,5,20250224,181500,0.661001,0.661001,0.661001,0.661001,100,0
TDTH.US,5,20250224,183000,0.668,0.668,0.66497,0.66497,1090,0
TDTH.US,5,20250224,183500,0.668,0.668,0.6611,0.6611,300,0
TDTH.US,5,20250224,185000,0.6681,0.6681,0.6681,0.6681,364,0
TDTH.US,5,20250224,185500,0.6615,0.6615,0.661,0.661,232,0
TDTH.US,5,20250224,190000,0.661,0.661,0.661,0.661,400,0
TDTH.US,5,20250224,190500,0.6612,0.6612,0.6612,0.6612,325,0
TDTH.US,5,20250224,191000,0.661,0.6652,0.661,0.6652,1100,0
TDTH.US,5,20250224,193000,0.6815,0.6815,0.6815,0.6815,1503,0
TDTH.US,5,20250224,201500,0.68,0.68,0.68,0.68,170,0
TDTH.US,5,20250224,212000,0.664,0.664,0.664,0.664,200,0
TDTH.US,5,20250224,214000,0.664,0.664,0.664,0.664,483,0
TDTH.US,5,20250224,214500,0.664,0.664,0.664,0.664,100,0
TDTH.US,5,20250224,215000,0.664,0.664,0.6633,0.6633,469,0
TDTH.US,5,20250224,215500,0.664,0.664,0.664,0.664,100,0
TDTH.US,5,20250225,153000,0.665,0.665,0.665,0.665,131,0
TDTH.US,5,20250225,153500,0.66,0.6601,0.66,0.66,2623,0
TDTH.US,5,20250225,155000,0.6799,0.6799,0.6799,0.6799,200,0
TDTH.US,5,20250225,155500,0.665,0.665,0.665,0.665,155,0
TDTH.US,5,20250225,160000,0.665,0.665,0.665,0.665,100,0
TDTH.US,5,20250225,160500,0.665,0.665,0.665,0.665,402,0
TDTH.US,5,20250225,161000,0.665,0.665,0.665,0.665,300,0
TDTH.US,5,20250225,163000,0.665,0.665,0.6625,0.6625,785,0
TDTH.US,5,20250225,163500,0.6645,0.6645,0.6645,0.6645,100,0
TDTH.US,5,20250225,164000,0.6601,0.6601,0.66,0.66,1031,0
TDTH.US,5,20250225,165500,0.6648,0.664801,0.6648,0.664801,1335,0
TDTH.US,5,20250225,170000,0.664901,0.664901,0.664901,0.664901,1052,0
TDTH.US,5,20250225,171000,0.6713,0.6713,0.671251,0.671251,472,0
TDTH.US,5,20250225,172500,0.6649,0.6649,0.663,0.663,400,0
TDTH.US,5,20250225,173000,0.66,0.66,0.6502,0.6502,9460,0
TDTH.US,5,20250225,173500,0.6519,0.6519,0.651,0.651,400,0
TDTH.US,5,20250225,180500,0.656544,0.656544,0.656544,0.656544,433,0
TDTH.US,5,20250225,181500,0.6502,0.6502,0.6502,0.6502,322,0
TDTH.US,5,20250225,183500,0.6504,0.6504,0.6503,0.6503,1500,0
TDTH.US,5,20250225,185500,0.6503,0.65115,0.6502,0.6502,3112,0
TDTH.US,5,20250225,190000,0.66375,0.66375,0.66375,0.66375,1000,0
TDTH.US,5,20250225,191500,0.6511,0.6637,0.6511,0.6637,300,0
TDTH.US,5,20250225,192000,0.660612,0.660612,0.6523,0.6523,1606,0
TDTH.US,5,20250225,192500,0.65,0.65,0.6284,0.649844,8448,0
TDTH.US,5,20250225,201000,0.622,0.6355,0.622,0.6258,759,0
TDTH.US,5,20250225,201500,0.622,0.622,0.622,0.622,153,0
TDTH.US,5,20250225,202000,0.6258,0.6258,0.6088,0.613872,7046,0
TDTH.US,5,20250225,202500,0.614,0.614,0.6,0.6,1050,0
TDTH.US,5,20250225,203500,0.556351,0.565,0.5112,0.565,15311,0
TDTH.US,5,20250225,204000,0.583597,0.5848,0.5672,0.5672,6261,0
TDTH.US,5,20250225,210500,0.5672,0.6,0.5672,0.6,1194,0
TDTH.US,5,20250225,211500,0.601499,0.601499,0.5758,0.6014,416,0
TDTH.US,5,20250225,213000,0.5713,0.5771,0.5713,0.5771,623,0
TDTH.US,5,20250225,214500,0.6,0.6,0.5998,0.5998,300,0
TDTH.US,5,20250225,215500,0.5848,0.5901,0.5848,0.5901,430,0
TDTH.US,5,20250226,153000,0.557,0.557,0.557,0.557,100,0
TDTH.US,5,20250226,153500,0.5502,0.5502,0.5501,0.5501,451,0
TDTH.US,5,20250226,161000,0.6141,0.6141,0.6141,0.6141,250,0
TDTH.US,5,20250226,161500,0.589,0.6097,0.589,0.6097,300,0
TDTH.US,5,20250226,162000,0.6149,0.614999,0.599275,0.599275,1325,0
TDTH.US,5,20250226,163000,0.615,0.615,0.615,0.615,106,0
TDTH.US,5,20250226,164000,0.5993,0.5993,0.5993,0.5993,2000,0
TDTH.US,5,20250226,164500,0.61,0.61,0.591,0.60005,4500,0
TDTH.US,5,20250226,165000,0.6051,0.61,0.5813,0.60185,7982,0
TDTH.US,5,20250226,165500,0.605,0.605,0.605,0.605,800,0
TDTH.US,5,20250226,170000,0.605,0.6201,0.605,0.62,2723,0
TDTH.US,5,20250226,171000,0.63,0.63,0.63,0.63,1500,0
TDTH.US,5,20250226,172000,0.6301,0.6301,0.63,0.63,1475,0
TDTH.US,5,20250226,172500,0.64,0.64,0.64,0.64,2000,0
TDTH.US,5,20250226,173000,0.59075,0.6215,0.59075,0.621,2500,0
