<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCB_I.US,5,20250224,191500,25.02,25.02,25.02,25.02,200,0
UCB_I.US,5,20250224,212000,25.1,25.1,25.1,25.1,800,0
UCB_I.US,5,20250224,215000,25.07,25.07,25.05,25.05,225,0
UCB_I.US,5,20250224,215500,25.04,25.04,25.04,25.04,100,0
UCB_I.US,5,20250225,154000,25.1,25.17,25.1,25.17,450,0
UCB_I.US,5,20250225,183000,25.05,25.05,25.05,25.05,300,0
UCB_I.US,5,20250225,185000,25.07,25.07,25.07,25.07,200,0
UCB_I.US,5,20250225,212000,25.07,25.07,25.07,25.07,100,0
UCB_I.US,5,20250225,212500,25.1,25.1,25.1,25.1,100,0
UCB_I.US,5,20250225,214500,25.1,25.1,25.1,25.1,300,0
UCB_I.US,5,20250225,215000,25.04,25.04,25.04,25.04,101,0
UCB_I.US,5,20250226,154500,25.1,25.1,25.1,25.1,200,0
UCB_I.US,5,20250226,162000,25.1,25.1,25.1,25.1,222,0
UCB_I.US,5,20250226,165500,25.1,25.1,25.0707,25.0707,1000,0
UCB_I.US,5,20250226,170000,25.1,25.1,25.1,25.1,300,0
UCB_I.US,5,20250226,170500,25.1,25.1,25.1,25.1,100,0
UCB_I.US,5,20250226,171500,25.1,25.1,25.1,25.1,400,0
UCB_I.US,5,20250226,172000,25.1,25.1,25.1,25.1,100,0
UCB_I.US,5,20250226,172500,25.0664,25.0664,25.0664,25.0664,300,0
UCB_I.US,5,20250226,173000,25.1,25.1,25.0707,25.0999,1644,0
UCB_I.US,5,20250226,174000,25.1,25.3,25.0999,25.3,1156,0
UCB_I.US,5,20250226,174500,25.12,25.331,25.12,25.331,600,0
UCB_I.US,5,20250226,175500,25.1,25.1001,25.0101,25.0101,1275,0
UCB_I.US,5,20250226,183500,25.116,25.116,25.1,25.1005,1260,0
UCB_I.US,5,20250226,185500,25.1,25.1,25.1,25.1,200,0
UCB_I.US,5,20250226,190000,25.1,25.1,25.1,25.1,430,0
UCB_I.US,5,20250226,194000,25.1,25.1,25.1,25.1,800,0
UCB_I.US,5,20250226,201000,25.1,25.1,25.1,25.1,140,0
UCB_I.US,5,20250226,215000,25.1,25.1,25.09,25.0991,300,0
UCB_I.US,5,20250227,163000,25.1,25.1,25.1,25.1,100,0
UCB_I.US,5,20250227,170500,25.1,25.1,25.0993,25.0993,300,0
UCB_I.US,5,20250227,172500,25.08,25.08,25.08,25.08,1000,0
UCB_I.US,5,20250227,175000,25.09,25.1,25.0772,25.0993,1000,0
UCB_I.US,5,20250227,201000,25.0417,25.0417,25.0417,25.0417,999,0
UCB_I.US,5,20250227,215500,25.11,25.11,25.11,25.11,100,0
UCB_I.US,5,20250228,210500,24.7,24.7,24.68,24.68,300,0
UCB_I.US,5,20250228,215500,24.82,24.82,24.82,24.82,100,0
UCB_I.US,5,20250303,154500,24.82,24.82,24.8,24.82,700,0
UCB_I.US,5,20250303,171000,24.6,24.635,24.6,24.635,850,0
UCB_I.US,5,20250303,171500,24.68,24.75,24.68,24.7175,400,0
UCB_I.US,5,20250303,172000,24.75,24.75,24.7175,24.7175,893,0
UCB_I.US,5,20250303,181000,24.75,24.75,24.75,24.75,300,0
UCB_I.US,5,20250303,205000,24.76,24.76,24.76,24.76,100,0
UCB_I.US,5,20250303,210500,24.85,24.85,24.85,24.85,100,0
UCB_I.US,5,20250303,214500,24.84,24.84,24.81,24.81,300,0
UCB_I.US,5,20250303,215000,24.8603,24.8603,24.8603,24.8603,300,0
UCB_I.US,5,20250303,215500,24.87,24.87,24.8688,24.8688,200,0
UCB_I.US,5,20250304,154000,24.86,24.86,24.86,24.86,150,0
UCB_I.US,5,20250304,155000,24.8856,24.8856,24.8856,24.8856,400,0
UCB_I.US,5,20250304,202000,24.82,24.82,24.8199,24.8199,600,0
UCB_I.US,5,20250304,203000,24.8144,24.8144,24.81,24.81,300,0
UCB_I.US,5,20250304,204000,24.81,24.81,24.81,24.81,100,0
UCB_I.US,5,20250304,211000,24.75,24.75,24.66,24.66,4078,0
UCB_I.US,5,20250304,214500,24.8335,24.8335,24.8335,24.8335,1200,0
UCB_I.US,5,20250305,154000,24.88,24.88,24.88,24.88,200,0
UCB_I.US,5,20250305,154500,24.68,24.68,24.68,24.68,300,0
UCB_I.US,5,20250305,181000,24.7511,24.7511,24.7511,24.7511,200,0
UCB_I.US,5,20250305,183500,24.71,24.71,24.69,24.69,2000,0
UCB_I.US,5,20250305,184000,24.69,24.69,24.69,24.69,279,0
UCB_I.US,5,20250305,185500,24.61,24.69,24.61,24.69,1045,0
UCB_I.US,5,20250305,194500,24.606,24.606,24.606,24.606,1000,0
UCB_I.US,5,20250305,195000,24.69,24.69,24.68,24.69,1889,0
UCB_I.US,5,20250305,203000,24.81,24.81,24.8,24.8,300,0
UCB_I.US,5,20250305,203500,24.713,24.713,24.713,24.713,800,0
UCB_I.US,5,20250305,204000,24.8076,24.8076,24.8076,24.8076,300,0
UCB_I.US,5,20250305,205500,24.8,24.8,24.79,24.79,200,0
UCB_I.US,5,20250305,214500,24.8,24.8,24.8,24.8,200,0
UCB_I.US,5,20250306,171500,24.7788,24.7788,24.7788,24.7788,100,0
UCB_I.US,5,20250306,172500,24.77,24.77,24.7694,24.7694,400,0
UCB_I.US,5,20250306,174000,24.78,24.78,24.764,24.764,200,0
UCB_I.US,5,20250306,202000,24.77,24.77,24.77,24.77,250,0
UCB_I.US,5,20250306,205000,24.765,24.765,24.765,24.765,200,0
UCB_I.US,5,20250306,211500,24.78,24.78,24.764,24.764,400,0
UCB_I.US,5,20250307,171500,24.737,24.737,24.737,24.737,100,0
UCB_I.US,5,20250307,181000,24.74,24.75,24.74,24.7499,2794,0
UCB_I.US,5,20250307,191500,24.75,24.75,24.75,24.75,500,0
UCB_I.US,5,20250307,192000,24.75,24.75,24.75,24.75,400,0
UCB_I.US,5,20250307,194000,24.77,24.7899,24.77,24.7899,600,0
UCB_I.US,5,20250307,211500,24.71,24.71,24.7,24.7,995,0
UCB_I.US,5,20250307,213000,24.7,24.7001,24.65,24.65,905,0
UCB_I.US,5,20250307,214500,24.7,24.749,24.7,24.749,200,0
UCB_I.US,5,20250307,215000,24.7699,24.7699,24.65,24.65,400,0
UCB_I.US,5,20250310,143000,24.7,24.7,24.7,24.7,300,0
UCB_I.US,5,20250310,145000,24.65,24.65,24.65,24.65,500,0
UCB_I.US,5,20250310,162500,24.7,24.7,24.7,24.7,500,0
UCB_I.US,5,20250310,171500,24.675,24.7,24.675,24.685,1000,0
UCB_I.US,5,20250310,172000,24.68,24.68,24.68,24.68,130,0
UCB_I.US,5,20250310,174500,24.7622,24.7622,24.7622,24.7622,900,0
UCB_I.US,5,20250310,193000,24.77,24.77,24.75,24.7688,900,0
UCB_I.US,5,20250310,193500,24.77,24.77,24.6768,24.7699,2500,0
UCB_I.US,5,20250310,194000,24.77,24.85,24.7699,24.824,1551,0
UCB_I.US,5,20250310,205000,24.83,24.84,24.83,24.84,200,0
UCB_I.US,5,20250310,205500,24.83,24.85,24.75,24.8499,1500,0
UCB_I.US,5,20250311,161500,24.88,24.88,24.88,24.88,100,0
UCB_I.US,5,20250311,163000,24.8505,24.8505,24.85,24.85,420,0
UCB_I.US,5,20250311,174500,24.8501,24.8501,24.8501,24.8501,200,0
UCB_I.US,5,20250311,181000,24.86,24.86,24.85,24.86,490,0
UCB_I.US,5,20250311,190500,24.85,24.85,24.85,24.85,100,0
UCB_I.US,5,20250311,191000,24.87,24.87,24.8338,24.8338,1300,0
UCB_I.US,5,20250311,193000,24.8101,24.8101,24.8101,24.8101,1000,0
UCB_I.US,5,20250311,203500,24.82,24.82,24.82,24.82,200,0
UCB_I.US,5,20250311,205000,24.8,24.8,24.8,24.8,200,0
UCB_I.US,5,20250312,145500,24.772,24.772,24.772,24.772,305,0
UCB_I.US,5,20250312,163000,24.8,24.8,24.8,24.8,516,0
UCB_I.US,5,20250312,163500,24.75,24.75,24.75,24.75,1000,0
UCB_I.US,5,20250312,165000,24.8386,24.8386,24.8386,24.8386,205,0
UCB_I.US,5,20250312,172500,24.75,24.75,24.75,24.75,200,0
UCB_I.US,5,20250312,184000,24.79,24.79,24.79,24.79,100,0
UCB_I.US,5,20250312,184500,24.8297,24.8297,24.8297,24.8297,125,0
UCB_I.US,5,20250312,193000,24.8,25.21,24.8,25.21,2015,0
UCB_I.US,5,20250313,174500,24.86,24.87,24.85,24.87,300,0
UCB_I.US,5,20250313,185500,24.855,24.855,24.855,24.855,300,0
UCB_I.US,5,20250314,150000,24.85,24.85,24.85,24.85,190,0
UCB_I.US,5,20250314,171000,24.95,24.95,24.95,24.95,100,0
UCB_I.US,5,20250314,173500,24.9011,24.9011,24.9011,24.9011,125,0
UCB_I.US,5,20250314,175500,24.851,24.851,24.851,24.851,326,0
UCB_I.US,5,20250314,184500,24.9,24.91,24.9,24.9001,2022,0
UCB_I.US,5,20250314,195500,24.95,24.95,24.95,24.95,250,0
UCB_I.US,5,20250314,200500,24.91,24.9101,24.91,24.9101,200,0
UCB_I.US,5,20250314,202500,24.95,24.95,24.95,24.95,400,0
UCB_I.US,5,20250317,153500,24.82,24.82,24.82,24.82,300,0
UCB_I.US,5,20250317,173000,24.81,24.81,24.81,24.81,250,0
UCB_I.US,5,20250317,173500,24.8779,24.8779,24.8779,24.8779,100,0
UCB_I.US,5,20250317,192500,24.8688,24.8688,24.8688,24.8688,120,0
UCB_I.US,5,20250317,194500,24.8825,24.9,24.8825,24.9,544,0
UCB_I.US,5,20250318,143000,24.8,24.8,24.8,24.8,200,0
UCB_I.US,5,20250318,162500,24.6978,24.6978,24.6978,24.6978,425,0
UCB_I.US,5,20250318,164500,24.8787,24.8787,24.8787,24.8787,200,0
UCB_I.US,5,20250318,165500,24.89,24.89,24.89,24.89,100,0
UCB_I.US,5,20250318,191500,24.89,24.89,24.8239,24.8239,300,0
UCB_I.US,5,20250318,202000,24.8999,24.8999,24.8999,24.8999,400,0
UCB_I.US,5,20250319,164000,24.71,24.71,24.71,24.71,1000,0
UCB_I.US,5,20250319,175500,24.75,24.75,24.75,24.75,400,0
UCB_I.US,5,20250320,161500,24.85,24.85,24.85,24.85,100,0
UCB_I.US,5,20250320,162000,24.885,24.885,24.885,24.885,125,0
UCB_I.US,5,20250321,174000,24.76,24.795,24.75,24.795,400,0
UCB_I.US,5,20250321,174500,24.8299,24.8299,24.8299,24.8299,200,0
UCB_I.US,5,20250321,185500,24.82,24.83,24.82,24.83,300,0
UCB_I.US,5,20250321,190000,24.84,24.84,24.8399,24.8399,400,0
UCB_I.US,5,20250321,194500,24.8001,24.8001,24.8001,24.8001,120,0
UCB_I.US,5,20250321,202000,24.85,24.85,24.8499,24.8499,296,0
UCB_I.US,5,20250321,202500,24.835,24.8433,24.835,24.8433,400,0
UCB_I.US,5,20250321,204500,24.8,24.84,24.8,24.8399,600,0
UCB_I.US,5,20250324,171000,24.8205,24.8205,24.8205,24.8205,200,0
UCB_I.US,5,20250324,184000,24.8269,24.8269,24.8269,24.8269,100,0
UCB_I.US,5,20250324,191000,24.88,24.9,24.8756,24.9,1063,0
UCB_I.US,5,20250324,200000,25.01,25.01,24.87,24.87,400,0
UCB_I.US,5,20250324,200500,24.8601,25.01,24.8601,24.87,500,0
UCB_I.US,5,20250324,201000,24.881,24.881,24.881,24.881,200,0
UCB_I.US,5,20250324,202000,24.881,24.881,24.881,24.881,200,0
UCB_I.US,5,20250325,145500,24.7101,24.7101,24.7101,24.7101,200,0
UCB_I.US,5,20250326,163500,24.8,24.8,24.8,24.8,1855,0
