<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAFU.US,5,20250224,153000,1.81,1.91,1.7601,1.86,20803,0
WAFU.US,5,20250224,153500,1.85,1.85,1.84,1.84,200,0
WAFU.US,5,20250224,154000,1.78,1.78,1.78,1.78,390,0
WAFU.US,5,20250224,154500,1.78,1.7833,1.74,1.742,12892,0
WAFU.US,5,20250224,155000,1.74,1.78,1.65,1.68,17280,0
WAFU.US,5,20250224,160000,1.7068,1.71,1.7068,1.71,1100,0
WAFU.US,5,20250224,160500,1.7,1.7,1.7,1.7,341,0
WAFU.US,5,20250224,161500,1.7006,1.7006,1.7,1.7006,1500,0
WAFU.US,5,20250224,164500,1.7006,1.7006,1.7006,1.7006,354,0
WAFU.US,5,20250224,165000,1.75,1.75,1.7,1.7,1404,0
WAFU.US,5,20250224,165500,1.7,1.7,1.7,1.7,480,0
WAFU.US,5,20250224,171500,1.74,1.74,1.74,1.74,500,0
WAFU.US,5,20250224,173000,1.69,1.69,1.69,1.69,100,0
WAFU.US,5,20250224,181000,1.6901,1.7296,1.65,1.68,4984,0
WAFU.US,5,20250224,182000,1.6899,1.6899,1.67,1.67,200,0
WAFU.US,5,20250224,182500,1.6896,1.6896,1.6896,1.6896,100,0
WAFU.US,5,20250224,183000,1.68,1.69,1.68,1.69,200,0
WAFU.US,5,20250224,184500,1.72,1.72,1.72,1.72,100,0
WAFU.US,5,20250224,185500,1.71,1.71,1.7,1.7,7109,0
WAFU.US,5,20250224,192500,1.74,1.74,1.7,1.7,339,0
WAFU.US,5,20250224,200000,1.72,1.73,1.72,1.7299,1400,0
WAFU.US,5,20250224,201000,1.7,1.7,1.69,1.692,3000,0
WAFU.US,5,20250224,202500,1.7,1.7,1.69,1.69,744,0
WAFU.US,5,20250224,204000,1.735,1.75,1.735,1.7491,800,0
WAFU.US,5,20250224,205000,1.75,1.76,1.75,1.76,2264,0
WAFU.US,5,20250224,205500,1.74,1.74,1.73,1.73,1257,0
WAFU.US,5,20250224,210500,1.73,1.7393,1.73,1.73,2800,0
WAFU.US,5,20250224,213000,1.7,1.7,1.7,1.7,100,0
WAFU.US,5,20250224,215000,1.7,1.7,1.7,1.7,112,0
WAFU.US,5,20250224,215500,1.7,1.8,1.68,1.79,10376,0
WAFU.US,5,20250225,153000,3.29,4.15,3.12,4.0993,4457833,0
WAFU.US,5,20250225,153500,4.095,4.3599,3.71,3.9894,3832314,0
WAFU.US,5,20250225,154000,3.97,5.31,3.83,5.31,4869468,0
WAFU.US,5,20250225,154500,5.5,5.97,5.17,5.8321,1894843,0
WAFU.US,5,20250225,155000,5.8257,7.17,5.418,6.66,5328057,0
WAFU.US,5,20250225,155500,6.71,7.4899,6.4005,6.99,5444556,0
WAFU.US,5,20250225,160000,6.97,7.34,5.72,5.73,4494784,0
WAFU.US,5,20250225,160500,5.72,6.4,5.72,6.15,1948280,0
WAFU.US,5,20250225,161000,6.13,6.3,5.82,6.1101,1894935,0
WAFU.US,5,20250225,161500,6.11,6.25,5.38,5.69,2674043,0
