<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XGN.US,5,20250224,153000,3.6,3.6,3.6,3.6,555,0
XGN.US,5,20250224,160000,3.53,3.53,3.53,3.53,157,0
XGN.US,5,20250224,160500,3.48,3.48,3.45,3.46,2800,0
XGN.US,5,20250224,161000,3.49,3.562,3.48,3.55,2830,0
XGN.US,5,20250224,161500,3.48,3.48,3.48,3.48,500,0
XGN.US,5,20250224,162500,3.55,3.55,3.55,3.55,100,0
XGN.US,5,20250224,164000,3.5,3.5,3.47,3.47,1340,0
XGN.US,5,20250224,164500,3.49,3.51,3.49,3.5,1710,0
XGN.US,5,20250224,165000,3.51,3.51,3.49,3.49,1000,0
XGN.US,5,20250224,165500,3.49,3.49,3.48,3.48,694,0
XGN.US,5,20250224,170500,3.46,3.46,3.46,3.46,200,0
XGN.US,5,20250224,171000,3.4544,3.4544,3.45,3.45,346,0
XGN.US,5,20250224,173500,3.505,3.505,3.505,3.505,100,0
XGN.US,5,20250224,174000,3.51,3.525,3.51,3.525,1300,0
XGN.US,5,20250224,175500,3.54,3.63,3.54,3.63,3662,0
XGN.US,5,20250224,183500,3.6315,3.6315,3.6315,3.6315,190,0
XGN.US,5,20250224,194000,3.575,3.575,3.575,3.575,525,0
XGN.US,5,20250224,195500,3.5601,3.5601,3.5601,3.5601,100,0
XGN.US,5,20250224,201000,3.5892,3.5892,3.5892,3.5892,550,0
XGN.US,5,20250224,204000,3.59,3.592,3.59,3.592,1100,0
XGN.US,5,20250224,205500,3.56,3.56,3.56,3.56,200,0
XGN.US,5,20250224,211500,3.54,3.5698,3.54,3.5698,1300,0
XGN.US,5,20250224,212500,3.5773,3.579,3.57,3.579,695,0
XGN.US,5,20250224,213500,3.572,3.572,3.572,3.572,100,0
XGN.US,5,20250224,214500,3.555,3.57,3.555,3.57,200,0
XGN.US,5,20250224,215000,3.58,3.58,3.58,3.58,100,0
XGN.US,5,20250224,215500,3.58,3.6,3.58,3.6,200,0
XGN.US,5,20250225,154500,3.5,3.5,3.5,3.5,1353,0
XGN.US,5,20250225,160500,3.5,3.622,3.5,3.622,300,0
XGN.US,5,20250225,163000,3.6121,3.6121,3.6121,3.6121,600,0
XGN.US,5,20250225,164500,3.516,3.59,3.5,3.5,1235,0
XGN.US,5,20250225,170000,3.44,3.44,3.44,3.44,135,0
XGN.US,5,20250225,170500,3.47,3.47,3.45,3.45,200,0
XGN.US,5,20250225,172500,3.42,3.442,3.362,3.362,2390,0
XGN.US,5,20250225,173000,3.395,3.395,3.395,3.395,139,0
XGN.US,5,20250225,174000,3.3879,3.39,3.3879,3.39,300,0
XGN.US,5,20250225,175000,3.426,3.426,3.426,3.426,100,0
XGN.US,5,20250225,175500,3.395,3.395,3.395,3.395,350,0
XGN.US,5,20250225,180000,3.37,3.37,3.37,3.37,100,0
XGN.US,5,20250225,181000,3.395,3.43,3.395,3.4,2500,0
XGN.US,5,20250225,181500,3.4,3.472,3.4,3.44,1600,0
XGN.US,5,20250225,182000,3.47,3.47,3.47,3.47,100,0
XGN.US,5,20250225,182500,3.4,3.4,3.38,3.4,560,0
XGN.US,5,20250225,183000,3.4012,3.4012,3.4012,3.4012,249,0
XGN.US,5,20250225,183500,3.4,3.4,3.395,3.395,200,0
XGN.US,5,20250225,184500,3.3831,3.3831,3.3831,3.3831,100,0
XGN.US,5,20250225,190000,3.39,3.39,3.37,3.37,1000,0
XGN.US,5,20250225,191500,3.39,3.39,3.39,3.39,100,0
XGN.US,5,20250225,192000,3.39,3.39,3.36,3.36,300,0
XGN.US,5,20250225,193500,3.35,3.385,3.35,3.385,200,0
XGN.US,5,20250225,195000,3.3952,3.3952,3.3952,3.3952,139,0
XGN.US,5,20250225,201000,3.42,3.42,3.4,3.405,2409,0
XGN.US,5,20250225,201500,3.39,3.39,3.39,3.39,200,0
XGN.US,5,20250225,202500,3.41,3.41,3.41,3.41,100,0
XGN.US,5,20250225,203500,3.38,3.38,3.38,3.38,100,0
XGN.US,5,20250225,204000,3.4,3.4,3.39,3.39,200,0
XGN.US,5,20250225,210000,3.38,3.42,3.38,3.42,353,0
XGN.US,5,20250225,210500,3.38,3.38,3.38,3.38,100,0
XGN.US,5,20250225,211000,3.38,3.38,3.38,3.38,200,0
XGN.US,5,20250225,211500,3.38,3.49,3.38,3.49,4517,0
XGN.US,5,20250225,212000,3.44,3.45,3.43,3.44,2508,0
XGN.US,5,20250225,212500,3.45,3.46,3.45,3.46,500,0
XGN.US,5,20250225,213000,3.48,3.495,3.48,3.495,952,0
XGN.US,5,20250225,213500,3.495,3.495,3.49,3.49,200,0
XGN.US,5,20250225,214000,3.485,3.485,3.48,3.485,300,0
XGN.US,5,20250225,214500,3.48,3.48,3.465,3.465,1559,0
XGN.US,5,20250225,215000,3.46,3.46,3.46,3.46,100,0
XGN.US,5,20250225,215500,3.46,3.46,3.44,3.45,1795,0
XGN.US,5,20250226,153000,3.44,3.52,3.36,3.36,4770,0
XGN.US,5,20250226,154500,3.6494,3.6494,3.6494,3.6494,1366,0
XGN.US,5,20250226,155000,3.36,3.36,3.36,3.36,630,0
XGN.US,5,20250226,155500,3.36,3.39,3.36,3.38,700,0
XGN.US,5,20250226,161500,3.36,3.36,3.36,3.36,940,0
XGN.US,5,20250226,162500,3.37,3.37,3.37,3.37,936,0
XGN.US,5,20250226,163000,3.5,3.5553,3.5,3.5553,1038,0
XGN.US,5,20250226,164000,3.46,3.46,3.42,3.42,2330,0
XGN.US,5,20250226,164500,3.42,3.42,3.42,3.42,260,0
XGN.US,5,20250226,165000,3.42,3.42,3.42,3.42,260,0
XGN.US,5,20250226,165500,3.42,3.42,3.42,3.42,240,0
XGN.US,5,20250226,170000,3.42,3.45,3.42,3.45,390,0
XGN.US,5,20250226,170500,3.37,3.37,3.37,3.37,360,0
XGN.US,5,20250226,171000,3.37,3.37,3.37,3.37,200,0
XGN.US,5,20250226,171500,3.36,3.36,3.36,3.36,100,0
XGN.US,5,20250226,172000,3.39,3.39,3.36,3.36,1356,0
XGN.US,5,20250226,173000,3.405,3.405,3.37,3.37,820,0
XGN.US,5,20250226,174000,3.37,3.38,3.36,3.38,621,0
XGN.US,5,20250226,174500,3.36,3.36,3.36,3.36,160,0
XGN.US,5,20250226,175000,3.36,3.36,3.34,3.36,920,0
XGN.US,5,20250226,175500,3.39,3.39,3.36,3.36,420,0
XGN.US,5,20250226,180500,3.36,3.36,3.36,3.36,280,0
XGN.US,5,20250226,181000,3.34,3.34,3.34,3.34,450,0
XGN.US,5,20250226,182000,3.32,3.45,3.32,3.45,10574,0
XGN.US,5,20250226,182500,3.46,3.495,3.44,3.495,840,0
XGN.US,5,20250226,183000,3.5123,3.5123,3.5123,3.5123,500,0
XGN.US,5,20250226,184000,3.44,3.44,3.44,3.44,720,0
XGN.US,5,20250226,185000,3.44,3.44,3.44,3.44,720,0
XGN.US,5,20250226,190000,3.39,3.39,3.39,3.39,800,0
XGN.US,5,20250226,190500,3.435,3.55,3.4,3.4,6937,0
XGN.US,5,20250226,191000,3.4,3.4,3.4,3.4,200,0
XGN.US,5,20250226,191500,3.4,3.4,3.4,3.4,300,0
XGN.US,5,20250226,192000,3.4,3.4,3.4,3.4,270,0
XGN.US,5,20250226,192500,3.4,3.42,3.4,3.42,480,0
XGN.US,5,20250226,193000,3.42,3.42,3.42,3.42,240,0
XGN.US,5,20250226,193500,3.42,3.42,3.42,3.42,200,0
XGN.US,5,20250226,194000,3.4,3.4,3.4,3.4,450,0
XGN.US,5,20250226,194500,3.4,3.4,3.4,3.4,540,0
XGN.US,5,20250226,195500,3.4,3.4,3.4,3.4,640,0
XGN.US,5,20250226,200000,3.45,3.48,3.425,3.45,3580,0
XGN.US,5,20250226,201500,3.39,3.435,3.39,3.435,1000,0
XGN.US,5,20250226,202000,3.43,3.43,3.365,3.365,1106,0
XGN.US,5,20250226,202500,3.36,3.46,3.36,3.46,5971,0
XGN.US,5,20250226,203000,3.4,3.4,3.4,3.4,100,0
XGN.US,5,20250226,203500,3.4,3.4,3.4,3.4,120,0
XGN.US,5,20250226,204000,3.4,3.4,3.4,3.4,120,0
XGN.US,5,20250226,204500,3.41,3.5,3.41,3.44,4838,0
XGN.US,5,20250226,205000,3.44,3.6,3.44,3.525,904,0
XGN.US,5,20250226,205500,3.56,3.56,3.55,3.55,706,0
XGN.US,5,20250226,210000,3.65,3.65,3.4636,3.555,1519,0
XGN.US,5,20250226,210500,3.65,3.66,3.555,3.65,1000,0
XGN.US,5,20250226,211000,3.64,3.66,3.555,3.555,1203,0
XGN.US,5,20250226,211500,3.65,3.65,3.525,3.57,1311,0
XGN.US,5,20250226,212000,3.6,3.64,3.52,3.56,1662,0
XGN.US,5,20250226,212500,3.6,3.6,3.5201,3.54,2314,0
XGN.US,5,20250226,213000,3.535,3.58,3.495,3.495,1360,0
XGN.US,5,20250226,213500,3.545,3.56,3.52,3.52,1104,0
XGN.US,5,20250226,214000,3.525,3.54,3.5,3.5,1013,0
XGN.US,5,20250226,214500,3.515,3.55,3.4772,3.535,1865,0
XGN.US,5,20250226,215000,3.54,3.54,3.485,3.515,1829,0
XGN.US,5,20250226,215500,3.53,3.54,3.515,3.52,6826,0
XGN.US,5,20250227,153000,3.56,3.56,3.56,3.56,524,0
XGN.US,5,20250227,153500,3.66,3.67,3.66,3.67,1900,0
XGN.US,5,20250227,154000,3.59,3.59,3.59,3.59,1398,0
XGN.US,5,20250227,154500,3.5676,3.6,3.5676,3.6,394,0
XGN.US,5,20250227,155000,3.64,3.64,3.64,3.64,150,0
XGN.US,5,20250227,160500,3.56,3.56,3.56,3.56,732,0
XGN.US,5,20250227,161000,3.59,3.67,3.58,3.67,5066,0
XGN.US,5,20250227,161500,3.82,3.83,3.81,3.83,7393,0
XGN.US,5,20250227,163000,3.76,3.76,3.76,3.76,100,0
XGN.US,5,20250227,163500,3.7,3.7,3.7,3.7,297,0
XGN.US,5,20250227,164000,3.7299,3.7299,3.6581,3.6581,3400,0
XGN.US,5,20250227,180000,3.78,3.78,3.78,3.78,1289,0
XGN.US,5,20250227,180500,3.69,3.69,3.69,3.69,500,0
XGN.US,5,20250227,182000,3.74,3.7481,3.668,3.668,600,0
XGN.US,5,20250227,182500,3.7,3.7,3.66,3.66,3210,0
XGN.US,5,20250227,183500,3.69,3.69,3.69,3.69,2140,0
XGN.US,5,20250227,191000,3.69,3.69,3.69,3.69,100,0
XGN.US,5,20250227,191500,3.72,3.73,3.72,3.72,1237,0
XGN.US,5,20250227,201000,3.685,3.685,3.665,3.665,1000,0
XGN.US,5,20250227,201500,3.71,3.71,3.71,3.71,100,0
XGN.US,5,20250227,202500,3.68,3.68,3.68,3.68,428,0
XGN.US,5,20250227,203000,3.68,3.7,3.68,3.68,400,0
XGN.US,5,20250227,204500,3.68,3.68,3.68,3.68,420,0
XGN.US,5,20250227,205000,3.664,3.664,3.56,3.56,5663,0
XGN.US,5,20250227,205500,3.5598,3.59,3.5598,3.58,395,0
XGN.US,5,20250227,210500,3.5648,3.5648,3.5648,3.5648,154,0
XGN.US,5,20250227,211000,3.57,3.58,3.57,3.58,1819,0
XGN.US,5,20250227,211500,3.63,3.63,3.63,3.63,130,0
XGN.US,5,20250227,212000,3.555,3.555,3.545,3.555,783,0
XGN.US,5,20250227,212500,3.55,3.55,3.53,3.53,1958,0
XGN.US,5,20250227,213500,3.55,3.55,3.54,3.55,1799,0
XGN.US,5,20250227,214000,3.55,3.57,3.55,3.57,1618,0
XGN.US,5,20250227,215000,3.55,3.55,3.53,3.53,298,0
