<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEOWW.US,5,20250225,181000,0.0946,0.0946,0.0938,0.0938,300,0
ZEOWW.US,5,20250225,184500,0.0937,0.0937,0.0937,0.0937,300,0
ZEOWW.US,5,20250225,192000,0.0938,0.0938,0.0938,0.0938,100,0
ZEOWW.US,5,20250225,210500,0.0937,0.0937,0.0937,0.0937,800,0
ZEOWW.US,5,20250225,211000,0.09,0.09,0.08,0.0869,2971,0
ZEOWW.US,5,20250225,212000,0.0901,0.0901,0.08,0.08,1000,0
ZEOWW.US,5,20250227,194500,0.09,0.09,0.09,0.09,100,0
ZEOWW.US,5,20250228,175500,0.089999,0.09,0.089999,0.09,600,0
ZEOWW.US,5,20250228,215000,0.09,0.09,0.09,0.09,13700,0
ZEOWW.US,5,20250228,215500,0.0806,0.0806,0.0801,0.0801,200,0
ZEOWW.US,5,20250303,153000,0.0808,0.0808,0.08,0.08,492,0
ZEOWW.US,5,20250304,153000,0.0804,0.0804,0.0804,0.0804,100,0
ZEOWW.US,5,20250304,163000,0.08,0.08,0.08,0.08,400,0
ZEOWW.US,5,20250305,175000,0.1,0.1,0.099,0.0999,1000,0
ZEOWW.US,5,20250310,185000,0.08,0.0808,0.08,0.0808,1035,0
ZEOWW.US,5,20250310,190000,0.08,0.08,0.08,0.08,4110,0
ZEOWW.US,5,20250310,190500,0.0516,0.0516,0.0516,0.0516,5190,0
ZEOWW.US,5,20250311,205500,0.099,0.099,0.09,0.09,1000,0
ZEOWW.US,5,20250312,143000,0.09,0.09,0.09,0.09,133,0
ZEOWW.US,5,20250313,155500,0.0523,0.0523,0.0523,0.0523,147,0
ZEOWW.US,5,20250314,162500,0.084803,0.084803,0.084803,0.084803,366,0
ZEOWW.US,5,20250325,181500,0.054,0.056924,0.054,0.056924,929,0
ZEOWW.US,5,20250401,165500,0.098,0.098,0.098,0.098,350,0
ZEOWW.US,5,20250401,202000,0.0901,0.0901,0.0901,0.0901,100,0
ZEOWW.US,5,20250404,174000,0.0763,0.0763,0.0763,0.0763,523,0
ZEOWW.US,5,20250404,212000,0.07,0.07,0.07,0.07,1000,0
ZEOWW.US,5,20250407,181000,0.0725,0.0725,0.0725,0.0725,100,0
ZEOWW.US,5,20250414,170000,0.0652,0.0652,0.0551,0.0551,772,0
ZEOWW.US,5,20250414,170500,0.0521,0.0521,0.0521,0.0521,500,0
ZEOWW.US,5,20250414,190500,0.0975,0.0975,0.0975,0.0975,200,0
ZEOWW.US,5,20250414,213500,0.085794,0.085794,0.085794,0.085794,135,0
ZEOWW.US,5,20250415,153000,0.0551,0.0551,0.0551,0.0551,300,0
ZEOWW.US,5,20250415,154000,0.0675,0.0675,0.0675,0.0675,294,0
ZEOWW.US,5,20250415,155500,0.0505,0.0505,0.0505,0.0505,295,0
ZEOWW.US,5,20250415,161000,0.0501,0.0502,0.0501,0.0502,200,0
ZEOWW.US,5,20250415,162000,0.05,0.05,0.05,0.05,200,0
ZEOWW.US,5,20250415,163500,0.045101,0.045101,0.045101,0.045101,102,0
ZEOWW.US,5,20250415,165000,0.05,0.05,0.0452,0.0463,1400,0
ZEOWW.US,5,20250415,185000,0.0576,0.0576,0.0576,0.0576,100,0
ZEOWW.US,5,20250415,192000,0.0576,0.0576,0.0576,0.0576,150,0
ZEOWW.US,5,20250415,215500,0.0475,0.0475,0.0475,0.0475,200,0
ZEOWW.US,5,20250416,155000,0.0499,0.0681,0.0499,0.0681,1016,0
ZEOWW.US,5,20250416,155500,0.0904,0.1238,0.09,0.12,11917,0
ZEOWW.US,5,20250416,160000,0.1004,0.13,0.1004,0.13,800,0
ZEOWW.US,5,20250416,160500,0.13,0.13,0.07,0.07,7133,0
ZEOWW.US,5,20250416,161500,0.077471,0.077471,0.077471,0.077471,100,0
ZEOWW.US,5,20250416,164500,0.1,0.1,0.0999,0.0999,1232,0
ZEOWW.US,5,20250416,173000,0.1,0.1,0.1,0.1,2000,0
ZEOWW.US,5,20250416,173500,0.0606,0.0606,0.0601,0.0601,684,0
ZEOWW.US,5,20250416,175500,0.0801,0.1,0.0504,0.095231,6716,0
ZEOWW.US,5,20250416,180000,0.093649,0.093649,0.093649,0.093649,125,0
ZEOWW.US,5,20250416,181000,0.093632,0.093632,0.0502,0.0502,282,0
ZEOWW.US,5,20250416,182500,0.0945,0.0945,0.0945,0.0945,223,0
ZEOWW.US,5,20250416,184500,0.086068,0.086068,0.086068,0.086068,100,0
ZEOWW.US,5,20250416,185500,0.087,0.087,0.087,0.087,300,0
ZEOWW.US,5,20250416,190500,0.0877,0.0877,0.0809,0.0809,200,0
ZEOWW.US,5,20250416,191000,0.084581,0.084581,0.084581,0.084581,100,0
ZEOWW.US,5,20250416,192500,0.075007,0.075007,0.075007,0.075007,250,0
ZEOWW.US,5,20250416,193000,0.075,0.075,0.075,0.075,538,0
ZEOWW.US,5,20250416,193500,0.0607,0.0628,0.0604,0.0628,1258,0
ZEOWW.US,5,20250416,194000,0.0701,0.1,0.0604,0.0604,5648,0
ZEOWW.US,5,20250416,215500,0.0801,0.0801,0.0604,0.0801,5514,0
ZEOWW.US,5,20250417,154000,0.0503,0.0503,0.0503,0.0503,100,0
ZEOWW.US,5,20250417,155500,0.0975,0.0975,0.0975,0.0975,2200,0
