<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFIF.US,5,20250224,153500,9.2206,9.2206,9.2206,9.2206,119,0
AFIF.US,5,20250224,160500,9.2,9.2,9.2,9.2,100,0
AFIF.US,5,20250224,165500,9.2113,9.2113,9.2113,9.2113,789,0
AFIF.US,5,20250224,170000,9.2,9.2,9.2,9.2,100,0
AFIF.US,5,20250224,174000,9.2199,9.22,9.2135,9.2135,4242,0
AFIF.US,5,20250224,175000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250224,180000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250224,181000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250224,191000,9.211,9.211,9.211,9.211,133,0
AFIF.US,5,20250224,191500,9.22,9.22,9.22,9.22,184,0
AFIF.US,5,20250224,193000,9.2195,9.2195,9.2195,9.2195,429,0
AFIF.US,5,20250224,193500,9.215,9.215,9.215,9.215,100,0
AFIF.US,5,20250224,195500,9.21,9.21,9.2033,9.2033,1244,0
AFIF.US,5,20250224,200500,9.21,9.21,9.2,9.2,785,0
AFIF.US,5,20250224,210500,9.21,9.225,9.21,9.225,1546,0
AFIF.US,5,20250224,211000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250224,211500,9.22,9.23,9.22,9.23,922,0
AFIF.US,5,20250224,212000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250224,213500,9.23,9.23,9.22,9.22,6023,0
AFIF.US,5,20250224,214000,9.22,9.22,9.22,9.22,400,0
AFIF.US,5,20250224,214500,9.2101,9.22,9.2101,9.22,338,0
AFIF.US,5,20250224,215000,9.215,9.215,9.215,9.215,100,0
AFIF.US,5,20250224,215500,9.22,9.22,9.21,9.21,200,0
AFIF.US,5,20250225,165500,9.22,9.22,9.22,9.22,4738,0
AFIF.US,5,20250225,170000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250225,172000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250225,173500,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250225,175500,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250225,203000,9.2281,9.2281,9.2281,9.2281,150,0
AFIF.US,5,20250225,204000,9.2268,9.2268,9.2268,9.2268,235,0
AFIF.US,5,20250225,205000,9.2192,9.2192,9.21,9.21,462,0
AFIF.US,5,20250225,215500,9.225,9.225,9.225,9.225,400,0
AFIF.US,5,20250226,184000,9.24,9.24,9.24,9.24,373,0
AFIF.US,5,20250226,190500,9.23,9.23,9.23,9.23,100,0
AFIF.US,5,20250226,200000,9.22,9.22,9.22,9.22,954,0
AFIF.US,5,20250226,204500,9.22,9.22,9.22,9.22,426,0
AFIF.US,5,20250226,210000,9.22,9.22,9.22,9.22,100,0
AFIF.US,5,20250226,211500,9.225,9.225,9.225,9.225,670,0
AFIF.US,5,20250226,215500,9.22,9.22,9.22,9.22,700,0
AFIF.US,5,20250227,203000,9.24,9.24,9.23,9.23,2058,0
AFIF.US,5,20250227,203500,9.2368,9.2368,9.2368,9.2368,113,0
AFIF.US,5,20250227,204000,9.23,9.23,9.23,9.23,100,0
AFIF.US,5,20250227,210000,9.23,9.23,9.23,9.23,100,0
AFIF.US,5,20250227,210500,9.24,9.24,9.2367,9.2399,2000,0
AFIF.US,5,20250227,211000,9.2389,9.2389,9.2389,9.2389,2957,0
AFIF.US,5,20250227,212000,9.23,9.23,9.23,9.23,100,0
AFIF.US,5,20250227,212500,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250227,214000,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250227,215000,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250227,215500,9.25,9.25,9.25,9.25,100,0
AFIF.US,5,20250228,182500,9.2431,9.2431,9.2431,9.2431,1155,0
AFIF.US,5,20250228,183000,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,185500,9.24,9.24,9.24,9.24,346,0
AFIF.US,5,20250228,192000,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,202500,9.245,9.245,9.245,9.245,148,0
AFIF.US,5,20250228,203000,9.245,9.28,9.24,9.24,20735,0
AFIF.US,5,20250228,203500,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,204500,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,205000,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,205500,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,210000,9.235,9.235,9.235,9.235,100,0
AFIF.US,5,20250228,210500,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,211000,9.2468,9.2468,9.2468,9.2468,622,0
AFIF.US,5,20250228,211500,9.245,9.245,9.245,9.245,100,0
AFIF.US,5,20250228,212000,9.245,9.245,9.245,9.245,100,0
AFIF.US,5,20250228,212500,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,213000,9.24,9.24,9.24,9.24,100,0
AFIF.US,5,20250228,213500,9.23,9.23,9.23,9.23,100,0
AFIF.US,5,20250228,214000,9.23,9.23,9.23,9.23,100,0
AFIF.US,5,20250228,214500,9.23,9.23,9.23,9.23,200,0
AFIF.US,5,20250228,215000,9.24,9.24,9.24,9.24,100,0
