<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIVC.US,5,20250224,153000,51.99,52.015,51.86,52.015,400,0
AIVC.US,5,20250224,154500,51.815,51.815,51.72,51.805,400,0
AIVC.US,5,20250224,155500,50.96,50.96,50.96,50.96,100,0
AIVC.US,5,20250224,160000,50.74,50.74,50.74,50.74,100,0
AIVC.US,5,20250224,162000,50.65,50.65,50.65,50.65,150,0
AIVC.US,5,20250224,163000,50.7,50.7,50.695,50.695,300,0
AIVC.US,5,20250224,173500,50.915,50.915,50.915,50.915,1000,0
AIVC.US,5,20250225,163500,49.41,49.41,49.41,49.41,100,0
AIVC.US,5,20250226,153000,50.9895,50.9895,50.9895,50.9895,345,0
AIVC.US,5,20250226,170500,51.32,51.32,51.32,51.32,100,0
AIVC.US,5,20250226,200000,50.62,50.62,50.62,50.62,100,0
AIVC.US,5,20250228,191000,48.0403,48.0403,48.0403,48.0403,320,0
AIVC.US,5,20250303,153500,49,49,48.77,48.77,512,0
AIVC.US,5,20250303,165500,48.36,48.36,48.36,48.36,100,0
AIVC.US,5,20250304,155000,46.43,46.4302,46.43,46.4302,600,0
AIVC.US,5,20250304,174500,46.14,46.14,46.14,46.14,100,0
AIVC.US,5,20250304,200000,47.04,47.0546,47.04,47.0546,520,0
AIVC.US,5,20250304,213500,47.5473,47.5473,47.5473,47.5473,200,0
AIVC.US,5,20250306,162000,46.85,46.85,46.85,46.85,100,0
AIVC.US,5,20250306,164500,46.895,46.895,46.895,46.895,100,0
AIVC.US,5,20250306,215000,45.73,45.73,45.64,45.64,540,0
AIVC.US,5,20250307,170500,45.5277,45.5277,45.5277,45.5277,110,0
AIVC.US,5,20250307,172000,45.2876,45.2876,45.2876,45.2876,140,0
AIVC.US,5,20250307,182500,44.9,44.9,44.9,44.9,200,0
AIVC.US,5,20250310,143000,45,45,45,45,162,0
AIVC.US,5,20250311,184500,44.2589,44.2589,44.2589,44.2589,114,0
AIVC.US,5,20250311,205000,44.6206,44.6206,44.6206,44.6206,100,0
AIVC.US,5,20250312,203500,45.4103,45.4103,45.4103,45.4103,500,0
AIVC.US,5,20250313,155000,44.9,44.9001,44.9,44.9001,200,0
AIVC.US,5,20250313,160000,45.14,45.14,45.14,45.14,112,0
AIVC.US,5,20250313,164500,44.7137,44.7137,44.7137,44.7137,250,0
AIVC.US,5,20250313,173000,44.81,44.81,44.7861,44.7861,900,0
AIVC.US,5,20250314,201500,45.8988,45.8988,45.8988,45.8988,180,0
AIVC.US,5,20250314,205000,45.89,45.89,45.89,45.89,200,0
AIVC.US,5,20250317,145000,46.4225,46.4225,46.4225,46.4225,208,0
AIVC.US,5,20250317,153500,46.3364,46.3364,46.3364,46.3364,200,0
AIVC.US,5,20250317,163000,46.5028,46.5028,46.5028,46.5028,100,0
AIVC.US,5,20250318,164000,45.9377,45.99,45.9377,45.99,350,0
AIVC.US,5,20250318,200000,46.119,46.12,46.119,46.12,276,0
AIVC.US,5,20250319,162500,46.06,46.06,46.06,46.06,100,0
AIVC.US,5,20250319,164000,46.19,46.19,46.19,46.19,100,0
AIVC.US,5,20250319,183000,46.04,46.04,46.04,46.04,100,0
AIVC.US,5,20250319,202500,46.22,46.22,46.22,46.22,152,0
AIVC.US,5,20250320,205000,46.315,46.315,46.315,46.315,109,0
AIVC.US,5,20250321,205000,46.2275,46.2275,46.2275,46.2275,100,0
AIVC.US,5,20250324,162500,47.1138,47.1138,47.1138,47.1138,202,0
AIVC.US,5,20250324,172000,47.1,47.11,47.1,47.11,250,0
AIVC.US,5,20250324,174000,46.92,46.92,46.92,46.92,100,0
AIVC.US,5,20250324,193000,46.925,46.925,46.925,46.925,187,0
AIVC.US,5,20250325,205500,47.0503,47.0503,46.88,46.88,200,0
AIVC.US,5,20250326,152000,46.02,46.0903,46.02,46.0903,200,0
AIVC.US,5,20250326,173500,45.82,45.8305,45.82,45.8305,300,0
AIVC.US,5,20250326,174000,45.81,45.8101,45.81,45.8101,600,0
AIVC.US,5,20250326,181500,45.58,45.58,45.58,45.58,300,0
AIVC.US,5,20250327,162500,45.253,45.253,45.253,45.253,125,0
AIVC.US,5,20250327,204500,45.08,45.08,45.08,45.08,100,0
AIVC.US,5,20250328,182500,43.26,43.26,43.26,43.26,200,0
AIVC.US,5,20250328,190000,43.395,43.395,43.395,43.395,400,0
AIVC.US,5,20250328,191000,43.4,43.4,43.4,43.4,325,0
AIVC.US,5,20250328,195500,43.405,43.405,43.405,43.405,200,0
AIVC.US,5,20250328,202000,43.4053,43.415,43.4053,43.415,350,0
AIVC.US,5,20250328,202500,43.415,43.415,43.415,43.415,100,0
AIVC.US,5,20250328,204000,43.3108,43.3108,43.3108,43.3108,100,0
AIVC.US,5,20250328,205000,43.23,43.3852,43.23,43.3852,600,0
AIVC.US,5,20250331,163000,42.32,42.32,42.32,42.32,200,0
AIVC.US,5,20250331,182500,42.41,42.41,42.41,42.41,100,0
AIVC.US,5,20250331,204000,42.82,42.9053,42.82,42.9053,450,0
AIVC.US,5,20250331,211500,42.9576,42.9576,42.9576,42.9576,103,0
AIVC.US,5,20250331,213500,42.835,42.835,42.835,42.835,100,0
AIVC.US,5,20250331,214500,42.885,42.885,42.885,42.885,300,0
AIVC.US,5,20250402,153500,43.31,43.31,43.31,43.31,372,0
AIVC.US,5,20250402,165500,43.46,43.46,43.46,43.46,100,0
AIVC.US,5,20250402,172000,43.5,43.5,43.5,43.5,476,0
AIVC.US,5,20250402,212000,43.695,43.695,43.695,43.695,114,0
