<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AWP.US,5,20250224,153000,3.99,3.99,3.99,3.99,4349,0
AWP.US,5,20250224,153500,3.955,3.955,3.955,3.955,100,0
AWP.US,5,20250224,154000,3.9549,3.9549,3.9549,3.9549,1500,0
AWP.US,5,20250224,154500,3.95,3.955,3.95,3.955,826,0
AWP.US,5,20250224,155000,3.95,3.95,3.92,3.945,41298,0
AWP.US,5,20250224,155500,3.9461,3.9461,3.94,3.94,1595,0
AWP.US,5,20250224,160000,3.94,3.94,3.935,3.94,500,0
AWP.US,5,20250224,160500,3.94,3.945,3.94,3.945,2580,0
AWP.US,5,20250224,161000,3.94,3.9436,3.94,3.9436,800,0
AWP.US,5,20250224,161500,3.93,3.935,3.93,3.93,6177,0
AWP.US,5,20250224,162000,3.93,3.94,3.93,3.94,4947,0
AWP.US,5,20250224,162500,3.9333,3.9333,3.93,3.93,1598,0
AWP.US,5,20250224,163000,3.935,3.94,3.935,3.94,800,0
AWP.US,5,20250224,163500,3.935,3.9399,3.935,3.9399,3724,0
AWP.US,5,20250224,164000,3.9356,3.94,3.9356,3.94,800,0
AWP.US,5,20250224,164500,3.94,3.95,3.94,3.95,2230,0
AWP.US,5,20250224,165000,3.945,3.945,3.945,3.945,100,0
AWP.US,5,20250224,165500,3.9472,3.9472,3.9472,3.9472,3037,0
AWP.US,5,20250224,170000,3.9555,3.96,3.9555,3.96,650,0
AWP.US,5,20250224,170500,3.96,3.96,3.9599,3.9599,352,0
AWP.US,5,20250224,171000,3.955,3.9597,3.95,3.9597,4460,0
AWP.US,5,20250224,171500,3.96,3.96,3.96,3.96,4733,0
AWP.US,5,20250224,172000,3.96,3.96,3.96,3.96,100,0
AWP.US,5,20250224,172500,3.9543,3.955,3.95,3.955,946,0
AWP.US,5,20250224,173000,3.955,3.955,3.95,3.9509,16887,0
AWP.US,5,20250224,173500,3.9542,3.9542,3.95,3.95,1462,0
AWP.US,5,20250224,174000,3.96,3.96,3.96,3.96,100,0
AWP.US,5,20250224,174500,3.95,3.96,3.95,3.96,2629,0
AWP.US,5,20250224,175000,3.96,3.96,3.95,3.95,717,0
AWP.US,5,20250224,175500,3.9555,3.9555,3.9555,3.9555,282,0
AWP.US,5,20250224,180000,3.9583,3.96,3.9583,3.96,5449,0
AWP.US,5,20250224,180500,3.9609,3.9641,3.95,3.9526,12945,0
AWP.US,5,20250224,181000,3.96,3.96,3.96,3.96,100,0
AWP.US,5,20250224,181500,3.9599,3.96,3.9599,3.96,7660,0
AWP.US,5,20250224,182000,3.96,3.96,3.96,3.96,147,0
AWP.US,5,20250224,182500,3.9597,3.9607,3.9597,3.9607,3203,0
AWP.US,5,20250224,183500,3.97,3.97,3.97,3.97,1800,0
AWP.US,5,20250224,185000,3.98,3.98,3.975,3.975,600,0
AWP.US,5,20250224,185500,3.97,3.97,3.965,3.97,9700,0
AWP.US,5,20250224,190500,3.9725,3.9799,3.9725,3.9799,4760,0
AWP.US,5,20250224,191000,3.975,3.975,3.97,3.97,1250,0
AWP.US,5,20250224,191500,3.98,3.985,3.975,3.98,6389,0
AWP.US,5,20250224,192000,3.985,3.985,3.985,3.985,500,0
AWP.US,5,20250224,192500,3.98,3.98,3.98,3.98,2000,0
AWP.US,5,20250224,193000,3.9748,3.9748,3.9748,3.9748,1000,0
AWP.US,5,20250224,193500,3.9711,3.98,3.9711,3.977552,7800,0
AWP.US,5,20250224,194500,3.98,3.98,3.971,3.971,2900,0
AWP.US,5,20250224,200000,3.98,3.98,3.9737,3.975,3845,0
AWP.US,5,20250224,201000,3.97,3.9799,3.97,3.97,1303,0
AWP.US,5,20250224,201500,3.975,3.975,3.975,3.975,100,0
AWP.US,5,20250224,202000,3.975,3.975,3.975,3.975,100,0
AWP.US,5,20250224,202500,3.97,3.97,3.97,3.97,148,0
