<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDX.US,5,20250224,153000,22.582,22.7,22.582,22.6499,1300,0
CDX.US,5,20250224,155000,22.59,22.59,22.58,22.5801,910,0
CDX.US,5,20250224,162500,22.65,22.65,22.6437,22.65,500,0
CDX.US,5,20250224,163000,22.645,22.645,22.645,22.645,145,0
CDX.US,5,20250224,170500,22.68,22.68,22.68,22.68,135,0
CDX.US,5,20250224,171500,22.67,22.67,22.67,22.67,200,0
CDX.US,5,20250224,172000,22.67,22.67,22.67,22.67,100,0
CDX.US,5,20250224,180500,22.655,22.655,22.655,22.655,229,0
CDX.US,5,20250224,185000,22.6753,22.6753,22.6753,22.6753,100,0
CDX.US,5,20250224,190000,22.68,22.68,22.68,22.68,836,0
CDX.US,5,20250224,193500,22.6682,22.6682,22.6682,22.6682,146,0
CDX.US,5,20250224,203000,22.65,22.65,22.65,22.65,144,0
CDX.US,5,20250224,203500,22.655,22.665,22.655,22.665,1500,0
CDX.US,5,20250224,213500,22.65,22.65,22.65,22.65,100,0
CDX.US,5,20250224,214500,22.67,22.67,22.67,22.67,369,0
CDX.US,5,20250224,215500,22.66,22.7,22.66,22.7,1420,0
CDX.US,5,20250225,153000,22.7,22.7,22.695,22.695,394,0
CDX.US,5,20250225,161000,22.699,22.699,22.699,22.699,365,0
CDX.US,5,20250225,164500,22.71,22.71,22.71,22.71,1620,0
CDX.US,5,20250225,170500,22.67,22.67,22.67,22.67,100,0
CDX.US,5,20250225,172000,22.76,22.76,22.76,22.76,372,0
CDX.US,5,20250225,172500,22.6994,22.6994,22.6994,22.6994,439,0
CDX.US,5,20250225,173500,22.72,22.769,22.72,22.769,446,0
CDX.US,5,20250225,190000,22.725,22.725,22.725,22.725,7714,0
CDX.US,5,20250225,195000,22.6799,22.6799,22.6799,22.6799,122,0
CDX.US,5,20250225,202000,22.72,22.72,22.67,22.67,852,0
CDX.US,5,20250225,202500,22.72,22.72,22.72,22.72,176,0
CDX.US,5,20250225,203000,22.738,22.738,22.738,22.738,139,0
CDX.US,5,20250225,204000,22.7444,22.7444,22.7444,22.7444,439,0
CDX.US,5,20250225,210500,22.67,22.67,22.67,22.67,439,0
CDX.US,5,20250225,211000,22.6959,22.6959,22.6959,22.6959,372,0
CDX.US,5,20250225,212500,22.7,22.72,22.6833,22.6833,914,0
CDX.US,5,20250225,213000,22.7,22.72,22.7,22.7,2142,0
CDX.US,5,20250225,214500,22.7,22.7,22.7,22.7,152,0
CDX.US,5,20250225,215000,22.7,22.72,22.7,22.7,1659,0
CDX.US,5,20250226,153500,22.725,22.725,22.7167,22.7167,480,0
CDX.US,5,20250226,155500,22.75,22.75,22.7408,22.7408,1348,0
CDX.US,5,20250226,161000,22.725,22.7549,22.725,22.7549,505,0
CDX.US,5,20250226,162500,22.76,22.77,22.7599,22.7699,9516,0
CDX.US,5,20250226,164000,22.747,22.747,22.747,22.747,100,0
CDX.US,5,20250226,164500,22.7473,22.78,22.7473,22.78,212,0
CDX.US,5,20250226,170000,22.78,22.78,22.7799,22.7799,200,0
CDX.US,5,20250226,173500,22.7698,22.7698,22.7698,22.7698,138,0
CDX.US,5,20250226,174000,22.762,22.762,22.762,22.762,1097,0
CDX.US,5,20250226,182000,22.765,22.765,22.765,22.765,100,0
CDX.US,5,20250226,192500,22.7501,22.765,22.7501,22.765,386,0
CDX.US,5,20250226,194500,22.79,22.79,22.6912,22.74,44796,0
CDX.US,5,20250226,195500,22.77,22.77,22.77,22.77,7333,0
CDX.US,5,20250226,203000,22.7744,22.7823,22.7744,22.78,2110,0
CDX.US,5,20250226,203500,22.78,22.7904,22.7702,22.785,2362,0
CDX.US,5,20250226,211500,22.77,22.77,22.77,22.77,375,0
CDX.US,5,20250226,212000,22.795,22.795,22.795,22.795,220,0
CDX.US,5,20250226,213000,22.795,22.795,22.795,22.795,380,0
CDX.US,5,20250226,214500,22.8,22.82,22.78,22.8,4193,0
CDX.US,5,20250226,215000,22.8,22.8,22.8,22.8,145,0
CDX.US,5,20250226,215500,22.82,22.83,22.82,22.83,686,0
CDX.US,5,20250227,155000,22.8199,22.83,22.8,22.83,8678,0
CDX.US,5,20250227,155500,22.825,22.825,22.825,22.825,100,0
CDX.US,5,20250227,162500,22.8457,22.8457,22.8457,22.8457,1000,0
CDX.US,5,20250227,163000,22.84,22.84,22.84,22.84,100,0
CDX.US,5,20250227,163500,22.8399,22.8399,22.8399,22.8399,360,0
CDX.US,5,20250227,164500,22.8129,22.8129,22.8129,22.8129,197,0
CDX.US,5,20250227,165500,22.82,22.82,22.82,22.82,243,0
CDX.US,5,20250227,170500,22.81,22.83,22.81,22.81,4026,0
CDX.US,5,20250227,175500,22.7942,22.7942,22.7942,22.7942,100,0
CDX.US,5,20250227,183000,22.8028,22.8028,22.8028,22.8028,709,0
CDX.US,5,20250227,191500,22.81,22.81,22.81,22.81,2940,0
CDX.US,5,20250227,192500,22.82,22.8296,22.82,22.8296,1892,0
CDX.US,5,20250227,195500,22.82,22.83,22.8136,22.8136,3551,0
CDX.US,5,20250227,200000,22.81,22.81,22.81,22.81,3200,0
CDX.US,5,20250227,201500,22.8064,22.8064,22.8064,22.8064,252,0
CDX.US,5,20250227,203500,22.83,22.83,22.8299,22.8299,200,0
CDX.US,5,20250227,204000,22.83,22.83,22.8299,22.8299,1000,0
CDX.US,5,20250227,205500,22.8096,22.8096,22.8096,22.8096,100,0
CDX.US,5,20250227,212500,22.82,22.82,22.81,22.81,954,0
CDX.US,5,20250227,214000,22.83,22.83,22.8299,22.83,1088,0
CDX.US,5,20250227,215500,22.85,22.85,22.8284,22.8284,876,0
CDX.US,5,20250228,155000,22.885,22.885,22.885,22.885,215,0
CDX.US,5,20250228,160000,22.909,22.909,22.909,22.909,227,0
CDX.US,5,20250228,162500,22.8699,22.8699,22.8699,22.8699,1000,0
CDX.US,5,20250228,164000,22.89,22.89,22.89,22.89,300,0
CDX.US,5,20250228,165500,22.87,22.89,22.87,22.89,1001,0
CDX.US,5,20250228,170000,22.8691,22.8691,22.8691,22.8691,130,0
CDX.US,5,20250228,170500,22.886,22.8888,22.87,22.8888,1308,0
CDX.US,5,20250228,171500,22.885,22.885,22.885,22.885,220,0
CDX.US,5,20250228,172000,22.9,22.9,22.8999,22.9,25548,0
CDX.US,5,20250228,173000,22.91,22.91,22.909,22.91,3500,0
CDX.US,5,20250228,174500,22.9,22.905,22.9,22.905,600,0
CDX.US,5,20250228,175500,22.89,22.89,22.89,22.89,300,0
CDX.US,5,20250228,180000,22.89,22.89,22.88,22.8832,1068,0
CDX.US,5,20250228,181500,22.895,22.9,22.89,22.9,3775,0
CDX.US,5,20250228,182000,22.9,22.9,22.896,22.9,2629,0
CDX.US,5,20250228,182500,22.894,22.9,22.894,22.9,855,0
CDX.US,5,20250228,184500,22.891,22.9,22.891,22.9,400,0
CDX.US,5,20250228,185000,22.89,22.9,22.89,22.9,300,0
CDX.US,5,20250228,185500,22.9,22.9,22.9,22.9,200,0
CDX.US,5,20250228,190500,22.8961,22.9,22.8961,22.9,3100,0
CDX.US,5,20250228,191500,22.906,22.906,22.906,22.906,500,0
CDX.US,5,20250228,192000,22.9098,22.91,22.9098,22.91,1300,0
CDX.US,5,20250228,192500,22.9136,22.9136,22.91,22.91,1769,0
CDX.US,5,20250228,193000,22.92,22.92,22.92,22.92,440,0
CDX.US,5,20250228,195500,22.93,22.93,22.93,22.93,100,0
CDX.US,5,20250228,200000,22.929,22.94,22.929,22.93,1310,0
CDX.US,5,20250228,202000,22.9353,22.94,22.9353,22.94,240,0
CDX.US,5,20250228,203000,22.94,22.94,22.94,22.94,400,0
CDX.US,5,20250228,203500,22.945,22.945,22.94,22.94,569,0
CDX.US,5,20250228,204000,22.93,22.94,22.93,22.93,355,0
CDX.US,5,20250228,205500,22.939,22.94,22.93,22.94,800,0
CDX.US,5,20250228,210500,22.93,22.94,22.93,22.94,383,0
CDX.US,5,20250228,211500,22.93,22.94,22.93,22.94,1023,0
CDX.US,5,20250228,212500,22.94,22.94,22.94,22.94,100,0
CDX.US,5,20250228,213500,22.95,22.95,22.95,22.95,500,0
CDX.US,5,20250228,214000,22.945,22.95,22.9427,22.95,3856,0
CDX.US,5,20250228,214500,22.945,22.945,22.94,22.94,1730,0
CDX.US,5,20250228,215000,22.94,22.95,22.94,22.94,3800,0
CDX.US,5,20250228,215500,22.9799,22.9799,22.93,22.93,500,0
CDX.US,5,20250303,153500,22.97,22.97,22.97,22.97,3300,0
CDX.US,5,20250303,154000,22.9659,22.97,22.9659,22.97,385,0
CDX.US,5,20250303,160000,22.956,22.956,22.956,22.956,137,0
CDX.US,5,20250303,161000,22.91,22.91,22.91,22.91,100,0
CDX.US,5,20250303,161500,22.98,22.98,22.98,22.98,200,0
CDX.US,5,20250303,162000,22.9483,22.9483,22.9483,22.9483,1955,0
CDX.US,5,20250303,162500,22.9546,22.9546,22.9546,22.9546,623,0
CDX.US,5,20250303,163500,22.95,22.95,22.95,22.95,400,0
CDX.US,5,20250303,164000,22.98,22.98,22.98,22.98,100,0
CDX.US,5,20250303,170000,22.9504,22.963,22.95,22.96,4600,0
CDX.US,5,20250303,171000,22.98,22.98,22.98,22.98,100,0
CDX.US,5,20250303,172000,22.965,22.965,22.965,22.965,321,0
CDX.US,5,20250303,175000,22.98,22.98,22.98,22.98,100,0
CDX.US,5,20250303,180000,22.96,22.963,22.95,22.963,2816,0
CDX.US,5,20250303,180500,22.95,22.95,22.95,22.95,814,0
CDX.US,5,20250303,182000,22.99,22.99,22.99,22.99,1500,0
CDX.US,5,20250303,182500,22.99,23.01,22.99,23.01,2900,0
CDX.US,5,20250303,183000,23.016,23.016,23.016,23.016,239,0
CDX.US,5,20250303,183500,22.97,22.995,22.97,22.995,573,0
CDX.US,5,20250303,184000,23.0269,23.0269,23.0269,23.0269,477,0
CDX.US,5,20250303,191000,23.02,23.02,23.02,23.02,200,0
CDX.US,5,20250303,191500,23.0344,23.0344,23.0344,23.0344,109,0
CDX.US,5,20250303,201500,23.045,23.05,23.035,23.05,600,0
CDX.US,5,20250303,202000,23.0491,23.05,23.0491,23.05,2060,0
CDX.US,5,20250303,202500,23.035,23.04,23.035,23.04,682,0
CDX.US,5,20250303,203000,23.0473,23.0473,23.04,23.04,617,0
CDX.US,5,20250303,203500,23.04,23.05,23.04,23.05,876,0
CDX.US,5,20250303,204500,23.05,23.05,23.041,23.05,3434,0
CDX.US,5,20250303,205500,23.0492,23.0492,23.0492,23.0492,400,0
CDX.US,5,20250303,210000,23.06,23.0899,23.06,23.07,8440,0
CDX.US,5,20250303,210500,23.0889,23.0889,23.0889,23.0889,552,0
CDX.US,5,20250303,211000,23.09,23.09,23.09,23.09,4631,0
CDX.US,5,20250303,213000,23.1,23.11,23.1,23.11,749,0
CDX.US,5,20250303,213500,23.1099,23.1099,23.1,23.1,916,0
CDX.US,5,20250303,214000,23.1,23.1,23.07,23.07,27178,0
CDX.US,5,20250303,214500,23.085,23.09,23.085,23.09,847,0
CDX.US,5,20250303,215000,23.11,23.13,23.11,23.13,299,0
CDX.US,5,20250303,215500,23.18,23.18,23.18,23.18,554,0
CDX.US,5,20250304,153000,23.21,23.21,23.21,23.21,100,0
CDX.US,5,20250304,153500,23.195,23.195,23.168,23.168,620,0
CDX.US,5,20250304,154500,23.15,23.15,23.15,23.15,100,0
CDX.US,5,20250304,155000,23.1462,23.1462,23.135,23.135,1200,0
CDX.US,5,20250304,160500,23.135,23.135,23.135,23.135,150,0
CDX.US,5,20250304,164500,23.17,23.17,23.17,23.17,602,0
CDX.US,5,20250304,165500,23.13,23.13,23.13,23.13,1426,0
CDX.US,5,20250304,170000,23.135,23.135,23.1062,23.1062,1179,0
CDX.US,5,20250304,170500,23.15,23.15,23.15,23.15,2044,0
CDX.US,5,20250304,172000,23.1,23.18,23.1,23.1799,2673,0
CDX.US,5,20250304,173500,23.17,23.17,23.134,23.134,15395,0
CDX.US,5,20250304,174000,23.17,23.18,23.17,23.17,2000,0
CDX.US,5,20250304,174500,23.16,23.17,23.16,23.17,600,0
CDX.US,5,20250304,175500,23.1683,23.1683,23.1683,23.1683,515,0
CDX.US,5,20250304,180500,23.1608,23.1608,23.1608,23.1608,384,0
CDX.US,5,20250304,181000,23.17,23.17,23.17,23.17,550,0
CDX.US,5,20250304,182500,23.16,23.17,23.16,23.17,800,0
CDX.US,5,20250304,183500,23.16,23.17,23.16,23.165,2060,0
CDX.US,5,20250304,184000,23.13,23.16,23.117,23.16,1533,0
CDX.US,5,20250304,184500,23.13,23.13,23.13,23.13,200,0
CDX.US,5,20250304,185000,23.1275,23.1275,23.1275,23.1275,100,0
CDX.US,5,20250304,185500,23.15,23.15,23.1275,23.1275,461,0
CDX.US,5,20250304,190000,23.15,23.15,23.15,23.15,300,0
CDX.US,5,20250304,192500,23.1236,23.13,23.12,23.13,5428,0
CDX.US,5,20250304,193000,23.13,23.13,23.12,23.13,709,0
CDX.US,5,20250304,194500,23.13,23.13,23.13,23.13,141,0
CDX.US,5,20250304,195000,23.15,23.17,23.15,23.17,440,0
CDX.US,5,20250304,201000,23.16,23.16,23.16,23.16,400,0
CDX.US,5,20250304,201500,23.17,23.268,23.165,23.268,44721,0
CDX.US,5,20250304,202000,23.165,23.165,23.13,23.1599,1364,0
CDX.US,5,20250304,205500,23.16,23.16,23.13,23.145,1131,0
CDX.US,5,20250304,210000,23.12,23.13,23.11,23.12,5227,0
CDX.US,5,20250304,213000,23.12,23.14,23.12,23.14,1100,0
CDX.US,5,20250304,214500,23.15,23.15,23.145,23.145,952,0
CDX.US,5,20250304,215000,23.15,23.22,23.14,23.16,11253,0
CDX.US,5,20250304,215500,23.16,23.16,23.1,23.1,734,0
CDX.US,5,20250305,153000,22.96,22.96,22.96,22.96,100,0
CDX.US,5,20250305,154000,23.0201,23.0201,23.0201,23.0201,3375,0
CDX.US,5,20250305,155000,23.1,23.1,23.1,23.1,2168,0
CDX.US,5,20250305,160500,23.11,23.11,23.108,23.108,3676,0
CDX.US,5,20250305,161500,23.07,23.07,23.07,23.07,177,0
CDX.US,5,20250305,162500,23.0862,23.0862,23.08,23.08,200,0
CDX.US,5,20250305,163000,23.079,23.0862,23.079,23.0862,1197,0
CDX.US,5,20250305,163500,23.09,23.09,23.0762,23.0762,1300,0
