<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CORN.US,5,20250224,153000,20.11,20.24,20.1,20.24,4426,0
CORN.US,5,20250224,153500,20.185,20.1928,20.185,20.1928,347,0
CORN.US,5,20250224,154000,20.17,20.21,20.17,20.21,5900,0
CORN.US,5,20250224,154500,20.19,20.2,20.19,20.2,4003,0
CORN.US,5,20250224,155000,20.2,20.2,20.2,20.2,362,0
CORN.US,5,20250224,160500,20.1614,20.1614,20.14,20.14,2921,0
CORN.US,5,20250224,161000,20.14,20.14,20.11,20.11,3414,0
CORN.US,5,20250224,161500,20.115,20.115,20.0302,20.04,15858,0
CORN.US,5,20250224,162000,20.03,20.0494,20.03,20.0494,460,0
CORN.US,5,20250224,162500,20.06,20.07,20.05,20.0587,3289,0
CORN.US,5,20250224,163000,20.0899,20.0899,20.0899,20.0899,2000,0
CORN.US,5,20250224,164000,20.08,20.08,20.0433,20.0433,200,0
CORN.US,5,20250224,164500,20.03,20.05,20.03,20.05,1000,0
CORN.US,5,20250224,165000,20.03,20.03,19.9879,19.9879,3605,0
CORN.US,5,20250224,165500,20,20.01,20,20.01,500,0
CORN.US,5,20250224,170500,20.015,20.015,20,20,2424,0
CORN.US,5,20250224,171000,20,20,19.995,19.995,2179,0
CORN.US,5,20250224,171500,19.99,19.99,19.99,19.99,710,0
CORN.US,5,20250224,172000,19.98,19.98,19.98,19.98,500,0
CORN.US,5,20250224,172500,19.98,19.9999,19.98,19.9999,2275,0
CORN.US,5,20250224,173000,19.99,19.99,19.99,19.99,1250,0
CORN.US,5,20250224,173500,19.98,19.98,19.95,19.96,1433,0
CORN.US,5,20250224,174000,19.95,19.97,19.95,19.97,3099,0
CORN.US,5,20250224,174500,19.97,19.97,19.95,19.95,350,0
CORN.US,5,20250224,175000,19.9501,19.9501,19.9501,19.9501,215,0
CORN.US,5,20250224,175500,19.96,19.96,19.955,19.9599,720,0
