<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRTC.US,5,20250224,161000,32,32,32,32,100,0
CRTC.US,5,20250224,163500,31.9803,31.9803,31.9803,31.9803,200,0
CRTC.US,5,20250224,164500,31.98,31.98,31.98,31.98,100,0
CRTC.US,5,20250224,192000,32.175,32.19,32.175,32.19,1132,0
CRTC.US,5,20250224,193000,32.1783,32.1783,32.1783,32.1783,458,0
CRTC.US,5,20250224,193500,32.17,32.1977,32.17,32.1977,2135,0
CRTC.US,5,20250224,194500,32.18,32.18,32.18,32.18,100,0
CRTC.US,5,20250224,201500,32.14,32.14,32.14,32.14,200,0
CRTC.US,5,20250224,204500,32.12,32.12,32.1002,32.1002,2671,0
CRTC.US,5,20250224,205000,32.12,32.12,32.12,32.12,100,0
CRTC.US,5,20250224,214000,32.09,32.09,32.065,32.065,400,0
CRTC.US,5,20250224,214500,32.08,32.08,32.08,32.08,300,0
CRTC.US,5,20250224,215000,32.06,32.06,32.02,32.02,500,0
CRTC.US,5,20250224,215500,31.99,32,31.99,32,700,0
CRTC.US,5,20250225,161500,31.67,31.67,31.67,31.67,200,0
CRTC.US,5,20250225,180000,31.655,31.655,31.655,31.655,133,0
CRTC.US,5,20250225,183000,31.6301,31.6301,31.6301,31.6301,220,0
CRTC.US,5,20250225,192000,31.76,31.76,31.76,31.76,200,0
CRTC.US,5,20250225,204500,31.75,31.75,31.75,31.75,126,0
CRTC.US,5,20250225,215500,31.8,31.8,31.739,31.7745,2876,0
CRTC.US,5,20250226,175500,32.08,32.08,32.08,32.08,200,0
CRTC.US,5,20250226,193500,31.801,31.801,31.801,31.801,100,0
CRTC.US,5,20250226,194000,31.88,31.88,31.88,31.88,234,0
CRTC.US,5,20250226,201000,31.795,31.795,31.795,31.795,785,0
CRTC.US,5,20250226,203500,31.88,31.88,31.8,31.88,415,0
CRTC.US,5,20250226,205500,31.83,31.83,31.83,31.83,200,0
CRTC.US,5,20250226,212000,31.83,31.83,31.83,31.83,146,0
CRTC.US,5,20250226,214500,31.915,31.915,31.915,31.915,263,0
CRTC.US,5,20250227,165500,31.81,31.815,31.81,31.815,200,0
CRTC.US,5,20250227,172500,31.85,31.85,31.85,31.85,100,0
CRTC.US,5,20250227,175000,31.799,31.799,31.799,31.799,125,0
CRTC.US,5,20250227,191500,31.8368,31.8368,31.8368,31.8368,172,0
CRTC.US,5,20250227,201500,31.77,31.77,31.7137,31.7137,200,0
CRTC.US,5,20250227,203000,31.66,31.66,31.66,31.66,100,0
CRTC.US,5,20250227,210500,31.49,31.49,31.49,31.49,639,0
CRTC.US,5,20250227,214000,31.4,31.4,31.4,31.4,100,0
CRTC.US,5,20250228,170000,31.4424,31.4424,31.4424,31.4424,199,0
CRTC.US,5,20250228,172500,31.35,31.35,31.35,31.35,100,0
CRTC.US,5,20250228,180500,31.37,31.3705,31.3,31.31,1718,0
CRTC.US,5,20250228,181000,31.3563,31.3563,31.3563,31.3563,250,0
CRTC.US,5,20250228,183000,31.38,31.38,31.31,31.31,1136,0
CRTC.US,5,20250228,184000,31.31,31.31,31.31,31.31,100,0
CRTC.US,5,20250228,185500,31.23,31.23,31.23,31.23,100,0
CRTC.US,5,20250228,190000,31.25,31.25,31.25,31.25,4369,0
CRTC.US,5,20250228,191500,31.22,31.22,31.18,31.18,400,0
CRTC.US,5,20250228,193500,31.295,31.295,31.295,31.295,230,0
CRTC.US,5,20250228,195500,31.27,31.27,31.27,31.27,100,0
CRTC.US,5,20250228,215500,31.69,31.69,31.69,31.69,100,0
CRTC.US,5,20250303,153500,31.94,31.94,31.94,31.94,1784,0
CRTC.US,5,20250303,161000,31.72,31.72,31.72,31.72,100,0
CRTC.US,5,20250303,163000,31.82,31.82,31.82,31.82,1000,0
CRTC.US,5,20250303,163500,31.75,31.75,31.75,31.75,300,0
CRTC.US,5,20250303,171500,31.68,31.68,31.68,31.68,452,0
CRTC.US,5,20250303,172500,31.73,31.73,31.73,31.73,100,0
CRTC.US,5,20250303,173500,31.71,31.71,31.71,31.71,150,0
CRTC.US,5,20250303,205000,31.51,31.51,31.4,31.46,1381,0
CRTC.US,5,20250303,210000,31.34,31.34,31.34,31.34,200,0
CRTC.US,5,20250303,210500,31.18,31.25,31.18,31.25,213,0
CRTC.US,5,20250303,213500,31.011,31.011,31.011,31.011,400,0
CRTC.US,5,20250303,214500,31.1003,31.1003,31.1003,31.1003,131,0
CRTC.US,5,20250304,153000,30.83,30.83,30.83,30.83,100,0
CRTC.US,5,20250304,163500,30.8,30.8,30.8,30.8,100,0
CRTC.US,5,20250304,165500,30.73,30.73,30.73,30.73,100,0
CRTC.US,5,20250304,173500,30.5919,30.5919,30.5919,30.5919,1176,0
CRTC.US,5,20250304,183000,30.8199,30.8199,30.8199,30.8199,425,0
CRTC.US,5,20250304,192500,30.93,30.93,30.9212,30.9212,1220,0
CRTC.US,5,20250304,194500,30.988,30.988,30.988,30.988,103,0
CRTC.US,5,20250304,200500,31.16,31.16,31.16,31.16,364,0
CRTC.US,5,20250304,202000,31.1101,31.24,31.1101,31.16,718,0
CRTC.US,5,20250304,203000,31.16,31.16,31.16,31.16,100,0
CRTC.US,5,20250304,213000,31.31,31.31,31.24,31.24,400,0
CRTC.US,5,20250305,153500,30.91,30.91,30.91,30.91,487,0
CRTC.US,5,20250305,155000,31.071,31.071,31.028,31.028,1314,0
CRTC.US,5,20250305,162000,31.0237,31.0237,31.0237,31.0237,100,0
CRTC.US,5,20250305,162500,30.97,30.97,30.89,30.901,10270,0
CRTC.US,5,20250305,165000,31,31,31,31,100,0
CRTC.US,5,20250305,170000,30.99,30.99,30.99,30.99,100,0
CRTC.US,5,20250305,204500,31.3405,31.3405,31.3405,31.3405,1302,0
CRTC.US,5,20250305,205000,31.331,31.331,31.331,31.331,200,0
CRTC.US,5,20250305,211500,31.39,31.39,31.39,31.39,100,0
CRTC.US,5,20250305,213000,31.42,31.42,31.42,31.42,256,0
CRTC.US,5,20250305,215000,31.36,31.36,31.36,31.36,200,0
CRTC.US,5,20250305,215500,31.41,31.43,31.41,31.43,200,0
CRTC.US,5,20250306,170500,31.15,31.15,31.07,31.11,498,0
CRTC.US,5,20250306,173500,31.14,31.1481,31.14,31.1481,220,0
CRTC.US,5,20250306,185000,30.7012,30.7012,30.7012,30.7012,149,0
CRTC.US,5,20250306,190000,30.7701,30.7701,30.7701,30.7701,149,0
CRTC.US,5,20250306,193500,30.82,30.82,30.79,30.79,787,0
CRTC.US,5,20250306,201000,30.68,30.6802,30.68,30.6802,400,0
CRTC.US,5,20250306,202500,30.68,30.68,30.6744,30.6744,743,0
CRTC.US,5,20250306,203500,30.7192,30.7192,30.7192,30.7192,212,0
CRTC.US,5,20250306,205500,30.78,30.78,30.78,30.78,100,0
CRTC.US,5,20250306,212000,30.74,30.74,30.74,30.74,100,0
CRTC.US,5,20250306,215000,30.75,30.75,30.75,30.75,250,0
CRTC.US,5,20250307,154000,30.78,30.78,30.78,30.78,100,0
CRTC.US,5,20250307,154500,30.88,30.9125,30.88,30.9125,1099,0
CRTC.US,5,20250307,172500,30.5458,30.5458,30.5458,30.5458,632,0
CRTC.US,5,20250307,173500,30.52,30.52,30.52,30.52,100,0
CRTC.US,5,20250307,183000,30.6073,30.6073,30.6073,30.6073,785,0
CRTC.US,5,20250307,184500,30.64,30.64,30.64,30.64,186,0
CRTC.US,5,20250307,185000,30.7501,30.7501,30.7501,30.7501,200,0
CRTC.US,5,20250307,185500,30.68,30.68,30.68,30.68,100,0
CRTC.US,5,20250307,194500,30.8709,30.8709,30.8709,30.8709,388,0
CRTC.US,5,20250307,200000,30.9507,30.9507,30.9507,30.9507,169,0
CRTC.US,5,20250307,200500,30.93,30.93,30.89,30.89,300,0
CRTC.US,5,20250307,202000,31.005,31.005,31.005,31.005,144,0
CRTC.US,5,20250307,211000,31.0252,31.0252,31.0252,31.0252,747,0
CRTC.US,5,20250307,212500,31.0149,31.0149,31.0149,31.0149,262,0
CRTC.US,5,20250310,144000,30.56,30.56,30.56,30.56,300,0
CRTC.US,5,20250310,144500,30.5989,30.5989,30.5989,30.5989,1751,0
CRTC.US,5,20250310,152500,30.4798,30.4798,30.4798,30.4798,300,0
CRTC.US,5,20250310,160000,30.36,30.36,30.36,30.36,110,0
CRTC.US,5,20250310,171000,30.4484,30.4484,30.4484,30.4484,323,0
CRTC.US,5,20250310,182000,30.3301,30.3301,30.3301,30.3301,600,0
CRTC.US,5,20250310,183500,30.33,30.33,30.33,30.33,100,0
CRTC.US,5,20250310,192500,30.23,30.23,30.14,30.14,542,0
CRTC.US,5,20250310,195000,30.19,30.199,30.19,30.199,315,0
CRTC.US,5,20250311,150500,30.14,30.14,30.14,30.14,262,0
CRTC.US,5,20250311,151500,30.11,30.11,30.11,30.11,200,0
CRTC.US,5,20250311,160500,29.9719,29.9719,29.9719,29.9719,175,0
