<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBEF.US,5,20250224,153000,44.11,44.1197,44.06,44.06,2295,0
DBEF.US,5,20250224,153500,44.0898,44.0898,44.02,44.05,2240,0
DBEF.US,5,20250224,154000,44.03,44.05,44.02,44.02,2113,0
DBEF.US,5,20250224,154500,44.04,44.05,44.02,44.02,5561,0
DBEF.US,5,20250224,155000,44.01,44.01,43.95,43.96,2600,0
DBEF.US,5,20250224,155500,43.96,43.96,43.92,43.92,4143,0
DBEF.US,5,20250224,160000,43.94,43.94,43.87,43.87,3809,0
DBEF.US,5,20250224,160500,43.88,43.88,43.83,43.875,1734,0
DBEF.US,5,20250224,161000,43.89,43.935,43.89,43.93,8227,0
DBEF.US,5,20250224,161500,43.925,43.94,43.91,43.91,6219,0
DBEF.US,5,20250224,162000,43.94,43.97,43.935,43.97,2125,0
DBEF.US,5,20250224,162500,43.97,43.97,43.925,43.925,10002,0
DBEF.US,5,20250224,163000,43.925,43.955,43.925,43.945,9229,0
DBEF.US,5,20250224,163500,43.96,43.9692,43.935,43.9692,1874,0
DBEF.US,5,20250224,164000,43.96,43.96,43.935,43.94,4635,0
DBEF.US,5,20250224,164500,43.935,43.946,43.91,43.946,8101,0
DBEF.US,5,20250224,165000,43.95,43.9699,43.935,43.94,1840,0
DBEF.US,5,20250224,165500,43.92,43.9443,43.9099,43.9443,2094,0
DBEF.US,5,20250224,170000,43.94,43.975,43.94,43.975,3576,0
DBEF.US,5,20250224,170500,43.98,44.005,43.98,44,1781,0
DBEF.US,5,20250224,171000,43.9967,44.005,43.985,44.004419,3232,0
DBEF.US,5,20250224,171500,44.005,44.025,44.005,44.025,5330,0
DBEF.US,5,20250224,172000,44.0299,44.0299,44.0209,44.025,2628,0
DBEF.US,5,20250224,172500,44.0397,44.075,44.035852,44.064,1316,0
DBEF.US,5,20250224,173000,44.07,44.08,44.07,44.08,7544,0
DBEF.US,5,20250224,173500,44.08,44.095,44.05,44.055,7684,0
DBEF.US,5,20250224,174000,44.06,44.1,44.055,44.08,4280,0
DBEF.US,5,20250224,174500,44.0767,44.1,44.07,44.09,10269,0
DBEF.US,5,20250224,175000,44.085,44.095,44.075,44.075,5596,0
DBEF.US,5,20250224,175500,44.0776,44.0776,44.055,44.055,4904,0
DBEF.US,5,20250224,180000,44.0604,44.09,44.055,44.09,1308,0
DBEF.US,5,20250224,180500,44.09,44.1,44.07,44.0714,52524,0
DBEF.US,5,20250224,181000,44.075,44.0867,44.07,44.07,3068,0
DBEF.US,5,20250224,181500,44.075,44.1199,44.0701,44.1199,6243,0
DBEF.US,5,20250224,182000,44.115,44.1299,44.105,44.1097,3024,0
DBEF.US,5,20250224,182500,44.105,44.105,44.095,44.0972,3956,0
DBEF.US,5,20250224,183000,44.09,44.09,44.0726,44.075,3851,0
DBEF.US,5,20250224,183500,44.07,44.1067,44.065,44.105,5560,0
DBEF.US,5,20250224,184000,44.1001,44.1221,44.1,44.1221,2556,0
DBEF.US,5,20250224,184500,44.13,44.1367,44.115,44.119,8046,0
DBEF.US,5,20250224,185000,44.1277,44.13,44.1,44.1,3036,0
DBEF.US,5,20250224,185500,44.105,44.11,44.09,44.09,2387,0
DBEF.US,5,20250224,190000,44.09,44.1,44.088267,44.1,4111,0
DBEF.US,5,20250224,190500,44.1,44.11,44.095,44.11,2766,0
DBEF.US,5,20250224,191000,44.115,44.115,44.0901,44.1,16913,0
DBEF.US,5,20250224,191500,44.105,44.125,44.105,44.12,6484,0
DBEF.US,5,20250224,192000,44.12,44.12,44.0968,44.1,8582,0
DBEF.US,5,20250224,192500,44.1,44.13,44.1,44.11,190792,0
DBEF.US,5,20250224,193000,44.11,44.12,44.105,44.11,4766,0
DBEF.US,5,20250224,193500,44.105,44.11,44.095,44.105,4120,0
DBEF.US,5,20250224,194000,44.11,44.12,44.1025,44.11,2871,0
DBEF.US,5,20250224,194500,44.11,44.11,44.07,44.075,66001,0
DBEF.US,5,20250224,195000,44.08,44.085,44.065,44.0813,21156,0
DBEF.US,5,20250224,195500,44.085,44.0867,44.0586,44.0667,8074,0
DBEF.US,5,20250224,200000,44.0733,44.1,44.0733,44.1,3661,0
DBEF.US,5,20250224,200500,44.1,44.1,44.08,44.08,25383,0
DBEF.US,5,20250224,201000,44.085,44.085,44.065,44.07,4057,0
DBEF.US,5,20250224,201500,44.075,44.0753,44.055,44.0599,5918,0
DBEF.US,5,20250224,202000,44.04,44.045,44.04,44.045,1592,0
DBEF.US,5,20250224,202500,44.0467,44.0599,44.03,44.045,3392,0
DBEF.US,5,20250224,203000,44.045,44.0767,44.045,44.075,8482,0
DBEF.US,5,20250224,203500,44.075,44.075,44.06,44.065,3164,0
DBEF.US,5,20250224,204000,44.0693,44.0693,44.0338,44.0338,275072,0
DBEF.US,5,20250224,204500,44.035,44.045,44.025975,44.04,15135,0
DBEF.US,5,20250224,205000,44.036347,44.0564,44.035,44.045,5996,0
DBEF.US,5,20250224,205500,44.045,44.045,44.025,44.035,4398,0
DBEF.US,5,20250224,210000,44.03,44.0339,44.0101,44.02,4377,0
DBEF.US,5,20250224,210500,44.03,44.03,44.01,44.025,4920,0
DBEF.US,5,20250224,211000,44.0202,44.026564,44.0137,44.015,6124,0
DBEF.US,5,20250224,211500,44.02,44.0375,44.01,44.01,13583,0
DBEF.US,5,20250224,212000,44.02,44.025,44.01,44.015,7572,0
DBEF.US,5,20250224,212500,44.015,44.0262,44.014,44.0189,8117,0
DBEF.US,5,20250224,213000,44.01,44.0472,44.01,44.04,6019,0
DBEF.US,5,20250224,213500,44.035,44.0499,44.03,44.03,10573,0
DBEF.US,5,20250224,214000,44.035,44.035,44.015,44.015,8686,0
DBEF.US,5,20250224,214500,44.01,44.04,44.01,44.035,12744,0
DBEF.US,5,20250224,215000,44.035,44.035,43.975,43.975,8122,0
DBEF.US,5,20250224,215500,43.97,43.97,43.93,43.97,9398,0
DBEF.US,5,20250225,153000,44.2749,44.35,44.2749,44.35,3405,0
DBEF.US,5,20250225,153500,44.32,44.33,44.3,44.33,1500,0
DBEF.US,5,20250225,154000,44.33,44.35,44.3101,44.315,5595,0
DBEF.US,5,20250225,154500,44.31,44.325,44.295,44.3,8584,0
DBEF.US,5,20250225,155000,44.305,44.305,44.22,44.22,2745,0
DBEF.US,5,20250225,155500,44.2201,44.265,44.2201,44.24,1049,0
DBEF.US,5,20250225,160000,44.27,44.27,44.17,44.17,2061,0
DBEF.US,5,20250225,160500,44.165,44.18,44.155,44.16,2028,0
DBEF.US,5,20250225,161000,44.18,44.18,44.11,44.11,3795,0
DBEF.US,5,20250225,161500,44.115,44.12,44.06,44.07,2761,0
DBEF.US,5,20250225,162000,44.04,44.04,44.03,44.03,800,0
DBEF.US,5,20250225,162500,44.01,44.04,43.9899,43.9924,6282,0
DBEF.US,5,20250225,163000,43.995,44.01,43.98,44.01,2545,0
DBEF.US,5,20250225,163500,44.02,44.08,44.02,44.08,729,0
DBEF.US,5,20250225,164000,44.08,44.1058,44.05,44.08,12848,0
DBEF.US,5,20250225,164500,44.095,44.1,44.08,44.095,3665,0
DBEF.US,5,20250225,165000,44.1033,44.165,44.1033,44.165,8104,0
DBEF.US,5,20250225,165500,44.1581,44.165,44.1301,44.1301,11323,0
DBEF.US,5,20250225,170000,44.11,44.11,44.075,44.0835,1705,0
DBEF.US,5,20250225,170500,44.105,44.11,44.09,44.0997,1196,0
DBEF.US,5,20250225,171000,44.11,44.125,44.1099,44.1099,26503,0
DBEF.US,5,20250225,171500,44.115,44.12,44.09,44.11,18090,0
DBEF.US,5,20250225,172000,44.095,44.0997,44.075,44.085,1768,0
DBEF.US,5,20250225,172500,44.08,44.08,44.045,44.045,4284,0
DBEF.US,5,20250225,173000,44.0487,44.05,44.01,44.05,9731,0
DBEF.US,5,20250225,173500,44.055,44.09,44.045,44.085,12646,0
DBEF.US,5,20250225,174000,44.075,44.08,44.06,44.0699,8573,0
DBEF.US,5,20250225,174500,44.0699,44.115,44.0699,44.115,8479,0
DBEF.US,5,20250225,175000,44.115,44.1269,44.115,44.12,7501,0
DBEF.US,5,20250225,175500,44.11,44.15,44.0953,44.1391,13847,0
DBEF.US,5,20250225,180000,44.125,44.13,44.095,44.095,86615,0
DBEF.US,5,20250225,180500,44.0946,44.1,44.0818,44.0999,7250,0
DBEF.US,5,20250225,181000,44.1,44.1011,44.09,44.09,2519,0
DBEF.US,5,20250225,181500,44.08,44.0881,44.075,44.075,2724,0
DBEF.US,5,20250225,182000,44.0787,44.08,44.0643,44.075,4360,0
DBEF.US,5,20250225,182500,44.075,44.1,44.0735,44.1,1120,0
DBEF.US,5,20250225,183000,44.0987,44.115,44.0987,44.115,1190,0
DBEF.US,5,20250225,183500,44.115,44.1282,44.115,44.1282,4704,0
DBEF.US,5,20250225,184000,44.135,44.1499,44.13,44.13,6714,0
DBEF.US,5,20250225,184500,44.13,44.1346,44.125,44.1346,1969,0
DBEF.US,5,20250225,185000,44.1342,44.15,44.13,44.14,1437,0
DBEF.US,5,20250225,185500,44.1477,44.1599,44.145,44.155,2057,0
DBEF.US,5,20250225,190000,44.1506,44.184254,44.1506,44.184254,2224,0
DBEF.US,5,20250225,190500,44.1892,44.2115,44.1892,44.21,1927,0
DBEF.US,5,20250225,191000,44.205,44.205,44.17,44.17,5437,0
DBEF.US,5,20250225,191500,44.1793,44.1891,44.17,44.18,10477,0
DBEF.US,5,20250225,192000,44.18,44.1867,44.1638,44.1867,1498,0
DBEF.US,5,20250225,192500,44.175,44.175,44.12,44.12,5531,0
DBEF.US,5,20250225,193000,44.12,44.165,44.115,44.165,17673,0
DBEF.US,5,20250225,193500,44.165,44.21,44.165,44.21,8510,0
DBEF.US,5,20250225,194000,44.22,44.24,44.22,44.2399,10350,0
DBEF.US,5,20250225,194500,44.235,44.24,44.23,44.23,65688,0
DBEF.US,5,20250225,195000,44.2333,44.2399,44.2097,44.225,14595,0
DBEF.US,5,20250225,195500,44.22,44.225,44.21,44.21,9545,0
DBEF.US,5,20250225,200000,44.205,44.21,44.19,44.195,10081,0
DBEF.US,5,20250225,200500,44.19,44.2,44.19,44.2,2357,0
DBEF.US,5,20250225,201000,44.2,44.2,44.17,44.17,11711,0
DBEF.US,5,20250225,201500,44.165,44.17,44.14,44.16,16789,0
DBEF.US,5,20250225,202000,44.1651,44.1651,44.145,44.15,6731,0
DBEF.US,5,20250225,202500,44.1401,44.15,44.135,44.135,10027,0
DBEF.US,5,20250225,203000,44.14,44.155,44.14,44.145,6577,0
DBEF.US,5,20250225,203500,44.16,44.21,44.14,44.21,12424,0
DBEF.US,5,20250225,204000,44.21,44.26,44.21,44.24,7283,0
DBEF.US,5,20250225,204500,44.24,44.24,44.19,44.23,182632,0
DBEF.US,5,20250225,205000,44.24,44.245,44.225,44.225,14315,0
DBEF.US,5,20250225,205500,44.23,44.24,44.23,44.235,5254,0
DBEF.US,5,20250225,210000,44.23,44.255,44.22,44.245,17316,0
DBEF.US,5,20250225,210500,44.25,44.27,44.24,44.2459,17371,0
DBEF.US,5,20250225,211000,44.24,44.246,44.23,44.24,43715,0
DBEF.US,5,20250225,211500,44.24,44.27,44.24,44.265,12010,0
DBEF.US,5,20250225,212000,44.265,44.2967,44.265,44.295,17845,0
DBEF.US,5,20250225,212500,44.295,44.3,44.26,44.265737,14750,0
DBEF.US,5,20250225,213000,44.26,44.265742,44.245,44.26,4907,0
DBEF.US,5,20250225,213500,44.26,44.265,44.215,44.22,10105,0
DBEF.US,5,20250225,214000,44.21,44.215,44.2,44.2046,12566,0
DBEF.US,5,20250225,214500,44.205,44.22,44.205,44.22,19900,0
DBEF.US,5,20250225,215000,44.22,44.22,44.17,44.175,11583,0
DBEF.US,5,20250225,215500,44.17,44.2,44.17,44.2,16786,0
DBEF.US,5,20250226,153000,44.42,44.425,44.38,44.395,5116,0
DBEF.US,5,20250226,153500,44.3814,44.42,44.38,44.42,1475,0
DBEF.US,5,20250226,154000,44.4092,44.41,44.4,44.41,5870,0
DBEF.US,5,20250226,154500,44.415,44.4668,44.415,44.4668,7404,0
DBEF.US,5,20250226,155000,44.4868,44.505,44.48,44.505,3304,0
DBEF.US,5,20250226,155500,44.5,44.505,44.46,44.48,6823,0
DBEF.US,5,20250226,160000,44.49,44.505,44.4803,44.495,5028,0
DBEF.US,5,20250226,160500,44.495,44.505,44.489,44.49,2174,0
DBEF.US,5,20250226,161000,44.5,44.52,44.4987,44.52,8146,0
DBEF.US,5,20250226,161500,44.5229,44.54,44.515,44.53,5100,0
DBEF.US,5,20250226,162000,44.525,44.53,44.51,44.51,3430,0
DBEF.US,5,20250226,162500,44.52,44.52,44.495,44.495,1766,0
DBEF.US,5,20250226,163000,44.495,44.525,44.495,44.5,3372,0
DBEF.US,5,20250226,163500,44.5064,44.515,44.49,44.4963,5815,0
DBEF.US,5,20250226,164000,44.49,44.525,44.4867,44.525,5096,0
DBEF.US,5,20250226,164500,44.525,44.54,44.52,44.5397,11472,0
DBEF.US,5,20250226,165000,44.535,44.5549,44.5263,44.5549,4049,0
DBEF.US,5,20250226,165500,44.547,44.58,44.547,44.565,31415,0
DBEF.US,5,20250226,170000,44.565,44.585,44.565,44.575,6658,0
DBEF.US,5,20250226,170500,44.5799,44.59,44.5701,44.58,4245,0
DBEF.US,5,20250226,171000,44.575,44.575,44.5601,44.5662,3091,0
DBEF.US,5,20250226,171500,44.5625,44.57,44.5601,44.57,5418,0
DBEF.US,5,20250226,172000,44.575,44.5999,44.575,44.585,20383,0
DBEF.US,5,20250226,172500,44.5899,44.595,44.5819,44.585,6607,0
DBEF.US,5,20250226,173000,44.585,44.589,44.555,44.565,10673,0
DBEF.US,5,20250226,173500,44.575,44.59,44.5717,44.59,2872,0
DBEF.US,5,20250226,174000,44.58,44.58,44.5401,44.55,1280,0
DBEF.US,5,20250226,174500,44.565,44.565,44.54,44.54,2776,0
DBEF.US,5,20250226,175000,44.55,44.5568,44.545,44.555,14663,0
DBEF.US,5,20250226,175500,44.55,44.55,44.4901,44.4901,2358,0
DBEF.US,5,20250226,180000,44.49,44.52,44.49,44.5199,6558,0
DBEF.US,5,20250226,180500,44.5199,44.535,44.5158,44.53,2530,0
DBEF.US,5,20250226,181000,44.5232,44.54,44.52,44.54,2524,0
DBEF.US,5,20250226,181500,44.54,44.56,44.51,44.515,4621,0
DBEF.US,5,20250226,182000,44.535,44.5368,44.51,44.5273,4763,0
DBEF.US,5,20250226,182500,44.5155,44.53,44.515,44.53,1990,0
DBEF.US,5,20250226,183000,44.54,44.55,44.475,44.485,14622,0
DBEF.US,5,20250226,183500,44.47,44.47,44.435,44.439,3693,0
DBEF.US,5,20250226,184000,44.435,44.44,44.425,44.44,5176,0
DBEF.US,5,20250226,184500,44.45,44.45,44.4223,44.445,613,0
DBEF.US,5,20250226,185000,44.445,44.445,44.405,44.4168,3063,0
DBEF.US,5,20250226,185500,44.41,44.41,44.365,44.365,1263,0
DBEF.US,5,20250226,190000,44.38,44.38,44.36,44.36,600,0
DBEF.US,5,20250226,190500,44.35,44.35,44.34,44.35,8714,0
DBEF.US,5,20250226,191000,44.345,44.36,44.3355,44.36,2848,0
DBEF.US,5,20250226,191500,44.355,44.355,44.33,44.335,3035,0
DBEF.US,5,20250226,192000,44.35,44.375,44.35,44.3699,4568,0
DBEF.US,5,20250226,192500,44.365,44.365,44.3,44.3,6048,0
DBEF.US,5,20250226,193000,44.295,44.315,44.295,44.315,2501,0
DBEF.US,5,20250226,193500,44.31,44.31,44.3,44.3,7958,0
DBEF.US,5,20250226,194000,44.295,44.299,44.2632,44.28,11900,0
DBEF.US,5,20250226,194500,44.28,44.285,44.2601,44.265,3945,0
DBEF.US,5,20250226,195000,44.265,44.265,44.25,44.259,5424,0
DBEF.US,5,20250226,195500,44.25,44.25,44.2199,44.239,3764,0
DBEF.US,5,20250226,200000,44.23,44.255,44.225,44.255,1665,0
DBEF.US,5,20250226,200500,44.23,44.23,44.205,44.205,9169,0
DBEF.US,5,20250226,201000,44.205,44.225,44.205,44.22,1249,0
DBEF.US,5,20250226,201500,44.22,44.245,44.21,44.24,5918,0
DBEF.US,5,20250226,202000,44.26,44.275,44.2501,44.26,8535,0
DBEF.US,5,20250226,202500,44.2598,44.2799,44.2598,44.27,2440,0
DBEF.US,5,20250226,203000,44.26,44.28,44.2467,44.28,5865,0
DBEF.US,5,20250226,203500,44.2806,44.295,44.2715,44.29,3715,0
DBEF.US,5,20250226,204000,44.285,44.321,44.285,44.305,1439,0
DBEF.US,5,20250226,204500,44.301,44.315,44.301,44.307,1314,0
DBEF.US,5,20250226,205000,44.3,44.3,44.285,44.299,4449,0
DBEF.US,5,20250226,205500,44.295,44.295,44.235,44.235,3859,0
DBEF.US,5,20250226,210000,44.24,44.265996,44.2399,44.24,2562,0
DBEF.US,5,20250226,210500,44.24,44.265,44.24,44.265,7062,0
DBEF.US,5,20250226,211000,44.265,44.27,44.255,44.255,9003,0
DBEF.US,5,20250226,211500,44.255,44.255,44.24,44.2481,2752,0
DBEF.US,5,20250226,212000,44.2528,44.275,44.25,44.27,5675,0
DBEF.US,5,20250226,212500,44.2756,44.28,44.266,44.2668,5484,0
DBEF.US,5,20250226,213000,44.26,44.2761,44.25,44.271,13395,0
DBEF.US,5,20250226,213500,44.275,44.29,44.265,44.285,4986,0
DBEF.US,5,20250226,214000,44.285,44.315,44.275,44.315,6510,0
DBEF.US,5,20250226,214500,44.32,44.3369,44.31,44.325,16816,0
DBEF.US,5,20250226,215000,44.33,44.33,44.305,44.32,8788,0
DBEF.US,5,20250226,215500,44.32,44.32,44.285,44.29,12116,0
DBEF.US,5,20250227,153000,44.38,44.44,44.3594,44.37,6957,0
DBEF.US,5,20250227,153500,44.377,44.39,44.36,44.36,3759,0
DBEF.US,5,20250227,154000,44.35,44.35,44.31,44.335,6187,0
DBEF.US,5,20250227,154500,44.325,44.365,44.3,44.3,3580,0
DBEF.US,5,20250227,155000,44.316,44.316,44.27,44.27,3191,0
DBEF.US,5,20250227,155500,44.2599,44.26,44.2299,44.2299,4618,0
DBEF.US,5,20250227,160000,44.22,44.22,44.16,44.19,12745,0
DBEF.US,5,20250227,160500,44.18,44.22,44.18,44.203448,1539,0
DBEF.US,5,20250227,161000,44.21,44.31,44.21,44.31,3689,0
DBEF.US,5,20250227,161500,44.3,44.325,44.291,44.31,5153,0
DBEF.US,5,20250227,162000,44.315,44.405,44.315,44.36,3866,0
DBEF.US,5,20250227,162500,44.35,44.355,44.335,44.346521,3311,0
DBEF.US,5,20250227,163000,44.345,44.345,44.3099,44.3299,1908,0
DBEF.US,5,20250227,163500,44.33,44.38,44.32,44.38,2772,0
DBEF.US,5,20250227,164000,44.37,44.3891,44.37,44.375,3600,0
DBEF.US,5,20250227,164500,44.375,44.3968,44.3699,44.385,5256,0
DBEF.US,5,20250227,165000,44.375,44.395,44.365,44.365,6827,0
DBEF.US,5,20250227,165500,44.355,44.371,44.34,44.3468,2545,0
DBEF.US,5,20250227,170000,44.345,44.38,44.345,44.345,2432,0
DBEF.US,5,20250227,170500,44.36,44.37,44.36,44.37,1458,0
DBEF.US,5,20250227,171000,44.39,44.4099,44.385,44.4084,13352,0
DBEF.US,5,20250227,171500,44.415,44.43,44.41,44.4237,8307,0
DBEF.US,5,20250227,172000,44.425,44.425,44.41,44.415,2721,0
DBEF.US,5,20250227,172500,44.4,44.41,44.36,44.3654,13873,0
DBEF.US,5,20250227,173000,44.375803,44.38,44.3675,44.38,4182,0
DBEF.US,5,20250227,173500,44.38,44.4,44.38,44.385,8041,0
DBEF.US,5,20250227,174000,44.385,44.39,44.36,44.365,5286,0
DBEF.US,5,20250227,174500,44.37,44.3782,44.365,44.365,4264,0
DBEF.US,5,20250227,175000,44.365,44.365,44.325,44.34,18223,0
DBEF.US,5,20250227,175500,44.32,44.325,44.31,44.3168,978,0
DBEF.US,5,20250227,180000,44.3123,44.355,44.3108,44.3506,7298,0
