<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOCT.US,5,20250224,155500,39.8602,39.8602,39.8602,39.8602,290,0
DOCT.US,5,20250224,160500,39.83,39.83,39.83,39.83,131,0
DOCT.US,5,20250224,161500,39.88,39.88,39.87,39.87,1200,0
DOCT.US,5,20250224,163000,39.87,39.91,39.87,39.91,271,0
DOCT.US,5,20250224,165000,39.85,39.85,39.85,39.85,100,0
DOCT.US,5,20250224,185500,39.985,39.985,39.985,39.985,396,0
DOCT.US,5,20250224,194500,39.9903,39.9903,39.9903,39.9903,651,0
DOCT.US,5,20250224,201500,39.96,39.96,39.96,39.96,300,0
DOCT.US,5,20250224,202500,39.964,39.964,39.964,39.964,503,0
DOCT.US,5,20250224,203500,39.99,39.99,39.99,39.99,1245,0
DOCT.US,5,20250224,210000,39.92,39.92,39.92,39.92,300,0
DOCT.US,5,20250224,211500,39.98,39.98,39.98,39.98,600,0
DOCT.US,5,20250224,213500,39.9108,39.9108,39.9108,39.9108,417,0
DOCT.US,5,20250224,214000,39.91,39.91,39.91,39.91,200,0
DOCT.US,5,20250224,215000,39.89,39.89,39.85,39.875,9634,0
DOCT.US,5,20250224,215500,39.84,39.865,39.84,39.84,1100,0
DOCT.US,5,20250225,161000,39.7,39.7,39.69,39.69,211,0
DOCT.US,5,20250225,161500,39.66,39.66,39.66,39.66,159,0
DOCT.US,5,20250225,162500,39.6,39.62,39.6,39.62,288,0
DOCT.US,5,20250225,163000,39.59,39.59,39.5751,39.5808,2065,0
DOCT.US,5,20250225,163500,39.6013,39.6196,39.6013,39.6196,1176,0
DOCT.US,5,20250225,175000,39.66,39.66,39.65,39.65,200,0
DOCT.US,5,20250225,175500,39.6411,39.6411,39.6411,39.6411,108,0
DOCT.US,5,20250225,182000,39.685,39.685,39.685,39.685,1079,0
DOCT.US,5,20250225,182500,39.695,39.695,39.695,39.695,200,0
DOCT.US,5,20250225,193000,39.73,39.73,39.73,39.73,100,0
DOCT.US,5,20250225,195000,39.75,39.75,39.75,39.75,1362,0
