<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECNS.US,5,20250224,153000,28.49,28.49,28.4,28.4,1367,0
ECNS.US,5,20250224,153500,28.4,28.41,28.39,28.3999,2128,0
ECNS.US,5,20250224,154000,28.395,28.4,28.305,28.305,3542,0
ECNS.US,5,20250224,154500,28.35,28.37,28.35,28.37,310,0
ECNS.US,5,20250224,155000,28.28,28.28,28.28,28.28,777,0
ECNS.US,5,20250224,155500,28.28,28.3,28.28,28.28,900,0
ECNS.US,5,20250224,161000,28.2,28.2,28.2,28.2,500,0
ECNS.US,5,20250224,161500,28.2,28.2,28.1933,28.1933,892,0
ECNS.US,5,20250224,162000,28.275,28.275,28.2738,28.2738,863,0
ECNS.US,5,20250224,163000,28.14,28.2,28.14,28.2,400,0
ECNS.US,5,20250224,163500,28.175,28.175,28.175,28.175,100,0
ECNS.US,5,20250224,164000,28.27,28.28,28.27,28.28,1000,0
ECNS.US,5,20250224,164500,28.3,28.31,28.3,28.3099,1300,0
ECNS.US,5,20250224,165000,28.29,28.29,28.29,28.29,100,0
ECNS.US,5,20250224,165500,28.285,28.33,28.27,28.33,5497,0
ECNS.US,5,20250224,171000,28.35,28.36,28.33,28.36,1700,0
ECNS.US,5,20250224,171500,28.33,28.33,28.33,28.33,1013,0
ECNS.US,5,20250224,172000,28.3684,28.3684,28.3684,28.3684,270,0
ECNS.US,5,20250224,172500,28.3652,28.37,28.3652,28.37,440,0
ECNS.US,5,20250224,175500,28.33,28.33,28.33,28.33,1041,0
ECNS.US,5,20250224,180500,28.34,28.34,28.33,28.33,500,0
ECNS.US,5,20250224,181000,28.33,28.3345,28.33,28.3345,422,0
ECNS.US,5,20250224,181500,28.33,28.34,28.33,28.34,1270,0
ECNS.US,5,20250224,182500,28.33,28.3301,28.33,28.3301,700,0
ECNS.US,5,20250224,192000,28.345,28.345,28.345,28.345,1550,0
ECNS.US,5,20250224,202500,28.33,28.33,28.33,28.33,777,0
ECNS.US,5,20250224,203500,28.345,28.345,28.345,28.345,200,0
ECNS.US,5,20250224,204000,28.345,28.345,28.33,28.3367,3896,0
ECNS.US,5,20250224,205500,28.345,28.345,28.345,28.345,177,0
ECNS.US,5,20250224,210500,28.33,28.33,28.33,28.33,200,0
ECNS.US,5,20250224,212000,28.345,28.345,28.345,28.345,200,0
ECNS.US,5,20250224,212500,28.3517,28.3517,28.3517,28.3517,420,0
ECNS.US,5,20250224,213000,28.3599,28.3599,28.3599,28.3599,300,0
ECNS.US,5,20250224,214000,28.33,28.345,28.33,28.345,310,0
ECNS.US,5,20250224,214500,28.345,28.345,28.345,28.345,200,0
ECNS.US,5,20250224,215000,28.3315,28.3315,28.33,28.33,1439,0
ECNS.US,5,20250224,215500,28.33,28.33,28.33,28.33,169,0
ECNS.US,5,20250225,153000,28.4801,28.63,28.4801,28.6099,727,0
ECNS.US,5,20250225,153500,28.49,28.49,28.49,28.49,100,0
ECNS.US,5,20250225,154500,28.45,28.45,28.45,28.45,500,0
ECNS.US,5,20250225,155000,28.4,28.4,28.4,28.4,100,0
ECNS.US,5,20250225,163500,28.305,28.305,28.305,28.305,395,0
ECNS.US,5,20250225,164000,28.25,28.27,28.12,28.12,9763,0
ECNS.US,5,20250225,164500,28.205,28.2499,28.205,28.2499,1700,0
ECNS.US,5,20250225,165000,28.205,28.205,28.205,28.205,100,0
ECNS.US,5,20250225,165500,28.225,28.25,28.225,28.25,1761,0
ECNS.US,5,20250225,170000,28.21,28.21,28.2048,28.2048,1000,0
ECNS.US,5,20250225,170500,28.2004,28.225,28.2004,28.218068,460,0
ECNS.US,5,20250225,171500,28.215,28.2195,28.21,28.21,571,0
ECNS.US,5,20250225,174000,28.1755,28.1755,28.1755,28.1755,106,0
ECNS.US,5,20250225,175000,28.15,28.15,28.15,28.15,275,0
ECNS.US,5,20250225,175500,28.19,28.19,28.19,28.19,100,0
ECNS.US,5,20250225,180000,28.11,28.11,28.11,28.11,275,0
ECNS.US,5,20250225,180500,28.17,28.1911,28.17,28.1911,875,0
ECNS.US,5,20250225,181000,28.16,28.16,28.15,28.15,509,0
ECNS.US,5,20250225,181500,28.12,28.12,28.111,28.111,350,0
ECNS.US,5,20250225,185500,28.11,28.1441,28.11,28.1441,2272,0
ECNS.US,5,20250225,190000,28.0433,28.07,28.0433,28.07,700,0
ECNS.US,5,20250225,190500,28.0533,28.0533,28.0333,28.0333,550,0
ECNS.US,5,20250225,193000,28.075,28.075,28.075,28.075,133,0
ECNS.US,5,20250225,201500,28,28.025,27.95,28.025,3528,0
ECNS.US,5,20250225,202000,27.96,27.96,27.92,27.92,600,0
ECNS.US,5,20250225,202500,28.005,28.07,28.005,28.06,10450,0
ECNS.US,5,20250225,211500,28.05,28.05,28.05,28.05,670,0
ECNS.US,5,20250225,215000,28.1,28.1,28.1,28.1,500,0
ECNS.US,5,20250225,215500,28.17,28.17,28.17,28.17,137,0
ECNS.US,5,20250226,153000,28.82,28.89,28.64,28.87,2237,0
ECNS.US,5,20250226,153500,28.8,28.8,28.8,28.8,300,0
ECNS.US,5,20250226,154000,28.81,28.81,28.81,28.81,100,0
ECNS.US,5,20250226,154500,28.81,28.88,28.81,28.88,618,0
ECNS.US,5,20250226,155000,28.86,28.86,28.86,28.86,133,0
ECNS.US,5,20250226,160500,28.945,28.945,28.945,28.945,200,0
ECNS.US,5,20250226,161000,28.95,28.9684,28.95,28.9684,1950,0
ECNS.US,5,20250226,164000,28.92,28.92,28.92,28.92,200,0
ECNS.US,5,20250226,165500,28.99,28.99,28.99,28.99,1000,0
ECNS.US,5,20250226,172500,29,29,29,29,101,0
ECNS.US,5,20250226,175000,28.97,28.9796,28.97,28.97,689,0
ECNS.US,5,20250226,181000,29,29,29,29,100,0
ECNS.US,5,20250226,183000,28.98,28.98,28.9799,28.9799,358,0
ECNS.US,5,20250226,194000,28.83,28.83,28.82,28.82,472,0
ECNS.US,5,20250226,200500,28.81,28.8199,28.81,28.8199,225,0
ECNS.US,5,20250226,203500,28.795,28.8197,28.795,28.8197,460,0
ECNS.US,5,20250226,215500,28.8659,28.91,28.83,28.83,670,0
ECNS.US,5,20250227,153000,28.79,28.9,28.78,28.9,560,0
ECNS.US,5,20250227,154000,28.76,28.79,28.67,28.71,2246,0
ECNS.US,5,20250227,154500,28.69,28.69,28.69,28.69,100,0
ECNS.US,5,20250227,160000,28.63,28.63,28.55,28.55,500,0
ECNS.US,5,20250227,162000,28.5468,28.6915,28.5468,28.67,12126,0
ECNS.US,5,20250227,162500,28.66,28.68,28.61,28.68,2706,0
ECNS.US,5,20250227,163500,28.76,28.76,28.76,28.76,100,0
ECNS.US,5,20250227,164000,28.75,28.78,28.75,28.78,642,0
ECNS.US,5,20250227,170000,28.78,28.78,28.78,28.78,100,0
ECNS.US,5,20250227,175500,28.83,28.83,28.83,28.83,100,0
ECNS.US,5,20250227,180500,28.78,28.78,28.78,28.78,105,0
ECNS.US,5,20250227,182000,28.83,28.83,28.83,28.83,100,0
ECNS.US,5,20250227,184000,28.82,28.82,28.82,28.82,100,0
ECNS.US,5,20250227,194500,28.879,28.879,28.879,28.879,100,0
ECNS.US,5,20250227,195000,28.7911,28.7911,28.7911,28.7911,138,0
ECNS.US,5,20250227,200500,28.845,28.845,28.845,28.845,200,0
ECNS.US,5,20250227,201000,28.869,28.869,28.869,28.869,100,0
ECNS.US,5,20250227,202500,28.805,28.805,28.805,28.805,500,0
ECNS.US,5,20250227,203000,28.81,28.81,28.81,28.81,100,0
ECNS.US,5,20250227,205500,28.79,28.79,28.79,28.79,100,0
ECNS.US,5,20250227,210000,28.78,28.78,28.78,28.78,820,0
ECNS.US,5,20250227,212500,28.645,28.645,28.645,28.645,104,0
ECNS.US,5,20250227,213000,28.65,28.65,28.65,28.65,200,0
ECNS.US,5,20250227,215500,28.67,28.67,28.65,28.65,400,0
ECNS.US,5,20250228,153000,27.77,27.77,27.6,27.6,2375,0
ECNS.US,5,20250228,153500,27.62,27.67,27.6,27.6364,5375,0
ECNS.US,5,20250228,154000,27.61,27.615,27.57,27.58,9200,0
ECNS.US,5,20250228,155500,27.62,27.635,27.62,27.635,200,0
ECNS.US,5,20250228,160000,27.65,27.65,27.65,27.65,100,0
ECNS.US,5,20250228,161000,27.64,27.6802,27.64,27.67,400,0
ECNS.US,5,20250228,161500,27.61,27.625,27.5906,27.625,966,0
ECNS.US,5,20250228,163000,27.685,27.685,27.664,27.68,1800,0
ECNS.US,5,20250228,170000,27.65,27.65,27.65,27.65,200,0
ECNS.US,5,20250228,171500,27.67,27.67,27.65,27.65,200,0
ECNS.US,5,20250228,173000,27.64,27.66,27.64,27.66,3200,0
ECNS.US,5,20250228,174000,27.67,27.67,27.67,27.67,100,0
ECNS.US,5,20250228,174500,27.67,27.7,27.67,27.7,320,0
ECNS.US,5,20250228,175000,27.69,27.7,27.66,27.695,12200,0
ECNS.US,5,20250228,180000,27.64,27.65,27.64,27.65,200,0
ECNS.US,5,20250228,180500,27.665,27.665,27.665,27.665,140,0
ECNS.US,5,20250228,181500,27.6301,27.6301,27.6301,27.6301,242,0
ECNS.US,5,20250228,182000,27.63,27.63,27.63,27.63,200,0
ECNS.US,5,20250228,184500,27.62,27.62,27.62,27.62,300,0
ECNS.US,5,20250228,185000,27.59,27.59,27.5715,27.5715,900,0
ECNS.US,5,20250228,185500,27.63,27.63,27.63,27.63,113,0
ECNS.US,5,20250228,190000,27.57,27.57,27.56,27.56,426,0
ECNS.US,5,20250228,191500,27.56,27.56,27.56,27.56,3300,0
ECNS.US,5,20250228,211500,27.665,27.67,27.665,27.67,3100,0
ECNS.US,5,20250228,212000,27.655,27.655,27.655,27.655,100,0
ECNS.US,5,20250228,212500,27.66,27.66,27.6401,27.6401,300,0
ECNS.US,5,20250228,213000,27.675,27.6899,27.675,27.6899,400,0
ECNS.US,5,20250228,214000,27.655,27.7125,27.655,27.7125,612,0
ECNS.US,5,20250228,215000,27.64,27.65,27.64,27.65,200,0
ECNS.US,5,20250228,215500,27.682,27.7613,27.682,27.7,3493,0
ECNS.US,5,20250303,154000,27.64,27.64,27.64,27.64,100,0
ECNS.US,5,20250303,155500,27.58,27.58,27.58,27.58,323,0
ECNS.US,5,20250303,161000,27.55,27.55,27.55,27.55,200,0
ECNS.US,5,20250303,161500,27.565,27.565,27.565,27.565,231,0
ECNS.US,5,20250303,162500,27.59,27.66,27.59,27.66,847,0
ECNS.US,5,20250303,163500,27.62,27.6205,27.62,27.6205,205,0
ECNS.US,5,20250303,164000,27.65,27.65,27.65,27.65,100,0
ECNS.US,5,20250303,173000,27.62,27.62,27.62,27.62,100,0
ECNS.US,5,20250303,182500,27.6401,27.6401,27.6401,27.6401,220,0
ECNS.US,5,20250303,184500,27.6647,27.6647,27.6647,27.6647,100,0
ECNS.US,5,20250303,185500,27.66,27.66,27.66,27.66,100,0
ECNS.US,5,20250303,190500,27.62,27.62,27.62,27.62,252,0
ECNS.US,5,20250303,191000,27.53,27.53,27.53,27.53,500,0
ECNS.US,5,20250303,192000,27.56,27.56,27.56,27.56,289,0
ECNS.US,5,20250303,193000,27.5079,27.5079,27.5079,27.5079,232,0
ECNS.US,5,20250303,194500,27.51,27.51,27.51,27.51,200,0
ECNS.US,5,20250303,201000,27.54,27.54,27.5399,27.5399,546,0
ECNS.US,5,20250303,202500,27.53,27.53,27.5299,27.5299,600,0
ECNS.US,5,20250303,203000,27.46,27.5,27.45,27.46,3600,0
ECNS.US,5,20250303,203500,27.47,27.47,27.45,27.45,1600,0
ECNS.US,5,20250303,213000,27.2372,27.2372,27.2,27.2,1767,0
ECNS.US,5,20250303,214000,27.1165,27.15,27.1165,27.15,500,0
ECNS.US,5,20250303,215500,27.213,27.31,27.213,27.31,1410,0
ECNS.US,5,20250304,154000,27.39,27.39,27.35,27.3501,1450,0
ECNS.US,5,20250304,162500,27.35,27.35,27.35,27.35,489,0
