<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMDM.US,5,20250224,172500,21.62,21.62,21.62,21.62,100,0
EMDM.US,5,20250224,212500,21.56,21.56,21.56,21.56,227,0
EMDM.US,5,20250226,162500,21.69,21.69,21.69,21.69,315,0
EMDM.US,5,20250226,164000,21.72,21.72,21.72,21.72,200,0
EMDM.US,5,20250226,183000,21.78,21.78,21.78,21.78,251,0
EMDM.US,5,20250228,162500,20.97,20.97,20.97,20.97,100,0
EMDM.US,5,20250303,153000,21.14,21.14,21.14,21.14,179,0
EMDM.US,5,20250304,153000,20.7,20.7,20.7,20.7,253,0
EMDM.US,5,20250304,192500,20.79,20.79,20.79,20.79,139,0
EMDM.US,5,20250304,193500,20.81,20.81,20.81,20.81,100,0
EMDM.US,5,20250305,153000,21.25,21.25,21.25,21.25,453,0
EMDM.US,5,20250305,162500,21.23,21.23,21.23,21.23,100,0
EMDM.US,5,20250305,163500,21.27,21.27,21.27,21.27,100,0
EMDM.US,5,20250306,153500,21.42,21.42,21.42,21.42,452,0
EMDM.US,5,20250306,160500,21.56,21.56,21.56,21.56,200,0
EMDM.US,5,20250306,164000,21.53,21.53,21.53,21.53,100,0
EMDM.US,5,20250306,170000,21.52,21.52,21.52,21.52,400,0
EMDM.US,5,20250306,182000,21.43,21.43,21.43,21.43,100,0
EMDM.US,5,20250306,183500,21.47,21.47,21.47,21.47,302,0
EMDM.US,5,20250306,191500,21.43,21.43,21.43,21.43,100,0
EMDM.US,5,20250307,161000,21.57,21.57,21.57,21.57,100,0
EMDM.US,5,20250307,185500,21.41,21.41,21.41,21.41,145,0
EMDM.US,5,20250310,144500,21.33,21.33,21.33,21.33,300,0
EMDM.US,5,20250310,203500,21,21,21,21,100,0
EMDM.US,5,20250311,151500,21.07,21.07,21.07,21.07,100,0
EMDM.US,5,20250312,161500,21.27,21.27,21.27,21.27,100,0
EMDM.US,5,20250313,151500,21.36,21.36,21.36,21.36,100,0
EMDM.US,5,20250313,152500,21.4,21.4,21.4,21.4,100,0
EMDM.US,5,20250313,203000,21.3194,21.3194,21.3194,21.3194,153,0
EMDM.US,5,20250314,155000,21.73,21.73,21.73,21.73,100,0
EMDM.US,5,20250317,154500,22.07,22.07,22.07,22.07,100,0
EMDM.US,5,20250317,192000,22.2288,22.2288,22.2288,22.2288,261,0
EMDM.US,5,20250317,192500,22.22,22.22,22.22,22.22,600,0
