<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNDC.US,5,20250224,153000,36.09,36.09,36.09,36.09,100,0
FNDC.US,5,20250224,153500,36.05,36.05,36.0301,36.0301,3403,0
FNDC.US,5,20250224,154000,36.0201,36.0201,36.0201,36.0201,1000,0
FNDC.US,5,20250224,154500,36.06,36.0739,36.03,36.0739,5463,0
FNDC.US,5,20250224,155500,36.025,36.025,35.99,35.99,1832,0
FNDC.US,5,20250224,160500,35.96,35.96,35.96,35.96,315,0
FNDC.US,5,20250224,161000,35.995,35.995,35.995,35.995,355,0
FNDC.US,5,20250224,162000,36.0098,36.0098,36.0098,36.0098,1068,0
FNDC.US,5,20250224,163500,35.9801,35.99,35.9801,35.99,1000,0
FNDC.US,5,20250224,164500,35.971,35.9862,35.971,35.9862,804,0
FNDC.US,5,20250224,165500,35.97,36,35.97,35.9901,1758,0
FNDC.US,5,20250224,170000,36,36,36,36,100,0
FNDC.US,5,20250224,171500,36.045,36.045,36.0201,36.0201,1216,0
FNDC.US,5,20250224,172000,36.05,36.05,36.05,36.05,757,0
FNDC.US,5,20250224,172500,36.06,36.06,36.06,36.06,378,0
FNDC.US,5,20250224,173000,36.065,36.065,36.055,36.055,611,0
FNDC.US,5,20250224,174000,36.0667,36.0667,36.03,36.03,508,0
FNDC.US,5,20250224,174500,36.06,36.07,36.06,36.07,700,0
FNDC.US,5,20250224,175000,36.055,36.08,36.055,36.08,1621,0
FNDC.US,5,20250224,181000,36.07,36.0803,36.07,36.0803,1174,0
FNDC.US,5,20250224,181500,36.075,36.095,36.0601,36.095,1541,0
FNDC.US,5,20250224,182500,36.095,36.095,36.095,36.095,287,0
FNDC.US,5,20250224,183500,36.0633,36.0633,36.0633,36.0633,503,0
FNDC.US,5,20250224,184000,36.1,36.1499,36.1,36.12,56827,0
FNDC.US,5,20250224,184500,36.125,36.125,36.125,36.125,700,0
FNDC.US,5,20250224,185000,36.13,36.13,36.1,36.1,1573,0
FNDC.US,5,20250224,185500,36.1299,36.1299,36.1299,36.1299,200,0
FNDC.US,5,20250224,190000,36.1194,36.1194,36.09,36.09,2783,0
FNDC.US,5,20250224,191000,36.09,36.09,36.09,36.09,111,0
FNDC.US,5,20250224,192000,36.1233,36.1467,36.12,36.1467,566,0
FNDC.US,5,20250224,192500,36.14,36.17,36.1305,36.1305,1172,0
FNDC.US,5,20250224,193000,36.13,36.13,36.13,36.13,100,0
FNDC.US,5,20250224,193500,36.13,36.15,36.13,36.135,766,0
FNDC.US,5,20250224,194000,36.13,36.1333,36.13,36.13,480,0
FNDC.US,5,20250224,194500,36.15,36.15,36.15,36.15,200,0
FNDC.US,5,20250224,200000,36.09,36.09,36.09,36.09,286,0
FNDC.US,5,20250224,201000,36.0833,36.0833,36.0833,36.0833,447,0
FNDC.US,5,20250224,201500,36.1,36.1,36.1,36.1,172,0
FNDC.US,5,20250224,202000,36.0859,36.0859,36.0859,36.0859,106,0
FNDC.US,5,20250224,204000,36.0505,36.0867,36.0207,36.0207,1820,0
FNDC.US,5,20250224,205000,36.05,36.05,36.05,36.05,138,0
FNDC.US,5,20250224,205500,36.045,36.045,36.0201,36.0201,753,0
FNDC.US,5,20250224,210000,36.0004,36.0004,36.0004,36.0004,899,0
FNDC.US,5,20250224,210500,36.02,36.0392,36.02,36.03,2584,0
FNDC.US,5,20250224,211000,36.03,36.03,36.03,36.03,3205,0
FNDC.US,5,20250224,212000,36.01,36.0262,36.01,36.0262,408,0
FNDC.US,5,20250224,213500,36.01,36.03,36.01,36.03,872,0
FNDC.US,5,20250224,214000,36.0267,36.0267,35.99,35.99,2356,0
FNDC.US,5,20250224,214500,35.9999,36,35.99,36,354,0
FNDC.US,5,20250224,215000,35.98,35.99,35.97,35.97,1700,0
FNDC.US,5,20250224,215500,35.985,35.985,35.94,35.94,2728,0
FNDC.US,5,20250225,153500,36.24,36.26,36.24,36.26,1200,0
FNDC.US,5,20250225,160000,36.161,36.1612,36.161,36.1612,812,0
FNDC.US,5,20250225,161000,36.22,36.22,36.22,36.22,150,0
FNDC.US,5,20250225,161500,36.14,36.14,36.11,36.11,400,0
FNDC.US,5,20250225,162500,36.095,36.0966,36.08,36.0815,1170,0
FNDC.US,5,20250225,163000,36.0832,36.0895,36.0832,36.0895,2923,0
FNDC.US,5,20250225,163500,36.08,36.11,36.08,36.11,1400,0
FNDC.US,5,20250225,164000,36.11,36.12,36.105,36.12,1000,0
FNDC.US,5,20250225,164500,36.11,36.12,36.105,36.12,2200,0
FNDC.US,5,20250225,165000,36.13,36.13,36.13,36.13,200,0
FNDC.US,5,20250225,171000,36.105,36.1077,36.1,36.1,1078,0
FNDC.US,5,20250225,171500,36.08,36.08,36.08,36.08,265,0
FNDC.US,5,20250225,173000,36.03,36.03,36.03,36.03,100,0
FNDC.US,5,20250225,173500,36.0555,36.0555,36.0555,36.0555,275,0
FNDC.US,5,20250225,174000,36.08,36.08,36.0601,36.0601,403,0
FNDC.US,5,20250225,174500,36.0684,36.105,36.0684,36.105,455,0
FNDC.US,5,20250225,175000,36.115,36.12,36.1015,36.12,617,0
FNDC.US,5,20250225,180000,36.1067,36.1067,36.06,36.06,350,0
FNDC.US,5,20250225,180500,36.08,36.08,36.05,36.05,29832,0
FNDC.US,5,20250225,181000,36.05,36.05,36.05,36.05,1787,0
FNDC.US,5,20250225,181500,36.0667,36.0667,36.0667,36.0667,211,0
FNDC.US,5,20250225,182500,36.0566,36.09,36.0501,36.09,593,0
FNDC.US,5,20250225,183500,36.1199,36.1199,36.0829,36.0829,2203,0
FNDC.US,5,20250225,184500,36.1001,36.1001,36.1001,36.1001,144,0
FNDC.US,5,20250225,185000,36.12,36.12,36.1122,36.12,966,0
FNDC.US,5,20250225,190000,36.14,36.19,36.14,36.19,1483,0
FNDC.US,5,20250225,190500,36.24,36.24,36.2,36.2,248,0
FNDC.US,5,20250225,191000,36.1976,36.2,36.1976,36.2,279,0
FNDC.US,5,20250225,191500,36.1389,36.1389,36.1312,36.1312,1488,0
FNDC.US,5,20250225,192000,36.175,36.175,36.175,36.175,208,0
FNDC.US,5,20250225,192500,36.165,36.165,36.1133,36.1133,418,0
FNDC.US,5,20250225,193500,36.13,36.22,36.13,36.22,1238,0
FNDC.US,5,20250225,194500,36.2068,36.2111,36.1955,36.2111,682,0
FNDC.US,5,20250225,195000,36.2,36.2,36.2,36.2,244,0
FNDC.US,5,20250225,195500,36.19,36.19,36.1659,36.1659,1455,0
FNDC.US,5,20250225,200000,36.1684,36.1798,36.161,36.1798,964,0
FNDC.US,5,20250225,200500,36.16,36.1768,36.16,36.1633,522,0
FNDC.US,5,20250225,201000,36.165,36.18,36.165,36.18,2000,0
FNDC.US,5,20250225,202000,36.13,36.1468,36.121,36.1468,3666,0
FNDC.US,5,20250225,202500,36.14,36.14,36.121,36.121,335,0
FNDC.US,5,20250225,203000,36.1201,36.1667,36.12,36.145,2579,0
FNDC.US,5,20250225,204000,36.185,36.215,36.185,36.1933,1045,0
FNDC.US,5,20250225,204500,36.17,36.18,36.17,36.18,1467,0
FNDC.US,5,20250225,205000,36.1938,36.215,36.19,36.215,749,0
FNDC.US,5,20250225,205500,36.215,36.22,36.215,36.22,1582,0
