<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLRY.US,5,20250224,161000,30.1325,30.1325,30.1325,30.1325,270,0
GLRY.US,5,20250224,192000,30.3996,30.3996,30.3996,30.3996,105,0
GLRY.US,5,20250224,202000,30.335,30.335,30.335,30.335,201,0
GLRY.US,5,20250224,213500,30.3999,30.3999,30.37,30.37,439,0
GLRY.US,5,20250224,214000,30.35,30.3513,30.35,30.3513,702,0
GLRY.US,5,20250225,155500,30.36,30.36,30.36,30.36,100,0
GLRY.US,5,20250225,161000,30.2419,30.2419,30.2419,30.2419,173,0
GLRY.US,5,20250225,163500,30.1535,30.1535,30.1535,30.1535,223,0
GLRY.US,5,20250225,173000,30.1201,30.1201,30.1201,30.1201,312,0
GLRY.US,5,20250225,175500,30.3132,30.3132,30.3132,30.3132,250,0
GLRY.US,5,20250225,180500,30.265,30.265,30.265,30.265,103,0
GLRY.US,5,20250225,192500,30.36,30.36,30.36,30.36,674,0
GLRY.US,5,20250225,193000,30.3291,30.3291,30.3291,30.3291,124,0
GLRY.US,5,20250225,193500,30.33,30.34,30.33,30.34,200,0
GLRY.US,5,20250225,194000,30.36,30.36,30.36,30.36,100,0
GLRY.US,5,20250225,194500,30.3924,30.3924,30.3924,30.3924,188,0
GLRY.US,5,20250225,195000,30.3852,30.3852,30.3852,30.3852,109,0
GLRY.US,5,20250225,195500,30.3501,30.36,30.3501,30.36,326,0
GLRY.US,5,20250225,202000,30.32,30.32,30.32,30.32,130,0
GLRY.US,5,20250225,210000,30.4364,30.4364,30.4364,30.4364,214,0
GLRY.US,5,20250225,212000,30.5499,30.5499,30.5499,30.5499,223,0
GLRY.US,5,20250225,212500,30.5375,30.5375,30.5375,30.5375,246,0
GLRY.US,5,20250225,214500,30.37,30.38,30.37,30.38,2365,0
GLRY.US,5,20250226,172000,30.8,30.8,30.8,30.8,100,0
GLRY.US,5,20250226,174500,30.74,30.7401,30.74,30.7401,471,0
GLRY.US,5,20250226,175000,30.78,30.78,30.78,30.78,100,0
GLRY.US,5,20250226,180500,30.74,30.74,30.74,30.74,100,0
GLRY.US,5,20250226,181500,30.7549,30.7549,30.7549,30.7549,113,0
GLRY.US,5,20250226,182000,30.72,30.72,30.6977,30.6977,300,0
GLRY.US,5,20250226,183500,30.67,30.67,30.67,30.67,200,0
GLRY.US,5,20250226,185000,30.58,30.58,30.58,30.58,200,0
GLRY.US,5,20250226,185500,30.54,30.55,30.54,30.55,200,0
GLRY.US,5,20250226,190500,30.5594,30.5594,30.54,30.54,1060,0
GLRY.US,5,20250226,191500,30.5486,30.5486,30.5486,30.5486,198,0
GLRY.US,5,20250226,192000,30.5999,30.5999,30.5999,30.5999,215,0
GLRY.US,5,20250226,200000,30.4001,30.4001,30.4001,30.4001,167,0
GLRY.US,5,20250226,203500,30.5,30.5,30.5,30.5,204,0
GLRY.US,5,20250226,204000,30.505,30.505,30.505,30.505,207,0
